Id	Key	Text
20000007	PlayerDisplayCharIdNotExit	20000007 Assistant does not exist
20000008	PlayerDisplayRemoveCountLimited	20000008 Must be at least one assistant
20002001	PlayerDataManagerGetPlayerMaxExpFail	Failed to obtain player's max EXP
20002002	PlayerDataManagerChangeNameTimeLimit	You can change your name in {0} hr {1} min
20002003	PlayerDataManagerChangeNameInvalid	Improper name, please check again.
20002004	PlayerDataManagerChangeSignInvalid	Improper signature, please check again.
20002005	PlayerDataManagerChangeMarkInvalid	Unable to edit record
20002006	PlayerDataManagerAssistRoleIdIsSet	You cannot deploy a duplicate Construct
20002007	PlayerDataManagerBirthdayInValid	Please fill in the correct date
20002008	PlayerDataManagerBirthdayAlreadySet	You have set your birthday already
20002009	PlayerDataManagerChangeCommunicationInvalid	Invalid change
20002010	PlayerDataManagerReportTimeLimit	Report in cool down
20002011	PlayerDataManagerReportTagInvalid	Invalid type of report
20002012	PlayerDataManagerNameIsTooLong	Your name must not exceed 12 characters
20002013	PlayerDataManagerAssistCanNotSetInfection	You cannot set a Uniframe as a support character
20002014	PlayerDataManagerGetHonorLevelMaxExpFail	
20002015	PlayerDataManagerLevelNotMaxLevel	
20002016	PlayerDataManagerHonorLevelCartoonAlreadyOpen	
20002017	PlayerDataRenameBanned	Player rename forbidden
20002018	PlayerDataSignBanned	Player signature forbidden
20003001	FubenManagerCheckTreasureIsGet	You have obtained the chapter chest reward already
20003002	FubenManagerCheckPreMapNotFound	Stage id does not exist
20003003	FubenManagerCheckPreMapNotPass	You have not completed the previous stage yet
20003004	FubenManagerCheckLevelNotEnough	Insufficient level
20003005	FubenManagerCheckActionPointNotEnough	Insufficient Serums
20003006	FubenManagerCheckChallengeNumNotEnough	Insufficient attempts
20003007	FubenManagerCheckTreasureSectionIdInvalid	Invalid chapter ID of the chest
20003008	FubenManagerCheckTreasureIdInvalid	Invalid chest ID
20003009	FubenManagerCheckTreasureStarsNotEnough	Insufficient stars to obtain the chest reward
20003010	FubenManagerCheckTreasureRewardRepeat	Obtain the chest reward more than once
20003011	FubenManagerCheckStageInfoNotFound	
20003012	FubenManagerCheckPreFightStageInfoNotFound	Failed to obtain StageInfo during the prebattle checking
20003013	FubenManagerCheckPreFightUrgentEventMapNotOpen	The stage is not available yet
20003014	FubenManagerChallengeWinFightIdNotMatch	Mission data mismatched(0)
20003015	FubenManagerChallengeWinPreFightDataNotMatch	Mission data mismatched(1)
20003016	FubenManagerChallengeLoseFightIdNotMatch	Mission data mismatched(2)
20003017	FubenManagerChallengeLoseStageCfgNotFound	Mission data mismatched(3)
20003018	FubenManagerChallengeLosePreFightDataNotMatch	Mission data mismatched(4)
20003019	FubenManagerStageAllReadyMaxChallegeCount	Maximum quest attempt has been reached
20003020	FubenManagerStageAllReadyMaxBuyCount	Maximum quest purchase limit has been reached
20003021	FubenManagerFinishToStageStageNotFound	Invalid Side Story
20003022	FubenManagerFightIntervalFast	Please challenge at intervals
20003023	FubenManagerRebootCountNotMatch	Number of quest revivals mismatched
20003024	FubenManagerStageLocked	Stage is locked
20003025	FubenManagerStageCharacterTypeError	Deployed member type error
20003026	FubenManagerCardIdTypeNotSame	Character type does not match
20003027	FubenControlPreFightParamsError	Team info error
20003028	FubenManagerBfrtNotGroup	Stronghold does not exist
20003029	FubenManagerBfrtPreIdNotFinish	Complete the previous stronghold first
20003030	FubenManagerBfrtNotChallengeCount	Insufficient attempts
20003031	FubenManagerBfrtEchelonNotFound	Team formation ID does not exist
20003032	FubenManagerBfrtWinParamError	Stronghold result mismatched
20003033	FubenManagerBfrtTeamError	Number of deployed team members error
20003034	FubenManagerBfrtServerTeamError	Deployed team server error
20003035	FubenManagerBfrtServerTeamNotEqualClientTeam	Number of deployed members error
20003036	FubenManagerBfrtClientCharacterIdNotInServerTeam	Deployed Construct error
20003037	FubenManagerBfrtStageNotFinish	Complete the previous stage first
20003038	FubenManagerBfrtSetTeamFightInfoIdsNotEqualConfigIds	Number of deployed teams error
20003039	FubenManagerBfrtSetTeamLogisticsNotEqualConfigIds	Number of logistics teams error
20003040	FubenManagerFightRebootFightIdNotMatch	FightId of revival in battle mismatched
20003041	FubenManagerFightRebootCountNotMatch	Number of revivals in battle mismatched
20003042	FubenManagerFightRebootStageNotFound	Mission of revival in battle does not exist
20003043	FubenManagerGetFightRebootTemplateNotFound	Settings of revival in battle does not exist
20003044	FubenManagerGetFightRebootRebootCountIllegal	Invalid number of revivals
20003045	FubenManagerCheckFightRebootTeamIsEmpty	Revival team is empty
20003046	FubenManagerMultipleObjectsInTheSameLocation	20003046 Multiple targets used at the same location
20003047	FubenBossSingleIsRefresh	Event refreshed
20003048	FubenBossSingleChallengeCountNotEnough	Insufficient attempts
20003049	FubenBossSingleCharacterPointsNotEnough	Insufficient Stamina of Construct
20003050	FubenBossSingleGetBossSingleDataLevelTypeIllegal	Invalid type of level
20003051	FubenBossBossStageListNotFound	Stage list does not exist
20003052	FubenBossSingleScoreRewardIsNotExist	Reward has been claimed
20003053	FubenBossSingleScoreRewardIsGot	Reward Claimed
20003054	FubenBossSingleScoreRewardTypeError	Type of claimed reward error
20003055	FubenBossSingleScoreIsNotEnough	Current points are insufficient to claim reward
20003056	FubenBossSingleHistoryIsNotExist	History not found
20003057	FubenBossSingleStageCanNotAutoFight	Auto Clear cannot be used in this stage
20003058	FubenBossSingleStageIsNotExist	Stage does not exist
20003059	FubenBossSingleSaveScoreIllegality	You cannot save more than once
20003060	FubenBossSingleAutoFightCountNotEnough	Insufficient attempts
20003061	FubenBossSingleCurScoreIsBigThanHistory	The progress of Auto Clear is lower than the current progress
20003062	FubenBossSingleHideStageNotOpen	Hidden stage is not yet available
20003063	FubenBossSingleIsAutoFighting	Auto Clearing
20003064	FubenBossSingleAlreadySelectLevelType	Difficulty already selected
20003065	FubenBossSingleLevelIdNotExist	Difficulty ID does not exist
20003066	FubenBossSingleLevelTypeBossNotExist	There is no Boss under this difficulty
20003067	FubenBossSinglePreLevelTypeNotSatisfy	Difficulty selection requirement not met
20003068	FubenBossSingleMaxScoreNotEnough	You don't have enough Max Points
20003069	FubenBossSingleLevelTypeNotSelect	Select a difficulty first
20003070	FubenBossOnlineSectionNotFound	Chapter info not found
20003071	FubenBossOnlineNotInTime	
20003072	FubenMainLinePassTimesNotEnough	Insufficient Main Story attempts
20003073	FubenMainLineChapterIsNotExist	Chapter does not exist
20003074	FubenMainLineActivityHideChapterNotOpen	Hidden chapter event not yet available
20003075	FubenPrequelStageNotPass	Stage not yet cleared
20003076	FubenPrequelStageRewardAlready	Rank reward claimed
20003077	FubenPrequelStageIdError	Invalid Side Story stage
20003078	FubenPrequelCoverIdError	Invalid Side Story cover ID
20003079	FubenPrequelChallengeIdError	Invalid Side Story ID
20003080	FubenPrequelChallengeLock	Side Story has not been unlocked yet
20003081	FubenPrequelChallengeUnlockAlready	Side Story has been unlocked
20003082	FubenPrequelChallengeCountLimit	Insufficient attempts
20003083	FubenPrequelChapterNotFind	Mission does not exist
20003084	FubenManagerAutoFightStageNotExist	Mission does not exist
20003085	FubenManagerAutoFightStageInvalid	Invalid Side Story
20003086	FubenManagerAutoFightHaventPassed	Side Story has not been cleared yet
20003087	FubenManagerAutoFightPoolIsFull	Number of teams has reached the limit
20003088	FubenManagerAutoFightAlreadyRunning	Auto Clearing
20003089	FubenManagerAutoFightNotEnoughTimes	Insufficient attempts left
20003090	FubenManagerAutoFightNotEnoughActionPoint	Insufficient Stamina
20003091	FubenManagerAutoFightIndexInvalid	Invalid Auto Clear number
20003092	FubenManagerAutoFightStageNotMatch	Auto Clear quest mismatched
20003093	FubenManagerAutoFightNotComplete	Auto Clear not completed
20003094	FubenManagerTrialIdIsNotFound	Trial Mission does not exist
20003095	FubenManagerTrialPreIdIsNotPass	Complete the previous stage first
20003096	FubenManagerTrialIdIsNotPass	Complete the prerequisite stage first
20003097	FubenManagerTrialPassRewardAlreadyGet	Complete the stage first
20003098	FubenManagerTrialTypeRewardIsNotExit	Reward does not exist
20003099	FubenManagerTrialTypeRewardAlreadyGet	Reward Claimed
20003100	FubenManagerTrialTypeRewardIsNotFinish	Stage not completed
20003101	FubenManagerDailyChapterNotFound	Daily quest chapter not found
20003102	FubenManagerDailySectionNotFound	Daily quest not found
20003103	FubenManagerDailyConditionInvalid	Invalid daily quest requirement
20003104	FubenManagerDailyTimeNotFit	Not open yet
20003105	FubenManagerAutoFightTimesError	Auto Clear attempts error
20003106	FubenManagerBossSingleResetCanNotSaveScore	Unable to save as the rules have been refreshed
20003107	FubenManagerBossSingleDataIsRefresh	Side Story data has been refreshed, please reload the page.
20003108	FubenManagerStartFightIntervalFast	You cannot challenge the quest yet
20003109	FubenAssignChapterNotFound	Chapter info configuration error
20003110	FubenAssignGroupNotFound	Stage info configuration error
20003111	FubenAssignTeamInfoNotFound	Team info configuration error
20003112	FubenAssignGroupFightCountLimit	You have used all challenge attempts
20003113	FubenAssignGroupTeamNotSet	Team not configured. Unable to battle
20003114	FubenAssignFightCardCountError	Battle member number error. Unable to battle
20003115	FubenAssignFightCardNotInTeam	Border Pact character not in team
20003116	FubenAssignFightGroupIdNotMatch	Border Pact stage group does not match
20003117	FubenAssignFightStageAlreadyFinish	Border Pact stage completed
20003118	FubenAssignFightPreStageNotFinish	Border Pact prerequisite stage incomplete
20003119	FubenAssignWinStageNotMatch	Border Pact victory stage does not match
20003120	FubenAssignWinGroupIdNotMatch	Border Pact victory stage group does not match
20003121	FubenAssignGroupTeamListNotFound	Team list does not exist. Unable to battle
20003122	FubenAssignPreGroupNotFinish	You have not completed the previous chapter yet
20003123	FubenAssignTeamListIsEmpty	Team empty. Unable to battle
20003124	FubenAssignTeamCountError	Team number does not match the requirement. Unable to battle
20003125	FubenAssignTeamIsEmpty	Insufficient members in team. Unable to battle
20003126	FubenAssignTeamMemberCountLimit	Team size does not match the requirement. Unable to battle
20003127	FubenAssignTeamMemberRepeated	Duplicated team member. Unable to battle
20003128	FubenAssignChapterNotFinish	Chapter not completed
20003129	FubenAssignChapterUseSameCharacter	Character already assigned to stationing
20003130	FubenAssignChapterCharacterAlreadyUse	Character already stationing in another area
20003131	FubenAssignChapterRewardAlreadyGet	Chapter reward claimed
20003132	FubenManagerFightRestartFightIdNotMatch	Battle restart ID not matching
20003133	FubenManagerFightRestartPreFightDataNotMatch	Battle restart data mismatch
20003134	FubenBfrtChapterNotOpen	Stronghold chapter not yet available
20003135	FubenBfrtTeamSetCharacterRepeat	Repeated character in team
20003136	FubenManagerStageConfigNotExist	Stage settings not found
20003137	FubenFightNpcIsNullOrEmpty	Character deployed cannot be empty
20003138	FubenRepeatedCharacter	Cannot deploy the same character again
20003139	FubenActivityReset	Event has been reset
20003140	FubenBossSingleIsNotTrialStage	20003137 Stage is not a trial stage
20003141	FubenStageCharacterNpcIdCfgNotExit	20003139 Character NPC ID configuration matching the stage type not found
20004001	TeamManagerGetTeamIdFail	Failed to obtain team ID
20004002	TeamManagerPrefabExceedMax	Team default settings have reached the limit
20004003	TeamManagerSetTeamParaError	Team preset quantity error
20004004	TeamManagerPrefabCharacterTypeNotSame	Different preset character type
20004005	TeamManagerCanNotFindThePrefabTeam	20004005 Cannot find preset team
20004006	TeamManagerCharacterIsEmptyCanNotCarryPartner	20004006 No character in position. Cannot carry CUB
20004007	TeamManagerThisTeamPosIsNotExist	20004007 Position does not exist.
20004008	TeamManagerPrefabPartnerSkillIsEmpty	20004006 CUB preset skill cannot be empty
20004009	TeamManagerPrePartnerIsEmptyCanNotCarrySkill	20004008 CUB preset is empty. Cannot set skill
20007001	FightProxyManagerEnterIsExist	The player is already in another battle
20007002	FightProxyManagerGetFightProxyFail	Failed to obtain battle proxy
20007003	FightProxyManagerGetFightProxyForPlayerFail	Failed to obtain battle proxy (player)
20007004	FightProxyManagerPlayerIdRepeat	Failed to obtain battle proxy (player)
20007005	FightProxyManagerFightProxyNotFound	Failed to obtain battle proxy (player)
20008001	FightProxyDoOperationNotRunning	Battle is not in progress
20008002	FightProxyIsRunningFail	Battle is in progress
20008003	FightProxyFightCompleteNotInFight	Battle has not ended yet
20008004	FightProxyLoadCompleteFail	Battle is not loading
20008005	FightProxyGetFightDataPlayerIdNotFound	Failed to obtain battle proxy and player info
20008006	FightProxyDoOperationPlayerIdNotFound	Battle control error
20008007	FightProxyLoadTimeout	Server loading timeout
20008008	FightProxyFightTimeout	Battle server timeout
20008009	FightProxySettleTimeout	Battle result timeout
20008010	FightProxyJoinFightPlayerNotFound	Online player not found
20008011	FightProxyGetFightPlayerNotFound	Failed to obtain player info
20008012	FightProxyInvalidPlayerId	
20008013	FightProxyInvalidToken	
20008014	FightProxyInvalidFightId	
20008015	FightProxyFightAlreadyStart	
20008016	FightProxyFightAlreadyFinish	
20008017	FightProxyInvalidFrameIndex	
20008018	FightProxyRepeatJoin	
20009001	CharacterManagerGetCharacterTemplateNotFound	Failed to obtain Construct template
20009002	CharacterManagerGetLevelUpTemplateNotFound	Failed to obtain Construct upgrade template
20009003	CharacterManagerGetGradeTemplateNotFound	Failed to obtain Construct Overclock template
20009004	CharacterManagerGetQualityFragmentTemplateNotFound	Failed to obtain Construct class Shard template
20009005	CharacterManagerGetQualityTemplateNotFound	Failed to obtain Construct class template
20009006	CharacterManagerGetSkillUpgradeTemplateNotFound	Failed to obtain skill upgrade info
20009007	CharacterManagerGetSkillTemplateNotFound	Failed to obtain Construct skill template
20009008	CharacterManagerSkillNotFound	Skill not found
20009009	CharacterManagerGetStarUseCountParamsError	Parameter error in obtaining evolution material
20009010	CharacterManagerGetStarUseCountStarError	Evolution material error
20009011	CharacterManagerGetCharacterByIdNotFound	Construct not found
20009012	CharacterManagerCreateCharacterFail	Failed to create Construct
20009013	CharacterManagerNewCharacterDataIsNil	Construct data not found
20009014	CharacterManagerLevelUpMaxLevel	Character level is capped
20009015	CharacterManagerAddStarFail	Failed to increase star
20009016	CharacterManagerMaxQuality	Construct class cap reached
20009017	CharacterManagerActivateStarMaxStar	Already evolved to the highest level
20009018	CharacterManagerPromoteQualityStarNotEnough	Evolution requirement not met
20009019	CharacterManagerMaxGrade	Construct refit cap reached
20009020	CharacterManagerExchangeCharacterAlreadyOwn	You own this Construct already
20009021	CharacterManagerGetCharacterDataNotFound	Construct data not found
20009022	CharacterManagerCreateCharacterAlreadyExist	Construct already exists
20009023	CharacterManagerInformationNotFound	Data not found
20009024	CharacterManagerRewardNotFound	Reward does not exist
20009025	CharacterManagerStoryNotFound	Story does not exist
20009026	CharacterManagerStrangeNewsNotFound	Episode does not exist
20009027	CharacterManagerVoiceNotFound	Voice does not exist
20009028	CharacterManagerTrustLvNotEnough	Insufficient Affection level
20009029	CharacterManagerInformationAlreadyUnlock	Data has been unlocked
20009030	CharacterManagerStoryAlreadyUnlock	Story has been unlocked
20009031	CharacterManagerStrangeNewsAlreadyUnlock	Episode has been unlocked
20009032	CharacterManagerStrangeNewsCanNotUnlock	Unlock requirement not met
20009033	CharacterManagerVoiceAlreadyUnlock	Voice has been unlocked
20009034	CharacterManagerRewardAlreadyUnlock	Reward has been obtained
20009035	CharacterManagerRewardCanNotUnlock	Obtain requirement not met
20009036	CharacterManagerTrustItemNotFound	Item does not exist
20009037	CharacterManagerSendGiftParaError	Request parameter error
20009038	CharacterManagerTrustLevelExpNotFound	Affection level error
20009039	CharacterManagerTrustGameNotCount	Insufficient attempts
20009040	CharacterManagerTrustGameIdNotFound	Game error
20009041	CharacterManagerTrustGameRewardNotFound	Reward does not exist
20009042	CharacterManagerTrustGameFinishNumError	Parameter error
20009043	CharacterManagerTrustGameResultIllegal	Control error
20009044	CharacterMinSkillLevelNotFound	Lowest skill level of Construct not found
20009045	CharacterMaxSkillLevelNotFound	Highest skill level of Construct not found
20009046	CharacterUnlockSkillNotNeed	No need to unlock Construct skill
20009047	CharacterSkillUnlocked	Construct skill has been unlocked
20009048	CharacterSkillIsNotFoundOrLock	Construct skill does not exist or is not unlocked yet
20009049	CharacterSkillLevelIsMax	Highest level already
20009050	CharacterSkillPoolTemplateNotFound	Construct skill settings not found
20009051	CharacterSkillPoolIsEmpty	No skill is equipped
20009052	CharacterSkillLevelEffectTemplateNotFound	Construct skill level effects not found
20009053	CharacterExtraDataNotFound	Affection data not found
20009054	CharacterSkillSwitchIsSame	The switched skill is the same as your current skill
20009055	CharacterGatherRewardHadGet	Reward has been claimed
20009056	CharacterPreGatherRewardIsNotGet	Reward of the previous stage not claimed
20009057	CharacterManagerTrustLevelIsMax	Max Affection reached
20009058	CharacterSpecialSkillLevelNotEnough	Uniframe Skill does not meet the prerequisite level
20010001	FashionManagerGetFashionNotFound	Coating not found
20010002	FashionIsUnOwned	You do not own this coating
20010003	FashionIsLock	This coating has not been unlocked yet
20010004	FashionIsUnLock	This coating has been unlocked
20010005	FashionCharacterDoNotMatch	Coating character does not match
20012001	ItemManagerGetItemTableFailed	Failed to obtain item list
20012002	ItemManagerGetItemNotFound	Target item not found
20012003	ItemManagerCheckIdValidFail	Item ID does not exist
20012004	ItemCountNotEnough	Insufficient items
20012005	ItemCapacityNotEnough	Insufficient item space
20012006	ItemAlreadyOwned	Item already exists
20012007	ItemManagerGetBuyAssetTableFail	Failed to obtain purchase list
20012008	ItemManagerBuyAssetMaxTimes	Purchase amount has reached the limit.
20012009	ItemNotFound	Item does not exist
20012010	ItemSellCountError	Amount of sold items error
20012011	ItemSellFragmentLimit	You cannot sell the Shard
20012012	ItemCannotSell	Item cannot be sold
20012013	ItemCannotBuy	Item cannot be purchased
20012014	ItemCannotConvertCharacterExp	Item cannot be converted into Construct EXP
20012015	ItemCannotConvertFurnitureConfig	Item cannot be converted into Decor Blueprint
20012016	ItemCannotUse	Item cannot be used
20012017	ItemNotEffect	Item is not available yet
20012018	ItemAlreadyInvalid	Item has expired
20012019	ItemUseGiftSelectRewardIsEmpty	No reward can be selected
20012020	ItemUseGiftSelectRewardAboveLimit	Selected rewards have exceeded the limit
20012021	ItemUseGiftSelectRewardNotExist	No reward can be selected
20012022	ItemCreateError	Failed to obtain item
20012023	ItemCountException	Failed to create item
20012024	ItemBatchCountNotEnough	Insufficient items
20012025	ItemBatchNotFound	Item has expired
20012026	ItemUseMultipleRewardTypeError	Reward type error
20012027	ItemCannotConvertEquipExp	Item cannot be converted into equipment EXP
20012028	ItemEquipExpUseEquipTypeError	Equipment type error
20012029	ItemManagerBuyAssetNotAllowConsumeId	Consumable cannot be converted
20012030	ItemCannotConvertPartnerExp	This item cannot be converted into companion EXP
20012031	ItemManagerBuyAssetNotInTime	Outside the purchase period
20012032	ItemManagerBuyAssetMaxTotalTimes	Purchase limit reached
20014001	ArrangeManagerCalTypeFail	Invalid ID, unable to identify the type.
20017001	DropManagerGetDropGoodsFail	Failed to obtain dropped item
20017002	DropManagerGetDropBottomTableListFail	Failed to obtain guarantee drop list
20017003	DropManagerDropItemFailed	Failed to drop item
20017004	DropManagerGetDropTableFail	Failed to obtain drop list
20017005	DropManagerGetDropGroupTableFail	Failed to obtain drop group list
20017006	DropManagerGetDropSetTableFail	Failed to obtain cluster list
20018001	DrawManagerGetDrawGroupInfoNotFound	Research set info does not exist
20018002	DrawManagerGetDrawInfoNotFound	Research info does not exist
20018003	DrawManagerDrawCountError	Number of Researches error
20018004	DrawManagerTodayTimesUseUp	Daily Research attempts have been expended
20018005	DrawManagerTodayRemainTimesNotEnough	Insufficient daily Research attempts
20018006	DrawManagerActivityTimesUseUp	Event Research attempts have been expended
20018007	DrawManagerActivityRemainTimesNotEnough	Insufficient event Research attempts
20018008	DrawManagerNotOptionalDrawId	Research ID is unable to select
20018009	DrawManagerNotInValidTime	Expired
20018010	DrawManagerDrawInfoNotFound	Research info not found
20018011	DrawManagerDrawInfoAlreadyExist	Research info already exists
20018012	DrawManagerDrawGroupInfoNotFound	Research set info not found
20018013	DrawManagerDrawGroupAlreadyExist	Research set info already exists
20018014	DrawManagerDrawGroupOptionalListIsEmpty	Research set info already exists
20018015	DrawManagerSetDrawIdCountLimit	20018015 This event can not be replaced again
20018016	DrawManagerDrawIdDoNotMatch	20018016 Card drawing and the ID do not match
20018017	DrawManagerDrawTicketCanOnlyBeUseSingle	Free R&D Tickets can only be used to perform 1 pull
20018018	DrawManagerExistDrawTicketNotUse	Unused free R&D Ticket(s)
20018019	DrawManagerDrawTicketAlreadyExpire	Free R&D Ticket expired
20018020	DrawManagerDrawTicketTimesNotEnough	Insufficient free R&D Tickets
20018021	DrawManagerDrawTicketHaveNotOwn	Free R&D Ticket not owned
20018022	DrawManagerDrawTicketConfigNotExist	Free R&D Ticket configuration does not exist
20018023	DrawManagerDrawTicketGroupIdNotMatch	Free R&D Tickets used to draw cards do not match the card pool
20019001	GuideManagerGetGuideGroupTableNotFound	Research set info not found
20019002	GuideManagerGetGuideCompleteTableNotFound	Unable to obtain guide completion list
20019003	GuideManagerCompleteGuideErrorAlreadyCompleted	Guide error, it has been completed already.
20019004	GuideManagerCompleteGuideErrorNotNeedReq	Guide error, no need to retry.
20019005	GuildManagerGuildGroupIdNotFound	Guide group ID does not exist
20020001	RewardManagerGetRewardTableFail	Failed to obtain reward list
20020002	RewardManagerCreateRewardGoodsTypeNotSupport	Invalid type of reward
20020003	RewardManagerGetRewardGoodsNotFound	Reward item not found
20020004	RewardMedalGoodParamIsNull	20020004 Badge reward parameter is empty
20020005	RewardMedalGoodParamIsZero	20020005 Badge reward parameter is zero
20020006	RewardMedalGoodNotFound	20020006 Badge Reward ID not found on the Badge List
20021001	EquipTemplateNotFound	Failed to obtain equipment info
20021002	EquipBreakthroughTemplateNotFound	Unable to obtain equipment Overclock info
20021003	EquipManagerGetLevelUpTemplateNotFound	Failed to obtain equipment upgrade template
20021004	EquipManagerGetEquipNotFound	Add the cost first
20021005	EquipManagerNewEquipFail	Failed to create equipment
20021006	EquipManagerLevelUpMaxLevel	Equipment cap reached
20021007	EquipManagerLevelUpLevelLimit	Equipment level limit
20021008	EquipManagerAddBreakthroughFail	Overclock of the equipment failed
20021009	EquipManagerBreakthroughOverstep	Overclock of the equipment exceeds the limit
20021010	EquipManagerBreakthroughMaxBreakthrough	Overclock of the equipment is capped
20021011	EquipManagerBreakthroughLevelNotEnough	Level of the equipment is insufficient for Overclock
20021012	EquipManagerGetCharEquipBySiteNotFound	Equipment not found
20021013	EquipManagerPutOnRepeat	Equipped already
20021014	EquipManagerPutOnSiteError	Invalid grid to equip
20021015	EquipManagerPutOnTypeError	Invalid type to equip
20021016	EquipManagerPutOnCharacterTypeError	Coating Character and Type do not match
20021017	EquipManagerTakeOffNotBeenWorn	Equipment not yet equipped
20021018	EquipManagerTakeOffCanNotTakeOff	Equipment cannot be unequipped
20021019	EquipManagerDecomposeDoNot	Cannot recycle equipment in use
20021020	EquipManagerDecomposeConfigNot	No corresponding term for the recycle list
20021021	EquipWeaponCapacityNotEnough	Insufficient weapon space
20021022	EquipChipCapacityNotEnough	Insufficient Memory space
20021023	EquipSuitTemplateNotFound	Failed to access equipment set configuration
20021024	EquipSuitEffectTemplateNotFound	Failed to access equipment set effect configuration
20021025	EquipIsLocked	Lock Equipment
20021026	EquipIsUnLock	Unlock Equipment
20021027	EquipCanNotPutOnByThisCharacter	Cannot be worn by this character
20021028	EquipGetEatCostCoinNotFound	Failed to access the Cog cost of equipment upgrade
20021029	EquipLevelUpUseMaterialsIsEmpty	Consumed material empty
20021030	EquipEatUseRepeatEquip	Consumed equipment ID duplicate
20021031	EquipResonanceCanNotUseSelf	Cannot consume this equipment
20021032	EquipResonanceCharacterNotOwned	You do not own any character with Resonance
20021033	EquipResonanceUnconfirmedInfoUntreated	Resonance info not confirmed
20021034	EquipResonanceUseEquipTypeNotSame	Resonance cost type mismatch
20021035	EquipResonanceWeaponStarNotSame	Resonance cost rank mismatch
20021036	EquipResonanceChipSuitIsNotSame	Resonance cost set ID mismatch
20021037	EquipResonanceTemplateNotFound	Resonance configuration not found
20021038	EquipResonanceUseItemTemplateNotFound	Item used for Resonance not found
20021039	EquipResonanceCanNotUseThisItem	Item cannot be used for Resonance
20021040	EquipWeaponSkillTemplateNotFound	Weapon skill configuration not found
20021041	EquipSkillPoolIsEmpty	No skill is equipped
20021042	EquipResonanceSlotConfigIsEmpty	Resonance slot empty
20021043	EquipResonanceConfigError	Resonance configuration error
20021044	EquipResonanceConfirmInfoIsEmpty	Resonance confirmation info empty
20021045	EquipLevelUpCanNotEatSelf	Cannot upgrade the weapon with itself
20021046	EquipResonanceNeedSelectCharacter	Select a character to resonate
20021047	EquipDecomposeListIsEmpty	Recycle list empty
20021048	EquipSuitNotFound	Cannot obtain Memory info
20021049	EquipSuitCanNotTransform	Memory set can no longer be refit
20021050	EquipSuitSiteError	Memory set grid error
20021051	EquipTransformChipUseEquipCountError	Equipped item number error
20021052	EquipTransformChipUseEquipSuitError	Wrong place to equip
20021053	EquipSuitSiteConfigNotFound	An error occurred while accessing the info of this Memory set
20021054	EquipResonancePoolIsEmpty	No Resonance equipped
20021055	EquipResonanceWeaponSkillPoolIsEmpty	No weapon Resonance skill equipped
20021056	EquipResonanceCharacterSkillPoolIsEmpty	No character Resonance skill equipped
20021057	EquipResonanceAttribGroupPoolIsEmpty	Resonance stats empty
20021058	EquipChipGroupCountLimit	Memory Set amount exceeded the limit
20021059	EquipChipGroupNameTooLong	Memory Set name too long
20021060	EquipChipGroupNameInvalid	Invalid Memory Set name
20021061	EquipChipGroupEquipSiteError	Invalid Memory set type
20021062	EquipChipGroupSiteRepeated	Duplicate grid in the Memory set
20021063	EquipChipGroupNotFound	Memory set not found
20021064	EquipAwakeTemplateNotFound	Awaken configuration not found
