Id	CharacterId	TrustLv	Exp	Name	PlayId
92	1031003	4	1200	Respect	1001
93	1031003	5	2000	Friendship	1001
94	1031003	6	2300	Fondness	1001
95	1031003	7	2800	Affection	1001
96	1031003	8	0	Love	1001
97	1061003	1	100	Stranger	1001
98	1061003	2	300	Acquaintance	1001
99	1061003	3	600	Familiar	1001
100	1061003	4	1200	Respect	1001
101	1061003	5	2000	Friendship	1001
102	1061003	6	2300	Fondness	1001
103	1061003	7	2800	Affection	1001
104	1061003	8	0	Love	1001
105	1011003	1	100	Stranger	1001
106	1011003	2	300	Acquaintance	1001
107	1011003	3	600	Familiar	1001
108	1011003	4	1200	Respect	1001
109	1011003	5	2000	Friendship	1001
110	1011003	6	2300	Fondness	1001
111	1011003	7	2800	Affection	1001
112	1011003	8	0	Love	1001
113	1051003	1	100	Stranger	1001
114	1051003	2	300	Acquaintance	1001
115	1051003	3	600	Familiar	1001
116	1051003	4	1200	Respect	1001
117	1051003	5	2000	Friendship	1001
118	1051003	6	2300	Fondness	1001
119	1051003	7	2800	Affection	1001
120	1051003	8	0	Love	1001
121	1021003	1	100	Stranger	1001
122	1021003	2	300	Acquaintance	1001
123	1021003	3	600	Familiar	1001
124	1021003	4	1200	Respect	1001
125	1021003	5	2000	Friendship	1001
126	1021003	6	2300	Fondness	1001
127	1021003	7	2800	Affection	1001
128	1021003	8	0	Love	1001
129	1081003	1	100	Stranger	1001
130	1081003	2	300	Acquaintance	1001
131	1081003	3	600	Familiar	1001
132	1081003	4	1200	Respect	1001
133	1081003	5	2000	Friendship	1001
134	1081003	6	2300	Fondness	1001
135	1081003	7	2800	Affection	1001
136	1081003	8	0	Love	1001
137	1091002	1	100	Stranger	1001
138	1091002	2	300	Acquaintance	1001
139	1091002	3	600	Familiar	1001
140	1091002	4	1200	Respect	1001
141	1091002	5	2000	Friendship	1001
142	1091002	6	2300	Fondness	1001
143	1091002	7	2800	Affection	1001
144	1091002	8	0	Love	1001
145	1041003	1	100	Stranger	1001
146	1041003	2	300	Acquaintance	1001
147	1041003	3	600	Familiar	1001
148	1041003	4	1200	Respect	1001
149	1041003	5	2000	Friendship	1001
150	1041003	6	2300	Fondness	1001
151	1041003	7	2800	Affection	1001
152	1041003	8	0	Love	1001
153	1111002	1	100	Stranger	1001
154	1111002	2	300	Acquaintance	1001
155	1111002	3	600	Familiar	1001
156	1111002	4	1200	Respect	1001
157	1111002	5	2000	Friendship	1001
158	1111002	6	2300	Fondness	1001
159	1111002	7	2800	Affection	1001
160	1111002	8	0	Love	1001
161	1121002	1	100	Stranger	1001
162	1121002	2	300	Acquaintance	1001
163	1121002	3	600	Familiar	1001
164	1121002	4	1200	Respect	1001
165	1121002	5	2000	Friendship	1001
166	1121002	6	2300	Fondness	1001
167	1121002	7	2800	Affection	1001
168	1121002	8	0	Love	1001
169	1021004	1	100	Stranger	1001
170	1021004	2	300	Acquaintance	1001
171	1021004	3	600	Familiar	1001
172	1021004	4	1200	Respect	1001
173	1021004	5	2000	Friendship	1001
174	1021004	6	2300	Fondness	1001
175	1021004	7	2800	Affection	1001
176	1021004	8	0	Love	1001
177	1131002	1	100	Stranger	1001
178	1131002	2	300	Acquaintance	1001
179	1131002	3	600	Familiar	1001
180	1131002	4	1200	Respect	1001
181	1131002	5	2000	Friendship	1001
182	1131002	6	2300	Fondness	1001
183	1131002	7	2800	Affection	1001
184	1131002	8	0	Love	1001
185	1511003	1	100	Stranger	1001
186	1511003	2	300	Acquaintance	1001
187	1511003	3	600	Familiar	1001
188	1511003	4	1200	Respect	1001
189	1511003	5	2000	Friendship	1001
190	1511003	6	2300	Fondness	1001
191	1511003	7	2800	Affection	1001
192	1511003	8	0	Love	1001
193	1141003	1	100	Stranger	1001
194	1141003	2	300	Acquaintance	1001
195	1141003	3	600	Familiar	1001
196	1141003	4	1200	Respect	1001
197	1141003	5	2000	Friendship	1001
198	1141003	6	2300	Fondness	1001
199	1141003	7	2800	Affection	1001
200	1141003	8	0	Love	1001
201	1521003	1	100	Stranger	1001
202	1521003	2	300	Acquaintance	1001
203	1521003	3	600	Familiar	1001
204	1521003	4	1200	Respect	1001
205	1521003	5	2000	Friendship	1001
206	1521003	6	2300	Fondness	1001
207	1521003	7	2800	Affection	1001
208	1521003	8	0	Love	1001
209	1161002	1	100	Stranger	1001
210	1161002	2	300	Acquaintance	1001
211	1161002	3	600	Familiar	1001
212	1161002	4	1200	Respect	1001
213	1161002	5	2000	Friendship	1001
214	1161002	6	2300	Fondness	1001
215	1161002	7	2800	Affection	1001
216	1161002	8	0	Love	1001
217	1171003	1	100	Stranger	1001
218	1171003	2	300	Acquaintance	1001
219	1171003	3	600	Familiar	1001
220	1171003	4	1200	Respect	1001
221	1171003	5	2000	Friendship	1001
222	1171003	6	2300	Fondness	1001
223	1171003	7	2800	Affection	1001
224	1171003	8	0	Love	1001
225	1181003	1	100	Stranger	1001
226	1181003	2	300	Acquaintance	1001
227	1181003	3	600	Familiar	1001
228	1181003	4	1200	Respect	1001
229	1181003	5	2000	Friendship	1001
230	1181003	6	2300	Fondness	1001
231	1181003	7	2800	Affection	1001
232	1181003	8	0	Love	1001
233	1191003	1	100	Stranger	1001
234	1191003	2	300	Acquaintance	1001
235	1191003	3	600	Familiar	1001
236	1191003	4	1200	Respect	1001
237	1191003	5	2000	Friendship	1001
238	1191003	6	2300	Fondness	1001
239	1191003	7	2800	Affection	1001
240	1191003	8	0	Love	1001
241	1201003	1	100	Stranger	1001
242	1201003	2	300	Acquaintance	1001
243	1201003	3	600	Familiar	1001
244	1201003	4	1200	Respect	1001
245	1201003	5	2000	Friendship	1001
246	1201003	6	2300	Fondness	1001
247	1201003	7	2800	Affection	1001
248	1201003	8	0	Love	1001
249	1211002	1	100	Stranger	1001
250	1211002	2	300	Acquaintance	1001
251	1211002	3	600	Familiar	1001
252	1211002	4	1200	Respect	1001
253	1211002	5	2000	Friendship	1001
254	1211002	6	2300	Fondness	1001
255	1211002	7	2800	Affection	1001
256	1211002	8	0	Love	1001
257	1531003	1	100	Stranger	1001
258	1531003	2	300	Acquaintance	1001
259	1531003	3	600	Familiar	1001
260	1531003	4	1200	Respect	1001
261	1531003	5	2000	Friendship	1001
262	1531003	6	2300	Fondness	1001
263	1531003	7	2800	Affection	1001
264	1531003	8	0	Love	1001
265	1121003	1	100	Stranger	1001
266	1121003	2	300	Acquaintance	1001
267	1121003	3	600	Familiar	1001
268	1121003	4	1200	Respect	1001
269	1121003	5	2000	Friendship	1001
270	1121003	6	2300	Fondness	1001
271	1121003	7	2800	Affection	1001
272	1121003	8	0	Love	1001
273	1221002	1	100	Stranger	1001
274	1221002	2	300	Acquaintance	1001
275	1221002	3	600	Familiar	1001
276	1221002	4	1200	Respect	1001
277	1221002	5	2000	Friendship	1001
278	1221002	6	2300	Fondness	1001
279	1221002	7	2800	Affection	1001
280	1221002	8	0	Love	1001
281	1131003	1	100	Stranger	1001
282	1131003	2	300	Acquaintance	1001
283	1131003	3	600	Familiar	1001
284	1131003	4	1200	Respect	1001
285	1131003	5	2000	Friendship	1001
286	1131003	6	2300	Fondness	1001
287	1131003	7	2800	Affection	1001
288	1131003	8	0	Love	1001
289	1541003	1	100	Stranger	1001
290	1541003	2	300	Acquaintance	1001
291	1541003	3	600	Familiar	1001
292	1541003	4	1200	Respect	1001
293	1541003	5	2000	Friendship	1001
294	1541003	6	2300	Fondness	1001
295	1541003	7	2800	Affection	1001
296	1541003	8	0	Love	1001
297	1031004	1	100	Stranger	1001
298	1031004	2	300	Acquaintance	1001
299	1031004	3	600	Familiar	1001
300	1031004	4	1200	Respect	1001
301	1031004	5	2000	Friendship	1001
302	1031004	6	2300	Fondness	1001
303	1031004	7	2800	Affection	1001
304	1031004	8	0	Love	1001
305	1531004	1	100	Stranger	1001
306	1531004	2	300	Acquaintance	1001
307	1531004	3	600	Familiar	1001
308	1531004	4	1200	Respect	1001
309	1531004	5	2000	Friendship	1001
310	1531004	6	2300	Fondness	1001
311	1531004	7	2800	Affection	1001
312	1531004	8	0	Love	1001
313	1551003	1	100	Stranger	1001
314	1551003	2	300	Acquaintance	1001
315	1551003	3	600	Familiar	1001
316	1551003	4	1200	Respect	1001
317	1551003	5	2000	Friendship	1001
318	1551003	6	2300	Fondness	1001
319	1551003	7	2800	Affection	1001
320	1551003	8	0	Love	1001
321	1051004	1	100	Stranger	1001
322	1051004	2	300	Acquaintance	1001
323	1051004	3	600	Familiar	1001
324	1051004	4	1200	Respect	1001
325	1051004	5	2000	Friendship	1001
326	1051004	6	2300	Fondness	1001
327	1051004	7	2800	Affection	1001
328	1051004	8	0	Love	1001
329	1561003	1	100	Stranger	1001
330	1561003	2	300	Acquaintance	1001
331	1561003	3	600	Familiar	1001
332	1561003	4	1200	Respect	1001
333	1561003	5	2000	Friendship	1001
334	1561003	6	2300	Fondness	1001
335	1561003	7	2800	Affection	1001
336	1561003	8	0	Love	1001
337	1071004	1	100	Stranger	1001
338	1071004	2	300	Acquaintance	1001
339	1071004	3	600	Familiar	1001
340	1071004	4	1200	Respect	1001
341	1071004	5	2000	Friendship	1001
342	1071004	6	2300	Fondness	1001
343	1071004	7	2800	Affection	1001
344	1071004	8	0	Love	1001
345	1571003	1	100	Stranger	1001
346	1571003	2	300	Acquaintance	1001
347	1571003	3	600	Familiar	1001
348	1571003	4	1200	Respect	1001
349	1571003	5	2000	Friendship	1001
350	1571003	6	2300	Fondness	1001
351	1571003	7	2800	Affection	1001
352	1571003	8	0	Love	1001
353	1041004	1	100	Stranger	1001
354	1041004	2	300	Acquaintance	1001
355	1041004	3	600	Familiar	1001
356	1041004	4	1200	Respect	1001
357	1041004	5	2000	Friendship	1001
358	1041004	6	2300	Fondness	1001
359	1041004	7	2800	Affection	1001
360	1041004	8	0	Love	1001
361	1231002	1	100	Stranger	1001
362	1231002	2	300	Acquaintance	1001
363	1231002	3	600	Familiar	1001
364	1231002	4	1200	Respect	1001
365	1231002	5	2000	Friendship	1001
366	1231002	6	2300	Fondness	1001
367	1231002	7	2800	Affection	1001
368	1231002	8	0	Love	1001
