Id	Name	IndexInMap	TalentIcon	PrefabPath	Descriptions[1]	Descriptions[2]	Descriptions[3]	Descriptions[4]	Descriptions[5]	Descriptions[6]	Descriptions[7]	Descriptions[8]	Descriptions[9]	Descriptions[10]	Descriptions[11]
1401	Beacon: Offense-Defense Balance	11	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_014.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn4.prefab	Gain a shield equal to 0% of maximum HP at the start of a Bureau challenge.	Gain a shield equal to 5% of maximum HP at the start of a Bureau challenge.	Gain a shield equal to 10% of maximum HP at the start of a Bureau challenge.	Gain a shield equal to 15% of maximum HP at the start of a Bureau challenge.	Gain a shield equal to 20% of maximum HP at the start of a Bureau challenge.	Gain a shield equal to 25% of maximum HP at the start of a Bureau challenge.	Gain a shield equal to 30% of maximum HP at the start of a Bureau challenge.	Gain a shield equal to 35% of maximum HP at the start of a Bureau challenge.	Gain a shield equal to 40% of maximum HP at the start of a Bureau challenge.	Gain a shield equal to 45% of maximum HP at the start of a Bureau challenge.	Gain a shield equal to 50% of maximum HP at the start of a Bureau challenge.
1402	Beacon: Critical DMG	12	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_012.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn4.prefab	CRIT DMG is increased by 0% in Command Bureau challenges.	CRIT DMG is increased by 1% in Command Bureau challenges.	CRIT DMG is increased by 2% in Command Bureau challenges.	CRIT DMG is increased by 3% in Command Bureau challenges.	CRIT DMG is increased by 4% in Command Bureau challenges.	CRIT DMG is increased by 5% in Command Bureau challenges.	CRIT DMG is increased by 6% in Command Bureau challenges.	CRIT DMG is increased by 7% in Command Bureau challenges.	CRIT DMG is increased by 8% in Command Bureau challenges.	CRIT DMG is increased by 9% in Command Bureau challenges.	CRIT DMG is increased by 10% in Command Bureau challenges.
1501	Beacon: Enhanced Healing	13	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_003.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn2.prefab	Healing effect is increased by 0% in Command Bureau challenges.	Healing effect is increased by 5% in Command Bureau challenges.	Healing effect is increased by 10% in Command Bureau challenges.	Healing effect is increased by 15% in Command Bureau challenges.	Healing effect is increased by 20% in Command Bureau challenges.	Healing effect is increased by 25% in Command Bureau challenges.	Healing effect is increased by 30% in Command Bureau challenges.	Healing effect is increased by 35% in Command Bureau challenges.	Healing effect is increased by 40% in Command Bureau challenges.	Healing effect is increased by 45% in Command Bureau challenges.	Healing effect is increased by 50% in Command Bureau challenges.
1502	Beacon: Energy Storage	14	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_030.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn2.prefab	Starting Energy is increased by 0 in Command Bureau challenges.	Starting Energy is increased by 5 in Command Bureau challenges.	Starting Energy is increased by 10 in Command Bureau challenges.	Starting Energy is increased by 15 in Command Bureau challenges.	Starting Energy is increased by 20 in Command Bureau challenges.	Starting Energy is increased by 25 in Command Bureau challenges.	Starting Energy is increased by 30 in Command Bureau challenges.	Starting Energy is increased by 35 in Command Bureau challenges.	Starting Energy is increased by 40 in Command Bureau challenges.	Starting Energy is increased by 45 in Command Bureau challenges.	Starting Energy is increased by 50 in Command Bureau challenges.
1503	Beacon: Sprint	15	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_032.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn2.prefab	Movement Speed is increased by 0% in Command Bureau challenges.	Movement Speed is increased by 2% in Command Bureau challenges.	Movement Speed is increased by 4% in Command Bureau challenges.	Movement Speed is increased by 6% in Command Bureau challenges.	Movement Speed is increased by 8% in Command Bureau challenges.	Movement Speed is increased by 10% in Command Bureau challenges.	Movement Speed is increased by 12% in Command Bureau challenges.	Movement Speed is increased by 14% in Command Bureau challenges.	Movement Speed is increased by 16% in Command Bureau challenges.	Movement Speed is increased by 18% in Command Bureau challenges.	Movement Speed is increased by 20% in Command Bureau challenges.
1504	Beacon: Dodge Limit	16	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_029.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn2.prefab	Limit of Dodge Gauge is increased by 0 in Command Bureau challenges.	Limit of Dodge Gauge is increased by 40 in Command Bureau challenges.	Limit of Dodge Gauge is increased by 80 in Command Bureau challenges.	Limit of Dodge Gauge is increased by 120 in Command Bureau challenges.	Limit of Dodge Gauge is increased by 160 in Command Bureau challenges.	Limit of Dodge Gauge is increased by 200 in Command Bureau challenges.	Limit of Dodge Gauge is increased by 240 in Command Bureau challenges.	Limit of Dodge Gauge is increased by 280 in Command Bureau challenges.	Limit of Dodge Gauge is increased by 320 in Command Bureau challenges.	Limit of Dodge Gauge is increased by 360 in Command Bureau challenges.	Limit of Dodge Gauge is increased by 400 in Command Bureau challenges.
1601	Beacon: Attacker Invincibility	17	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_004.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	Attacker's DMG Reduction is increased by 0% in Command Bureau challenges.	Attacker's DMG Reduction is increased by 2.5% in Command Bureau challenges.	Attacker's DMG Reduction is increased by 5% in Command Bureau challenges.	Attacker's DMG Reduction is increased by 7.5% in Command Bureau challenges.	Attacker's DMG Reduction is increased by 10% in Command Bureau challenges.	Attacker's DMG Reduction is increased by 12.5% in Command Bureau challenges.	Attacker's DMG Reduction is increased by 15% in Command Bureau challenges.	Attacker's DMG Reduction is increased by 17.5% in Command Bureau challenges.	Attacker's DMG Reduction is increased by 20% in Command Bureau challenges.	Attacker's DMG Reduction is increased by 22.5% in Command Bureau challenges.	Attacker's DMG Reduction is increased by 25% in Command Bureau challenges.
1602	Beacon: Tank Invincibility	18	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_005.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	Tank-type's DMG Reduction is increased by 0% in Command Bureau challenges.	Tank-type's DMG Reduction is increased by 2.5% in Command Bureau challenges.	Tank-type's DMG Reduction is increased by 5% in Command Bureau challenges.	Tank-type's DMG Reduction is increased by 7.5% in Command Bureau challenges.	Tank-type's DMG Reduction is increased by 10% in Command Bureau challenges.	Tank-type's DMG Reduction is increased by 12.5% in Command Bureau challenges.	Tank-type's DMG Reduction is increased by 15% in Command Bureau challenges.	Tank-type's DMG Reduction is increased by 17.5% in Command Bureau challenges.	Tank-type's DMG Reduction is increased by 20% in Command Bureau challenges.	Tank-type's DMG Reduction is increased by 22.5% in Command Bureau challenges.	Tank-type's DMG Reduction is increased by 25% in Command Bureau challenges.
1603	Beacon: Support Invincibility	19	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_006.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	Support-type's DMG Reduction is increased by 0% in Command Bureau challenges.	Support-type's DMG Reduction is increased by 2.5% in Command Bureau challenges.	Support-type's DMG Reduction is increased by 5% in Command Bureau challenges.	Support-type's DMG Reduction is increased by 7.5% in Command Bureau challenges.	Support-type's DMG Reduction is increased by 10% in Command Bureau challenges.	Support-type's DMG Reduction is increased by 12.5% in Command Bureau challenges.	Support-type's DMG Reduction is increased by 15% in Command Bureau challenges.	Support-type's DMG Reduction is increased by 17.5% in Command Bureau challenges.	Support-type's DMG Reduction is increased by 20% in Command Bureau challenges.	Support-type's DMG Reduction is increased by 22.5% in Command Bureau challenges.	Support-type's DMG Reduction is increased by 25% in Command Bureau challenges.
1701	Beacon: Vanguard Invincibility	20	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_031.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	Vanguard-type's DMG Reduction is increased by 0% in Command Bureau challenges.	Vanguard-type's DMG Reduction is increased by 2.5% in Command Bureau challenges.	Vanguard-type's DMG Reduction is increased by 5% in Command Bureau challenges.	Vanguard-type's DMG Reduction is increased by 7.5% in Command Bureau challenges.	Vanguard-type's DMG Reduction is increased by 10% in Command Bureau challenges.	Vanguard-type's DMG Reduction is increased by 12.5% in Command Bureau challenges.	Vanguard-type's DMG Reduction is increased by 15% in Command Bureau challenges.	Vanguard-type's DMG Reduction is increased by 17.5% in Command Bureau challenges.	Vanguard-type's DMG Reduction is increased by 20% in Command Bureau challenges.	Vanguard-type's DMG Reduction is increased by 22.5% in Command Bureau challenges.	Vanguard-type's DMG Reduction is increased by 25% in Command Bureau challenges.
1702	Beacon: Attacker Power	21	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_020.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	Attacker's ATK is increased by 0% in Command Bureau challenges.	Attacker's ATK is increased by 2% in Command Bureau challenges.	Attacker's ATK is increased by 4% in Command Bureau challenges.	Attacker's ATK is increased by 6% in Command Bureau challenges.	Attacker's ATK is increased by 8% in Command Bureau challenges.	Attacker's ATK is increased by 10% in Command Bureau challenges.	Attacker's ATK is increased by 12% in Command Bureau challenges.	Attacker's ATK is increased by 14% in Command Bureau challenges.	Attacker's ATK is increased by 16% in Command Bureau challenges.	Attacker's ATK is increased by 18% in Command Bureau challenges.	Attacker's ATK is increased by 20% in Command Bureau challenges.
1703	Beacon: Tank Power	22	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_021.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	Tank-type's ATK is increased by 0% in Command Bureau challenges.	Tank-type's ATK is increased by 2% in Command Bureau challenges.	Tank-type's ATK is increased by 4% in Command Bureau challenges.	Tank-type's ATK is increased by 6% in Command Bureau challenges.	Tank-type's ATK is increased by 8% in Command Bureau challenges.	Tank-type's ATK is increased by 10% in Command Bureau challenges.	Tank-type's ATK is increased by 12% in Command Bureau challenges.	Tank-type's ATK is increased by 14% in Command Bureau challenges.	Tank-type's ATK is increased by 16% in Command Bureau challenges.	Tank-type's ATK is increased by 18% in Command Bureau challenges.	Tank-type's ATK is increased by 20% in Command Bureau challenges.
1704	Beacon: Support Power	23	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_022.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	Support-type's ATK is increased by 0% in Command Bureau challenges.	Support-type's ATK is increased by 2% in Command Bureau challenges.	Support-type's ATK is increased by 4% in Command Bureau challenges.	Support-type's ATK is increased by 6% in Command Bureau challenges.	Support-type's ATK is increased by 8% in Command Bureau challenges.	Support-type's ATK is increased by 10% in Command Bureau challenges.	Support-type's ATK is increased by 12% in Command Bureau challenges.	Support-type's ATK is increased by 14% in Command Bureau challenges.	Support-type's ATK is increased by 16% in Command Bureau challenges.	Support-type's ATK is increased by 18% in Command Bureau challenges.	Support-type's ATK is increased by 20% in Command Bureau challenges.
1801	Beacon: Vanguard Power	24	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_007.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	Vanguard-type's ATK is increased by 0% in Command Bureau challenges.	Vanguard-type's ATK is increased by 2% in Command Bureau challenges.	Vanguard-type's ATK is increased by 4% in Command Bureau challenges.	Vanguard-type's ATK is increased by 6% in Command Bureau challenges.	Vanguard-type's ATK is increased by 8% in Command Bureau challenges.	Vanguard-type's ATK is increased by 10% in Command Bureau challenges.	Vanguard-type's ATK is increased by 12% in Command Bureau challenges.	Vanguard-type's ATK is increased by 14% in Command Bureau challenges.	Vanguard-type's ATK is increased by 16% in Command Bureau challenges.	Vanguard-type's ATK is increased by 18% in Command Bureau challenges.	Vanguard-type's ATK is increased by 20% in Command Bureau challenges.
1802	Beacon: Fearless	25	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_023.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	DMG Reduction after performing a Signature is increased by 0% in Command Bureau challenges.	DMG Reduction after performing a Signature is increased by 2.5% in Command Bureau challenges.	DMG Reduction after performing a Signature is increased by 5% in Command Bureau challenges.	DMG Reduction after performing a Signature is increased by 7.5% in Command Bureau challenges.	DMG Reduction after performing a Signature is increased by 10% in Command Bureau challenges.	DMG Reduction after performing a Signature is increased by 12.5% in Command Bureau challenges.	DMG Reduction after performing a Signature is increased by 15% in Command Bureau challenges.	DMG Reduction after performing a Signature is increased by 17.5% in Command Bureau challenges.	DMG Reduction after performing a Signature is increased by 20% in Command Bureau challenges.	DMG Reduction after performing a Signature is increased by 22.5% in Command Bureau challenges.	DMG Reduction after performing a Signature is increased by 25% in Command Bureau challenges.
1803	Beacon: Inspired	26	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_024.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	DMG dealt after performing a Signature is increased by 0% in Command Bureau challenges.	DMG dealt after performing a Signature is increased by 2% in Command Bureau challenges.	DMG dealt after performing a Signature is increased by 4% in Command Bureau challenges.	DMG dealt after performing a Signature is increased by 6% in Command Bureau challenges.	DMG dealt after performing a Signature is increased by 8% in Command Bureau challenges.	DMG dealt after performing a Signature is increased by 10% in Command Bureau challenges.	DMG dealt after performing a Signature is increased by 12% in Command Bureau challenges.	DMG dealt after performing a Signature is increased by 14% in Command Bureau challenges.	DMG dealt after performing a Signature is increased by 16% in Command Bureau challenges.	DMG dealt after performing a Signature is increased by 18% in Command Bureau challenges.	DMG dealt after performing a Signature is increased by 20% in Command Bureau challenges.
1901	Beacon: Skill Acquisition	27	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_025.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	Skill DMG is increased by 0% in Command Bureau challenges.	Skill DMG is increased by 2% in Command Bureau challenges.	Skill DMG is increased by 4% in Command Bureau challenges.	Skill DMG is increased by 6% in Command Bureau challenges.	Skill DMG is increased by 8% in Command Bureau challenges.	Skill DMG is increased by 10% in Command Bureau challenges.	Skill DMG is increased by 12% in Command Bureau challenges.	Skill DMG is increased by 14% in Command Bureau challenges.	Skill DMG is increased by 16% in Command Bureau challenges.	Skill DMG is increased by 18% in Command Bureau challenges.	Skill DMG is increased by 20% in Command Bureau challenges.
1902	Beacon: Ultimate Enlightenment	28	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_026.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	Signature Move DMG is increased by 0% in Command Bureau challenges.	Signature Move DMG is increased by 2% in Command Bureau challenges.	Signature Move DMG is increased by 4% in Command Bureau challenges.	Signature Move DMG is increased by 6% in Command Bureau challenges.	Signature Move DMG is increased by 8% in Command Bureau challenges.	Signature Move DMG is increased by 10% in Command Bureau challenges.	Signature Move DMG is increased by 12% in Command Bureau challenges.	Signature Move DMG is increased by 14% in Command Bureau challenges.	Signature Move DMG is increased by 16% in Command Bureau challenges.	Signature Move DMG is increased by 18% in Command Bureau challenges.	Signature Move DMG is increased by 20% in Command Bureau challenges.
1903	Beacon: Matrix DMG Up	29	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_028.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn3.prefab	DMG dealt in the Matrix is increased by 0% in Command Bureau challenges.	DMG dealt in the Matrix is increased by 2% in Command Bureau challenges.	DMG dealt in the Matrix is increased by 4% in Command Bureau challenges.	DMG dealt in the Matrix is increased by 6% in Command Bureau challenges.	DMG dealt in the Matrix is increased by 8% in Command Bureau challenges.	DMG dealt in the Matrix is increased by 10% in Command Bureau challenges.	DMG dealt in the Matrix is increased by 12% in Command Bureau challenges.	DMG dealt in the Matrix is increased by 14% in Command Bureau challenges.	DMG dealt in the Matrix is increased by 16% in Command Bureau challenges.	DMG dealt in the Matrix is increased by 18% in Command Bureau challenges.	DMG dealt in the Matrix is increased by 20% in Command Bureau challenges.
2001	Beacon: Elemental DMG Up	30	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_002.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn4.prefab	In Command Bureau, Omniframes gain 0% Elem. DMG	In Command Bureau, Omniframes gain 1% Elem. DMG	In Command Bureau, Omniframes gain 2% Elem. DMG	In Command Bureau, Omniframes gain 3% Elem. DMG	In Command Bureau, Omniframes gain 4% Elem. DMG	In Command Bureau, Omniframes gain 5% Elem. DMG	In Command Bureau, Omniframes gain 6% Elem. DMG	In Command Bureau, Omniframes gain 7% Elem. DMG	In Command Bureau, Omniframes gain 8% Elem. DMG	In Command Bureau, Omniframes gain 9% Elem. DMG	In Command Bureau, Omniframes gain 10% Elem. DMG
2002	Beacon: Energy Recovery	31	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_027.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn4.prefab	Restores 0 Energy per 5s in Command Bureau challenges.	Restores 1 Energy per 5s in Command Bureau challenges.	Restores 2 Energy per 5s in Command Bureau challenges.	Restores 3 Energy per 5s in Command Bureau challenges.	Restores 4 Energy per 5s in Command Bureau challenges.	Restores 5 Energy per 5s in Command Bureau challenges.	Restores 6 Energy per 5s in Command Bureau challenges.	Restores 7 Energy per 5s in Command Bureau challenges.	Restores 8 Energy per 5s in Command Bureau challenges.	Restores 9 Energy per 5s in Command Bureau challenges.	Restores 10 Energy per 5s in Command Bureau challenges.
2003	Beacon: Powerful Reinforcements	32	Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_017.png	Assets/Product/Ui/ComponentPrefab/UiGuild/GuildSkillPointBtn4.prefab	QTE Skill DMG is increased by 0% in Command Bureau challenges.	QTE Skill DMG is increased by 10% in Command Bureau challenges.	QTE Skill DMG is increased by 20% in Command Bureau challenges.	QTE Skill DMG is increased by 30% in Command Bureau challenges.	QTE Skill DMG is increased by 40% in Command Bureau challenges.	QTE Skill DMG is increased by 50% in Command Bureau challenges.	QTE Skill DMG is increased by 60% in Command Bureau challenges.	QTE Skill DMG is increased by 70% in Command Bureau challenges.	QTE Skill DMG is increased by 80% in Command Bureau challenges.	QTE Skill DMG is increased by 90% in Command Bureau challenges.	QTE Skill DMG is increased by 100% in Command Bureau challenges.
