Id	CharacterId	Icon	RoundnessNotItemHeadIcon	BiggerDesc	SmallerDesc	EqualDesc
11	1121003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Kuluomu1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Kuluomu3.png	From what I can tell from your opponent's body language, I believe <color=#34AFF8>higher</color> is a more likely outcome.	From what I can tell from your opponent's body language, I believe <color=#34AFF8>lower</color> is a more likely outcome.	
12	1131002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	Assets/Product/Texture/Image/Role/RoleHeadWeila3.png	To know the answer, you must pay with a valuable thing of yours. Pfft... Good, the answer you want is <color=#34AFF8>higher</color>.	To know the answer, you must pay with a valuable thing of yours. Pfft... Good, the answer you want is <color=#34AFF8>lower</color>.	
13	1141003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuosaita1.png	Assets/Product/Texture/Image/Role/RoleHeadLuosaita3.png	Let's try <color=#34AFF8>higher</color>. It goes against my intuition.	Let's try <color=#34AFF8>lower</color>. It goes against my intuition.	
14	1161002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadChangyu1.png	Assets/Product/Texture/Image/Role/RoleHeadChangyu3.png	Listen to me, Commandant. It's <color=#34AFF8>higher</color>. Don't ask further. Everyone has their own tricks up their sleeves.	Listen to me, Commandant. It's <color=#34AFF8>lower</color>. Don't ask further. Everyone has their own tricks up their sleeves.	
15	1021003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	Assets/Product/Texture/Image/Role/RoleHeadLuxiyaaerfa3SS.png	You can't even make a decision on a thing like this... Just guess <color=#34AFF8>higher</color>!	You can't even make a decision on a thing like this... Just guess <color=#34AFF8>lower</color>!	
16	1171003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuna1.png	Assets/Product/Texture/Image/Role/RoleHeadLuna3.png	...<color=#34AFF8>Higher</color>. This is the answer you want. I'll tell you just this once.	...<color=#34AFF8>Lower</color>. This is the answer you want. I'll tell you just this once.	
17	1211002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWanshi1.png	Assets/Product/Texture/Image/Role/RoleHeadWanshi3.png	...Higher or lower? Either will do... so... <color=#34AFF8>Higher</color>... ZZZ...	...Higher or lower? Either will do... so... <color=#34AFF8>Lower</color>... ZZZ...	
18	1221002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadTwentyone1.png	Assets/Product/Texture/Image/Role/RoleHeadTwentyone3.png	<color=#34AFF8>Higher</color>. I have a strong feeling about this. It can't be wrong.	<color=#34AFF8>Lower</color>. I have a strong feeling about this. It can't be wrong.	
19	1511003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKamu1.png	Assets/Product/Texture/Image/Role/RoleHeadKamu3.png	...Stop jibber-jabbering about the rules. Guess <color=#34AFF8>higher</color>.	...Stop jibber-jabbering about the rules. Guess <color=#34AFF8>lower</color>.	
20	1521003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadQu1.png	Assets/Product/Texture/Image/Role/RoleHeadQu3.png	Why do you even need to ask me for trivia like this... Then follow my order and choose <color=#34AFF8>higher</color>.	Why do you even need to ask me for trivia like this... Then follow my order and choose <color=#34AFF8>lower</color>.	
21	1531003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSailinna1.png	Assets/Product/Texture/Image/Role/RoleHeadSailinna3.png	The tune of fate has changed. It's telling us to guess... <color=#34AFF8>higher</color>?	The tune of fate has changed. It's telling us to guess... <color=#34AFF8>lower</color>?	
22	1541003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuolan1.png	Assets/Product/Texture/Image/Role/RoleHeadLuolan3.png	The next card... Hmph, its answer is all written on your opponent's face. <color=#34AFF8>Higher</color>.	The next card... Hmph, its answer is all written on your opponent's face. <color=#34AFF8>Lower</color>.	
23	1551003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadPulao1.png	Assets/Product/Texture/Image/Role/RoleHeadPulao3.png	I—I just saw it by accident... It should be <color=#34AFF8>hi—higher</color>...	I—I just saw it by accident... It should be <color=#34AFF8>lo—lower</color>...	
24	1561003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadHakama1.png	Assets/Product/Texture/Image/Role/RoleHeadHakama3.png	Imaginarily experimental deduction completed. To claim victory, you may select <color=#34AFF8>higher</color>.	Imaginarily experimental deduction completed. To claim victory, you may select <color=#34AFF8>lower</color>.	
25	1571003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadNuoan1.png	Assets/Product/Texture/Image/Role/RoleHeadNuoan3.png	Random things should be handled by luck itself. Let me flip a coin... Alright, it's <color=#34AFF8>higher</color>.	Random things should be handled by luck itself. Let me flip a coin... Alright, it's <color=#34AFF8>lower</color>.	
26	1231002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR2Bangbinata1.png	Assets/Product/Texture/Image/Role/RoleHeadR2Bangbinata2.png	Hmm... If Mistress were here... she would choose [big]?	Hmm... If Mistress were here... she would choose [small]?	
