Id	Type	PerfabType	RecommendBuild[1]	RecommendBuild[2]	RecommendBuild[3]	UnlockPlugin[1]	UnlockPlugin[2]	UnlockPlugin[3]	UnlockPlugin[4]	UnlockPlugin[5]	UnlockPlugin[6]	UnlockPlugin[7]	UnlockPlugin[8]	UnlockPlugin[9]	UnlockPlugin[10]	UnlockPlugin[11]	UnlockPlugin[12]	AddEnergy	TimeScoreLimit	TimeScoreParam[1]	TimeScoreParam[2]	TimeScoreParam[3]	HpScoreLimit	HpScoreParam[1]	HpScoreParam[2]	HpScoreParam[3]	ComboScoreLimit	ComboScoreParam[1]	ComboScoreParam[2]	ComboScoreParam[3]	PerfectParam
30061335	1	BrilliantWalkStageGrid2																	24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061336	1	BrilliantWalkStageGrid2																	24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061337	1	BrilliantWalkStageGrid2	3053	3063	3073														24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061338	1	BrilliantWalkStageGrid2	3082	3092	3102														24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061339	1	BrilliantWalkStageGrid2	3041																24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061340	1	BrilliantWalkStageGrid2	3083	3093	3103														24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061341	1	BrilliantWalkStageGrid2	1024																24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061342	1	BrilliantWalkBossStageGrid1	1021																24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061343	1	BrilliantWalkBossStageGrid2	1023																24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061344	1	BrilliantWalkBossStageGrid3	1022																24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061345	1	BrilliantWalkBossHardStageGrid1	1021																24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061346	1	BrilliantWalkBossHardStageGrid2	1023																24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061347	1	BrilliantWalkBossHardStageGrid3	1022																24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061348	1	BrilliantWalkStageGrid3																	24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061349	1	BrilliantWalkStageGrid3																	24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061350	1	BrilliantWalkStageGrid3																	24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061351	1	BrilliantWalkStageGrid3																	24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061352	1	BrilliantWalkStageGrid3																	24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061353	1	BrilliantWalkStageGrid3																	24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061354	1	BrilliantWalkStageGrid2																	24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
