Id	Name	NameEn	Type	ShowType	MovieId	OpenHour	PreBlockId[1]	PreBlockId[2]	FightBasicPurification	FightFactor	CleanNeed	AutoGrow	StageId	PurificationExp	MailId	ShowRewardId	RewardId	ActionPoint	DetachActionPoint	DetachBasicPurification	DetachExtraPurification[1]	DetachExtraPurification[2]	DetachExtraPurification[3]	DetachBasicRewardId	DetachExtraRewardId[1]	DetachExtraRewardId[2]	DetachExtraRewardId[3]	WorldBossStartHour	WorldBossEndHour
30	Supply Block	GM3-1	2	5		336	29		100	10	250000000	350000	30061651		21011	542207	542207	30	30	80	10	10	10	540001	540002	540003	540005		
31	Amplification Block	GM3-2	2	7		336	30		100	10	250000000	350000	30061652	100		542105	542117	30	30	80	10	10	10	540001	540002	540003	540005		
32	Support Block	GM3-3	2	6		336	31		100	10	250000000	90000	30061653			542009	542025	30	30	80	10	10	10	540001	540002	540003	540005		
33	Supply Block	GM3-4	2	5		336	31		100	10	250000000	180000	30061654			542208	542208	30	30	80	10	10	10	540001	540002	540003	540005		
34	Support Block	GM3-5	2	6		336	33		100	10	250000000	90000	30061655			542010	542026	30	30	80	10	10	10	540001	540002	540003	540005		
35	Area 3 Base Station	GM3-6	2	8		336	33		100	10	250000000	180000	30061656			542403	542403	30	30	80	10	10	10	540001	540002	540003	540005		
36	Strategic Block	GM3-7	2	2		336	30		100	10	250000000	180000	30061657			542307	542307	30	30	80	10	10	10	540001	540002	540003	540005		
37	Support Block	GM3-8	2	6		336	36		100	10	250000000	90000	30061658			542011	542027	30	30	80	10	10	10	540001	540002	540003	540005		
38	Supply Block	GM3-9	2	5		336	36		100	10	250000000	180000	30061659			542209	542209	30	30	80	10	10	10	540001	540002	540003	540005		
39	Support Block	GM3-10	2	6		336	38		100	10	250000000	90000	30061660			542012	542028	30	30	80	10	10	10	540001	540002	540003	540005		
40	Strategic Block	GM3-11	2	2		336	39		100	10	250000000	90000	30061661			542308	542308	30	30	80	10	10	10	540001	540002	540003	540005		
41	Amplification Block	GM3-12	2	7		336	38		100	10	250000000	180000	30061662	100		542106	542118	30	30	80	10	10	10	540001	540002	540003	540005		
42	High-risk Dark Block	GM3-13	3	3		336	41|35		100	30000	250000000	420000	30061663			542503	542503	30										16	21
43	Area 4 Base Station	GM4-1	2	8		504	35		100	10	250000000	350000	30061671		21012	542404	542404	30	30	80	10	10	10	540001	540002	540003	540005		
44	Amplification Block	GM4-2	2	7		504	43		100	10	250000000	350000	30061672	100		542107	542119	30	30	80	10	10	10	540001	540002	540003	540005		
45	Support Block	GM4-3	2	6		504	44		100	10	250000000	90000	30061673			542013	542029	30	30	80	10	10	10	540001	540002	540003	540005		
46	Amplification Block	GM4-4	2	7		504	43		100	10	250000000	180000	30061674	100		542108	542120	30	30	80	10	10	10	540001	540002	540003	540005		
47	Supply Block	GM4-5	2	5		504	46		100	10	250000000	90000	30061675			542210	542210	30	30	80	10	10	10	540001	540002	540003	540005		
48	Amplification Block	GM4-6	2	7		504	43		100	10	250000000	90000	30061676	100		542109	542121	30	30	80	10	10	10	540001	540002	540003	540005		
49	Support Block	GM4-7	2	6		504	48		100	10	250000000	90000	30061677			542014	542030	30	30	80	10	10	10	540001	540002	540003	540005		
50	Amplification Block	GM4-8	2	7		504	43		100	10	250000000	90000	30061678	100		542110	542122	30	30	80	10	10	10	540001	540002	540003	540005		
51	Support Block	GM4-9	2	6		504	50		100	10	250000000	90000	30061679			542015	542031	30	30	80	10	10	10	540001	540002	540003	540005		
52	Amplification Block	GM4-10	2	7		504	43		100	10	250000000	180000	30061680	100		542111	542123	30	30	80	10	10	10	540001	540002	540003	540005		
53	Supply Block	GM4-11	2	5		504	52		100	10	250000000	90000	30061681			542211	542211	30	30	80	10	10	10	540001	540002	540003	540005		
54	Amplification Block	GM4-12	2	7		504	43		100	10	250000000	350000	30061682	100		542112	542124	30	30	80	10	10	10	540001	540002	540003	540005		
55	Support Block	GM4-13	2	6		504	54		100	10	250000000	90000	30061683			542016	542032	30	30	80	10	10	10	540001	540002	540003	540005		
56	High-risk Dark Block	GM4-14	3	3		504	43		100	30000	250000000	250000	30061684			542504	542504	30										10	21
