Id	Name	Function	Describe	IsShowCourse	ImageAsset[1]	ImageAsset[2]	ImageAsset[3]	ImageAsset[4]	ImageAsset[5]	ImageAsset[6]	ImageAsset[7]	ImageAsset[8]	ImageAsset[9]	ImageAsset[10]	ImageAsset[11]	ImageAsset[12]	ImageAsset[13]	ImageAsset[14]
10026	Guild Recommendation Screen	GuildRecommendHelp	Guild Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpGuild1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild6.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild7.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild9.jpg						
10027	Guild Main Screen	GuildMainHelp	Guild Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpGuild1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild6.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild7.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild9.jpg						
10028	Guild Benefit Screen	GuildWelfareHelp	Guild Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpGuild1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild6.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild7.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild9.jpg						
10029	Guild Talent	GuildTalentHelp	Guild Talent Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpGuild8.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild10.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild11.jpg											
10030	Guild Boss	GuildBossHelp	Guild Boss Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss6.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss7.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss8.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss9.jpg					
10031	Guild Boss_Boss Stage	GuildBoss_CoreHelp	Guild Boss Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss6.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss7.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss8.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss9.jpg					
10032	Guild Boss_Regular Zone	GuildBoss_LowHelp	Guild Boss Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss6.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss7.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss8.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss9.jpg					
10033	Guild Boss_Special Dispatch Zone	GuildBoss_SevereHelp	Guild Boss Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss6.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss7.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss8.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss9.jpg					
1020	Command Bureau Instructions	GuildMain	Guild Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpGuild1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild6.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild7.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild9.jpg						
1021	Command Bureau Recruit Instructions	GuildRecruit	1. The Commander-in-Chief and Deputy Commander of the Command Bureau may send recruitment applications to other Commandants that are not in a Command Bureau.\n2. Each Command Bureau may send up to 20 Commandants at the same time.\n3. Commandants may join the Bureau through the application.\n4. Recruitment messages will last 24 hours.\n5. New recruitment applications can be initiated only after the old recruitment information has expired.	2														
10034	Hidden Corner	SpecialTrain1	Special Training 1 Graphic Tutorial	1	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeYmdqj1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1201.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1202.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1203.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1204.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1205.png								
10035	Evasion Drill	SpecialTrain2	Special Training 2 Graphic Tutorial	1	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeRz1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeRz2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeRz3.jpg											
10036	Sword & Watermelon	SpecialTrain1	Special Training 3 Graphic Tutorial	1	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeDgjy1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeDgjy2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeDgjy3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeDgjy4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeDgjy5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeDgjy6.jpg								
10037	Charge 37	SpecialTrain2	Special Training 4 Graphic Tutorial	1	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeCf1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeCf2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeCf3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeCf4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeCf5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeCf6.jpg								
10038	Summer Flip	EliminateGame	3-Ping Graphic Tutorial	1	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeXrfz1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeXrfz2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeXrfz3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeXrfz5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeXrfz4.jpg									
10039	Autopoiesis Maze	InfestorExplore	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpInfestorExplore1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpInfestorExplore2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpInfestorExplore3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpInfestorExplore4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpInfestorExplore5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpInfestorExplore6.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpInfestorExplore7.jpg							
10040	Guild Members	GuildRongyuHelp	Guild Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpGuild1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild6.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild7.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpGuild9.jpg						
10041	Virtual Horizon	ExpeditionMainHelp	Virtual Horizon Home Screen Intro	1	Assets/Product/Texture/Image/UiHelp/UiHelpExpedition1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpExpedition2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpExpedition3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpExpedition4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpExpedition5.jpg									
10042	Elegy Of Nightmare	WorldBossHelp	Elegy Of Nightmare Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpWorldBoss01.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWorldBoss02.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWorldBoss03.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWorldBoss04.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWorldBoss05.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWorldBoss06.jpg								
10043	Tag Time!	ClickClearGame	Ghost Festival Graphic Tutorial	1	Assets/Product/Texture/Image/UiHelp/UiHelpZhongYuan1.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhongYuan2.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhongYuan3.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhongYuan4.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhongYuan5.png									
10044	Operation Guardians	MaintainerActionHelp	Operation Guardians Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpMaintaineraction1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpMaintaineraction2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpMaintaineraction3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpMaintaineraction4.jpg										
10045	Fragment Reunited	PuzzleActivity	Fragment Reunited	1	Assets/Product/Texture/Image/UiHelp/UiHelpPuzzle1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpPuzzle2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpPuzzle3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpPuzzle4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpPuzzle5.jpg									
10046	Mycenaean Protocol	RpgTowerHelp	Mycenaean Protocol Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpRPG01.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpRPG02.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpRPG03.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpRPG04.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpRPG05.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpRPG06.jpg								
