Id	ModelPath	LowModelPath	ControllerPath	DisplayControllerPath	UiDefaultAnimationPath
Mb1LuosaitamaMd000001	Assets/Product/Role/CharaterPrefab/Mb1LuosaitamaMd000001.prefab		Assets/Product/Role/Animation/Mb1LuosaitamaMd000001/Mb1LuosaitamaMd000001/Mb1LuosaitamaMd000001.controller	Assets/Product/Role/Animation/Mb1LuosaitamaMd000001/Mb1LuosaitamaMd000001Display/Mb1LuosaitamaMd000001Display.controller	Assets/Product/Role/Animation/Mb1LuosaitamaMd000001/Mb1LuosaitamaMd000001Display/UiStand1.anim
Mb1LuosaitaMd010011	Assets/Product/Role/CharaterPrefab/Mb1LuosaitaMd010011.prefab				
Mb1LuosaitarenMd000001	Assets/Product/Role/CharaterPrefab/Mb1LuosaitarenMd000001.prefab	Assets/Product/Role/CharaterPrefab/Mb1LuosaitarenMd000001Low.prefab	Assets/Product/Role/Animation/Mb1LuosaitarenMd000001/Mb1LuosaitarenMd000001/Mb1LuosaitarenMd000001.controller		Assets/Product/Role/Animation/Mb1LuosaitarenMd000001/Mb1LuosaitarenMd000001Display/UiStand1.anim
Mb1LuxiyaMd000003	Assets/Product/Role/CharaterPrefab/Mb1LuxiyaMd000003.prefab	Assets/Product/Role/CharaterPrefab/Mb1LuxiyaMd000003Low.prefab	Assets/Product/Role/Animation/Mb1LuxiyaMd000003/Mb1LuxiyaMd000003/Mb1LuxiyaMd000003.controller	Assets/Product/Role/Animation/Mb1LuxiyaMd000003/Mb1LuxiyaMd000003Display/Mb1LuxiyaMd000003Display.controller	Assets/Product/Role/Animation/Mb1LuxiyaMd000003/Mb1LuxiyaMd000003Display/UiStand1.anim
Mb1MaidmasterMd010001	Assets/Product/Role/CharaterPrefab/Mb1MaidmasterMd010001.prefab	Assets/Product/Role/CharaterPrefab/Mb1MaidmasterMd010001Low.prefab	Assets/Product/Role/Animation/Mb1MaidmasterMd010001/Mb1MaidmasterMd010001/Mb1MaidmasterMd010001.controller		
Mb1MaidmasterMd010002	Assets/Product/Role/CharaterPrefab/Mb1MaidmasterMd010002.prefab	Assets/Product/Role/CharaterPrefab/Mb1MaidmasterMd010001Low.prefab	Assets/Product/Role/Animation/Mb1MaidmasterMd010002/Mb1MaidmasterMd010002/Mb1MaidmasterMd010002.controller		
Mb1MajiyaweiliMd010001	Assets/Product/Role/CharaterPrefab/Mb1MajiyaweiliMd010001.prefab		Assets/Product/Role/Animation/Mb1MajiyaweiliMd010001/Mb1MajiyaweiliMd010001/Mb1MajiyaweiliMd010001.controller		
Mb1MajiyaweiliMd010002	Assets/Product/Role/CharaterPrefab/Mb1MajiyaweiliMd010002.prefab		Assets/Product/Role/Animation/Mb1MajiyaweiliMd010002/Mb1MajiyaweiliMd010002/Mb1MajiyaweiliMd010002.controller		
Mb1MelodyhuaxuMd10001	Assets/Product/Role/CharaterPrefab/Mb1MelodyhuaxuMd10001.prefab		Assets/Product/Role/Animation/Mb1MelodyhuaxuMd10001/Mb1MelodyhuaxuMd10001/Mb1MelodyhuaxuMd10001.controller		Assets/Product/Role/Animation/Mb1MelodyhuaxuMd10001/Mb1MelodyhuaxuMd10001Display/UiStand1.anim
Mb1MelodyMd010001	Assets/Product/Role/CharaterPrefab/Mb1MelodyMd010001.prefab	Assets/Product/Role/CharaterPrefab/Mb1MelodyMd010001Low.prefab	Assets/Product/Role/Animation/Mb1MelodyMd010001/Mb1MelodyMd010001/Mb1MelodyMd010001.controller		Assets/Product/Role/Animation/Mb1MelodyMd010001/Mb1MelodyMd010001Display/UiStand1.anim
Mb1MoonguyMd010001	Assets/Product/Role/CharaterPrefab/Mb1MoonguyMd010001.prefab		Assets/Product/Role/Animation/Mb1MoonguyMd010001/Mb1MoonguyMd010001/Mb1MoonguyMd010001.controller		
Mb1MotherMd010001	Assets/Product/Role/CharaterPrefab/Mb1MotherMd010001.prefab		Assets/Product/Role/Animation/Mb1MotherMd010001/Mb1MotherMd010001/Mb1MotherMd010001.controller		Assets/Product/Role/Animation/Mb1MotherMd010001/Mb1MotherMd010001Display/UiStand1.anim
Mb1MotorMd000001	Assets/Product/Role/CharaterPrefab/Mb1MotorMd000001.prefab	Assets/Product/Role/CharaterPrefab/Mb1MotorMd000001Low.prefab	Assets/Product/Role/Animation/Mb1MotorMd000001/Mb1MotorMd000001/Mb1MotorMd000001.controller		
Mb1MotorMd000002	Assets/Product/Role/CharaterPrefab/Mb1MotorMd000002.prefab	Assets/Product/Role/CharaterPrefab/Mb1MotorMd000001Low.prefab	Assets/Product/Role/Animation/Mb1MotorMd000002/Mb1MotorMd000002/Mb1MotorMd000002.controller		
Mb1OniisanMd010001	Assets/Product/Role/CharaterPrefab/Mb1OniisanMd010001.prefab		Assets/Product/Role/Animation/Mb1OniisanMd010001/Mb1OniisanMd010001/Mb1OniisanMd010001.controller		
Mb1OrphanMd030001	Assets/Product/Role/CharaterPrefab/Mb1OrphanMd030001.prefab		Assets/Product/Role/Animation/Mb1OrphanMd030001/Mb1OrphanMd030001/Mb1OrphanMd030001.controller	Assets/Product/Role/Animation/Mb1OrphanMd030001/Mb1OrphanMd030001Display/Mb1OrphanMd030001Display.controller	Assets/Product/Role/Animation/Mb1OrphanMd030001/Mb1OrphanMd030001Display/UiStand1.anim
Mb1OrphanMd030002	Assets/Product/Role/CharaterPrefab/Mb1OrphanMd030002.prefab		Assets/Product/Role/Animation/Mb1OrphanMd030002/Mb1OrphanMd030002/Mb1OrphanMd030002.controller		Assets/Product/Role/Animation/Mb1OrphanMd030002/Mb1OrphanMd030002Display/UiStand1.anim
Mb1OsirischibangMd000001	Assets/Product/Role/CharaterPrefab/Mb1OsirischibangMd000001.prefab		Assets/Product/Role/Animation/Mb1OsirischibangMd000001/Mb1OsirischibangMd000001/Mb1OsirischibangMd000001.controller		
Mb1OsirisMd000001	Assets/Product/Role/CharaterPrefab/Mb1OsirisMd000001.prefab		Assets/Product/Role/Animation/Mb1OsirisMd000001/Mb1OsirisMd000001/Mb1OsirisMd000001.controller		Assets/Product/Role/Animation/Mb1OsirisMd000001/Mb1OsirisMd000001Display/UiStand1.anim
Mb1OsirisyanjingMd000001	Assets/Product/Role/CharaterPrefab/Mb1OsirisyanjingMd000001.prefab		Assets/Product/Role/Animation/Mb1OsirisyanjingMd000001/Mb1OsirisyanjingMd000001/Mb1OsirisyanjingMd000001.controller		
Mb1PrismMd010001	Assets/Product/Role/CharaterPrefab/Mb1PrismMd010001.prefab		Assets/Product/Role/Animation/Mb1PrismMd010001/Mb1PrismMd010001/Mb1PrismMd010001.controller		
Mb1PunishdataMd010001	Assets/Product/Role/CharaterPrefab/Mb1PunishdataMd010001.prefab		Assets/Product/Role/Animation/Mb1PunishdataMd010001/Mb1PunishdataMd010001/Mb1PunishdataMd010001.controller		
Mb1PunishdataMd010002	Assets/Product/Role/CharaterPrefab/Mb1PunishdataMd010002.prefab		Assets/Product/Role/Animation/Mb1PunishdataMd010002/Mb1PunishdataMd010002/Mb1PunishdataMd010002.controller		
Mb1RapperMd000001	Assets/Product/Role/CharaterPrefab/Mb1RapperMd000001.prefab		Assets/Product/Role/Animation/Mb1RapperMd000001/Mb1RapperMd000001/Mb1RapperMd000001.controller		
Mb1RobotarmorMd030001	Assets/Product/Role/CharaterPrefab/Mb1RobotarmorMd030001.prefab		Assets/Product/Role/Animation/Mb1RobotarmorMd030001/Mb1RobotarmorMd030001/Mb1RobotarmorMd030001.controller	Assets/Product/Role/Animation/Mb1RobotarmorMd030001/Mb1RobotarmorMd030001Display/Mb1RobotarmorMd030001Display.controller	Assets/Product/Role/Animation/Mb1RobotarmorMd030001/Mb1RobotarmorMd030001Display/UiStand1.anim
Mb1SandwormMd030001	Assets/Product/Role/CharaterPrefab/Mb1SandwormMd030001.prefab		Assets/Product/Role/Animation/Mb1SandwormMd030001/Mb1SandwormMd030001/Mb1SandwormMd030001.controller		Assets/Product/Role/Animation/Mb1SandwormMd030001/Mb1SandwormMd030001Display/UiStand1.anim
Mb1SirenMd010001	Assets/Product/Role/CharaterPrefab/Mb1SirenMd010001.prefab		Assets/Product/Role/Animation/Mb1SirenMd010001/Mb1SirenMd010001/Mb1SirenMd010001.controller		
Mb1SirenMd010002	Assets/Product/Role/CharaterPrefab/Mb1SirenMd010002.prefab		Assets/Product/Role/Animation/Mb1SirenMd010002/Mb1SirenMd010002/Mb1SirenMd010002.controller		
Mb1StarknightMd010001	Assets/Product/Role/CharaterPrefab/Mb1StarknightMd010001.prefab		Assets/Product/Role/Animation/Mb1StarknightMd010001/Mb1StarknightMd010001/Mb1StarknightMd010001.controller		
Mb1SwordMd030001	Assets/Product/Role/CharaterPrefab/Mb1SwordMd030001.prefab	Assets/Product/Role/CharaterPrefab/Mb1SwordMd030001Low.prefab	Assets/Product/Role/Animation/Mb1SwordMd030001/Mb1SwordMd030001/Mb1SwordMd030001.controller		Assets/Product/Role/Animation/Mb1SwordMd030001/Mb1SwordMd030001Display/UiStand1.anim
Mb1TaiayixingMd010002	Assets/Product/Role/CharaterPrefab/Mb1TaiayixingMd010002.prefab		Assets/Product/Role/Animation/Mb1TaiayixingMd010002/Mb1TaiayixingMd010002/Mb1TaiayixingMd010002.controller		
Mb1TankarmorMd030001	Assets/Product/Role/CharaterPrefab/Mb1TankarmorMd030001.prefab		Assets/Product/Role/Animation/Mb1TankarmorMd030001/Mb1TankarmorMd030001/Mb1TankarmorMd030001.controller		Assets/Product/Role/Animation/Mb1TankarmorMd030001/Mb1TankarmorMd030001Display/UiStand1.anim
Mb1TankarmorMd030002	Assets/Product/Role/CharaterPrefab/Mb1TankarmorMd030002.prefab		Assets/Product/Role/Animation/Mb1TankarmorMd030002/Mb1TankarmorMd030002/Mb1TankarmorMd030002.controller		Assets/Product/Role/Animation/Mb1TankarmorMd030002/Mb1TankarmorMd030002Display/UiStand1.anim
Mb1TankarmorMd030011	Assets/Product/Role/CharaterPrefab/Mb1TankarmorMd030011.prefab				
Mb1TrackalienMd010001	Assets/Product/Role/CharaterPrefab/Mb1TrackalienMd010001.prefab		Assets/Product/Role/Animation/Mb1TrackalienMd010001/Mb1TrackalienMd010001/Mb1TrackalienMd010001.controller		Assets/Product/Role/Animation/Mb1TrackalienMd010001/Mb1TrackalienMd010001Display/UiStand1.anim
Mb1TrackalienMd010002	Assets/Product/Role/CharaterPrefab/Mb1TrackalienMd010002.prefab		Assets/Product/Role/Animation/Mb1TrackalienMd010002/Mb1TrackalienMd010002/Mb1TrackalienMd010002.controller		
Mb1TrackalienMd010003	Assets/Product/Role/CharaterPrefab/Mb1TrackalienMd010003.prefab		Assets/Product/Role/Animation/Mb1TrackalienMd010003/Mb1TrackalienMd010003/Mb1TrackalienMd010003.controller		
Mb1TrackalienMd010004	Assets/Product/Role/CharaterPrefab/Mb1TrackalienMd010004.prefab		Assets/Product/Role/Animation/Mb1TrackalienMd010004/Mb1TrackalienMd010004/Mb1TrackalienMd010004.controller		
Mb1TrackalienMd010005	Assets/Product/Role/CharaterPrefab/Mb1TrackalienMd010005.prefab		Assets/Product/Role/Animation/Mb1TrackalienMd010005/Mb1TrackalienMd010005/Mb1TrackalienMd010005.controller		
Mb1VirginbioMd030001	Assets/Product/Role/CharaterPrefab/Mb1VirginbioMd030001.prefab		Assets/Product/Role/Animation/Mb1VirginbioMd030001/Mb1VirginbioMd030001/Mb1VirginbioMd030001.controller		Assets/Product/Role/Animation/Mb1VirginbioMd030001/Mb1VirginbioMd030001Display/UiStand1.anim
Mb1VoodooMd010001	Assets/Product/Role/CharaterPrefab/Mb1VoodooMd010001.prefab		Assets/Product/Role/Animation/Mb1VoodooMd010001/Mb1VoodooMd010001/Mb1VoodooMd010001.controller		
Mb1VoodooMd010002	Assets/Product/Role/CharaterPrefab/Mb1VoodooMd010002.prefab		Assets/Product/Role/Animation/Mb1VoodooMd010002/Mb1VoodooMd010002/Mb1VoodooMd010002.controller		
Mb1XigeluenMd010001	Assets/Product/Role/CharaterPrefab/Mb1XigeluenMd010001.prefab	Assets/Product/Role/CharaterPrefab/Mb1XigeluenMd010001Low.prefab	Assets/Product/Role/Animation/Mb1XigeluenMd010001/Mb1XigeluenMd010001/Mb1XigeluenMd010001.controller		Assets/Product/Role/Animation/Mb1XigeluenMd010001/Mb1XigeluenMd010001Display/UiStand1.anim
Mb1XigeluenwingMd010001	Assets/Product/Role/CharaterPrefab/Mb1XigeluenwingMd010001.prefab		Assets/Product/Role/Animation/Mb1XigeluenwingMd010001/Mb1XigeluenwingMd010001/Mb1XigeluenwingMd010001.controller		Assets/Product/Role/Animation/Mb1XigeluenwingMd010001/Mb1XigeluenwingMd010001Display/UiStand1.anim
Mb1XiguazuqiuMd010001	Assets/Product/Role/CharaterPrefab/Mb1XiguazuqiuMd010001.prefab				
Mb1XiuerjieMd000001	Assets/Product/Role/CharaterPrefab/Mb1XiuerjieMd000001.prefab		Assets/Product/Role/Animation/Mb1XiuerjieMd000001/Mb1XiuerjieMd000001/Mb1XiuerjieMd000001.controller		
Mb1XiuMd010001	Assets/Product/Role/CharaterPrefab/Mb1XiuMd010001.prefab	Assets/Product/Role/CharaterPrefab/Mb1XiuMd010001Low.prefab	Assets/Product/Role/Animation/Mb1XiuMd010001/Mb1XiuMd010001/Mb1XiuMd010001.controller		Assets/Product/Role/Animation/Mb1XiuMd010001/Mb1XiuMd010001Display/UiStand1.anim
Mb1XiuMd010003	Assets/Product/Role/CharaterPrefab/Mb1XiuMd010003.prefab	Assets/Product/Role/CharaterPrefab/Mb1XiuMd010001Low.prefab			Assets/Product/Role/Animation/Mb1XiuMd010003/Mb1XiuMd010003Display/UiStand1.anim
Mb1XuexiaoMd000002	Assets/Product/Role/CharaterPrefab/Mb1XuexiaoMd000002.prefab		Assets/Product/Role/Animation/Mb1XuexiaoMd000002/Mb1XuexiaoMd000002/Mb1XuexiaoMd000002.controller		Assets/Product/Role/Animation/Mb1XuexiaoMd000002/Mb1XuexiaoMd000002Display/UiStand1.anim
Mb1YijutifangkuaiMd000001	Assets/Product/Role/CharaterPrefab/Mb1YijutifangkuaiMd000001.prefab		Assets/Product/Role/Animation/Mb1YijutifangkuaiMd000001/Mb1YijutifangkuaiMd000001/Mb1YijutifangkuaiMd000001.controller		
MbXiguafangkuaiMd010001	Assets/Product/Role/CharaterPrefab/MbXiguafangkuaiMd010001.prefab				
Me1DestroyerMd001001	Assets/Product/Role/CharaterPrefab/Me1DestroyerMd001001.prefab		Assets/Product/Role/Animation/Me1DestroyerMd001001/Me1DestroyerMd001001/Me1DestroyerMd001001.controller	Assets/Product/Role/Animation/Me1DestroyerMd001001/Me1DestroyerMd001001Display/Me1DestroyerMd001001Display.controller	
Me1DiaorenyixingMd000001	Assets/Product/Role/CharaterPrefab/Me1DiaorenyixingMd000001.prefab	Assets/Product/Role/CharaterPrefab/Me1DiaorenyixingMd000001Low.prefab	Assets/Product/Role/Animation/Me1DiaorenyixingMd000001/Me1DiaorenyixingMd000001/Me1DiaorenyixingMd000001.controller		
Me1DrummerMd000001	Assets/Product/Role/CharaterPrefab/Me1DrummerMd000001.prefab		Assets/Product/Role/Animation/Me1DrummerMd000001/Me1DrummerMd000001/Me1DrummerMd000001.controller		
Me1DrummerMd000003	Assets/Product/Role/CharaterPrefab/Me1DrummerMd000003.prefab				
Me1FangshengdouniuMd000001	Assets/Product/Role/CharaterPrefab/Me1FangshengdouniuMd000001.prefab		Assets/Product/Role/Animation/Me1FangshengdouniuMd000001/Me1FangshengdouniuMd000001/Me1FangshengdouniuMd000001.controller		Assets/Product/Role/Animation/Me1FangshengdouniuMd000001/Me1FangshengdouniuMd000001Display/UiStand1.anim
Me1FenjiezheMd000001	Assets/Product/Role/CharaterPrefab/Me1FenjiezheMd000001.prefab		Assets/Product/Role/Animation/Me1FenjiezheMd000001/Me1FenjiezheMd000001/Me1FenjiezheMd000001.controller		Assets/Product/Role/Animation/Me1FenjiezheMd000001/Me1FenjiezheMd000001Display/UiStand1.anim
Me1GouzaotiMd10001	Assets/Product/Role/CharaterPrefab/Me1GouzaotiMd10001.prefab		Assets/Product/Role/Animation/Me1GouzaotiMd10001/Me1GouzaotiMd10001/Me1GouzaotiMd10001.controller		Assets/Product/Role/Animation/Me1GouzaotiMd10001/Me1GouzaotiMd10001Display/UiStand1.anim
Me1GuitaristMd000001	Assets/Product/Role/CharaterPrefab/Me1GuitaristMd000001.prefab		Assets/Product/Role/Animation/Me1GuitaristMd000001/Me1GuitaristMd000001/Me1GuitaristMd000001.controller		
Me1HetigongzuojiqiMd010001	Assets/Product/Role/CharaterPrefab/Me1HetigongzuojiqiMd010001.prefab		Assets/Product/Role/Animation/Me1HetigongzuojiqiMd010001/Me1HetigongzuojiqiMd010001/Me1HetigongzuojiqiMd010001.controller		
Me1HetimingyunzhilunMd010001	Assets/Product/Role/CharaterPrefab/Me1HetimingyunzhilunMd010001.prefab		Assets/Product/Role/Animation/Me1HetimingyunzhilunMd010001/Me1HetimingyunzhilunMd010001/Me1HetimingyunzhilunMd010001.controller		
Me1JidijibingMd000001	Assets/Product/Role/CharaterPrefab/Me1JidijibingMd000001.prefab		Assets/Product/Role/Animation/Me1JidijibingMd000001/Me1JidijibingMd000001/Me1JidijibingMd000001.controller		Assets/Product/Role/Animation/Me1JidijibingMd000001/Me1JidijibingMd000001Display/UiStand1.anim
Me1JiegouqiutuMd010001	Assets/Product/Role/CharaterPrefab/Me1JiegouqiutuMd010001.prefab		Assets/Product/Role/Animation/Me1JiegouqiutuMd010001/Me1JiegouqiutuMd010001/Me1JiegouqiutuMd010001.controller		
Me1JinweiMd000001	Assets/Product/Role/CharaterPrefab/Me1JinweiMd000001.prefab		Assets/Product/Role/Animation/Me1JinweiMd000001/Me1JinweiMd000001/Me1JinweiMd000001.controller		Assets/Product/Role/Animation/Me1JinweiMd000001/Me1JinweiMd000001Display/UiStand1.anim
