Id	DrawId	IsUp	Name	Type	ProbShow	Sort
147	313		3★ weapons		27.90%	8
148	313		Cog Box		9.35%	9
149	313		Overclock material		9.35%	10
150	314	1	[6★] Fusion Dragon		4.00%	1
151	314	1	[5★] Magma Pillar		12.00%	2
152	314		[6★] Dragon Wind		0.50%	3
153	314		[6★] Inverse - Shadow		0.50%	4
154	314		[5★] Guardian Mount		1.50%	5
155	314		[5★] Kuji no Sada		1.50%	6
156	314		4★ weapons		33.40%	7
157	314		3★ weapons		27.90%	8
158	314		Cog Box		9.35%	9
159	314		Overclock material		9.35%	10
160	315	1	[6★] Hydro Heat		4.00%	1
161	315	1	[5★] Lightning Spark		12.00%	2
162	315		[6★] Darkness		0.50%	3
163	315		[6★] Soul Ripper		0.50%	4
164	315		[5★] Dynamo Greatsword		1.50%	5
165	315		[5★] Stone Heart		1.50%	6
166	315		4★ weapons		33.40%	7
167	315		3★ weapons		27.90%	8
168	315		Cog Box		9.35%	9
169	315		Overclock material		9.35%	10
170	316	1	[6★] Sakura		4.00%	1
171	316	1	[5★] Kuji no Sada		12.00%	2
172	316		[6★] Wolf Fang		0.50%	3
173	316		[6★] Type Zero		0.50%	4
174	316		[5★] Gloomlight		1.50%	5
175	316		[5★] Guardian Mount		1.50%	6
176	316		4★ weapons		33.40%	7
177	316		3★ weapons		27.90%	8
178	316		Cog Box		9.35%	9
179	316		Overclock material		9.35%	10
180	317	1	[6★] Peacemaker		4.00%	1
181	317	1	[5★] Stone Heart		12.00%	2
182	317		[6★] Fusion Dragon		0.50%	3
183	317		[6★] Hydro Heat		0.50%	4
184	317		[5★] Magma Pillar		1.50%	5
185	317		[5★] Lightning Spark		1.50%	6
186	317		4★ weapons		33.40%	7
187	317		3★ weapons		27.90%	8
188	317		Cog Box		9.35%	9
189	317		Overclock material		9.35%	10
190	318	1	[6★] Purple Peony		4.00%	1
191	318	1	[5★] Faded Color		12.00%	2
192	318		[6★] Big Kamui		0.50%	3
193	318		[6★] Ramiel		0.50%	4
194	318		[5★] Dynamo Greatsword		1.50%	5
195	318		[5★] Falcon E-3320		1.50%	6
196	318		4★ weapons		33.40%	7
197	318		3★ weapons		27.90%	8
198	318		Cog Box		9.35%	9
199	318		Overclock material		9.35%	10
200	501		Basic Decor Blueprint		7.50%	1
201	501		Cafe Decor Blueprint		7.50%	2
202	501		Cyberpunk Decor Blueprint		7.00%	3
203	501		Decor Coin x5		15.00%	4
204	501		Decor Coin x10		10.00%	5
205	501		Decor Coin x15		8.00%	6
206	501		Decor Coin x20		5.00%	7
207	501		Cafe Decor		10.00%	8
208	501		Cyberpunk Decor		10.00%	9
209	501		Coating Sketch		15.00%	10
210	501		Dormitory Resident Permit		5.00%	11
211	1001	1	[6★] Wolf Fang		4.00%	1
212	1001	1	[5★] Gloomlight		12.00%	2
213	1001		[6★] Berserk Fusion		0.50%	3
214	1001		[6★] Benediction		0.50%	4
215	1001		[5★] Magma Pillar		1.50%	5
216	1001		[5★] Guardian Mount		1.50%	6
217	1001		4★ weapons		33.40%	7
218	1001		3★ weapons		27.90%	8
219	1001		Cog Box		9.35%	9
220	1001		Overclock material		9.35%	10
221	1002		S-Rank Omniframe (including guaranteed)		1.90%	1
222	1002		S-Rank Omniframe (base drop)		0.50%	2
223	1002		B, A-Rank Omniframe		13.95%	3
224	1002		Construct shard		22.11%	4
225	1002		4★ equipment		28.39%	5
226	1002		Overclock material		14.42%	6
227	1002		EXP material		4.81%	7
228	1002		Cog Box		14.42%	8
229	1003		S-Rank Omniframe (including guaranteed)		1.90%	1
230	1003		S-Rank Omniframe (base drop)		0.50%	2
231	1003		B, A-Rank Omniframe		13.95%	3
232	1003		Construct shard		22.11%	4
233	1003		4★ equipment		28.39%	5
234	1003		Overclock material		14.42%	6
235	1003		EXP material		4.81%	7
236	1003		Cog Box		14.42%	8
237	1004		S-Rank Omniframe (including guaranteed)		1.90%	1
238	1004		S-Rank Omniframe (base drop)		0.50%	2
239	1004		B, A-Rank Omniframe		13.95%	3
240	1004		Construct shard		22.11%	4
241	1004		4★ equipment		28.39%	5
242	1004		Overclock material		14.42%	6
243	1004		EXP material		4.81%	7
244	1004		Cog Box		14.42%	8
245	1005		S-Rank Omniframe (including guaranteed)		1.90%	1
246	1005		S-Rank Omniframe (base drop)		0.50%	2
247	1005		B, A-Rank Omniframe		13.95%	3
248	1005		Construct shard		22.11%	4
249	1005		4★ equipment		28.39%	5
250	1005		Overclock material		14.42%	6
251	1005		EXP material		4.81%	7
252	1005		Cog Box		14.42%	8
253	1017		S-Rank Omniframe (including guaranteed)		1.90%	1
254	1017		S-Rank Omniframe (base drop)		0.50%	2
255	1017		B, A-Rank Omniframe		13.95%	3
256	1017		Construct shard		22.11%	4
257	1017		4★ equipment		28.39%	5
258	1017		Overclock material		14.42%	6
259	1017		EXP material		4.81%	7
260	1017		Cog Box		14.42%	8
261	1018		S-Rank Omniframe (including guaranteed)		1.90%	1
262	1018		S-Rank Omniframe (base drop)		0.50%	2
263	1018		B, A-Rank Omniframe		13.95%	3
264	1018		Construct shard		22.11%	4
265	1018		4★ equipment		28.39%	5
266	1018		Overclock material		14.42%	6
267	1018		EXP material		4.81%	7
268	1018		Cog Box		14.42%	8
269	2000		S-Rank Omniframe (including guaranteed)		1.90%	1
270	2000		S-Rank Omniframe (base drop)		1.50%	2
271	2000		B, A-Rank Omniframe		13.95%	3
272	2000		Construct shard		22.11%	4
273	2000		4★ equipment		28.39%	5
274	2000		Overclock material		14.42%	6
275	2000		EXP material		4.81%	7
276	2000		Cog Box		14.42%	8
277	2010		S-Rank Omniframe (including guaranteed)		1.90%	1
278	2010		S-Rank Omniframe (base drop)		1.50%	2
279	2010		B, A-Rank Omniframe		13.95%	3
280	2010		Construct shard		22.11%	4
281	2010		4★ equipment		28.39%	5
282	2010		Overclock material		14.42%	6
283	2010		EXP material		4.81%	7
284	2010		Cog Box		14.42%	8
285	2011		S-Rank Omniframe (including guaranteed)		1.90%	1
286	2011		S-Rank Omniframe (base drop)		1.50%	2
287	2011		B, A-Rank Omniframe		13.95%	3
288	2011		Construct shard		22.11%	4
289	2011		4★ equipment		28.39%	5
290	2011		Overclock material		14.42%	6
291	2011		EXP material		4.81%	7
292	2011		Cog Box		14.42%	8
293	2012		S-Rank Omniframe (including guaranteed)		1.90%	1
294	2012		S-Rank Omniframe (base drop)		1.50%	2
295	2012		B, A-Rank Omniframe		13.95%	3
296	2012		Construct shard		22.11%	4
297	2012		4★ equipment		28.39%	5
298	2012		Overclock material		14.42%	6
299	2012		EXP material		4.81%	7
300	2012		Cog Box		14.42%	8
301	2013		S-Rank Omniframe (including guaranteed)		1.90%	1
302	2013		S-Rank Omniframe (base drop)		1.50%	2
303	2013		B, A-Rank Omniframe		13.95%	3
304	2013		Construct shard		22.11%	4
305	2013		4★ equipment		28.39%	5
306	2013		Overclock material		14.42%	6
307	2013		EXP material		4.81%	7
308	2013		Cog Box		14.42%	8
309	2014		S-Rank Omniframe (including guaranteed)		1.90%	1
310	2014		S-Rank Omniframe (base drop)		1.50%	2
311	2014		B, A-Rank Omniframe		13.95%	3
312	2014		Construct shard		22.11%	4
313	2014		4★ equipment		28.39%	5
314	2014		Overclock material		14.42%	6
315	2014		EXP material		4.81%	7
316	2014		Cog Box		14.42%	8
317	2015		S-Rank Omniframe (including guaranteed)		1.90%	1
318	2015		S-Rank Omniframe (base drop)		1.50%	2
319	2015		B, A-Rank Omniframe		13.95%	3
320	2015		Construct shard		22.11%	4
321	2015		4★ equipment		28.39%	5
322	2015		Overclock material		14.42%	6
323	2015		EXP material		4.81%	7
324	2015		Cog Box		14.42%	8
325	3000		S-Rank Omniframe (including guaranteed)		1.90%	1
326	3000		S-Rank Omniframe (base drop)		0.50%	2
327	3000		B, A-Rank Omniframe		13.95%	3
328	3000		Construct shard		22.11%	4
329	3000		4★ equipment		28.39%	5
330	3000		Overclock material		14.42%	6
331	3000		EXP material		4.81%	7
332	3000		Cog Box		14.42%	8
333	3001		S-Rank Omniframe (including guaranteed)		1.90%	1
334	3001		S-Rank Omniframe (base drop)		0.50%	2
335	3001		B, A-Rank Omniframe		13.95%	3
336	3001		Construct shard		22.11%	4
337	3001		4★ equipment		28.39%	5
338	3001		Overclock material		14.42%	6
339	3001		EXP material		4.81%	7
340	3001		Cog Box		14.42%	8
341	3002		S-Rank Omniframe (including guaranteed)		1.90%	1
342	3002		S-Rank Omniframe (base drop)		0.50%	2
343	3002		B, A-Rank Omniframe		13.95%	3
344	3002		Construct shard		22.11%	4
345	3002		4★ equipment		28.39%	5
346	3002		Overclock material		14.42%	6
347	3002		EXP material		4.81%	7
348	3002		Cog Box		14.42%	8
349	3003		S-Rank Omniframe (including guaranteed)		1.90%	1
350	3003		S-Rank Omniframe (base drop)		0.50%	2
351	3003		B, A-Rank Omniframe		13.95%	3
352	3003		Construct shard		22.11%	4
353	3003		4★ equipment		28.39%	5
354	3003		Overclock material		14.42%	6
355	3003		EXP material		4.81%	7
356	3003		Cog Box		14.42%	8
357	3004		S-Rank Omniframe (including guaranteed)		1.90%	1
358	3004		S-Rank Omniframe (base drop)		0.50%	2
359	3004		B, A-Rank Omniframe		13.95%	3
360	3004		Construct shard		22.11%	4
361	3004		4★ equipment		28.39%	5
362	3004		Overclock material		14.42%	6
363	3004		EXP material		4.81%	7
364	3004		Cog Box		14.42%	8
365	3005		S-Rank Omniframe (including guaranteed)		1.90%	1
366	3005		S-Rank Omniframe (base drop)		0.50%	2
367	3005		B, A-Rank Omniframe		13.95%	3
368	3005		Construct shard		22.11%	4
369	3005		4★ equipment		28.39%	5
370	3005		Overclock material		14.42%	6
371	3005		EXP material		4.81%	7
372	3005		Cog Box		14.42%	8
373	3006		S-Rank Omniframe (including guaranteed)		1.90%	1
374	3006		S-Rank Omniframe (base drop)		0.50%	2
375	3006		B, A-Rank Omniframe		13.95%	3
376	3006		Construct shard		22.11%	4
377	3006		4★ equipment		28.39%	5
378	3006		Overclock material		14.42%	6
379	3006		EXP material		4.81%	7
380	3006		Cog Box		14.42%	8
381	3007		S-Rank Omniframe (including guaranteed)		1.90%	1
382	3007		S-Rank Omniframe (base drop)		0.50%	2
383	3007		B, A-Rank Omniframe		13.95%	3
384	3007		Construct shard		22.11%	4
385	3007		4★ equipment		28.39%	5
386	3007		Overclock material		14.42%	6
387	3007		EXP material		4.81%	7
388	3007		Cog Box		14.42%	8
389	3008		S-Rank Omniframe (including guaranteed)		1.90%	1
390	3008		S-Rank Omniframe (base drop)		0.50%	2
391	3008		B, A-Rank Omniframe		13.95%	3
392	3008		Construct shard		22.11%	4
393	3008		4★ equipment		28.39%	5
394	3008		Overclock material		14.42%	6
395	3008		EXP material		4.81%	7
396	3008		Cog Box		14.42%	8
397	100000		S-Rank Omniframe (including guaranteed)		1.90%	1
398	100000		S-Rank Omniframe (base drop)		0.50%	2
399	100000		B, A-Rank Omniframe		13.95%	3
400	100000		Construct shard		22.11%	4
401	100000		4★ equipment		28.39%	5
402	100000		Overclock material		14.42%	6
403	100000		EXP material		4.81%	7
404	100000		Cog Box		14.42%	8
405	100001		S-Rank Omniframe (including guaranteed)		1.90%	1
406	100001		S-Rank Omniframe (base drop)		0.50%	2
407	100001		B, A-Rank Omniframe		13.95%	3
408	100001		Construct shard		22.11%	4
409	100001		4★ equipment		28.39%	5
410	100001		Overclock material		14.42%	6
411	100001		EXP material		4.81%	7
412	100001		Cog Box		14.42%	8
413	1025		S-Rank Omniframe (including guaranteed)		1.90%	1
414	1025		S-Rank Omniframe (base drop)		0.50%	2
415	1025		B, A-Rank Omniframe		13.95%	3
416	1025		Construct shard		22.11%	4
417	1025		4★ equipment		28.39%	5
418	1025		Overclock material		14.42%	6
419	1025		EXP material		4.81%	7
420	1025		Cog Box		14.42%	8
421	2019		S-Rank Omniframe (including guaranteed)		1.90%	1
422	2019		S-Rank Omniframe (base drop)		1.50%	2
423	2019		B, A-Rank Omniframe		13.95%	3
424	2019		Construct shard		22.11%	4
425	2019		4★ equipment		28.39%	5
426	2019		Overclock material		14.42%	6
427	2019		EXP material		4.81%	7
428	2019		Cog Box		14.42%	8
429	3009		S-Rank Omniframe (including guaranteed)		1.90%	1
430	3009		S-Rank Omniframe (base drop)		0.50%	2
431	3009		B, A-Rank Omniframe		13.95%	3
432	3009		Construct shard		22.11%	4
433	3009		4★ equipment		28.39%	5
434	3009		Overclock material		14.42%	6
435	3009		EXP material		4.81%	7
436	3009		Cog Box		14.42%	8
437	3010		S-Rank Omniframe (including guaranteed)		1.90%	1
438	3010		S-Rank Omniframe (base drop)		0.50%	2
439	3010		B, A-Rank Omniframe		13.95%	3
440	3010		Construct shard		22.11%	4
441	3010		4★ equipment		28.39%	5
442	3010		Overclock material		14.42%	6
443	3010		EXP material		4.81%	7
444	3010		Cog Box		14.42%	8
445	319	1	[6★] Tonitrus		4.00%	1
446	319	1	[5★] Falcon E-3320		12.00%	2
447	319		[6★] Fusion Dragon		0.50%	3
448	319		[6★] Purple Peony		0.50%	4
449	319		[5★] Magma Pillar		1.50%	5
450	319		[5★] Faded Color		1.50%	6
451	319		4★ weapons		33.40%	7
452	319		3★ weapons		27.90%	8
453	319		Cog Box		9.35%	9
454	319		Overclock material		9.35%	10
455	320	1	[6★] Scion		4.00%	1
456	320	1	[5★] Gloomlight		12.00%	2
457	320		[6★] Sakura		0.50%	3
458	320		[6★] Hydro Heat		0.50%	4
459	320		[5★] Lightning Spark		1.50%	5
460	320		[5★] Kuji no Sada		1.50%	6
461	320		4★ weapons		33.40%	7
462	320		3★ weapons		27.90%	8
463	320		Cog Box		9.35%	9
464	320		Overclock material		9.35%	10
465	1022		S-Rank Omniframe (including guaranteed)		1.90%	1
466	1022		S-Rank Omniframe (base drop)		0.50%	2
467	1022		B, A-Rank Omniframe		13.95%	3
468	1022		Construct shard		22.11%	4
469	1022		4★ equipment		28.39%	5
470	1022		Overclock material		14.42%	6
471	1022		EXP material		4.81%	7
472	1022		Cog Box		14.42%	8
473	2016		S-Rank Omniframe (including guaranteed)		1.90%	1
474	2016		S-Rank Omniframe (base drop)		1.50%	2
475	2016		B, A-Rank Omniframe		13.95%	3
476	2016		Construct shard		22.11%	4
477	2016		4★ equipment		28.39%	5
478	2016		Overclock material		14.42%	6
479	2016		EXP material		4.81%	7
480	2016		Cog Box		14.42%	8
481	1024		S-Rank Omniframe (including guaranteed)		1.90%	1
482	1024		S-Rank Omniframe (base drop)		0.50%	2
483	1024		B, A-Rank Omniframe		13.95%	3
484	1024		Construct shard		22.11%	4
485	1024		4★ equipment		28.39%	5
486	1024		Overclock material		14.42%	6
487	1024		EXP material		4.81%	7
488	1024		Cog Box		14.42%	8
489	2018		S-Rank Omniframe (including guaranteed)		1.90%	1
490	2018		S-Rank Omniframe (base drop)		1.50%	2
491	2018		B, A-Rank Omniframe		13.95%	3
492	2018		Construct shard		22.11%	4
493	2018		4★ equipment		28.39%	5
494	2018		Overclock material		14.42%	6
495	2018		EXP material		4.81%	7
496	2018		Cog Box		14.42%	8
497	1026		S-Rank Omniframe (including guaranteed)		1.90%	1
498	1026		S-Rank Omniframe (base drop)		0.50%	2
499	1026		B, A-Rank Omniframe		13.95%	3
500	1026		Construct shard		22.11%	4
501	1026		4★ equipment		28.39%	5
502	1026		Overclock material		14.42%	6
503	1026		EXP material		4.81%	7
504	1026		Cog Box		14.42%	8
505	2020		S-Rank Omniframe (including guaranteed)		1.90%	1
506	2020		S-Rank Omniframe (base drop)		1.50%	2
507	2020		B, A-Rank Omniframe		13.95%	3
508	2020		Construct shard		22.11%	4
509	2020		4★ equipment		28.39%	5
510	2020		Overclock material		14.42%	6
511	2020		EXP material		4.81%	7
512	2020		Cog Box		14.42%	8
513	1023		S-Rank Omniframe (including guaranteed)		1.90%	1
514	1023		S-Rank Omniframe (base drop)		0.50%	2
515	1023		B, A-Rank Omniframe		13.95%	3
516	1023		Construct shard		22.11%	4
517	1023		4★ equipment		28.39%	5
518	1023		Overclock material		14.42%	6
519	1023		EXP material		4.81%	7
520	1023		Cog Box		14.42%	8
521	2017		S-Rank Omniframe (including guaranteed)		1.90%	1
522	2017		S-Rank Omniframe (base drop)		1.50%	2
523	2017		B, A-Rank Omniframe		13.95%	3
524	2017		Construct shard		22.11%	4
525	2017		4★ equipment		28.39%	5
526	2017		Overclock material		14.42%	6
527	2017		EXP material		4.81%	7
528	2017		Cog Box		14.42%	8
529	1027		S-Rank Omniframe (including guaranteed)		1.90%	1
530	1027		S-Rank Omniframe (base drop)		0.50%	2
531	1027		B, A-Rank Omniframe		13.95%	3
532	1027		Construct shard		22.11%	4
533	1027		4★ equipment		28.39%	5
534	1027		Overclock material		14.42%	6
535	1027		EXP material		4.81%	7
536	1027		Cog Box		14.42%	8
537	2021		S-Rank Omniframe (including guaranteed)		1.90%	1
538	2021		S-Rank Omniframe (base drop)		1.50%	2
539	2021		B, A-Rank Omniframe		13.95%	3
540	2021		Construct shard		22.11%	4
541	2021		4★ equipment		28.39%	5
542	2021		Overclock material		14.42%	6
543	2021		EXP material		4.81%	7
544	2021		Cog Box		14.42%	8
545	3011		S-Rank Omniframe (including guaranteed)		1.90%	1
546	3011		S-Rank Omniframe (base drop)		0.50%	2
547	3011		B, A-Rank Omniframe		13.95%	3
548	3011		Construct shard		22.11%	4
549	3011		4★ equipment		28.39%	5
550	3011		Overclock material		14.42%	6
551	3011		EXP material		4.81%	7
552	3011		Cog Box		14.42%	8
553	3012		S-Rank Omniframe (including guaranteed)		1.90%	1
554	3012		S-Rank Omniframe (base drop)		0.50%	2
555	3012		B, A-Rank Omniframe		13.95%	3
556	3012		Construct shard		22.11%	4
557	3012		4★ equipment		28.39%	5
558	3012		Overclock material		14.42%	6
559	3012		EXP material		4.81%	7
560	3012		Cog Box		14.42%	8
561	321	1	[6★] St. Elmo		4.00%	1
562	321	1	[5★] Faded Color		12.00%	2
563	321		[6★] Peacemaker		0.50%	3
564	321		[6★] Scion		0.50%	4
565	321		[5★] Stone Heart		1.50%	5
566	321		[5★] Gloomlight		1.50%	6
567	321		4★ weapons		33.40%	7
568	321		3★ weapons		27.90%	8
569	321		Cog Box		9.35%	9
570	321		Overclock material		9.35%	10
571	322	1	[6★] Crimson Birch		4.00%	1
572	322	1	[5★] Kuji no Sada		12.00%	2
573	322		[6★] Hydro Heat		0.50%	3
574	322		[6★] Fusion Dragon		0.50%	4
575	322		[5★] Lightning Spark		1.50%	5
576	322		[5★] Magma Pillar		1.50%	6
577	322		4★ weapons		33.40%	7
578	322		3★ weapons		27.90%	8
579	322		Cog Box		9.35%	9
580	322		Overclock material		9.35%	10
581	1036		S-Rank Omniframe (including guaranteed)		1.90%	1
582	1036		S-Rank Omniframe (base drop)		0.50%	2
583	1036		B, A-Rank Omniframe		13.95%	3
584	1036		Construct shard		22.11%	4
585	1036		4★ equipment		28.39%	5
586	1036		Overclock material		14.42%	6
587	1036		EXP material		4.81%	7
588	1036		Cog Box		14.42%	8
589	2030		S-Rank Omniframe (including guaranteed)		1.90%	1
590	2030		S-Rank Omniframe (base drop)		1.50%	2
591	2030		B, A-Rank Omniframe		13.95%	3
592	2030		Construct shard		22.11%	4
593	2030		4★ equipment		28.39%	5
594	2030		Overclock material		14.42%	6
595	2030		EXP material		4.81%	7
596	2030		Cog Box		14.42%	8
597	170001		S-Rank Omniframe (including guaranteed)		1.90%	1
598	170001		S-Rank Omniframe (base drop)		0.50%	2
599	170001		B, A-Rank Omniframe		13.95%	3
600	170001		Construct shard		22.11%	4
601	170001		4★ equipment		28.39%	5
602	170001		Overclock material		14.42%	6
603	170001		EXP material		4.81%	7
604	170001		Cog Box		14.42%	8
605	170002		S-Rank Omniframe (including guaranteed)		1.90%	1
606	170002		S-Rank Omniframe (base drop)		1.50%	2
607	170002		B, A-Rank Omniframe		13.95%	3
608	170002		Construct shard		22.11%	4
609	170002		4★ equipment		28.39%	5
610	170002		Overclock material		14.42%	6
611	170002		EXP material		4.81%	7
612	170002		Cog Box		14.42%	8
613	170003		S-Rank Omniframe (including guaranteed)		1.90%	1
614	170003		S-Rank Omniframe (base drop)		0.50%	2
615	170003		B, A-Rank Omniframe		13.95%	3
616	170003		Construct shard		22.11%	4
617	170003		4★ equipment		28.39%	5
618	170003		Overclock material		14.42%	6
619	170003		EXP material		4.81%	7
620	170003		Cog Box		14.42%	8
621	170004		S-Rank Omniframe (including guaranteed)		1.90%	1
622	170004		S-Rank Omniframe (base drop)		1.50%	2
623	170004		B, A-Rank Omniframe		13.95%	3
624	170004		Construct shard		22.11%	4
625	170004		4★ equipment		28.39%	5
626	170004		Overclock material		14.42%	6
627	170004		EXP material		4.81%	7
628	170004		Cog Box		14.42%	8
629	170005		S-Rank Omniframe (including guaranteed)		1.90%	1
630	170005		S-Rank Omniframe (base drop)		0.50%	2
631	170005		B, A-Rank Omniframe		13.95%	3
632	170005		Construct shard		22.11%	4
633	170005		4★ equipment		28.39%	5
634	170005		Overclock material		14.42%	6
635	170005		EXP material		4.81%	7
636	170005		Cog Box		14.42%	8
637	170006		S-Rank Omniframe (including guaranteed)		1.90%	1
638	170006		S-Rank Omniframe (base drop)		1.50%	2
639	170006		B, A-Rank Omniframe		13.95%	3
640	170006		Construct shard		22.11%	4
641	170006		4★ equipment		28.39%	5
642	170006		Overclock material		14.42%	6
643	170006		EXP material		4.81%	7
644	170006		Cog Box		14.42%	8
645	170007		S-Rank Omniframe (including guaranteed)		1.90%	1
646	170007		S-Rank Omniframe (base drop)		0.50%	2
647	170007		B, A-Rank Omniframe		13.95%	3
648	170007		Construct shard		22.11%	4
649	170007		4★ equipment		28.39%	5
