Id	CharacterId	RewardId	HeadPortrait	LevelId	ConditionIds[0]	ConditionIds[1]	ConditionIds[2]	SkillGroupId
44	1061002	10610022	9000003	4	40061032	40062151	40063011	1062270
45	1041002		9000001	1				
46	1041002	10410020	9000001	2	40061120	40062153		
47	1041002	10410021	9000002	3	40061034	40062154		
48	1041002	10410022	9000003	4	40061035	40062155	40063012	1042270
49	1071003		9000001	1				
50	1071003	10710030	9000001	2	40061121	40062157		
51	1071003	10710031	9000002	3	40061037	40062158		
52	1071003	10710032	9000003	4	40061038	40062159	40063013	1073270
53	1011003		9000001	1				
54	1011003	10110030	9000001	2	40061122	40062161		
55	1011003	10110031	9000002	3	40061040	40062162		
56	1011003	10110032	9000003	4	40061041	40062163	40063014	1013270
57	1051003		9000001	1				
58	1051003	10510030	9000001	2	40061123	40062165		
59	1051003	10510031	9000002	3	40061043	40062166		
60	1051003	10510032	9000003	4	40061044	40062167	40063015	1053270
61	1021003		9000001	1				
62	1021003	10210030	9000001	2	40061124	40062169		
63	1021003	10210031	9000002	3	40061046	40062170		
64	1021003	10210032	9000003	4	40061047	40062171	40063016	1023270
65	1081003		9000001	1				
66	1081003	10810030	9000001	2	40061125	40062173		
67	1081003	10810031	9000002	3	40061049	40062174		
68	1081003	10810032	9000003	4	40061050	40062175	40063017	1083270
69	1091002		9000001	1				
70	1091002	10910020	9000001	2	40061126	40062177		
71	1091002	10910021	9000002	3	40061052	40062178		
72	1091002	10910022	9000003	4	40061053	40062179	40063018	1092270
73	1041003		9000001	1				
74	1041003	10410030	9000001	2	40061127	40062181		
75	1041003	10410031	9000002	3	40061055	40062182		
76	1041003	10410032	9000003	4	40061056	40062183	40063019	1043270
77	1111002		9000001	1				
78	1111002	11110020	9000001	2	40061128	40062185		
79	1111002	11110021	9000002	3	40061058	40062186		
80	1111002	11110022	9000003	4	40061059	40062187	40063020	1112270
81	1121002		9000001	1				
82	1121002	11210020	9000001	2	40061129	40062189		
83	1121002	11210021	9000002	3	40061061	40062190		
84	1121002	11210022	9000003	4	40061062	40062191	40063021	1122270
85	1021004		9000001	1				
86	1021004	10210040	9000001	2	40061130	40062193		
87	1021004	10210041	9000002	3	40061064	40062194		
88	1021004	10210042	9000003	4	40061065	40062195	40063022	1024270
89	1131002		9000001	1				
90	1131002	11310020	9000001	2	40061131	40062197		
91	1131002	11310021	9000002	3	40061067	40062198		
92	1131002	11310022	9000003	4	40061068	40062199	40063023	1132270
93	1511003		9000001	1				
94	1511003	15110030	9000001	2	40061132	40062201		
95	1511003	15110031	9000002	3	40061070	40062202		
96	1511003	15110032	9000003	4	40061071	40062203	40063024	1152270
97	1141003		9000001	1				
98	1141003	11410030	9000001	2	40061133	40062205		
99	1141003	11410031	9000002	3	40061073	40062206		
100	1141003	11410032	9000003	4	40061074	40062207	40063025	1143270
101	1521003		9000001	1				
102	1521003	15210030	9000001	2	40061134	40062209		
103	1521003	15210031	9000002	3	40061076	40062210		
104	1521003	15210032	9000003	4	40061077	40062211	40063026	1523270
105	1161002		9000001	1				
106	1161002	11610020	9000001	2	40061135	40062213		
107	1161002	11610021	9000002	3	40061079	40062214		
108	1161002	11610022	9000003	4	40061080	40062215	40063027	1162270
109	1171003		9000001	1				
110	1171003	11710030	9000001	2	40061136	40062217		
111	1171003	11710031	9000002	3	40061082	40062218		
112	1171003	11710032	9000003	4	40061083	40062219	40063028	1173270
113	1181003		9000001	1				
114	1181003	11810030	9000001	2	40061137	40062221		
115	1181003	11810031	9000002	3	40061085	40062222		
116	1181003	11810032	9000003	4	40061086	40062223	40063029	1183270
117	1191003		9000001	1				
118	1191003	11910030	9000001	2	40061138	40062225		
119	1191003	11910031	9000002	3	40061088	40062226		
120	1191003	11910032	9000003	4	40061089	40062227	40063030	1193270
121	1201003		9000001	1				
122	1201003	12010030	9000001	2	40061139	40062229		
123	1201003	12010031	9000002	3	40061091	40062230		
124	1201003	12010032	9000003	4	40061092	40062231	40063031	1203270
125	1211002		9000001	1				
126	1211002	12110020	9000001	2	40061140	40062233		
127	1211002	12110021	9000002	3	40061094	40062234		
128	1211002	12110022	9000003	4	40061095	40062235	40063032	1212270
129	1531003		9000001	1				
130	1531003	15310030	9000001	2	40061141	40062237		
131	1531003	15310031	9000002	3	40061097	40062238		
132	1531003	15310032	9000003	4	40061098	40062239	40063033	1533270
133	1121003		9000001	1				
134	1121003	11210030	9000001	2	40061142	40062241		
135	1121003	11210031	9000002	3	40061100	40062242		
136	1121003	11210032	9000003	4	40061101	40062243	40063034	1123270
137	1221002		9000001	1				
138	1221002	12210020	9000001	2	40061143	40062245		
139	1221002	12210021	9000002	3	40061103	40062246		
140	1221002	12210022	9000003	4	40061104	40062247	40063035	1222270
141	1131003		9000001	1				
142	1131003	11310030	9000001	2	40061144	40062249		
143	1131003	11310031	9000002	3	40061103	40062250		
144	1131003	11310032	9000003	4	40061104	40062251	40063036	1133270
145	1541003		9000001	1				
146	1541003	15410030	9000001	2	40061145	40062253		
147	1541003	15410031	9000002	3	40061103	40062254		
148	1541003	15410032	9000003	4	40061104	40062255	40063037	1543270
149	1031004		9000001	1				
150	1031004	10310040	9000001	2	40061146	40062257		
151	1031004	10310041	9000002	3	40061103	40062258		
152	1031004	10310042	9000003	4	40061104	40062259	40063038	1034270
153	1531004		9000001	1				
154	1531004	15310040	9000001	2	40061147	40062261		
155	1531004	15310041	9000002	3	40061103	40062262		
156	1531004	15310042	9000003	4	40061104	40062263	40063039	1534270
157	1551003		9000001	1				
158	1551003	15510030	9000001	2	40061148	40062265		
159	1551003	15510031	9000002	3	40061103	40062266		
160	1551003	15510032	9000003	4	40061104	40062267	40063040	1553270
161	1051004		9000001	1				
162	1051004	10510040	9000001	2	40061149	40062269		
163	1051004	10510041	9000002	3	40061103	40062270		
164	1051004	10510042	9000003	4	40061104	40062271	40063041	1054270
165	1561003		9000001	1				
166	1561003	15610030	9000001	2	40061150	40062273		
167	1561003	15610031	9000002	3	40061103	40062274		
168	1561003	15610032	9000003	4	40061104	40062275	40063042	1563270
169	1071004		9000001	1				
170	1071004	10710040	9000001	2	40061151	40062277		
171	1071004	10710041	9000002	3	40061103	40062278		
172	1071004	10710042	9000003	4	40061104	40062279	40063043	1074270
173	1571003		9000001	1				
174	1571003	15710030	9000001	2	40061152	40062281		
175	1571003	15710031	9000002	3	40061103	40062282		
176	1571003	15710032	9000003	4	40061104	40062283	40063044	1573270
177	1041004		9000001	1				
178	1041004	10410040	9000001	2	40061153	40062285		
179	1041004	10410041	9000002	3	40061103	40062286		
180	1041004	10410042	9000003	4	40061104	40062287	40063045	1044270
181	1231002		9000001	1				
182	1231002	12310020	9000001	2	40061154	40062289		
183	1231002	12310021	9000002	3	40061103	40062290		
184	1231002	12310022	9000003	4	40061104	40062291	40063046	1232270
185	1011004		9000001	1				
186	1011004	10110040	9000001	2	40061155	40062293		
187	1011004	10110041	9000002	3	40061103	40062294		
188	1011004	10110042	9000003	4	40061104	40062295	40063047	1014270
189	1091003		9000001	1				
190	1091003	10910030	9000001	2	40061156	40062297		
191	1091003	10910031	9000002	3	40061103	40062298		
192	1091003	10910032	9000003	4	40061104	40062299	40063048	1093270
193	1091003		9000003	5	40061105	40062300	40064048	
194	1011002		9000003	5	40061003	40062112	40064001	
195	1021001		9000003	5	40061006	40062116	40064002	
196	1031001		9000003	5	40061009	40062120	40064003	
197	1051001		9000003	5	40061012	40062124	40064004	
198	1031002		9000003	5	40061015	40062128	40064005	
199	1021002		9000003	5	40061018	40062132	40064006	
200	1031003		9000003	5	40061021	40062136	40064007	
201	1061003		9000003	5	40061024	40062140	40064008	
202	1081002		9000003	5	40061027	40062144	40064009	
203	1071002		9000003	5	40061030	40062148	40064010	
204	1061002		9000003	5	40061033	40062152	40064011	
205	1041002		9000003	5	40061036	40062156	40064012	
206	1071003		9000003	5	40061039	40062160	40064013	
207	1011003		9000003	5	40061042	40062164	40064014	
208	1051003		9000003	5	40061045	40062168	40064015	
209	1021003		9000003	5	40061048	40062172	40064016	
210	1081003		9000003	5	40061051	40062176	40064017	
211	1091002		9000003	5	40061054	40062180	40064018	
212	1041003		9000003	5	40061057	40062184	40064019	
213	1111002		9000003	5	40061060	40062188	40064020	
214	1121002		9000003	5	40061063	40062192	40064021	
215	1021004		9000003	5	40061066	40062196	40064022	
216	1131002		9000003	5	40061069	40062200	40064023	
217	1511003		9000003	5	40061072	40062204	40064024	
218	1141003		9000003	5	40061075	40062208	40064025	
219	1521003		9000003	5	40061078	40062212	40064026	
220	1161002		9000003	5	40061081	40062216	40064027	
221	1171003		9000003	5	40061084	40062220	40064028	
222	1181003		9000003	5	40061087	40062224	40064029	
223	1191003		9000003	5	40061090	40062228	40064030	
224	1201003		9000003	5	40061093	40062232	40064031	
225	1211002		9000003	5	40061096	40062236	40064032	
226	1531003		9000003	5	40061099	40062240	40064033	
227	1121003		9000003	5	40061102	40062244	40064034	
228	1221002		9000003	5	40061105	40062248	40064035	
229	1131003		9000003	5	40061105	40062252	40064036	
230	1541003		9000003	5	40061105	40062256	40064037	
231	1031004		9000003	5	40061105	40062260	40064038	
232	1531004		9000003	5	40061105	40062264	40064039	
233	1551003		9000003	5	40061105	40062268	40064040	
234	1051004		9000003	5	40061105	40062272	40064041	
235	1561003		9000003	5	40061105	40062276	40064042	
236	1071004		9000003	5	40061105	40062280	40064043	
237	1571003		9000003	5	40061105	40062284	40064044	
238	1041004		9000003	5	40061105	40062288	40064045	
239	1231002		9000003	5	40061105	40062292	40064046	
240	1011004		9000003	5	40061105	40062296	40064047	
241	1021005		9000001	1				
242	1021005	10210050	9000001	2	40061156	40062297		
243	1021005	10210051	9000002	3	40061103	40062298		
244	1021005	10210052	9000003	4	40061104	40062299	40063048	1025270
245	1021005		9000003	5	40061105	40062300	40064048	
246	1241002		9000001	1				
247	1241002	12410020	9000001	2	40061156	40062297		
248	1241002	12410021	9000002	3	40061103	40062298		
249	1241002	12410022	9000003	4	40061104	40062299	40063048	1242270
250	1241002		9000003	5	40061105	40062300	40064048	
