Hash	EffectNameHash	Url	UrlEx
-1148315580	-1148315580	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_jia_1.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_jia_1.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_jia_1.bytes
-1148315583	-1148315583	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_jia_2.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_jia_2.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_jia_2.bytes
-1148315582	-1148315582	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_jia_3.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_jia_3.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_jia_3.bytes
-1148315577	-1148315577	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_jia_4.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_jia_4.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_jia_4.bytes
-1148315576	-1148315576	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_jia_5.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_jia_5.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_jia_5.bytes
-1148315579	-1148315579	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_jia_6.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_jia_6.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_jia_6.bytes
-1148315578	-1148315578	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_jia_7.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_jia_7.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_jia_7.bytes
-720116122	-720116122	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_redwater.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_redwater.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_redwater.bytes
-1296111715	-1296111715	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_tower.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_tower.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_tower.bytes
34302899	34302899	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_toweratk.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_toweratk.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_toweratk.bytes
-198351474	-198351474	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_yi_1.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_yi_1.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_yi_1.bytes
-601636001	-601636001	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_yi_2.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_yi_2.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_yi_2.bytes
964447940	964447940	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_yi_3.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_yi_3.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_yi_3.bytes
204933053	204933053	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_yi_4.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_yi_4.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_yi_4.bytes
1771016994	1771016994	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_yi_5.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_yi_5.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_yi_5.bytes
1367732467	1367732467	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_yi_6.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_yi_6.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_yi_6.bytes
-1361150888	-1361150888	Assets/Product/Effect/Prefab/Fx3DSound/FxSound_yi_7.prefab	Assets/Product/EffectEx/Prefab/Fx3DSound/FxSound_yi_7.prefab	Assets/Product/EffectEx/Data/Fx3DSound/FxSound_yi_7.bytes
280891370	280891370	Assets/Product/Effect/Prefab/FxBuff/FxBuffPoisonEnd.prefab	Assets/Product/EffectEx/Prefab/FxBuff/FxBuffPoisonEnd.prefab	Assets/Product/EffectEx/Data/FxBuff/FxBuffPoisonEnd.bytes
632381128	632381128	Assets/Product/Effect/Prefab/FxBuff/FxBuffPoisonHold.prefab	Assets/Product/EffectEx/Prefab/FxBuff/FxBuffPoisonHold.prefab	Assets/Product/EffectEx/Data/FxBuff/FxBuffPoisonHold.bytes
-893296964	-893296964	Assets/Product/Effect/Prefab/FxBuff/FxBuffPoisonMark.prefab	Assets/Product/EffectEx/Prefab/FxBuff/FxBuffPoisonMark.prefab	Assets/Product/EffectEx/Data/FxBuff/FxBuffPoisonMark.bytes
-1182498247	-1182498247	Assets/Product/Effect/Prefab/FxBuff/FxBuffPoisonStart.prefab	Assets/Product/EffectEx/Prefab/FxBuff/FxBuffPoisonStart.prefab	Assets/Product/EffectEx/Data/FxBuff/FxBuffPoisonStart.bytes
-1179767596	-1179767596	Assets/Product/Effect/Prefab/FxBuff/FxBuffStun1.prefab	Assets/Product/EffectEx/Prefab/FxBuff/FxBuffStun1.prefab	Assets/Product/EffectEx/Data/FxBuff/FxBuffStun1.bytes
-1784686066	-1784686066	Assets/Product/Effect/Prefab/FxBuff/FxBuffZhansha.prefab	Assets/Product/EffectEx/Prefab/FxBuff/FxBuffZhansha.prefab	Assets/Product/EffectEx/Data/FxBuff/FxBuffZhansha.bytes
1553299650	1553299650	Assets/Product/Effect/Prefab/FxCizhui/FxBlackHoleChain.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxBlackHoleChain.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxBlackHoleChain.bytes
904046508	904046508	Assets/Product/Effect/Prefab/FxCizhui/FxBoDongLianJie01.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxBoDongLianJie01.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxBoDongLianJie01.bytes
904046511	904046511	Assets/Product/Effect/Prefab/FxCizhui/FxBoDongLianJie02.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxBoDongLianJie02.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxBoDongLianJie02.bytes
904046510	904046510	Assets/Product/Effect/Prefab/FxCizhui/FxBoDongLianJie03.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxBoDongLianJie03.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxBoDongLianJie03.bytes
659953700	659953700	Assets/Product/Effect/Prefab/FxCizhui/FxBoDongLianJieHuan01.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxBoDongLianJieHuan01.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxBoDongLianJieHuan01.bytes
659953697	659953697	Assets/Product/Effect/Prefab/FxCizhui/FxBoDongLianJieHuan02.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxBoDongLianJieHuan02.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxBoDongLianJieHuan02.bytes
659953698	659953698	Assets/Product/Effect/Prefab/FxCizhui/FxBoDongLianJieHuan03.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxBoDongLianJieHuan03.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxBoDongLianJieHuan03.bytes
1935601105	1935601105	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiAnliu.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiAnliu.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiAnliu.bytes
1625047938	1625047938	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiAnying.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiAnying.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiAnying.bytes
182697141	182697141	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBaozha.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBaozha.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBaozha.bytes
1795835252	1795835252	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBaozou.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBaozou.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBaozou.bytes
-1998380729	-1998380729	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBihuan.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBihuan.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBihuan.bytes
545390009	545390009	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBihuan2.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBihuan2.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBihuan2.bytes
545390010	545390010	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBihuan3.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBihuan3.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBihuan3.bytes
-1584049775	-1584049775	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBihuanShouji.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBihuanShouji.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBihuanShouji.bytes
1438209253	1438209253	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBilei.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBilei.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBilei.bytes
-2146732691	-2146732691	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBileibig.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBileibig.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBileibig.bytes
-376230521	-376230521	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBileiShouji.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBileiShouji.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBileiShouji.bytes
-679082264	-679082264	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBingdong.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBingdong.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBingdong.bytes
-909228531	-909228531	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBingdu.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBingdu.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBingdu.bytes
-1126771577	-1126771577	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBingduXiaoguo.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBingduXiaoguo.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBingduXiaoguo.bytes
-396757328	-396757328	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBingjing.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBingjing.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBingjing.bytes
-2062906041	-2062906041	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBingjingDandao.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBingjingDandao.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBingjingDandao.bytes
-691063532	-691063532	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBingLiu.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBingLiu.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBingLiu.bytes
-1337728331	-1337728331	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBinsi.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBinsi.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBinsi.bytes
570808815	570808815	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBudong.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiBudong.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiBudong.bytes
-497970487	-497970487	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiChongjibo.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiChongjibo.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiChongjibo.bytes
153108902	153108902	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDianciChain01.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDianciChain01.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDianciChain01.bytes
153108905	153108905	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDianciChain02.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDianciChain02.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDianciChain02.bytes
153108904	153108904	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDianciChain03.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDianciChain03.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDianciChain03.bytes
-839335325	-839335325	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDiandun.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDiandun.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDiandun.bytes
417572186	417572186	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDianliu.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDianliu.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDianliu.bytes
-875735210	-875735210	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDilie1.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDilie1.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDilie1.bytes
-1025373184	-1025373184	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDilieLoop1.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDilieLoop1.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDilieLoop1.bytes
35521198	35521198	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDongjie.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDongjie.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDongjie.bytes
-1546437811	-1546437811	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDuanlu0101.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDuanlu0101.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDuanlu0101.bytes
-1949722338	-1949722338	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDuanlu0102.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDuanlu0102.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDuanlu0102.bytes
-383638397	-383638397	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDuanlu0103.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDuanlu0103.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDuanlu0103.bytes
-1143153284	-1143153284	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDuanlu0104.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDuanlu0104.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDuanlu0104.bytes
422930657	422930657	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDuanlu0105.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDuanlu0105.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDuanlu0105.bytes
-1969925314	-1969925314	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDuanlu0201.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDuanlu0201.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDuanlu0201.bytes
-1566640787	-1566640787	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDuanlu0202.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDuanlu0202.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDuanlu0202.bytes
1162242568	1162242568	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDuanlu0203.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDuanlu0203.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDuanlu0203.bytes
-94639483	-94639483	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiDudou.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiDudou.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiDudou.bytes
-1168204921	-1168204921	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFangYuAtkup.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFangYuAtkup.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFangYuAtkup.bytes
737517572	737517572	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFangyuLichang.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFangyuLichang.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFangyuLichang.bytes
1830788654	1830788654	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFanshiEnd.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFanshiEnd.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFanshiEnd.bytes
-1681619644	-1681619644	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFanshiHold.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFanshiHold.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFanshiHold.bytes
-1593975872	-1593975872	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFanshiShouji01.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFanshiShouji01.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFanshiShouji01.bytes
-1997260399	-1997260399	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFanshiShouji02.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFanshiShouji02.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFanshiShouji02.bytes
1557219505	1557219505	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFanshiStart.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFanshiStart.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFanshiStart.bytes
1827677223	1827677223	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFushe.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFushe.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFushe.bytes
-1460788735	-1460788735	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFusheShouji.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFusheShouji.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFusheShouji.bytes
-1447556893	-1447556893	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFusu.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFusu.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFusu.bytes
1265021413	1265021413	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFuyoupao01HitCase01.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFuyoupao01HitCase01.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFuyoupao01HitCase01.bytes
1265021414	1265021414	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFuyoupao01HitCase02.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFuyoupao01HitCase02.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFuyoupao01HitCase02.bytes
-230850284	-230850284	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFuyoupao02HitCase01.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFuyoupao02HitCase01.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFuyoupao02HitCase01.bytes
-230850283	-230850283	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFuyoupao02HitCase02.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFuyoupao02HitCase02.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFuyoupao02HitCase02.bytes
787708719	787708719	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFuyoupao03HitCase01.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFuyoupao03HitCase01.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFuyoupao03HitCase01.bytes
787708720	787708720	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFuyoupao03HitCase02.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFuyoupao03HitCase02.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFuyoupao03HitCase02.bytes
131044446	131044446	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFuyoupao04HitCase01.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFuyoupao04HitCase01.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFuyoupao04HitCase01.bytes
131044447	131044447	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFuyoupao04HitCase02.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFuyoupao04HitCase02.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFuyoupao04HitCase02.bytes
739096856	739096856	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFuyoupaoBaozhaHitCase.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFuyoupaoBaozhaHitCase.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFuyoupaoBaozhaHitCase.bytes
-1800253407	-1800253407	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiFuZhuAtkup.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiFuZhuAtkup.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiFuZhuAtkup.bytes
1735473108	1735473108	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiGangti.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiGangti.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiGangti.bytes
-1163231952	-1163231952	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiGedang.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiGedang.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiGedang.bytes
1609847244	1609847244	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiGongjiLichang.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiGongjiLichang.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiGongjiLichang.bytes
842387732	842387732	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiGuanchuan.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiGuanchuan.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiGuanchuan.bytes
-1780477095	-1780477095	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiGuanchuanShouji01.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiGuanchuanShouji01.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiGuanchuanShouji01.bytes
-1780477092	-1780477092	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiGuanchuanShouji02.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiGuanchuanShouji02.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiGuanchuanShouji02.bytes
-1780477093	-1780477093	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiGuanchuanShouji03.prefab	Assets/Product/EffectEx/Prefab/FxCizhui/FxCizhuiGuanchuanShouji03.prefab	Assets/Product/EffectEx/Data/FxCizhui/FxCizhuiGuanchuanShouji03.bytes
