Id	LibraryId	MonsterIdList[1]	MonsterIdList[2]	MonsterIdList[3]	Ability	MonsterGroupType	RewardId	LevelItem	Icon	HalfBodyIcon	OpenTime
11016	2	2101			6628	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90250.png	
11017	2	2102			6335	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90350.png	
11018	2	2103			6336	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90400.png	
11019	2	2104			6792	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90700.png	
11020	2	2105			6679	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90360.png	
11021	2	2106			6844	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90450.png	
11022	2	2107			6754	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90370.png	
11023	2	2108			6159	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90222.png	
11024	2	2109			6730	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90420.png	
11025	2	2110			6412	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90440.png	
11026	2	2201			6070	3	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster81600.png	
11027	2	2202			6319	3	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster81700.png	
11028	2	2203			6341	3	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster81200.png	
11029	2	2204			6761	3	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster81900.png	
11030	2	2205			6591	3	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster83100.png	
12001	3	3001	3002	3002	4882	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster93060.png	
12002	3	3004	3004	3003	4632	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster93180.png	
12003	3	3005	3006	3006	5358	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster93101.png	
12004	3	3007	3007	3007	5447	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster93030.png	
12005	3	3101	3101	3101	4882	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90950.png	
12006	3	3102	3102		4632	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90990.png	
12007	3	3103	3103	3103	5358	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90380.png	
12008	3	3104	3104		5447	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90340.png	
12009	3	3105	3106		4679	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90222.png	
12010	3	3107	3107		4808	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90800.png	
12011	3	3108	3108		4500	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90790.png	
12012	3	3109	3110	3111	4558	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster93140.png	
12013	3	3112	3112	3112	4913	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90910.png	
12014	3	3113	3113		4697	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster93070.png	
12015	3	3114	3114		4697	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster93170.png	
12016	3	3115	3115	3115	4697	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90740.png	
12017	3	3116	3116		4697	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90690.png	
12018	3	3117	3117	3117	4697	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90440.png	
12019	3	3201			5190	3	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster83500.png	
12020	3	3202			5421	3	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster81600.png	
12021	3	3203			5442	3	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster81900.png	
13001	4	4001	4001		8029	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90110.png	
13002	4	4002	4002		7739	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90460.png	
13003	4	4003	4003		8798	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90760.png	
13004	4	4004	4004		8117	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90600.png	
13005	4	4005	4005		8236	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90960.png	
13006	4	4006	4006		8669	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90180.png	
13007	4	4007	4007		7665	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90660.png	
13008	4	4008	4008		7765	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90650.png	
13009	4	4009	4009		9292	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90710.png	
13010	4	4010	4010		8723	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90910.png	
13011	4	4101			7841	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90360.png	
13012	4	4102			9097	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90370.png	
13013	4	4103			7785	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90222.png	
13014	4	4104			8110	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90380.png	
13015	4	4105			7859	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90250.png	
13016	4	4106			7504	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90350.png	
13017	4	4107			7694	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90700.png	
13018	4	4108			8991	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90340.png	
13019	4	4109			9478	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90420.png	
13020	4	4110			7608	2	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90400.png	
13021	4	4201			7589	3	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster837100.png	
13022	4	4202			9419	3	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster83220.png	
13023	4	4203			8181	3	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster837000.png	
13024	4	4204			8294	3	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster81700.png	
13025	4	4205			8750	3	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster81200.png	
13026	4	4206			8042	3	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster81900.png	
13027	4	4207			9113	3	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster83100.png	
14001	5	5201			8068	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster81700.png	
14002	5	5202			8946	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster81500.png	
14003	5	5203			8857	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster81200.png	
14004	5	5204			8996	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster81700.png	
14005	5	5205			9245	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster81600.png	
14006	5	5206			9547	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster83100.png	
14007	5	5207			10181	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster81800.png	
14008	5	5208			10376	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster841000.png	
14009	5	5209			10315	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster83520.png	
14010	5	5210			10357	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster83500.png	
14011	5	5211			12770	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster837000.png	
14012	5	5212			12455	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster83900.png	
14013	5	5213			12652	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster81900.png	
14014	5	5214			13444	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster83900.png	
14015	5	5215			13250	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster83220.png	
14016	5	5216			15368	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster83800.png	
14017	5	5217			15468	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster85300.png	
14018	5	5218			16689	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster84300.png	
14019	5	5219			16983	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster837100.png	
14020	5	5220			17745	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster5.png	
14021	5	5221			18858	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster845000.png	
14022	5	5222			19749	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster85400.png	
14023	5	5223			19203	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster85350.png	
14024	5	5224			20516	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster83220.png	
14025	5	5225			21407	3				Assets/Product/Texture/Image/RoleMonster/RoleMonster83500.png	
15001	6	6201			8068	3	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster81300.png	
15002	6	6202			8946	3	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster81500.png	
15003	6	6203			9203	3	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster81200.png	
15004	6	6204			9446	3	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster81700.png	
15005	6	6205			9675	3	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster81600.png	
15006	6	6206			9911	3	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster83100.png	
15007	6	6207			10181	3	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster81800.png	
15008	6	6208			10376	3	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster841000.png	
15009	6	6209			10592	3	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster83520.png	
15010	6	6210			10902	3	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster83500.png	
15011	6	6211			10045	3	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster84400.png	
15012	6	6212			10068	3	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster84200.png	
15013	6	6213			10003	3	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster837000.png	
15014	6	6214			6058	1	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster93334.png	
15015	6	6215			7018	2	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster93351.png	
15016	6	6216			6325	2	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster93311.png	
15017	6	6217			7204	2	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster93324.png	
15018	6	6218			6752	2	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster93120.png	
