Id	LibraryId	ThumbnailPath	EnvName	Description	PowerPercent	FightEventIds[1]	BtnIcon	MonsterLibraryId	NeedWinCount
30161284	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 21	No Environment	0				
30161292	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Streak - 22	No Environment	0				
30161293	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Streak - 23	No Environment	0				
30161261	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 24	No Environment	0				
30161289	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 25	No Environment	0				
30161273	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Limit reached	The area is marked with a glowing light. Allies outside the area take DMG equal to 5% of Max HP every second.	0	4028		15001	0
30161274	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Integrate Together	No flashy effects, just enjoy pure combat	0	2201605		15002	1
30161275	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Real Fire	All enemy DMG will be converted to True DMG (Calculates DMG Reduction)	0	4028		15003	2
30161276	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Lethal Connection	When enemies take DMG, allies are inflicted with a portion of DMG	0	4028		15004	3
30161277	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Limit reached	The area is marked with a glowing light. Allies outside the area take DMG equal to 5% of Max HP every second.	0	4028		15005	4
30161278	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Integrate Together	No flashy effects, just enjoy pure combat	0	4028		15006	5
30161279	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Real Fire	All enemy DMG will be converted to True DMG (Calculates DMG Reduction)	0	4028		15007	6
30161280	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Lethal Connection	When enemies take DMG, allies are inflicted with a portion of DMG	0	4028		15008	7
30161281	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Limit reached	The area is marked with a glowing light. Allies outside the area take DMG equal to 5% of Max HP every second.	0	4028		15009	8
30161282	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Integrate Together	No flashy effects, just enjoy pure combat	0	4028		15010	9
30162493	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Buddy Up	No flashy extra effects, just pure combat enjoyment.	0	4028		15011	6
30161283	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Buddy Up	No flashy extra effects, just pure combat enjoyment.	0	4028		15012	7
30161260	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Buddy Up	No flashy extra effects, just pure combat enjoyment.	0	4028		15013	5
30161296	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Buddy Up	No flashy extra effects, just pure combat enjoyment.	0	4028		15014	4
30161297	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Buddy Up	No flashy extra effects, just pure combat enjoyment.	0	4028		15015	1
30161298	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Buddy Up	No flashy extra effects, just pure combat enjoyment.	0	4028		15016	0
30161299	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Buddy Up	No flashy extra effects, just pure combat enjoyment.	0	4028		15017	3
30161295	6	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Buddy Up	No flashy extra effects, just pure combat enjoyment.	0	4028		15018	2
