StageId	NormalWeight	Weights[1]	Weights[2]	LabelIds[1]	LabelIds[2]	LabelIds[3]	BestHelperFightEventId	BaseRewardId	ShowBaseRewardId	ShowSpecialRewardId	ShowAllRewardId	ExtraRewardIds[1]	ExtraRewardIds[2]	ExtraRewardIds[3]	ShowExtraRewardIds[1]	ShowExtraRewardIds[2]	ShowExtraRewardIds[3]	BaseCostMoodNum	LabelCostMoodNums[1]	LabelCostMoodNums[2]	LabelCostMoodNums[3]
30160135	1000	1000	1000	1	13	27	210019	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160141	1000	1000	1000	49	14	37	210009	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160142	1000	1000	1000	3	18	40	210021	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160143	1000	1000	1000	3	16	38	210028	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160144	1000	1000	1000	3	16	38	210028	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160145	1000	1000	1000	49	14	37	210009	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160146	1000	1000	1000	3	18	40	210021	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160147	1000	1000	1000	3	16	38	210028	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160148	1000	1000	1000	4	15	48	210035	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160149	1000	1000	1000	4	20	46	210033	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061505	1000	1000	1000	1	12	26	210013	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061506	1000	1000	1000	49	19	42	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061507	1000	1000	1000	2	21	45	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061508	1000	1000	1000	4	15	48	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061509	1000	1000	1000	4	20	46	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061511	1000	1000	1000	1	11	25	210013	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061512	1000	1000	1000	1	11	25	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061513	1000	1000	1000	2	21	45	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061514	1000	1000	1000	4	15	48	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061515	1000	1000	1000	4	20	46	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061517	1000	1000	1000	4	23	47	210013	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061518	1000	1000	1000	4	23	47	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061519	1000	1000	1000	1	14	28	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061520	1000	1000	1000	2	20	39	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061521	1000	1000	1000	1	15	31	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061522	1000	1000	1000	2	21	41	210013	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061523	1000	1000	1000	1	15	29	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061524	1000	1000	1000	2	24	36	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061525	1000	1000	1000	3	14	37	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30061526	1000	1000	1000	4	23	44	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
