Id	BankId	HelperId	Type	Chat	ChatReply	PreChatId	Weight	Question	RightAnswer	Answers[1]	Answers[2]	Answers[3]	RightReply	WrongReply	HelperIcon	HelperName
41002101		1002	4	What kind of result is this... It seems that I need to improve my calculation algorithm. I'll help you next time.	I will try harder.										Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	Lee
11003101		1003	1	Commandant, do you need help?		0									Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Lucia
11003102		1003	1	Understood. What do you require of me?		11003101									Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Lucia
11003103		1003	1	Wait a minute! According to the rules, I have to ask you some questions first, Commandant.		11003102									Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	Nanami
11003104		1003	1	Ah? Is that so?		11003103									Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Lucia
11003105		1003	1	Of course, only by accepting and obeying the rules of the game can we experience the fun of the game. This is the charm of the so-called "Magic Circle".		11003104									Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	Nanami
11003106		1003	1	If you don't listen to me, I'll punish you!		11003105									Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	Nanami
11003107		1003	1	...I see. Then, Commandant, please answer a few questions first.		11003106									Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Lucia
21003101	10031	1003	2				3000	Commandant, what type of frame is Lotus?	3	Support	Tank	Attacker	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB>Attacker</color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Lucia
21003102	10031	1003	2				3000	Which of the following is a member of the original Gray Raven squad?	3	Liv	Nanami	α	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB>Alpha</color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Lucia
21003103	10031	1003	2				3000	Which of the following frames has the closest Energy type to that of Lotus?	3	Rozen	Empyrea	Zero	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB>Zero</color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Lucia
21003201	10032	1003	2				3000	Commandant, do you remember what my favorite gift is?	1	Frog Plush	Krog Plush	Froge Plush	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB>Frog Plush</color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Lucia
21003202	10032	1003	2				3000	Commandant, what is my area of expertise?	2	Command	Battle	Cooking	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB>Battle</color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Lucia
21003203	10032	1003	2				3000	What is the name of Lotus' coating?	3	Eventide Glow	Gothic	Rain Song	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB>Rain Song</color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Lucia
21003301	10033	1003	2				3000	In Venus Splash Park, what was the flavor of the cold soda I handed you?	2	Apple juice	Orange juice	Vodka	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB>Orange Juice</color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Lucia
21003302	10033	1003	2				3000	Commandant, do you remember what the pet we kept at the base is?	1	Dog	Cat	Cobra	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB>Dog</color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Lucia
21003303	10033	1003	2				3000	Commandant, do you remember where we first met?	3	A battlefield on the surface	In a fantastic dream	Babylonia	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB>Babylonia</color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Lucia
31003101		1003	3	Well, according to the rules, I can help you now.	Thank you.										Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Lucia
41003101		1003	4	Well... according to the rules, I cannot help you right now. Commandant, find me next time when Nanami is away.	I will try harder.										Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	Lucia
11004101		1004	1	Commandant, do you need help?		0									Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Lucia
11004102		1004	1	Understood. What do you require of me?		11004101									Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Lucia
11004103		1004	1	Wait a minute! According to the rules, I have to ask you some questions first, Commandant.		11004102									Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	Nanami
11004104		1004	1	Ah? Is that so?		11004103									Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Lucia
11004105		1004	1	Of course, only by accepting and obeying the rules of the game can we experience the fun of the game. This is the charm of the so-called "Magic Circle".		11004104									Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	Nanami
11004106		1004	1	If you don't listen to me, I'll punish you!		11004105									Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	Nanami
11004107		1004	1	...I see. Then, Commandant, please answer a few questions first.		11004106									Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Lucia
21004101	10041	1004	2				3000	What is the unit type of Dawn?	3	Support	Tank	Attacker	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB></color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Lucia
21004102	10041	1004	2				3000	Who is my teammate?	1	Liv	Nanami	α	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB></color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Lucia
21004103	10041	1004	2				3000	Which unit of mine deals lightning DMG?	2	Plume	Dawn	Veritas	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB></color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Lucia
21004201	10042	1004	2				3000	Which of the following gifts do I like?	1	Frog Plush	Krog Plush	Froge Plush	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB></color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Lucia
21004202	10042	1004	2				3000	What am I good at?	2	Arithmetic	Battle	Perception	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB></color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Lucia
21004203	10042	1004	2				3000	Do you remember what the coating of Dawn is?	3	Eventide Glow	Volatile Priestess	Gothic	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB></color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Lucia
21004301	10043	1004	2				3000	In Venus Splash Park, what was the flavor of the cold soda I handed you?	2	Apple juice	Orange juice	Vodka	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB></color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Lucia
21004302	10043	1004	2				3000	Commandant, do you remember what the pet we kept at the base is?	1	Dog	Cat	Cobra	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB></color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Lucia
21004303	10043	1004	2				3000	Commandant, do you remember where we first met?	3	A battlefield on the surface	In a fantastic dream	Babylonia	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB></color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Lucia
31004101		1004	3	Well, according to the rules, I can help you now.	Thank you.										Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Lucia
41004101		1004	4	Well... according to the rules, I cannot help you right now. Commandant, find me next time when Nanami is away.	I will try harder.										Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	Lucia
11005101		1005	1	Do you want my help?		0									Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	α
11005102		1005	1	Then answer my questions and prove yourself.		11005101									Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	α
21005101	10051	1005	2				3000	What is my relationship with Lucia?	1	Enemies	Comrades	Sisters	Correct. Moving on.	You really think she and I are on that good of terms? The correct answer is <color=#3291DB>Enemies</color>.	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	α
21005102	10051	1005	2				3000	Try to name one thing I like.	1	Modifying motorcycles	Glint of a Blade	Krog Plush	Correct. Moving on.	The correct answer is <color=#3291DB>Modifying motorcycles</color>. Is that all you got?	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	α
21005103	10051	1005	2				4000	Why did I join the Ascension-Network?	3	To obtain power	 To ))))	Because of Luna	Correct. Moving on.	I don't know what you're talking about... The correct answer is <color=#3291DB>Because of Luna</color>	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	α
21005201	10052	1005	2				3000	Why did I eliminate Gabriel?	1	He betrayed Luna	He ran away	He was lazy	Correct. Moving on.	The correct answer is <color=#3291DB>He betrayed Luna</color>. Is that all you got?	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	α
21005202	10052	1005	2				3000	What do I like doing?	2	Farming	Challenging strong enemies	Chatting	Correct. Moving on.	The correct answer is <color=#3291DB>Challenging strong enemies</color>. Is that all you got?	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	α
21005203	10052	1005	2				3000	Which of the following is not one of my coatings?	2	Final Journey	Dance of Ripplets	Volatile Priestess	Correct. Moving on.	The correct answer is <color=#3291DB>Dance of Ripplets</color>. Is that all you got?	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	α
21005301	10053	1005	2				3000	What was the rose I sent you?	2	A Withering Rose that is dying	A Wild Rose that smells like gunpowder	An Luxurious Rose that looks exquisite	Correct. Moving on.	The correct answer is <color=#3291DB>Gunpowder-scented rose</color>. Is that all you got?	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	α
21005302	10053	1005	2				3000	What color is my cross-country sand motorcycle?	1	Black	Red	Gold	Correct. Moving on.	The correct answer is <color=#3291DB>Black</color>. Is that all you got?	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	α
21005303	10053	1005	2				3000	Do you know the origin of my weapon "Sakura"?	3	You found it	You took it from someone else	You forged it yourself	Correct. Moving on.	The correct answer is <color=#3291db>I forged it myself</color>. Is that the best you can do?	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	α
31005101		1005	3	That's enough. Tell me the target you want destroyed, then stay in the back and enjoy the show.	Thank you.										Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	α
41005101		1005	4	Leave now. I won't kill you this time, but I can't promise the same in the future.	I will try harder.										Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	α
11006101		1006	1	Commandant, do you need help?		0									Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Lucia
11006102		1006	1	Understood. What do you require of me?		11006101									Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Lucia
11006103		1006	1	Wait a minute! According to the rules, Lucia has to ask you some questions first, Commandant.		11006102									Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	Nanami
11006104		1006	1	Ah? Is that so?		11006103									Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Lucia
11006105		1006	1	Of course, only by accepting and obeying the rules of the game can we experience the fun of the game. This is the charm of the so-called "Magic Circle".		11006104									Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	Nanami
11006106		1006	1	If you don't listen to me, I'll punish you!		11006105									Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	Nanami
11006107		1006	1	...I see. Then, Commandant, please answer a few questions first.		11006106									Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Lucia
21006101	10061	1006	2				3000	What type of damage can't Plume deal?	3	Physical	Ice	Lightning	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB>Lightning</color>.	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Lucia
21006102	10061	1006	2				3000	Commandant, what am I good at?	1	Battling	Cooking	Arithmetic	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB>Battling</color>.	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Lucia
21006103	10061	1006	2				3000	Where did I first use Plume?	3	Arctic Route Union	Babylonia	Kowloong	That's correct.	Sorry, I think I accidentally switched channels. You answered <color=#3291DB>Kowloong</color>, right...?	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Lucia
21006201	10062	1006	2				3000	Commandant, do you remember what my favorite gift is?	1	Frog Accessory	Krog Accessory	Froge Accessory	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB>Frog Plush</color>.	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Lucia
21006202	10062	1006	2				3000	Commandant, have you noticed that my recent collection of Frog Plush has began to become...?	3	Uglier	Smaller	Bigger	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB>Bigger</color>.	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Lucia
21006203	10062	1006	2				3000	Commandant, do you know what are the correct descriptions of the Core Passive of Plume?	2	Casting Signature Move in Arctic Form can freeze the opponent	Every 3-Ping grants 1 Signature Point in Arctic Form	Deals Physical DMG for every Ping in Arctic Form	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB>Every 3-Ping grants 1 Signature Point in Arctic Form</color>.	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Lucia
21006301	10063	1006	2				3000	In Venus Splash Park, what was the flavor of the cold soda I handed you?	2	Apple	Orange	Vodka	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB>Orange</color>.	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Lucia
21006302	10063	1006	2				3000	Commandant, do you remember what the pet we kept at the base is?	1	Dog	Cat	Cobra	That's correct.	It seems that Nanami is not here now. Commandant, the correct answer is <color=#3291DB>Dog</color>.	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Lucia
21006303	10063	1006	2				3000	Commandant, do you remember why I used Plume in battle?	3	To complete the mission	To become stronger	To save me	That's correct.	Apologies, but the correct answer is <color=#3291DB>To save you</color>.	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Lucia
31006101		1006	3	Well, according to the rules, I can help you now.	Thank you.										Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Lucia
41006101		1006	4	Well... according to the rules, I cannot help you right now. Commandant, find me next time when Nanami is away.	I will try harder.										Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Lucia
11008101		1008	1	Although we spend a lot of time together, it's not common for us to relax like now.		0									Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	Liv
11008102		1008	1	Hmm... so... Commandant, please answer me a few questions. I really want to know if you remember.		11008101									Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	Liv
21008101	10081	1008	2				3000	Commandant... Do you know what the damage type of Lux is?	2	Ice	Lightning	Fire	That is correct!	Sorry, I guess it's a bit too difficult... The answer should be <color=#3291DB>Lightning</color>.	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	Liv
21008102	10081	1008	2				3000	Commandant, what weapon do I need to use computing power to control?	2	Cannon	Levi-Gun	Chainsaw	That is correct!	Sorry, I guess it's a bit too difficult... The answer should be <color=#3291DB>Levi-Gun</color>.	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	Liv
21008103	10081	1008	2				3000	Commandant, do you know what I am good at?	2	Battle	Medicine	Arithmetic	That is correct!	Sorry, I guess it's a bit too difficult... The answer should be <color=#3291DB>Medicine</color>.	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	Liv
21008201	10082	1008	2				3000	Why did I cut my hair?	3	To try a new hairstyle	Inconvenience in battle	To say goodbye to the past	That is correct!	Sorry, I guess it's a bit too difficult... The answer should be <color=#3291DB>To say goodbye to the past</color>.	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	Liv
21008202	10082	1008	2				3000	I don't know if this question will be too difficult for you or not... But, Commandant, do you know how the Core Passive of Lux is triggered?	3	3-Ping or triggering Light Penalty 5 times	Red Orb + Blue Orb	Triggering Lightning Lure 4 times	That is correct!	Sorry, I guess it's a bit too difficult... The answer should be <color=#3291DB>Triggering Lightning Lure 4 times</color>.	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	Liv
21008203	10082	1008	2				3000	Commandant, do you remember the coating of Lux?	1	Florescence	Puella Subnautica	Christmas Promise	That is correct!	Sorry, I guess it's a bit too difficult... The answer should be <color=#3291DB>Florescence</color>.	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	Liv
21008301	10083	1008	2				3000	What is my role on the team?	2	Medicine	Logistics	Research	That is correct!	Sorry, I guess it's a bit too difficult... The answer should be <color=#3291DB>Logistics</color>.	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	Liv
21008302	10083	1008	2				3000	Do you remember my Rank when I was in the army?	1	Lieutenant	Second lieutenant	General	That is correct!	Sorry, I guess it's a bit too difficult... The answer should be <color=#3291DB>Lieutenant</color>.	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	Liv
21008303	10083	1008	2				3000	Who gave me the name "Lux"?	3	Me?	Vanessa?	You?	That is correct!	Sorry, I guess it's a bit too difficult... The answer should be <color=#3291DB>Me</color>.	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	Liv
31008101		1008	3	Well... if you don't mind, I'm glad to help! I just hope I'm not holding you back.	Thank you.										Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	Liv
41008101		1008	4	It must have been my fault that Commandant got results like this... I'm sorry, I cannot assist you in my current state...	I will try harder.										Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	Liv
11009101		1009	1	Need assistance, Commandant?		0									Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Liv
11009102		1009	1	I want to help you...		11009101									Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Liv
11009103		1009	1	But it seems that there are a few steps to unlocking this frame's power.		11009102									Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Liv
11009104		1009	1	But it's just a few simple questions. I'm sure it won't be too hard for you, Commandant.		11009103									Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Liv
21009101	10091	1009	2				3000	What is Empyrea's primary DMG type?	3	Light	Lightning	Fire	As expected, Commandant remembers everything about me...	Apologies, but the correct answer is <color=#3291DB>Fire</color>. Don't worry. Just try again.	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Liv
21009102	10091	1009	2				3000	What data was Empyrea based on?	1	Agent	Ascension-Network	Omega File	As expected, Commandant remembers everything about me...	Apologies, but the correct answer is <color=#3291DB>Agent</color>. Don't worry. Just try again.	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Liv
21009103	10091	1009	2				3000	What special effect does Empyrea's Signature Move have?	3	Knockback enemies	Decrease enemy DEF	Stop time	As expected, Commandant remembers everything about me...	Apologies, but the correct answer is <color=#3291DB>Stop time</color>. Don't worry. Just try again.	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Liv
21009201	10092	1009	2				3000	Why do I use Empyrea?	2	To obtain power	To save humanity	To connect to Ascnet	As expected, Commandant remembers everything about me...	Apologies, but the correct answer is <color=#3291DB>To save humanity</color>. Don't worry. Just try again.	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Liv
21009202	10092	1009	2				3000	I'm not sure if this question is too hard, but... How do you trigger Empyrea's Core Passive?	2	Automatically after a Basic Attack Crit	Double-tap Dodge/press and hold Dodge	Press and hold Basic Attack	As expected, Commandant remembers everything about me...	Apologies, but the correct answer is <color=#3291DB>Double-tap Dodge/press and hold Dodge</color>. Don't worry. Just try again.	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Liv
21009203	10092	1009	2				3000	What is the name of Empyrea's coating?	3	Florescence	Puella Subnautica	Wings of Dawn	As expected, Commandant remembers everything about me...	Apologies, but the correct answer is <color=#3291DB>Wings of Dawn</color>. Don't worry. Just try again.	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Liv
21009301	10093	1009	2				3000	Why does Empyrea have wings?	2	To increase Energy output	To provide support	For aesthetic purposes	As expected, Commandant remembers everything about me...	Apologies, but the correct answer is <color=#3291DB>To provide support</color>. Don't worry. Just try again.	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Liv
21009302	10093	1009	2				3000	What else can Empyrea's wings be used for?	1	Opening to form a shield	Absorbing the Punishing Virus	Increasing Energy	As expected, Commandant remembers everything about me...	Apologies, but the correct answer is <color=#3291DB>Opening to form a shield</color>. Don't worry. Just try again.	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Liv
21009303	10093	1009	2				3000	What sentence appears the most in "Paper Queen of the Night"?	3	For Babylonia	Gray Raven will march on	Commandant was still asleep today	As expected, Commandant remembers everything about me...	Apologies, but the correct answer is <color=#3291DB>Commandant was still asleep today</color>. Don't worry. Just try again.	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Liv
31009101		1009	3	Wonderful, Commandant... Let me help you.	Thank you.										Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Liv
