Id	RefreshId	UniformRefresh
30090593	30090590	1
30090594	30090590	1
30090595	30090590	1
30090596	30090590	1
30090597	30090590	1
30090598	30090590	1
30090599	30090590	1
30090601	30090570	1
30090602	30090570	1
30090603	30090570	1
30090604	30090570	1
30090605	30090570	1
30090606	30090570	1
30090607	30090570	1
30090608	30090570	1
30090609	30090570	1
30090610	30090570	1
30090611	30090570	1
30090612	30090570	1
30090613	30090570	1
30090614	30090570	1
30090615	30090570	1
30090616	30090570	1
30090617	30090570	1
30090618	30090570	1
30090619	30090570	1
30090620	30090570	1
30090626	30090626	1
30090627	30090627	1
30090628	30090628	1
30090629	30090629	1
30090630	30090630	1
30090631	30090631	1
30090632	30090632	1
30090633	30090633	1
30090634	30090634	1
30090635	30090635	1
30090636	30090636	1
30090637	30090637	1
30090638	30090638	1
30090639	30090639	1
30090640	30090640	1
30090641	30090641	1
30090642	30090642	1
30090643	30090643	1
30090644	30090644	1
30090645	30090645	1
30090646	30090646	1
30090647	30090647	1
30090648	30090648	1
30090649	30090649	1
30090650	30090650	1
30090651	30090651	1
30090652	30090652	1
30090653	30090653	1
30090654	30090654	1
30090655	30090655	1
30090656	30090656	1
30090657	30090657	1
30090658	30090658	1
30090659	30090659	1
30090660	30090660	1
30090661	30090661	1
30090662	30090662	1
30090663	30090663	1
30090664	30090664	1
30090665	30090665	1
30090666	30090666	1
30090667	30090667	1
30090668	30090668	1
30090669	30090669	1
30090670	30090670	1
30090671	30090671	1
30090672	30090672	1
30090673	30090673	1
30090674	30090674	1
30090675	30090675	1
30090676	30090676	1
30090677	30090677	1
30090678	30090678	1
30090679	30090679	1
30090680	30090680	1
30090681	30090681	1
30090682	30090682	1
30090683	30090683	1
30090684	30090684	1
30090685	30090685	1
30090686	30090686	1
30090687	30090687	1
30090688	30090688	1
30090689	30090689	1
30090690	30090690	1
30090691	30090691	1
30090692	30090692	1
30090693	30090693	1
30090694	30090694	1
30090695	30090695	1
30090696	30090696	1
30090697	30090697	1
30090698	30090698	1
30090699	30090699	1
30090700	30090700	1
30090701	30090701	1
30090702	30090702	1
30090703	30090703	1
30090704	30090704	1
30090705	30090705	1
30090706	30090706	1
30090707	30090707	1
30090708	30090708	1
30090709	30090709	1
30090710	30090710	1
30090711	30090711	1
30090712	30090712	1
30090713	30090713	1
30090714	30090714	1
30090715	30090715	1
30090716	30090716	1
30090717	30090717	1
30090718	30090718	1
30090719	30090719	1
30090720	30090720	1
30090721	30090721	1
30090722	30090722	1
30090723	30090723	1
30090724	30090724	1
30090725	30090725	1
30090726	30090726	1
30090727	30090727	1
30090728	30090728	1
30090729	30090729	1
30090730	30090730	1
30090731	30090731	1
30090732	30090732	1
30090733	30090733	1
30090734	30090734	1
30090735	30090735	1
30210207	30210207	0
30210208	30210208	0
30210209	30210209	0
30210210	30210210	0
30211001	30211001	0
30211002	30211002	0
30211003	30211003	0
30211004	30211004	0
30211005	30211005	0
30211006	30211006	0
30211007	30211007	0
30211008	30211008	0
30211009	30211009	0
30211010	30211010	0
30211011	30211011	0
30211012	30211012	0
30211013	30211013	0
30211014	30211014	0
30211015	30211015	0
30211016	30211016	0
30211017	30211017	0
30211018	30211018	0
30211019	30211019	0
30211020	30211020	0
30211021	30211021	0
30211022	30211022	0
30211023	30211023	0
30211024	30211024	0
30211025	30211025	0
30211026	30211026	0
30211027	30211027	0
30211028	30211028	0
30211029	30211029	0
30211030	30211030	0
30211031	30211031	0
30211032	30211032	0
30211033	30211033	0
30211034	30211034	0
30211035	30211035	0
30211036	30211036	0
30211037	30211037	0
30211038	30211038	0
30211039	30211039	0
30211040	30211040	0
30211041	30211041	0
30211042	30211042	0
30211043	30211043	0
30211044	30211044	0
30211045	30211045	0
30211046	30211046	0
30211047	30211047	0
30211048	30211048	0
30211049	30211049	0
30211050	30211050	0
30211051	30211051	0
30211052	30211052	0
30211053	30211053	0
30211054	30211054	0
30211055	30211055	0
30211056	30211056	0
30211057	30211057	0
30211058	30211058	0
30211059	30211059	0
30211060	30211060	0
30211061	30211061	0
30211062	30211062	0
30211063	30211063	0
30211064	30211064	0
30211065	30211065	0
30211066	30211066	0
30211067	30211067	0
30211068	30211068	0
30211069	30211069	0
30211070	30211070	0
30211071	30211071	0
30211101	30211101	0
30211102	30211102	0
30211103	30211103	0
30211104	30211104	0
30211105	30211105	0
30211106	30211101	0
30211107	30211102	0
30211108	30211103	0
30211109	30211104	0
30211110	30211105	0
30211111	30211101	0
30211112	30211102	0
30211113	30211103	0
30211114	30211104	0
30211115	30211105	0
30211116	30211101	0
30211117	30211102	0
30211118	30211103	0
30211119	30211104	0
30211120	30211105	0
30211121	30211101	0
30211122	30211102	0
30211123	30211103	0
30211124	30211104	0
30211125	30211105	0
30211126	30211101	0
30211127	30211102	0
30211128	30211103	0
30211129	30211104	0
30211130	30211105	0
30211131	30211101	0
30211132	30211102	0
30211133	30211103	0
30211134	30211104	0
30211135	30211105	0
30211136	30211101	0
30211137	30211102	0
30211138	30211103	0
30211139	30211104	0
30211140	30211105	0
30211141	30211101	0
30211142	30211102	0
30211143	30211103	0
30211144	30211104	0
30211145	30211105	0
30211146	30211101	0
30211147	30211102	0
30211148	30211103	0
30211149	30211104	0
30211150	30211105	0
30211151	30211101	0
30211152	30211102	0
30211153	30211103	0
30211154	30211104	0
30211155	30211105	0
30211156	30211101	0
30211157	30211102	0
30211158	30211103	0
30211159	30211104	0
30211160	30211105	0
30211161	30211101	0
30211162	30211102	0
30211163	30211103	0
30211164	30211104	0
30211165	30211105	0
30211166	30211101	0
30211167	30211102	0
30211168	30211103	0
30211169	30211104	0
30211170	30211105	0
30211171	30211101	0
30211172	30211102	0
30211173	30211103	0
30211174	30211104	0
30211175	30211105	0
30211176	30211101	0
30211177	30211102	0
30211178	30211103	0
30211179	30211104	0
30211180	30211105	0
30211181	30211101	0
30211182	30211102	0
30211183	30211103	0
30211184	30211104	0
30211185	30211105	0
30211186	30211101	0
30211187	30211102	0
30211188	30211103	0
30211189	30211104	0
30211190	30211105	0
30211191	30211101	0
30211192	30211102	0
30211193	30211103	0
30211194	30211104	0
30211195	30211105	0
30211196	30211101	0
30211197	30211102	0
30211198	30211103	0
30211199	30211104	0
30211200	30211105	0
30211201	30211201	0
30211202	30211202	0
30211203	30211203	0
30211204	30211204	0
30211205	30211205	0
30211206	30211206	0
30211207	30211207	0
30211208	30211208	0
30211209	30211209	0
30211210	30211210	0
30211211	30211211	0
30211212	30211212	0
30211213	30211213	0
30211214	30211214	0
30211215	30211215	0
30211216	30211216	0
30211217	30211217	0
30211218	30211218	0
30211219	30211219	0
30211220	30211220	0
30211221	30211221	0
30211222	30211222	0
30211223	30211223	0
30211224	30211224	0
30211225	30211225	0
30211226	30211226	0
30211227	30211227	0
30211228	30211228	0
30211229	30211229	0
30211230	30211230	0
30211231	30211231	0
30211232	30211232	0
30211233	30211233	0
30211234	30211234	0
30211235	30211235	0
30211236	30211236	0
30211237	30211237	0
30211238	30211238	0
30211239	30211239	0
30211240	30211240	0
30211241	30211241	0
30211242	30211242	0
30211243	30211243	0
30211244	30211244	0
30211245	30211245	0
30211246	30211246	0
30211247	30211247	0
30211248	30211248	0
30211249	30211249	0
30211250	30211250	0
30211251	30211251	0
30211252	30211252	0
30211253	30211253	0
30211254	30211254	0
30211255	30211255	0
30211256	30211256	0
30211257	30211257	0
30211258	30211258	0
30211259	30211259	0
30211260	30211260	0
30211261	30211261	0
30211262	30211262	0
30211263	30211263	0
30211264	30211264	0
30211265	30211265	0
30211266	30211266	0
30211267	30211267	0
30211268	30211268	0
30211269	30211269	0
30211270	30211270	0
30211271	30211271	0
30211272	30211272	0
30211273	30211273	0
30211274	30211274	0
30211275	30211275	0
30211276	30211276	0
30211277	30211277	0
30211278	30211278	0
30211279	30211279	0
30211280	30211280	0
30211281	30211281	0
30211282	30211282	0
30211283	30211283	0
30211284	30211284	0
30211285	30211285	0
30211286	30211286	0
30211287	30211287	0
30211288	30211288	0
30211289	30211289	0
30211290	30211290	0
30211291	30211291	0
30211292	30211292	0
30211293	30211293	0
30211294	30211294	0
30211295	30211295	0
30211296	30211296	0
30211297	30211297	0
30211298	30211298	0
30211299	30211299	0
30211300	30211300	0
30050301	30050301	1
30050302	30050302	1
30050303	30050303	1
30211301	30211301	0
30211302	30211302	0
30211303	30211303	0
30211304	30211304	0
30211305	30211305	0
30211306	30211306	0
30211307	30211307	0
30211308	30211308	0
30211309	30211309	0
30211310	30211310	0
30211311	30211311	0
30211312	30211312	0
30211313	30211313	0
30211314	30211314	0
30211315	30211315	0
30211316	30211316	0
30211317	30211317	0
30211318	30211318	0
30211319	30211319	0
30211320	30211320	0
30211321	30211321	0
30211322	30211322	0
30211323	30211323	0
30211324	30211324	0
30211325	30211325	0
30211326	30211326	0
30211327	30211327	0
30211328	30211328	0
30211329	30211329	0
30211330	30211330	0
30211331	30211331	0
30211332	30211332	0
30211333	30211333	0
30211334	30211334	0
30211335	30211335	0
30211336	30211336	0
30211337	30211337	0
30211338	30211338	0
30211339	30211339	0
30211340	30211340	0
30211341	30211341	0
30211342	30211342	0
30211343	30211343	0
30211344	30211344	0
30211345	30211345	0
30211346	30211346	0
30211347	30211347	0
30211348	30211348	0
30211349	30211349	0
30211350	30211350	0
30211351	30211351	0
30211352	30211352	0
30211353	30211353	0
30211354	30211354	0
30211355	30211355	0
30211356	30211356	0
30211357	30211357	0
30211358	30211358	0
30211359	30211359	0
30211360	30211360	0
30211361	30211361	0
30211362	30211362	0
30211363	30211363	0
30211364	30211364	0
30211365	30211365	0
30211366	30211366	0
30211367	30211367	0
30211368	30211368	0
30211369	30211369	0
30211370	30211370	0
30211371	30211371	0
30211372	30211372	0
30211373	30211373	0
30211374	30211374	0
30211375	30211375	0
30211376	30211376	0
30211377	30211377	0
30211378	30211378	0
30211379	30211379	0
30211380	30211380	0
30211381	30211381	0
30211382	30211382	0
30211383	30211383	0
30211384	30211384	0
30211385	30211385	0
30211386	30211386	0
30211387	30211387	0
30211388	30211388	0
30211389	30211389	0
30211390	30211390	0
30211391	30211391	0
30211392	30211392	0
30211393	30211393	0
30211394	30211394	0
30211395	30211395	0
30211396	30211396	0
30211397	30211397	0
30211398	30211398	0
30211399	30211399	0
30211400	30211400	0
30211401	30211401	0
30211402	30211402	0
30090736	30090736	0
30090737	30090737	0
30090738	30090738	0
30090739	30090739	0
30090740	30090740	0
30090741	30090741	0
30090742	30090742	0
30090743	30090743	0
30090744	30090744	0
30090745	30090745	0
30090746	30090746	0
30090747	30090747	0
30090748	30090748	0
30090749	30090749	0
30090750	30090750	0
30090751	30090751	0
30090752	30090752	0
30090753	30090753	0
30090754	30090754	0
30090755	30090755	0
30090756	30090756	0
30090757	30090757	0
30090758	30090758	0
30090759	30090759	0
30090760	30090760	0
30090761	30090761	0
30090762	30090762	0
30090763	30090763	0
30090764	30090764	0
30090765	30090765	0
30090766	30090766	0
30090767	30090767	0
30090768	30090768	0
30090769	30090769	0
30090770	30090770	0
30090771	30090771	0
30090772	30090772	0
30090773	30090773	0
30090774	30090774	0
30090775	30090775	0
30090776	30090776	0
30090777	30090777	0
30090778	30090778	0
30090779	30090779	0
30090780	30090780	0
30090781	30090781	0
30090782	30090782	0
30090783	30090783	0
30090784	30090784	0
30090785	30090785	0
