Id	Name	NpcId[1]	NpcId[2]	NpcId[3]	NpcId[4]	NpcId[5]	NpcId[6]	NpcId[7]	NpcId[8]	NpcId[9]	NpcId[10]	Weight[1]	Weight[2]	Weight[3]	Weight[4]	Weight[5]	Weight[6]	Weight[7]	Weight[8]	Weight[9]	Weight[10]
770	Monkfish	91930										100									
771	SSG-Meanderer	93021										100									
772	DB02-Sanitizer	93011										100									
773	Phecda	91690										100									
774	Gangster (Enhanced)	93161										100									
775	Heaven Breaker (Enhanced)	93141										100									
776	Combined Auto Cannon (Enhanced)	93181										100									
777	Ambulance (Enhanced)	93191										100									
778	Wheel of Fortune (Enhanced)	93171										100									
779	Deep-sea Ambusher (Enhanced)	91460										100									
780	Protector (Enhanced)	91120										100									
781	Hetero Deconstruct Unit (Enhanced)	91600										100									
782	Buthus (Enhanced)	91940										100									
783	Recycle Prisoner (Enhanced)	91950										100									
784	Roseblade	81301										100									
785	Camu	83103										100									
786	Gabriel	83604										100									
787	Savago	818001										100									
788	Roland	81601										100									
789	Iron Maiden	817001										100									
790	Sister	814001										100									
791	Shark-speare	837002										100									
792	Nozzle	81511										100									
793	Siren	84313										100									
794	α	81901										100									
795	Musashi VI (Enhanced)	91420										100									
796	Royal Guard (Enhanced)	91340										100									
797	Polar Soldier (Enhanced)	91450										100									
798	Explorer (Enhanced)	91370										100									
799	Excavator (Enhanced)	91220										100									
800	A'Mao (Enhanced)	91740										100									
801	Ground 1 - Polar Bear (Enhanced)	91780										100									
802	Trailblazing Surfer (Enhanced)	91990										100									
803	Gear (Enhanced)	91910										100									
804	Harvester (Enhanced)	91390										100									
805	Prime	90701										100									
806	Raprap	82201										100									
807	Hanged Man III (Enhanced)	94660										100									
808	Guardian I (Enhanced)	94790										100									
809	Ronin IV (Enhanced)	94250										100									
810	Gung-hoer (Enhanced)	93161										100									
811	Repairer	99000										100									
812	Gun (Enhanced)	94220										100									
813	Musashi IX	81432										100									
814	Demon Bane (Enhanced)	93121										100									
815	God Slayer (Enhanced)	93131										100									
816	Uniframe Minion Collection	93161	94220									100	100								
817	Uniframe Elite Enemy Collection	94660	94790	94250								100	100	100							
818	Executor (Enhanced)	91180										100									
819	Construct (Extreme)	90383										100									
820	Excavator (Extreme)	90220										100									
821	A'Mao (Extreme)	90740										100									
822	Ground 1 - Polar Bear (Extreme)	90780										100									
823	Trailblazing Surfer (Extreme)	90990										100									
824	Gear (Extreme)	90913										100									
825	Harvester (Extreme)	90390										100									
826	Musashi VI (Extreme)	90420										100									
827	Royal Guard (Extreme)	90340										100									
828	Polar Soldier (Extreme)	90450										100									
829	Recycle Prisoner (Extreme)	90950										100									
830	Hanged Man III (Extreme)	95660										100									
831	Guardian I (Extreme)	95790										100									
832	Ronin IV (Extreme)	95220										100									
833	Demon Bane (Extreme)	93120										100									
834	God Slayer (Extreme)	93130										100									
835	Heaven Breaker (Extreme)	93140										100									
836	Uniframe Elite Enemy Type 1 Extreme Style Collection	93120	93130	93140								100	100	100							
837	Uniframe Elite Enemy Type 2 Extreme Style Collection	95660	95790	95220								100	100	100							
838	Solo Elite Stage Collection	90990	90913	90390	90701	90352	90400	90410	90383			100	100	100	100	100	100	100	100		
839	Nalasr-E (Enhanced)	93181										100									
840	Construct (Enhanced)	91380										100									
841	Jaspers (Enhanced)	91870										100									
842	Heal-Z (Enhanced)	93191										100									
843	PK43 Type "Sergeant" (Enhanced)	91980										100									
844	Drone (Enhanced)	93222										100									
845	Delivery Person (Enhanced)	93231										100									
846	Ambulance	93191										100									
847	Moon (Enhanced)	93241										100									
848	Black Spider (Enhanced)	91200										100									
849	Acid Ant (Enhanced)	91410										100									
850	Hydraulic (Enhanced)	91150										100									
851	Ground Monitor (Enhanced)	91090										100									
852	Heteromer Hydraulic (Enhanced)	91470										100									
853	Sentry Gun (Enhanced)	91160										100									
854	Terrapod (Enhanced)	91440										100									
855	Aerial Monitor (Enhanced)	91100										100									
856	Chela Host (Enhanced)	93302										100									
857	Redcoral Host (Enhanced)	93292										100									
858	Hetero-Consciousness Host (Enhanced)	93312										100									
859	"Good Child" (Enhanced)	93332										100									
860	"Naughty Child" (Enhanced)	93342										100									
861	"Dottie" (Enhanced)	93327										100									
862	Construct Commander (Enhanced)	93352										100									
863	Female Construct	93052										100									
864	Female Construct Commander	93061										100									
865	Missionary	91170										100									
866	Kowloong Crew - Yazi (Enhanced)	91680										100									
867	Phecda (Basic)	92690										100									
868	Courier-M (Enhanced)	93231										100									
869	Gypsum Statue (Enhanced)	93372										100									
870	Moon Eater (Enhanced)	93362										100									
871	Brain Monster (Standing)	93382										100									
872	Brain Monster (Prone)	93392										100									
