Id	Name	IsSelect	NpcId[1]	NpcId[2]	NpcId[3]	NpcId[4]	NpcId[5]	NpcId[6]	NpcId[7]	NpcId[8]	NpcId[9]	NpcId[10]
203	Micawberism Cloisters Hydraulic	0	901500									
204	Micawberism Cloisters Tamer	0	901300									
205	Micawberism Cloisters Ronin IV	0	902500									
206	Micawberism Cloisters Hetero Fire Unit	0	906200									
207	Micawberism Cloisters Executor	0	901800									
208	Micawberism Cloisters Gardener	0	902100									
209	Micawberism Cloisters Blubber VI	0	906400									
210	Micawberism Cloisters Explorer	0	903700									
211	Micawberism Cloisters Royal Guard	0	903400									
212	Micawberism Cloisters Ballwheel	0	906500									
213	Micawberism Cloisters Excavator	0	902200									
214	Micawberism Cloisters Bio-Salamander	0	902600									
215	Micawberism Cloisters Deconstructor	0	903600									
216	Micawberism Cloisters Polar Soldier	0	904500									
217	Micawberism Cloisters Prime	0	907000									
218	Micawberism Cloisters Terrapod	0	904400									
219	Micawberism Cloisters Envoy	0	903300									
220	Musashi IX	0	8120900									
221	Roseblade	0	8130000									
222	Riot	0	8215000									
223	Camu	0	8310000									
224	Fairy (Wind) Ordinary	0	93114									
225	Fairy (Wind) Extreme	0	93110									
226	Fairy (Wind) Enhanced	0	93112									
227	Fairy (Fire) Ordinary	0	93115									
228	Fairy (Fire) Extreme	0	93111									
229	Fairy (Fire) Enhanced	0	93113									
230	Treant (Ordinary)	0	93101									
231	Treant (Extreme)	0	93103									
232	Treant (Enhanced)	0	93102									
233	Zhu (Enhanced)	0	91850									
234	Sea Squirt	0	91900									
235	Pilgrim	0	91110									
236	Scorpion	0	91940									
237	Beetle	0	91830									
238	Monkfish (Enhanced)	0	91930									
239	SSG-Meanderer	0	93021									
240	DB02-Sanitizer	0	93011									
241	Phecda	0	91690									
242	Gangster (Enhanced)	0	93161									
243	Heaven Breaker (Enhanced)	0	93141									
244	Combined Auto Cannon (Enhanced)	0	93181									
245	Ambulance (Enhanced)	0	93191									
246	Wheel of Fortune (Enhanced)	0	93171									
247	Deep-sea Ambusher (Enhanced)	0	91460									
248	Protector (Enhanced)	0	91120									
249	Hetero Deconstruct Unit (Enhanced)	0	91600									
250	Buthus (Enhanced)	0	91940									
251	Recycle Prisoner (Enhanced)	0	91950									
252	Wheel of Fortune - Wheel	0	93179									
253	Roseblade	0	81300									
254	Camu	0	83110									
255	Osiris	0	87010									
256	Savago	0	81800									
257	Roland	0	81600									
258	Iron Maiden	0	817000									
259	Sister	0	814000									
260	Shark-speare	0	837000									
261	Nozzle	0	81510									
262	Siren	0	84310									
263	α	0	70220									
264	Musashi VI (Enhanced)	0	91420									
265	Royal Guard (Enhanced)	0	91340									
266	Polar Soldier (Enhanced)	0	91450									
267	Explorer (Enhanced)	0	91370									
268	Excavator (Enhanced)	0	91220									
269	A'Mao (Enhanced)	0	91740									
270	Ground 1 - Polar Bear (Enhanced)	0	91780									
271	Trailblazing Surfer (Enhanced)	0	91990									
272	Gear (Enhanced)	0	91910									
273	Harvester (Enhanced)	0	91390									
274	Prime	0	90701									
275	Raprap	0	82200									
276	Hanged Man III (Enhanced)	0	94660									
277	Guardian I (Enhanced)	0	94790									
278	Ronin IV (Enhanced)	0	94250									
279	Gung-hoer (Enhanced)	0	93161									
280	Repairer	0	99000									
281	Gun (Enhanced)	0	94220									
282	Demon Bane (Enhanced)	0	93121									
283	God Slayer (Enhanced)	0	93131									
284	Musashi IX	0	81431									
285	Executor (Enhanced)	0	91180									
286	Explorer (Extreme)	0	90370									
287	Excavator (Extreme)	0	90220									
288	A'Mao (Extreme)	0	90740									
289	Ground 1 - Polar Bear (Extreme)	0	90780									
290	Trailblazing Surfer (Extreme)	0	90990									
291	Gear (Extreme)	0	90913									
292	Harvester (Extreme)	0	90390									
293	Musashi VI (Extreme)	0	90420									
294	Royal Guard (Extreme)	0	90340									
295	Polar Soldier (Extreme)	0	90450									
296	Recycle Prisoner (Extreme)	0	90950									
297	Hanged Man III (Extreme)	0	95660									
298	Guardian I (Extreme)	0	95790									
299	Ronin IV (Extreme)	0	95220									
300	Demon Bane (Extreme)	0	93120									
301	God Slayer (Extreme)	0	93130									
302	Heaven Breaker (Extreme)	0	93140									
303	Firefighter (Extreme)	0	90352									
304	Bio-Bull (Extreme)	0	90400									
305	Acid Ant (Extreme)	0	90410									
306	Construct (Extreme)	0	90383									
307	Gabriel	0	83611									
308	Roseblade	0	81301									
309	Camu	0	83103									
310	Osiris	0	87011									
311	Vassago	0	818001									
312	Roland	0	81601									
313	Iron Maiden	0	817001									
314	Sister	0	814001									
315	Shark-speare	0	837002									
316	Nozzle	0	81511									
317	Siren	0	84313									
318	α	0	81901									
319	Musashi IX	0	81432									
320	Raprap	0	82201									
321	Gabriel	0	83604									
322	Nalasr-E (Enhanced)	0	93181									
323	Construct (Enhanced)	0	91380									
324	Jaspers (Enhanced)	0	91870									
325	Heal-Z (Enhanced)	0	93191									
326	PK43 Type "Sergeant" (Enhanced)	0	91980									
327	Drone (Enhanced)	0	93222									
328	Delivery Person (Enhanced)	0	93231									
329	Ambulance	0	93191									
330	Moon (Enhanced)	0	93241									
848	Black Spider (Enhanced)	0	91200									
849	Acid Ant (Enhanced)	0	91410									
850	Hydraulic (Enhanced)	0	91150									
851	Ground Monitor (Enhanced)	0	91090									
852	Heteromer Hydraulic (Enhanced)	0	91470									
853	Sentry Gun (Enhanced)	0	91160									
854	Terrapod (Enhanced)	0	91440									
855	Aerial Monitor (Enhanced)	0	91100									
856	Chela Host (Enhanced)	0	93302									
857	Redcoral Host (Enhanced)	0	93292									
858	Hetero-Consciousness Host (Enhanced)	0	93312									
859	"Good Child" (Enhanced)	0	93332									
860	"Naughty Child" (Enhanced)	0	93342									
861	"Dottie" (Enhanced)	0	93327									
862	Construct Commander (Enhanced)	0	93352									
863	Female Construct	0	93052									
864	Female Construct Commander	0	93061									
865	Missionary	0	91170									
866	Kowloong Crew - Yazi (Enhanced)	0	91680									
867	Phecda (Basic)	0	92690									
868	Courier-M (Enhanced)	0	93231									
869	Gypsum Statue	0	93372									
870	Moon Eater (Enhanced)	0	93362									
871	Brain Monster (Standing)	0	93382									
872	Brain Monster (Prone)	0	93392									
