Id	CharacterId	TabId	TabName	RecommendType	GroupId
211	1011003	2	War Zone	1	211
212	1031003	2	War Zone	1	212
213	1061003	2	War Zone	1	213
214	1071003	2	War Zone	1	214
215	1051003	2	War Zone	1	215
216	1021003	2	War Zone	1	216
217	1081003	2	War Zone	1	217
218	1091002	2	War Zone	1	218
219	1041003	2	War Zone	1	219
220	1111002	2	War Zone	1	220
221	1121002	2	War Zone	1	221
222	1021004	2	War Zone	1	222
223	1131002	2	War Zone	1	223
224	1511003	2	War Zone	1	224
225	1141003	2	War Zone	1	225
226	1521003	2	War Zone	1	226
227	1161002	2	War Zone	1	227
228	1181003	2	War Zone	1	228
229	1191003	2	War Zone	1	229
230	1201003	2	War Zone	1	230
231	1171003	2	War Zone	1	231
232	1531003	2	War Zone	1	232
233	1211002	2	War Zone	1	233
234	1121003	2	War Zone	1	234
235	1221002	2	War Zone	1	235
236	1131003	2	War Zone	1	236
237	1541003	2	War Zone	1	237
238	1031004	2	War Zone	1	238
239	1531004	2	War Zone	1	239
240	1551003	2	War Zone	1	240
241	1051004	2	War Zone	1	241
242	1561003	2	War Zone	1	242
243	1071004	2	War Zone	1	243
244	1571003	2	War Zone	1	244
245	1041004	2	War Zone	1	245
301	1011002	1	Phantom Pain Cage	2	3010
302	1021001	1	Phantom Pain Cage	2	3020
303	1031001	1	Phantom Pain Cage	2	3030
304	1041002	1	Phantom Pain Cage	2	3040
305	1051001	1	Phantom Pain Cage	2	3050
306	1061002	1	Phantom Pain Cage	2	3060
307	1071002	1	Phantom Pain Cage	2	3070
308	1081002	1	Phantom Pain Cage	2	3080
309	1021002	1	Phantom Pain Cage	2	3090
310	1031002	1	Phantom Pain Cage	2	3100
311	1011003	1	Phantom Pain Cage	2	3110
312	1031003	1	Phantom Pain Cage	2	3120
313	1061003	1	Phantom Pain Cage	2	3130
314	1071003	1	Phantom Pain Cage	2	3140
315	1051003	1	Phantom Pain Cage	2	3150
316	1021003	1	Phantom Pain Cage	2	3160
317	1081003	1	Phantom Pain Cage	2	3170
318	1091002	1	Phantom Pain Cage	2	3180
319	1041003	1	Phantom Pain Cage	2	3190
320	1111002	1	Phantom Pain Cage	2	3200
321	1121002	1	Phantom Pain Cage	2	3210
322	1021004	1	Phantom Pain Cage	2	3220
323	1131002	1	Phantom Pain Cage	2	3230
324	1511003	1	Phantom Pain Cage	2	3240
325	1141003	1	Phantom Pain Cage	2	3250
326	1521003	1	Phantom Pain Cage	2	3260
327	1161002	1	Phantom Pain Cage	2	3270
328	1181003	1	Phantom Pain Cage	2	3280
329	1191003	1	Phantom Pain Cage	2	3290
330	1201003	1	Phantom Pain Cage	2	3300
331	1171003	1	Phantom Pain Cage	2	3310
332	1531003	1	Phantom Pain Cage	2	3320
333	1211002	1	Phantom Pain Cage	2	3330
334	1121003	1	Phantom Pain Cage	2	3340
335	1221002	1	Phantom Pain Cage	2	3350
336	1131003	1	Phantom Pain Cage	2	3360
337	1541003	1	Phantom Pain Cage	2	3370
338	1031004	1	Phantom Pain Cage	2	3380
339	1531004	1	Phantom Pain Cage	2	3390
340	1551003	1	Phantom Pain Cage	2	3400
341	1051004	1	Phantom Pain Cage	2	3410
342	1561003	1	Phantom Pain Cage	2	3420
343	1071004	1	Phantom Pain Cage	2	3430
344	1571003	1	Phantom Pain Cage	2	3440
345	1041004	1	Phantom Pain Cage	2	3450
401	1011002	2	War Zone	2	4010
402	1021001	2	War Zone	2	4020
403	1031001	2	War Zone	2	4030
404	1041002	2	War Zone	2	4040
405	1051001	2	War Zone	2	4050
406	1061002	2	War Zone	2	4060
407	1071002	2	War Zone	2	4070
408	1081002	2	War Zone	2	4080
409	1021002	2	War Zone	2	4090
410	1031002	2	War Zone	2	4100
411	1011003	2	War Zone	2	4110
412	1031003	2	War Zone	2	4120
413	1061003	2	War Zone	2	4130
414	1071003	2	War Zone	2	4140
415	1051003	2	War Zone	2	4150
416	1021003	2	War Zone	2	4160
417	1081003	2	War Zone	2	4170
418	1091002	2	War Zone	2	4180
419	1041003	2	War Zone	2	4190
420	1111002	2	War Zone	2	4200
421	1121002	2	War Zone	2	4210
422	1021004	2	War Zone	2	4220
423	1131002	2	War Zone	2	4230
424	1511003	2	War Zone	2	4240
425	1141003	2	War Zone	2	4250
426	1521003	2	War Zone	2	4260
427	1161002	2	War Zone	2	4270
428	1181003	2	War Zone	2	4280
429	1191003	2	War Zone	2	4290
430	1201003	2	War Zone	2	4300
431	1171003	2	War Zone	2	4310
432	1531003	2	War Zone	2	4320
433	1211002	2	War Zone	2	4330
434	1121003	2	War Zone	2	4340
435	1221002	2	War Zone	2	4350
436	1131003	2	War Zone	2	4360
437	1541003	2	War Zone	2	4370
438	1031004	2	War Zone	2	4380
439	1531004	2	War Zone	2	4390
440	1551003	2	War Zone	2	4400
441	1051004	2	War Zone	2	4410
442	1561003	2	War Zone	2	4420
443	1071004	2	War Zone	2	4430
444	1571003	2	War Zone	2	4440
445	1041004	2	War Zone	2	4450
