Id	Message	CharacterHead[1]	CharacterHead[2]	CharacterHead[3]	CharacterHead[4]	CharacterName	TeamPic	UnlockTeamPic	UnlockHead	TeamName	RewardName	SinglePic[1]	SingleMessage[1]	SingleName[1]	SinglePic[2]	SingleMessage[2]	SingleName[2]	SinglePic[3]	SingleMessage[3]	SingleName[3]	SinglePic[4]	SingleMessage[4]	SingleName[4]
111	Were you able to dig up this message, Commandant? This was pretty like how we dug you out of the sand. Perhaps we should just throw it into the sea next time.	Assets/Product/Texture/Image/Role/RoleHeadR3WeilaQ.png	Assets/Product/Texture/Image/Role/RoleHead21HaoQ.png			Vera	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName11.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName11.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Cerberus	Themed Character												
112	A very entertaining event indeed. If that's possible, I'd love to have it in Kowloong as well. Would you help me out if that happens?	Assets/Product/Texture/Image/Role/RoleHeadPulaoQnew.png	Assets/Product/Texture/Image/Role/RoleHeadQuQ.png			Qu	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName12.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName12.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Kowloong Chamber of Commerce	Target Weapon												
113	Did you enjoy the show, Commandant? It really feels good to forget everything and enjoy the sea from time to time, doesn't it?	Assets/Product/Texture/Image/Role/RoleHeadLuolanQnew.png				Roland	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName13.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName13.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Roland	Basic Character												
114	When our squad was having a beach volleyball game, Lillian accidentally slammed the ball into Captain Palma's face. The anger in her eyes was...	Assets/Product/Texture/Image/Role/RoleHeadNuoanQnew.png				Noan	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName14.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName14.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Dark Aries	Arrival Target Character												
201		Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Luxiya1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Lifu1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Li1.png		Can leave blank.	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName18.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName18.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Gray Raven	Themed Event / Fate Themed Construct     	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInLucia.png	It's been another year already. With you alongside us, the Gray Ravens will keep on striving toward a new future.		Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInLiv.png	Another year that we've spent together has passed. I hope I can leave an anniversary message to you in each of the following years, Commandant.		Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInLee.png	It's good to see the Gray Raven, even after moving on to another new logbook, is still whole with everyone sticking together.				
202		Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Kuluomu1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadWanshi1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadKamu1.png	Can leave blank.	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName19.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName19.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Strike Hawk	Target Weapon	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInChrome.png	It has been a year brimming with cherished memories, Commandant. Let's continue this journey together in the times that lie ahead.		Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInKamui.png	I've just unlocked a trophy for spending a year with you, Commandant. Can't wait to earn even more trophies in the new year!		Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInWanshi.png	It was a truly hectic year, wasn't it? Don't push yourself too hard, y'know. Watch over your sleep time, quality, hideout...		Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInCamu.png	No matter how many years have passed, there's only one thing I can do for you and them—destroy everything that gets in the way.	
203		Assets/Product/Texture/Image/RolePlayer/RoleHeadLuna1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuxiyaaerfa1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan1.png		Can leave blank.	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName23.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName23.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Ascendant	Basic Character	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInLuna.png	A year has passed, which means I've already observed you for a whole year... That said, time itself has no meaning to me.		Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInAlpha.png	The only thing that matters is not how long we've been together, but what we want to achieve together. Hope you can find it to sustain our relationship.		Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInRoland.png	A year's plays have ended. I wonder what plays are in store for the new year. How about you, Commandant? Want some... surprise?				
204		Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Kalienina1.png				Can leave blank.	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName28.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName28.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Engineering Force	Arrival Target / Fate Arrival Target Character     	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInKarenina.png	This is specifically for you, so you gotta come over and say your thank you in person, got it?										
205		Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Aila1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Sailinna1.png			Can leave blank.	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName21.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName21.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	World Government Association of Art	Themed Event / Fate Themed Construct     	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInAyla.png	To commemorate our anniversary, I've drawn a portrait of you. What do you say we take a look at it together in my art studio?		Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInSelena.png	Even though I'm not here with you, I wish the wind of fortune will blow behind your sails, Commandant.							
206		Assets/Product/Texture/Image/RolePlayer/RoleHeadR5Yongyechao1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadHakama1.png			Can leave blank.	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName20.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName20.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Church of Machina	Target Weapon	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInNanami.png	Congratulations on getting my anniversary message, Commandant! Collect six more and you'll be able to summon Nanami!		Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInHaicma.png	In return for your companionship over the past year, I shall accompany you through the new year. A reasonable exchange indeed.							
207		Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Bianka1.png				Can leave blank.	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName27.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName27.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Purifying Force	Basic Character	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInBianca.png	I must say over the past year, you often pushed yourself too much, Commandant. Please remember I'm here for you whenever things stress you out.										
208		Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Weila1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadTwentyone1.png			Can leave blank.	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName25.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName25.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Cerberus	Arrival Target / Fate Arrival Target Character     	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInVera.png	Two questions: Any idea how many messes I cleaned up for you over the past year? How're you gonna repay me in the new year?		Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInNo21.png	Commandant, let's celebrate the anniversary with some card games. You, me, and Buddy... Perfect.							
209		Assets/Product/Texture/Image/RolePlayer/RoleHeadLuosaita1.png				Can leave blank.	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName26.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName26.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Arctic Route Union	Target Weapon	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInRosetta.png	A year has gone by, yet my spear will remain at your service, ready to wipe out any obstacles in your path, Commandant.										
210		Assets/Product/Texture/Image/RolePlayer/RoleHeadQu1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadPulao1.png			Can leave blank.	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName24.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName24.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Kowloong Chamber of Commerce	Basic Character	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInQu.png	As time flies by, everything changes. Though I often find this pleasurable, something should just stay as is. Don't you think so, Commandant?		Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInPulao.png	Wow, it's already been another year?! I was barely even aware of it! Let's make an anniversary cake together, Commandant!							
211		Assets/Product/Texture/Image/RolePlayer/RoleHeadNuoan1.png				Can leave blank.	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName15.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName15.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Dark Aries	Themed Event / Fate Themed Construct     	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInNoan.png	I hope this will bring blessings upon you, Commandant. May you be safe and happy in the new year.										
212		Assets/Product/Texture/Image/RolePlayer/RoleHeadR2Bangbinata1.png				Can leave blank.	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName16.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName16.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Egret	Target Weapon	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInBambinata.png	Bambinata from the past would want you to have this. Thank you for your caring and kindness, Commandant.										
213		Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian1.png				Can leave blank.	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName22.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName22.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Forsaken	Basic Character	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInWatanabe.png	Another year passed. You know you're welcome to drop by anytime you want. I've just got a new guitar. I want you to listen to a song I created recently.										
214		Assets/Product/Texture/Image/RolePlayer/RoleHeadSufeiya1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadChangyu1.png			Can leave blank.	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName17.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName17.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Akdilek Commercial Alliance	Arrival Target / Fate Arrival Target Character     	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInSophia.png	I'm looking forward to continuing the pursuit of the goals left undone from last year with you, Commandant.		Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInChangyu.png	Into the new year we go! Let me know anytime you need backup. All the bills've been sent to Nikola's office, don't worry!							
