Id	Name	ModelName
60	Hetero Explore Unit	Me1YihekantandanyuanMd000001
61	Heteromer Terminal	Me1YijuzhongduanMd000001
62	Kowloong Crew - Yazi	Me1JiulongzhongyaziMd000001
63	Prime X	Me1ZhizunMd000001
64	A'Mao	Me1XiguajunMd000002UI
65	Ground 1 - Polar Bear	Me1XiongrenMd000002UI
66	Guardian I	Me1DiaorenyixingMd000001UI
67	Moyuan	Me1YunluMd000003UI
68	Jaspers	Me1YasibeiersiMd010001UI
69	Gear	Me1UnknownMd010001UI
70	Recycle Prisoner	Me1JiegouqiutuMd010001UI
71	PK-43 "Sheriff"	Me1PoliceMd010001UI
72	Trailblazing Surfer	Me1SkaterboyMd010001UI
73	Roseblade	Mb1SwordMd030001
74	Musashi IX	Me1SwordMd002001
75	Nozzle	Mb1OrphanMd030001
76	Iron Maiden	Mb1VirginbioMd030001
77	Vassago	Mb1SandwormMd030001
78	Unknown Construct α	Mb1LuxiyaMd000003
79	Roland	Mb1LuolanMd010001
80	Rosetta	Mb1LuosaitarenMd000001
81	Camu	Mb1XiuMd010003
82	Qu	Mb1MelodyMd010001
83	Huaxu	Mb1MelodyhuaxuMd10001
84	Gabriel	Mb1JiabailieMd000001
85	Shark-speare	Mb1AolajiangMd010001
86	Shark-speare	Mb1AolajiangMd010002
87	Amberia	Mb1BaiyangnvMd010001
88	Luna	Mb1LunaMd010001UI
89	Pterygota Queen	Mb1XigeluenMd010002UI
90	Machiavelli	Mb1MajiyaweiliMd010001UI
91	Siren	Mb1SirenMd010001UI
92	Hetero-Hive Mother	Mb1MotherMd010001UI
93	Voodoo	Mb1VoodooMd010001UI
94	Lamia	Mb1LamiyaMd010001UI
95	Mysterious Twins: Male & Female	Mb1OniisanMd010003UI
96	Construct Captain (Female)	Mo1CyborgleaderMd10001UI
97	Construct Soldier (Female)	Mo1CyborgsoldierMd10001UI
98	Treant	Mo1ShujingMd010001UI
99	Fairy	Mo1XiaojinglingMd010001UI
100	Gung-hoer	Mo1GangsterMd000001UI
101	Nalasr-E	Mo1HetipaotaiMd010001UI
102	Heal-Z	Mo1HetiyiliaojiMd010001UI
103	Courier-M	Me1HetigongzuojiqiMd010001UI
104	Deporter-R	Mo1HetiwurenjiMd010001UI
105	Sanctuary Guard	Me1ShengtangMd010001UI
106	Dragon	Me1WutailongMd010001UI
107	Heaven Breaker	Me1GuitaristMd000001UI
108	God Slayer	Me1KeyboardistMd000001UI
109	Demon Bane	Me1DrummerMd000001UI
110	Wheel of Fortune	Me1HetimingyunzhilunMd010001UI
111	Unknown Data Cluster	Mb1PunishdataMd010001UI
112	Hamlet	Mb1HamuleiteMd010001UI
113	Raprap	Mb1RapperMd000001UI
114	Trailblazer	Mb1StarknightMd010001UI
115	Riot	Mb1BraveMd010011SameColor
116	Gabriel - Starfall	Mb1JiabailieMd000002
117	Moon Eater	Mb1MoonguyMd010001UI
118	Lithos	Mb1HuoshaMd010001UI2
119	Iron Maiden: Phantom	Mb1TifaMd010001UI
120	Primal Projection	Mb1MercyMd010001UI
121	Hetero-Consciousness Host (Basic)	Me1TwofacerMd010001UI
122	"Dottie"	Me1PuppetMd010001UI
123	"Good Child"	Mo1GoodgirlMd010001UI
124	"Naughty Child"	Mo1BadboyMd010001UI
125	Elite Construct	Mo1GztcaptainMd010001UI
