Id	OpenDay	Intro[1]	Intro[2]	Intro[3]	Intro[4]	Intro[5]	Intro[6]	Feature[1]	Feature[2]	ShowFightEventIds[1]	ShowFightEventIds[2]	ShowFightEventIds[3]	GridBg	IndexText	IsLastOne
30161124	0	1. All characters are deployed simultaneously	2. In this stage, the enemy has a special affix Rigid Body that refreshes every 10 sec. The affix is destroyed when the enemy is hit 100 times, causing the enemy to lose 20% of max HP. The affix Rigid Body refreshes 5s after being destroyed	3. Recommend bringing Omniframes with the "High Frequency Attack" feature	4. Deployed characters are locked upon clear. Reset to unlock them			2		32012	110012		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png		
30161125	0	1. All characters are deployed simultaneously	2. In this stage, the enemy will not actively move. When it is forced to move, it will take True DMG equal to a percentage of its max HP that scales with the displacement	3. Recommend bringing Omniframes with the "Pull" feature	4. Deployed characters are locked upon clear. Reset to unlock them			7		32013	110013		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png		
30161126	0	1. All characters are deployed simultaneously	2. In this stage, all your members' CRIT DMG increases by 150%, the DMG dealt to the enemy from behind increases by 150%, and the DMG dealt to the enemy from other directions reduces greatly	3. Recommend bringing Omniframes with the "Critical" and "Enmity Vortex" features	4. Deployed characters are locked upon clear. Reset to unlock them			6	12	110007	51096		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png		
30161127	0	1. All characters are deployed simultaneously	2. In this stage, the enemy will trigger a special skill every minute, dealing huge damage to the enemy and you at the same time in 10s	3. Recommend bringing Omniframes with the "Health Recovery" and "DMG Reduction" features	4. Deployed characters are locked upon clear. Reset to unlock them			4	8	110008	32001		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png		
30161128	0	1. All characters are deployed simultaneously	2. In this stage, when all your members have shields, your attacks will consume 50% of the current shields and deal True DMG equal to the consumed value x100. This effect triggers every other second	3. Recommend bringing Omniframes with the "Shield" feature	4. Deployed characters are locked upon clear. Reset to unlock them			10		33001	32143		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png		
30161129	0	1. All characters are deployed simultaneously	2. In this stage, there is a dying device on the field which you can heal. When the device's HP is full, your units will get 500% Extra DMG bonus.	3. Recommend bringing Omniframes with the "Health Recovery" feature	4. Deployed characters are locked upon clear. Reset to unlock them			4		33032	32021		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png		
30161130	0	1. All characters are deployed simultaneously	2. In this stage, the enemy's ATK and DMG Reduction are very high. It has  one attack move only, and when this attack hits or is blocked, its DMG Reduction will reduce by 10% (Cannot be triggered during dodge)	3. Recommend bringing Omniframes with the "Health Recovery" and "DMG Reduction" features	4. Deployed characters are locked upon clear. Reset to unlock them			4	8	33033	32022		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png		
30161131	0	1. Boss will enter a <color=#0e70bd>5-second Weak status</color> <color=#0e70bd>every 30s</color>, during which time the boss will <color=#0e70bd>receive 20% more damage</color>.	2. Use <color=#0e70bd>Sudden Change Burst (Offense Reinforcement I)</color> to deal damage to a Weak boss.	3. Recommended: <color=#0e70bd>Attacker</color> Omniframes and Omniframes that can deal <color=#0e70bd>Burst</color> damage				14	3				Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png	1	
30161132	0	1. Boss <color=#0e70bd>gain 10% ATK every 10s</color>. This effect can be stacked up to 20 times.	2. Use the <color=#0e70bd>Sudden Change Burst (Offense Reinforcement I)</color> to finish the battle asap.	3. Recommended: <color=#0e70bd>Attacker</color> Omniframes and Omniframes that can deal <color=#0e70bd>Burst</color> or <color=#0e70bd>CRIT</color> damage				14	3	772605			Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png	2A	
30161133	0	1. Enemies have a <color=#0e70bd>Enhanced Rigid Body</color>, which will be removed after <color=#0e70bd>100 attacks</color> taken. Upon losing the Enhanced Rigid Body, the enemies will lose 20% of Max HP. A Rigid Body Affix will <color=#0e70bd>restore 10s</color> after being removed.	2. Use <color=#0e70bd>Corrupting Mark (Offense Reinforcement II)</color> to restore HP and multiple-hit attacks to defeat the opponent.	3. Recommended: <color=#0e70bd>Attacker</color> Omniframes and Omniframes that can deal <color=#0e70bd>High Frequency Attacks</color>				14	2	772606			Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png	3A	
30161134	0	1. Clear the stage to unlock <color=#0e70bd>Corrupting Mark (Offense Reinforcement II)</color>.	2.<color=#0e70bd>Revive with half-full HP</color> if there are still monsters in the stage <color=#0e70bd>15s after an enemy dies</color>.	3. Use Tank Omniframes to <color=#0e70bd>pull enemies</color> and then use <color=#0e70bd>Sudden Change Burst (Attacker Reinforcement I)</color> to kill them directly.	4. Recommended: <color=#0e70bd>Attacker</color> Omniframes and <color=#0e70bd>Tank</color> Omniframes respectively			14	15				Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png	2B	
30161135	0	1. Clear the stage to unlock <color=#0e70bd>Corrupting Mark (Advance Reinforcement II)</color>.	2. Your characters keep losing HP with the HP reduction speed increasing once <color=#0e70bd>every 25s</color>. The HP reduction speed can be reset upon the boss' HP dropping to <color=#0e70bd>70%/40%/10%</color>.	3. Recommended to use the <color=#0e70bd>Corrupting Mark (Offense Reinforcement II)</color> to keep HP and finish the battle asap.	4. Recommended: <color=#0e70bd>Attacker</color> Omniframes			14		712002			Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png	3B	
30161136	0	1. Enemies <color=#0e70bd>gain 10% ATK every 10s</color>. This effect can be stacked up to 20 times.	2. <color=#0e70bd>After 50s</color>, enemies' attacks will also inflict the Bleed effect that <color=#0e70bd>reduce 3% HP every second</color>.	3. Recommended to use the <color=#0e70bd>Corrupting Mark (Offense Reinforcement II)</color> to keep HP and finish the battle asap.	4. This is a <color=#0e70bd>Special Dispatch Zone</color> stage. <color=#0e70bd>Uniframes</color> are recommended.			18		772607	772605		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png	4	1
30161137	0	1.<color=#0e70bd>Revive with half-full HP</color> if there are still monsters in the stage <color=#0e70bd>15s after an enemy dies</color>.	2. According to the number of revivals, add <color=#0e70bd>Black Hole</color> and <color=#0e70bd>Berserk</color> respectively.	3. Use Tank Omniframes to <color=#0e70bd>pull enemies</color> and then use the recommended <color=#0e70bd>Corrupting Mark (Attacker Reinforcement II)</color> to keep HP and finish the battle.	4. Recommended: <color=#0e70bd>Attacker</color> Omniframes and <color=#0e70bd>Tank</color> Omniframes respectively			14	15	760411	110211		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png		
30161138	0	1. Enemies inflict <color=#0e70bd>Bleed</color> on the hatred target every 25s.	2. Enable <color=#0e70bd>Weakening Core (Defense Reinforcement I)</color> to resist damage.	3. Recommended: <color=#0e70bd>Tank</color> Omniframes and Omniframes with a <color=#0e70bd>shield</color>				15	10	772607			Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png	1	
30161139	0	1. Enemies have high-value Super Armor bar and receive less damage with the presence of the Super Armor bar. They will <color=#0e70bd>receive significantly more damage after the Super Armor bar disappears</color>. The Super Armor bar <color=#0e70bd> will be refreshed 10s after it disappears</color>.	2. Enable <color=#0e70bd>Weakening Core (Defense Reinforcement I)</color> to resist damage.	3. Recommended: <color=#0e70bd>Tank</color> Omniframes and Omniframes with <color=#0e70bd>DMG Reduction</color>				15	8				Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png	2A	
30161140	0	1. Clear the stage to unlock <color=#0e70bd>True Space (Defense Reinforcement II)</color>.	2. Switches links once every 20s. When in a <color=#0e70bd>blue link</color>, the character <color=#0e70bd>gains 20% ATK</color>.	3. Use Tank Constructs to <color=#0e70bd>fix the enemies' positions</color> and deal <color=#0e70bd>ranged damage</color> to them.	4. Recommended: <color=#0e70bd>Tank</color> Omniframes and <color=#0e70bd>Attacker</color> Omniframes that can deal <color=#0e70bd>damage</color>			15	17				Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png	3A	
30161141	0	1. Enemies will <color=#0e70bd>burst for 5s every 20s</color>. And every time an enemy attacks, they deal additional True DMG equal to 10% HP. This effect will <color=#0e70bd>be interrupted when the enemy receive True DMG</color> during a burst.	2. Enable <color=#0e70bd>True Space (Defense Reinforcement II)</color> at the right time to interrupt a burst.	3. Recommended: <color=#0e70bd>Tank</color> Omniframes and <color=#0e70bd>Attacker</color> Omniframes respectively				15	14				Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png	2B	
30161142	0	1. Enemies cast a skill to the current target every 20 seconds. If there is a <color=#0e70bd>red circle, stay away</color> from teammates. If there is a <color=#0e70bd>green circle, stay close</color> to teammates. Failing to do this will deal massive single damage to your members.	2. Enable <color=#0e70bd>Weakening Core (Defense Reinforcement I)</color> to resist damage.	3. Recommended: <color=#0e70bd>Tank</color> Omniframes, <color=#0e70bd>Support</color> Omniframes, and <color=#0e70bd>DMG Reduction</color> Omniframes				15	16				Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png		
30161143	0	1. Switches links once <color=#0e70bd>every 40s</color> and inflicts <color=#0e70bd>Bleed</color> on the hatred target. When in a <color=#0e70bd>blue link</color>, the character <color=#0e70bd>gains 20% ATK</color>. And when in a <color=#0e70bd>red link</color>, the character <color=#0e70bd>loses 80% ATK</color>.	2. Bleed: Deals True DMG equal to <color=#0e70bd>40% of Max HP</color> every second for <color=#0e70bd>3s</color>	3. Use Tank Constructs to <color=#0e70bd>fix the enemies' positions</color> and deal <color=#0e70bd>ranged damage</color> to them.	4. Recommended: <color=#0e70bd>Tank</color> Omniframes and <color=#0e70bd>Attacker</color> Omniframes that can deal <color=#0e70bd>ranged damage</color>			15	17	772607			Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png	3B	
30161144	0	1. Enemies will <color=#0e70bd>burst for 10s every 20s</color>. And every time an enemy attacks, they deal additional True DMG equal to 10% HP. This effect will <color=#0e70bd>be interrupted when the enemy receive True DMG</color> during a burst.	2. Enable <color=#0e70bd>True Space (Defense Reinforcement II)</color> at the right time to interrupt a burst.	3. Recommended: <color=#0e70bd>Tank</color> Omniframes and <color=#0e70bd>Support</color> Omniframes respectively				15	16	760412	110222		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png	4	1
30161145	0	1. <color=#0e70bd>At the beginning of the battle</color>, inflicts <color=#0e70bd>Grave Wounds</color> on the character you control. And inflicts <color=#0e70bd>Grave Wounds</color> on the same character every <color=#0e70bd>20s</color>.	2. Grave Wounds: <color=#0e70bd>This will be triggered when HP drops below 90%</color>. After that, the character affected by this will receive increasing periodical damage. Restore the character's HP back to <color=#0e70bd>90% or above to remove the effect</color>.	3. Enable <color=#0e70bd>Emergency Repair (Assist Reinforcement I)</color> at the right time to restore full HP.	4. Recommended: <color=#0e70bd>Support</color> Omniframes and any other Omniframes			16		772609			Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png	2A	
30161146	0	1. Clear the stage to unlock <color=#0e70bd>Overload Recharge (Assist Reinforcement II)</color>.	2. Enemies deal <color=#0e70bd>full-screen massive damage</color> every 25s.	3. Enable <color=#0e70bd>Emergency Repair (Assist Reinforcement I)</color> at the right time to restore full HP.	4. Recommended: <color=#0e70bd>Support</color> Omniframes and <color=#0e70bd>Attacker</color> Omniframes respectively			16	14				Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png	2B	
30161147	0	1. Enemies' attacks also inflict <color=#0e70bd>Bleed</color> and reduce 1% of Max HP every second for 5s. Meanwhile, the <color=#0e70bd>True DMG the enemies received double</color>.	2. Enable <color=#0e70bd>Overload Recharge (Assist Reinforcement II)</color> to heal and deal True DMG.	3. Recommended: <color=#0e70bd>Support</color> Omniframes and any other Omniframes				16		772607	712002		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png	3A	
30161148	0	1. <color=#0e70bd>Cross Thunder will be triggered</color> every <color=#0e70bd>15s</color>. Remember to watch out.	2. Enable <color=#0e70bd>Emergency Repair (Assist Reinforcement I)</color> to restore full HP.	3. Recommended: <color=#0e70bd>Support</color> Omniframes and <color=#0e70bd>Tank</color> Omniframes				16	15				Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png	3B	
30161149	0	1. Enemies reduce all your units to <color=#0e70bd>1 HP</color> <color=#0e70bd>every 30s</color> and then deal two wide-range attacks.	2. Enable <color=#0e70bd>Emergency Repair (Assist Reinforcement I)</color> at the right time to avoid being seckilled by the boss.	3. Recommended: <color=#0e70bd>Support</color> Omniframes and <color=#0e70bd>Tank</color> Omniframes				16	15				Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png	1	
30161150	0	1. <color=#0e70bd>Cross Thunder will be triggered twice</color> every <color=#0e70bd>15s</color>. Remember to watch out.	2. Enable <color=#0e70bd>Emergency Repair (Assist Reinforcement I)</color> to restore full HP.	3. Recommended: <color=#0e70bd>Support</color> Omniframes and <color=#0e70bd>Tank</color> Omniframes				16	15				Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png	4	1
30161151	0	1. Enemies' attacks also inflict <color=#0e70bd>Bleed</color> and reduce <color=#0e70bd>5% of Max HP</color> every second for 5s. Meanwhile, the <color=#0e70bd>True DMG the enemies received double</color>.	2. Enable <color=#0e70bd>Overload Recharge (Assist Reinforcement II)</color> to avoid <color=#0e70bd>Cold Trail</color> and <color=#0e70bd>deal True DMG</color> to defeat the opponent.	3. Recommended: <color=#0e70bd>Support</color> Omniframes and any other Omniframes				16		780601	760353		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png		
30161152	0	1. Enemies <color=#0e70bd>gain 10% ATK every 8s</color>. This effect can be stacked up to 20 times.	2. All Assault stacks will be removed and start to accumulate again upon enemies' HP dropping to <color=#0e70bd>66%</color> and <color=#0e70bd>33%</color> respectively.	3. Use the <color=#0e70bd>Corrupting Mark (Offense Reinforcement II)</color> to keep HP.	4. Recommended: <color=#0e70bd>Attacker</color> Omniframes and Omniframes that can deal <color=#0e70bd>Burst</color> damage			14	3	772605			Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png	1	
30161153	0	1. Switches links once every <color=#0e70bd>20s</color>. When in a <color=#0e70bd>blue link</color>, the character <color=#0e70bd>gains 50% ATK</color>. And when in a <color=#0e70bd>red link</color>, the character <color=#0e70bd>loses 50% ATK</color>.	2. Use the <color=#0e70bd>Corrupting Mark (Offense Reinforcement II)</color> to keep HP.	3. Recommended: <color=#0e70bd>Tank</color> Omniframes and <color=#0e70bd>Attacker</color> Omniframes				15	17				Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png	2	
30161154	0	1. Enemies' attacks also inflict <color=#0e70bd>Bleed</color> and reduce 2% of Max HP every second for 5s. Meanwhile, the <color=#0e70bd>True DMG the enemies received double</color>.	2. The character will receive a <color=#0e70bd>5-second Null Heal</color> effect every <color=#0e70bd>20s</color>.	3. Enable <color=#0e70bd>Overload Recharge (Assist Reinforcement II)</color> to heal and deal True DMG.	4. Recommended: <color=#0e70bd>Support</color> Omniframes and any other Omniframes			16		772607	712002		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png	3	
30161155	0	1. Upon the death of the <color=#0e70bd>first enemy</color>, all the remaining enemies will <color=#0e70bd>restore to full HP</color> and gain <color=#0e70bd>Berserk 3</color> and <color=#0e70bd>Assault 3</color>.	2. Upon the death of the <color=#0e70bd>second enemy</color>, all the remaining enemies will <color=#0e70bd>restore to full HP</color> and gain <color=#0e70bd>Berserk 3</color>, <color=#0e70bd>Assault 3</color>, <color=#0e70bd>Lightning Shield 3</color>, and <color=#0e70bd>Radiation 3</color>.	3. Use Tank Omniframes to <color=#0e70bd>pull enemies</color> and then use the <color=#0e70bd>Corrupting Mark (Attacker Reinforcement II)</color> to keep HP and kill them.	4. Recommended: <color=#0e70bd>Attacker</color> Omniframes and <color=#0e70bd>Tank</color> Omniframes respectively			14	15				Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png	4	
30161156	0	1. Enemies <color=#0e70bd>gain 10% ATK every 7s</color>. This effect can be stacked up to 20 times.	2. <color=#0e70bd>After 35s</color>, enemies' attacks will also inflict the Bleed effect that <color=#0e70bd>reduce 3% HP every second</color>.	3. Recommended to use the <color=#0e70bd>Corrupting Mark (Offense Reinforcement II)</color> to keep HP and finish the battle asap.	4. This is a <color=#0e70bd>Special Dispatch Zone</color> stage. It provides 20% ATK bonus to <color=#0e70bd>Vanguard</color> Omniframes.			18		772605	763325	772607	Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png	5	
30161157	0	1. <color=#0e70bd>At the beginning of the battle</color>, inflicts <color=#0e70bd>Grave Wounds</color> on the character you control. And inflicts <color=#0e70bd>Grave Wounds</color> on the same character every <color=#0e70bd>15s</color>.	2. Grave Wounds: <color=#0e70bd>This will be triggered when HP drops below 90%</color>. After that, the character affected by this will receive increasing periodical damage. Restore the character's HP back to <color=#0e70bd>90% or above to remove the effect</color>.	3. Enable <color=#0e70bd>Emergency Repair (Assist Reinforcement I)</color> to restore full HP.	4. Recommended: <color=#0e70bd>Support</color> Omniframes and any other Omniframes			16		772609			Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png	6	
30161158	0	1. <color=#0e70bd>Cross Thunder will be triggered 3 times</color> every <color=#0e70bd>12s</color>. Remember to watch out.	2. Enable <color=#0e70bd>Emergency Repair (Assist Reinforcement I)</color> to restore full HP.	3. Recommended: <color=#0e70bd>Support</color> Omniframes and <color=#0e70bd>Tank</color> Omniframes				16	15				Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png	7	
30161159	0	1. Enemies have a <color=#0e70bd>Enhanced Rigid Body</color>, which will be removed after <color=#0e70bd>200 attacks</color> taken. Upon losing the Enhanced Rigid Body, an enemy will lose 10% of Max HP. And upon the removal of a Rigid Body Affix, explosive damage will be done to the surroundings once. The Rigid Body will <color=#0e70bd>restore in 10s</color>.	2. Use <color=#0e70bd>Corrupting Mark (Offense Reinforcement II)</color> to restore HP and multiple-hit attacks to defeat the opponent.	3. Recommended: <color=#0e70bd>Attacker</color> Omniframes and Omniframes that can deal <color=#0e70bd>High Frequency Attacks</color>				14	2	772606			Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png	8	
30161160	0	1. The character deals 150% more CRIT DMG. Enemies receive <color=#0e70bd>150% more damage from behind</color> and 50% less damage from other directions.	2. Use <color=#0e70bd>Corrupting Mark (Offense Reinforcement II)</color> to restore HP and multiple-hit attacks to defeat the opponent.	3. Recommended: <color=#0e70bd>Tank</color> Omniframes and <color=#0e70bd>Attacker</color> Omniframes that can deal <color=#0e70bd>CRIT</color> damage				14	15				Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png	9	
30161161	0	1. Switches links once <color=#0e70bd>every 20s</color> and inflicts <color=#0e70bd>Bleed</color> on the hatred target. When in a <color=#0e70bd>blue link</color>, the character <color=#0e70bd>gains 20% ATK</color>. And when in a <color=#0e70bd>red link</color>, the character <color=#0e70bd>loses 80% ATK</color>.	2. Bleed: Deals True DMG equal to <color=#0e70bd>40% of Max HP</color> every second for <color=#0e70bd>3s</color>	3. Use Reinforcement Skills and characters wisely	4. Recommended: <color=#0e70bd>Tank</color> Omniframes and <color=#0e70bd>Attacker</color> Omniframes that can deal <color=#0e70bd>ranged damage</color>			15	17	772607			Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png	10	
30162404	0	1. <color=#0e70bd>Sand Storm</color>: Blows the player in a certain direction. Gain immunity to this effect with the Extreme Super Armor granted by <color=#0e70bd>Attacker or Vanguard class synergy skills</color>.						14					Assets/Product/Texture/Image/UiCoupleCombat/FenGuangGuanKaNei2.png		
30162405	0	1. <color=#0e70bd>Still Trap</color>: A Still Trap will be summoned to a character and stun a character. It will trigger an explosion <color=#0e70bd>12s</color> later and deal <color=#0e70bd>seckill-level True DMG</color> to the stunned character (fixed). If the <color=#0e70bd>stunned character is not the one you control</color>, it cannot use synergy skills. <color=#0e70bd>Approach the character to remove the Still Trap</color> to dispel the stunned effect and avoid damage.						14					Assets/Product/Texture/Image/UiCoupleCombat/FenGuangGuanKaNei2.png		
30162406	0	1. <color=#0e70bd>Earthquake</color>: Triggers an earthquake and generates 1 earthquake area every <color=#0e70bd>6s</color> at a random location. Each earthquake area will generate earthquake waves once every <color=#0e70bd>2s</color> and deal damage to player character(s) in it.	2. Interact with the <color=#0e70bd>Earthcrust Stabilizer(s)</color> in the scene to <color=#0e70bd>clear the earthquake areas on the field and stop the earthquake</color>.					14					Assets/Product/Texture/Image/UiCoupleCombat/FenGuangGuanKaNei2.png		
30162407	0	1. <color=#0e70bd>Sand Storm</color>: Blows the player in a certain direction. Gain immunity to this effect with the Extreme Super Armor granted by <color=#0e70bd>Attacker or Vanguard class synergy skills</color>.	2. <color=#0e70bd>Still Trap</color>: A Still Trap will be summoned to a character and stun a character. It will trigger an explosion <color=#0e70bd>12s</color> later and deal <color=#0e70bd>seckill-level True DMG</color> to the stunned character (fixed). If the <color=#0e70bd>stunned character is not the one you control</color>, it cannot use synergy skills. <color=#0e70bd>Approach the character to remove the Still Trap</color> to dispel the stunned effect and avoid damage.					14					Assets/Product/Texture/Image/UiCoupleCombat/FenGuangGuanKaNei2.png		
30162408	0	1. <color=#0e70bd>Sand Storm</color>: Blows the player in a certain direction. Gain immunity to this effect with the Extreme Super Armor granted by <color=#0e70bd>Attacker or Vanguard class synergy skills</color>.	2. <color=#0e70bd>Earthquake</color>: Triggers an earthquake and generates 1 earthquake area every <color=#0e70bd>6s</color> at a random location. Each earthquake area will generate earthquake waves once every <color=#0e70bd>2s</color> and deal damage to player character(s) in it.	3. Interact with the <color=#0e70bd>Earthcrust Stabilizer(s)</color> in the scene to <color=#0e70bd>clear the earthquake areas on the field and stop the earthquake</color>.				14					Assets/Product/Texture/Image/UiCoupleCombat/FenGuangGuanKaNei2.png		
