Id	Weight	MinDis	MaxDis	CharacterIds[1]	CharacterIds[2]	State[1]	State[2]
84	10	4	7	1141003	1021003	HATE	HATE
85	10	1	7	1521003	1021004	LOVE	LOVE
86	10	4	7	1521003	1021003	HATE	HATE
87	10	1	7	1161002	1031002	LOVE	LOVE
88	10	1	7	1161002	1111002	LOVE	LOVE
89	10	1	7	837000	1091002	LOVE	LOVE
90	10	1	7	1171003	1021001	LOVE	LOVE
91	10	1	7	1171003	1021003	LOVE	LOVE
92	10	1	7	1181003	1191003	LOVE	LOVE
93	10	1	7	1211002	1061002	LOVE	LOVE
94	10	1	7	1211002	1061003	LOVE	LOVE
95	10	1	7	1211002	1121002	LOVE	LOVE
96	10	1	7	1211002	1511003	LOVE	LOVE
97	10	4	7	1121002	81600	HATE	HATE
98	10	1	7	1531003	1091002	LOVE	LOVE
99	10	4	7	1531003	81600	HATE	HATE
100	10	1	7	1121003	1061003	LOVE	LOVE
101	10	1	7	1121003	1061002	LOVE	LOVE
102	10	1	7	1121003	1211002	LOVE	LOVE
103	10	1	7	1221002	1131002	LOVE	LOVE
104	10	1	7	1131003	1221002	LOVE	LOVE
105	10	4	7	1131003	81600	HATE	HATE
106	10	1	7	1541003	1171003	LOVE	LOVE
107	10	1	7	1541003	1021003	LOVE	LOVE
108	10	1	7	1031004	1021004	LOVE	LOVE
109	10	1	7	1031004	1011003	LOVE	LOVE
110	10	1	7	1531004	1091002	LOVE	LOVE
111	10	1	7	1531004	1541003	LOVE	LOVE
112	10	1	7	1551003	1161002	LOVE	LOVE
113	10	1	7	1551003	1111002	LOVE	LOVE
114	10	1	7	1051004	1021004	LOVE	LOVE
115	10	1	7	1051004	1031004	LOVE	LOVE
116	10	1	7	1051004	1041003	LOVE	LOVE
117	10	1	7	1561003	1051004	LOVE	LOVE
118	10	1	7	1561003	1051003	LOVE	LOVE
119	10	1	7	1561003	1051001	LOVE	LOVE
120	10	1	7	1071004	1041002	LOVE	LOVE
121	10	1	7	1071004	837000	LOVE	LOVE
122	10	1	7	1571003	1081002	LOVE	LOVE
123	10	1	7	1571003	1011003	LOVE	LOVE
124	10	1	7	1571003	1161002	LOVE	LOVE
