Id	ClassId	TalentType	Name	Desc	Level	UseOwn	CostItemId	CostItemCount	FightEventId[1]	FightEventId[2]	FightEventId[3]
47	3	1	Active Recharge	An active skill. Once the skill is cast, all members will restore <color=#34aff8>20% HP</color> and a group of Signal Orbs of the same color. Cooldown: <color=#34aff8>23s</color>.	2	1	96116	90	2240358		
48	3	1	Active Recharge	An active skill. Once the skill is cast, all members will restore <color=#34aff8>20% HP</color> and a group of Signal Orbs of the same color. Cooldown: <color=#34aff8>18s</color>.	3	1	96116	90	2240359		
49	3	1	Active Recharge	An active skill. Once the skill is cast, all members will restore <color=#34aff8>20% HP</color> and a group of Signal Orbs of the same color. Cooldown: <color=#34aff8>14s</color>.	4	1	96116	90	2240360		
50	3	1	Active Recharge	An active skill. Once the skill is cast, all members will restore <color=#34aff8>20% HP</color> and a group of Signal Orbs of the same color. Cooldown: <color=#34aff8>11s</color>.	5	1			2240361		
51	3	2	Speed Enhancement	When the mechanism judgment is triggered, all members will gain <color=#34aff8>25% movement speed</color> for <color=#34aff8>5s</color>.	0	1	96116	90			
52	3	2	Speed Enhancement	When the mechanism judgment is triggered, all members will gain <color=#34aff8>25% movement speed</color> for <color=#34aff8>5s</color>.	1	1	96116	90	2240362		
53	3	2	Speed Enhancement	When the mechanism judgment is triggered, all members will gain <color=#34aff8>25% movement speed</color> for <color=#34aff8>6s</color>.	2	1	96116	90	2240363		
54	3	2	Speed Enhancement	When the mechanism judgment is triggered, all members will gain <color=#34aff8>25% movement speed</color> for <color=#34aff8>7s</color>.	3	1	96116	90	2240364		
55	3	2	Speed Enhancement	When the mechanism judgment is triggered, all members will gain <color=#34aff8>25% movement speed</color> for <color=#34aff8>8s</color>.	4	1	96116	90	2240365		
56	3	2	Speed Enhancement	When the mechanism judgment is triggered, all members will gain <color=#34aff8>25% movement speed</color> for <color=#34aff8>10s</color>.	5	1			2240366		
57	3	3	Energy Recharge	During mechanism result calculation, all members will gain <color=#34aff8>5 FEVER</color>.	0	0	96116	90			
58	3	3	Energy Recharge	During mechanism result calculation, all members will gain <color=#34aff8>5 FEVER</color>.	1	0	96116	90	2240367		
59	3	3	Energy Recharge	During mechanism result calculation, all members will gain <color=#34aff8>6 FEVER</color>.	2	0	96116	90	2240368		
60	3	3	Energy Recharge	During mechanism result calculation, all members will gain <color=#34aff8>7 FEVER</color>.	3	0	96116	90	2240369		
61	3	3	Energy Recharge	During mechanism result calculation, all members will gain <color=#34aff8>8 FEVER</color>.	4	0	96116	90	2240370		
62	3	3	Energy Recharge	During mechanism result calculation, all members will gain <color=#34aff8>10 FEVER</color>.	5	0			2240371		
63	3	4	Core Support	In the FEVER status, revives all teammates, makes all members invincible with 1 HP, restores <color=#34aff8>10% HP</color> every second, and gains 2 groups of Signal Orbs of the same color every 12s.	0	0	96116	90			
64	3	4	Core Support	In the FEVER status, revives all teammates, makes all members invincible with 1 HP, restores <color=#34aff8>10% HP</color> every second, and gains 2 groups of Signal Orbs of the same color every 12s.	1	0	96116	90	2240372		
65	3	4	Core Support	In the FEVER status, revives all teammates, makes all members invincible with 1 HP, restores <color=#34aff8>11% HP</color> every second, and gains 2 groups of Signal Orbs of the same color every 12s.	2	0	96116	90	2240373		
66	3	4	Core Support	In the FEVER status, revives all teammates, makes all members invincible with 1 HP, restores <color=#34aff8>12% HP</color> every second, and gains 2 groups of Signal Orbs of the same color every 12s.\nPassive: All classes' Signal Orb recovery interval -20%.	3	0	96116	90	2240374		
