Id	Name	Title	NameplateQuality	Group	Description	NameplateGameplayType	Hint[1]	Hint[2]	Hint[3]	Hint[4]	NameplateGetWay	NameplateUpgradeType	Params[0]	Params[1]	DecomposeExp	UpgradeExp	ConvertItemId	ConvertItemCount	ExpireTimeStr	Duration	IconType	Icon	BackBoard	OutLineColor	QualityIcon	EffectRes	IsNewTextureIcon
17000011	Test Nameplate 11	Nameplate 11	2	4	Item Conversion - Test Nameplate	Test Mode 4	Converts to 1000 Cogs				Mode Rewards	4					1	1000		604800	2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303040FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel11.png		
17000012	Test Nameplate 12	Nameplate 12	3	4	Item Conversion - Test Nameplate	Test Mode 4	Converts to 1500 Cogs				Mode Rewards	4					1	1500		604800	2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303041FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel20.png		
17000013	Test Nameplate 13	Nameplate 13	1	5	Permanently Owned - Test Nameplate	Test Mode 5	Permanently Owned				Mode Rewards	1									2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303042FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel21.png		
17000014	Test Nameplate 14	Nameplate 14	2	5	Permanently Owned - Test Nameplate	Test Mode 5	Permanently Owned				Mode Rewards	1									2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303043FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel22.png		
17000015	Test Nameplate 15	Nameplate 15	3	5	Permanently Owned - Test Nameplate	Test Mode 5	Permanently Owned				Mode Rewards	1									2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303044FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel30.png		
17000016	Test Nameplate 16	Nameplate 16	1	6	Appointed Day - Test Nameplate	Test Mode 6	Expires on April 5				Mode Rewards	1							2021/4/5		2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303045FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17000017	Test Nameplate 17	Nameplate 17	2	6	Appointed Day - Test Nameplate	Test Mode 6	Expires on April 5				Mode Rewards	1							2021/4/5		2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303046FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17000018	Test Nameplate 18	Nameplate 18	3	6	Appointed Day - Test Nameplate	Test Mode 6	Expires on April 5				Mode Rewards	1							2021/4/5		2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303047FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
17000019	Test Nameplate 19	Nameplate 19	1	7	Time + Date - Test Nameplate	Test Mode 7	Valid for 7 days and expires on April 5				Mode Rewards	1							2021/4/5	604800	2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303048FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel10.png		
17000020	Test Nameplate 20	Nameplate 20	2	7	Time + Date - Test Nameplate	Test Mode 7	Valid for 7 days and expires on April 5				Mode Rewards	1							2021/4/5	604800	2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303049FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel11.png		
17000021	Test Nameplate 21	Nameplate 21	3	7	Time + Date - Test Nameplate	Test Mode 7	Valid for 7 days and expires on April 5				Mode Rewards	1							2021/4/5	604800	2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303050FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel20.png		
17040101	Unerring	Unerring	1	401	Thank you for your support—Lee	Eden Festival	After adding 10000 Pop value to Lee in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Lee in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	1	10000							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17040102	Unerring	Unerring	2	401	Thank you for your support—Lee	Eden Festival	After adding 10000 Pop value to Lee in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Lee in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	1	22500							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17040103	Unerring	Unerring	3	401	Thank you for your support—Lee	Eden Festival	After adding 10000 Pop value to Lee in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Lee in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2									2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
17040201	Well-rested	Well-rested	1	402	Thank you for your support—Wanshi	Eden Festival	After adding 10000 Pop value to Wanshi in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Wanshi in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	2	10000							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17040202	Well-rested	Well-rested	2	402	Thank you for your support—Wanshi	Eden Festival	After adding 10000 Pop value to Wanshi in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Wanshi in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	2	22500							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17040203	Well-rested	Well-rested	3	402	Thank you for your support—Wanshi	Eden Festival	After adding 10000 Pop value to Wanshi in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Wanshi in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2									2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
17040301	Paladin	Paladin	1	403	Thank you for your support—Roland	Eden Festival	After adding 10000 Pop value to Roland in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Roland in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	3	10000							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17040302	Paladin	Paladin	2	403	Thank you for your support—Roland	Eden Festival	After adding 10000 Pop value to Roland in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Roland in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	3	22500							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17040303	Paladin	Paladin	3	403	Thank you for your support—Roland	Eden Festival	After adding 10000 Pop value to Roland in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Roland in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2									2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
17040401	Connoisseur	Connoisseur	1	404	Thank you for your support—Camu	Eden Festival	After adding 10000 Pop value to Camu in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Camu in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	4	10000							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17040402	Connoisseur	Connoisseur	2	404	Thank you for your support—Camu	Eden Festival	After adding 10000 Pop value to Camu in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Camu in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	4	22500							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17040403	Connoisseur	Connoisseur	3	404	Thank you for your support—Camu	Eden Festival	After adding 10000 Pop value to Camu in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Camu in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2									2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
17040501	Forsaken	Forsaken	1	405	Thank you for your support—Watanabe	Eden Festival	After adding 10000 Pop value to Watanabe in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Watanabe in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	5	10000							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17040502	Forsaken	Forsaken	2	405	Thank you for your support—Watanabe	Eden Festival	After adding 10000 Pop value to Watanabe in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Watanabe in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	5	22500							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17040503	Forsaken	Forsaken	3	405	Thank you for your support—Watanabe	Eden Festival	After adding 10000 Pop value to Watanabe in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Watanabe in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2									2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
17040601	Perfectionist	Perfectionist	1	406	Thank you for your support—Chrome	Eden Festival	After adding 10000 Pop value to Chrome in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Chrome in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	6	10000							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17040602	Perfectionist	Perfectionist	2	406	Thank you for your support—Chrome	Eden Festival	After adding 10000 Pop value to Chrome in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Chrome in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	6	22500							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17040603	Perfectionist	Perfectionist	3	406	Thank you for your support—Chrome	Eden Festival	After adding 10000 Pop value to Chrome in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Chrome in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2									2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
17040701	Merchant	Merchant	1	407	Thank you for your support—Changyu	Eden Festival	After adding 10000 Pop value to Changyu in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Changyu in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	7	10000							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17040702	Merchant	Merchant	2	407	Thank you for your support—Changyu	Eden Festival	After adding 10000 Pop value to Changyu in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Changyu in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	7	22500							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17040703	Merchant	Merchant	3	407	Thank you for your support—Changyu	Eden Festival	After adding 10000 Pop value to Changyu in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Changyu in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2									2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
17040801	Praise The Sun	Praise The Sun	1	408	Thank you for your support—Kamui	Eden Festival	After adding 10000 Pop value to Kamui in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Kamui in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	8	10000							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17040802	Praise The Sun	Praise The Sun	2	408	Thank you for your support—Kamui	Eden Festival	After adding 10000 Pop value to Kamui in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Kamui in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	8	22500							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17040803	Praise The Sun	Praise The Sun	3	408	Thank you for your support—Kamui	Eden Festival	After adding 10000 Pop value to Kamui in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Kamui in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2									2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
17040901	Demolitionist	Demolitionist	1	409	Thank you for your support—Karenina	Eden Festival	After adding 10000 Pop value to Karenina in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Karenina in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	9	10000							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17040902	Demolitionist	Demolitionist	2	409	Thank you for your support—Karenina	Eden Festival	After adding 10000 Pop value to Karenina in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Karenina in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	9	22500							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17040903	Demolitionist	Demolitionist	3	409	Thank you for your support—Karenina	Eden Festival	After adding 10000 Pop value to Karenina in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Karenina in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2									2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
17041001	Pulao Crew	Pulao Crew	1	410	Thank you for your support—Pulao	Eden Festival	After adding 10000 Pop value to Pulao in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Pulao in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	10	10000							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17041002	Pulao Crew	Pulao Crew	2	410	Thank you for your support—Pulao	Eden Festival	After adding 10000 Pop value to Pulao in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Pulao in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	10	22500							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17041003	Pulao Crew	Pulao Crew	3	410	Thank you for your support—Pulao	Eden Festival	After adding 10000 Pop value to Pulao in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Pulao in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2									2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
17041101	Snow Ranger	Snow Ranger	1	411	Thank you for your support—Rosetta	Eden Festival	After adding 10000 Pop value to Rosetta in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Rosetta in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	11	10000							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17041102	Snow Ranger	Snow Ranger	2	411	Thank you for your support—Rosetta	Eden Festival	After adding 10000 Pop value to Rosetta in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Rosetta in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	11	22500							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17041103	Snow Ranger	Snow Ranger	3	411	Thank you for your support—Rosetta	Eden Festival	After adding 10000 Pop value to Rosetta in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Rosetta in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2									2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
17041201	Superior	Superior	1	412	Thank you for your support—Luna	Eden Festival	After adding 10000 Pop value to Luna in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Luna in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	12	10000							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17041202	Superior	Superior	2	412	Thank you for your support—Luna	Eden Festival	After adding 10000 Pop value to Luna in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Luna in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	12	22500							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17041203	Superior	Superior	3	412	Thank you for your support—Luna	Eden Festival	After adding 10000 Pop value to Luna in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Luna in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2									2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
17041301	Saint	Saint	1	413	Thank you for your support—Bianca	Eden Festival	After adding 10000 Pop value to Bianca in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Bianca in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	13	10000							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17041302	Saint	Saint	2	413	Thank you for your support—Bianca	Eden Festival	After adding 10000 Pop value to Bianca in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Bianca in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	13	22500							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17041303	Saint	Saint	3	413	Thank you for your support—Bianca	Eden Festival	After adding 10000 Pop value to Bianca in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Bianca in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2									2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
17041401	Storm Dancer	Storm Dancer	1	414	Thank you for your support—Selena	Eden Festival	After adding 10000 Pop value to Selena in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Selena in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	14	10000							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17041402	Storm Dancer	Storm Dancer	2	414	Thank you for your support—Selena	Eden Festival	After adding 10000 Pop value to Selena in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Selena in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	14	22500							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17041403	Storm Dancer	Storm Dancer	3	414	Thank you for your support—Selena	Eden Festival	After adding 10000 Pop value to Selena in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Selena in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2									2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
17041501	Royal Consort	Royal Consort	1	415	Thank you for your support—Qu	Eden Festival	After adding 10000 Pop value to Qu in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Qu in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	15	10000							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17041502	Royal Consort	Royal Consort	2	415	Thank you for your support—Qu	Eden Festival	After adding 10000 Pop value to Qu in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Qu in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2	15	22500							2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17041503	Royal Consort	Royal Consort	3	415	Thank you for your support—Qu	Eden Festival	After adding 10000 Pop value to Qu in Eden Festival, quality ranks up to Silver	After adding 22500 Pop value to Qu in Eden Festival, quality ranks up to Gold			Available through voting for the candidates in the Eden Festival	2									2		Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
