Role	State	Target	TransitionDuration
S02307_jiuhuche_Ani	AnyState	Attack04	0.1
S02307_jiuhuche_Ani	AnyState	Move1	0.1
S02307_jiuhuche_Ani	AnyState	Move2	0.1
S02307_jiuhuche_Ani	AnyState	Move3	0.1
S02307_jiuhuche_Ani	Stand2	Standchange	0.1
S02307_jiuhuche_Ani	Stand2	Run	0.2
S02307_jiuhuche_Ani	Stand2	Walk	0.3
S02307_jiuhuche_Ani	Stand2	Walkb	0.3
S02307_jiuhuche_Ani	Stand2	Walkl	0.3
S02307_jiuhuche_Ani	Stand2	Walkr	0.3
S02307_jiuhuche_Ani	Stand1	Run	0.2
S02307_jiuhuche_Ani	Stand1	Walk	0.1
S02307_jiuhuche_Ani	Standchange	Stand1	0.1
S02307_jiuhuche_Ani	Standchange	Run	0.1
S02307_jiuhuche_Ani	Standchange	Walk	0.1
S02307_jiuhuche_Ani	Run	Stop	0.2
S02307_jiuhuche_Ani	Run	Stand2	0.2
S02307_jiuhuche_Ani	Run	Runb	0.2
S02307_jiuhuche_Ani	Run	Runl	0.2
S02307_jiuhuche_Ani	Run	Runr	0.2
S02307_jiuhuche_Ani	Walk	Stand2	0.1
S02307_jiuhuche_Ani	Hit1	Stand2	0
S02307_jiuhuche_Ani	Hit2	Stand2	0
S02307_jiuhuche_Ani	Behitfly	Hoverhit	0.1
S02307_jiuhuche_Ani	Behitfly	Falldown	0.1
S02307_jiuhuche_Ani	Hoverhit	Falldown	0.1
S02307_jiuhuche_Ani	Falldown	Lieonfloor	0.1
S02307_jiuhuche_Ani	Hitdown	Lieonfloor	0.1
S02307_jiuhuche_Ani	Standup	Stand2	0.1
S02307_jiuhuche_Ani	Straight	Stand2	0.1
S02307_jiuhuche_Ani	Stun	Stand2	0.1
S02307_jiuhuche_Ani	TurnLeft	Stand2	0.1
S02307_jiuhuche_Ani	TurnRight	Stand2	0.1
S02307_jiuhuche_Ani	Win	Win2	0.1
S02307_jiuhuche_Ani	Runb	Stand2	0.2
S02307_jiuhuche_Ani	Runb	Run	0.2
S02307_jiuhuche_Ani	Runb	Runl	0.2
S02307_jiuhuche_Ani	Runb	Runr	0.2
S02307_jiuhuche_Ani	Runl	Stand2	0.2
S02307_jiuhuche_Ani	Runl	Run	0.2
S02307_jiuhuche_Ani	Runl	Runb	0.2
S02307_jiuhuche_Ani	Runl	Runr	0.2
S02307_jiuhuche_Ani	Runr	Stand2	0.2
S02307_jiuhuche_Ani	Runr	Run	0.2
S02307_jiuhuche_Ani	Runr	Runb	0.2
S02307_jiuhuche_Ani	Runr	Runl	0.2
S02307_jiuhuche_Ani	Stop	Stand2	0.1
S02307_jiuhuche_Ani	Walkb	Stand2	0.1
S02307_jiuhuche_Ani	Walkb	Walk	0.2
S02307_jiuhuche_Ani	Walkb	Walkl	0.1
S02307_jiuhuche_Ani	Walkb	Walkr	0.1
S02307_jiuhuche_Ani	Walkl	Stand2	0.1
S02307_jiuhuche_Ani	Walkl	Walk	0.1
S02307_jiuhuche_Ani	Walkl	Walkb	0.1
S02307_jiuhuche_Ani	Walkl	Walkr	0.2
S02307_jiuhuche_Ani	Walkr	Stand2	0.1
S02307_jiuhuche_Ani	Walkr	Walk	0.1
S02307_jiuhuche_Ani	Walkr	Walkb	0.1
S02307_jiuhuche_Ani	Walkr	Walkl	0.2
S02307_jiuhuche_Ani	Hit3	Stand2	0
S02307_jiuhuche_Ani	Hit4	Stand2	0
S02307_jiuhuche_Ani	RunStart	Run	0
S02307_jiuhuche_Ani	RunStart	RunStartEnd01	0.1
