Id	Name	BuffBg	BuffTriangleBg	Desc	TeachingContents[1]	TeachingContents[2]	TeachingContents[3]	TeachingContents[4]	TeachingContents[5]	TeachingContents[6]	TeachingContents[7]	TeachingContents[8]	TeachingContents[9]	TeachingContents[10]	BuffSuggestAbility
32144	<color=#34aff9><size=34>Lightning Mine</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32151.png		Enemy attacks plant a mine under their target that detonates after some time, dealing Physical DMG equal to 15% of their ATK.											
32145	<color=#34aff9><size=34>Lightning Mine II</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png													
32146	<color=#34aff9><size=34>Lightning Mine III</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png													
32147	<color=#34aff9><size=34>Invisibility</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png		Attack invisible enemies to cause them to appear and be unable to go invisible again for 3s.											
32148	<color=#34aff9><size=34>Mechanic Target</size></color>			<color=#CF0000>Dodge red orbs and destroy crystals</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain01.png										
32149	<color=#34aff9><size=34>Red Crystal</size></color>			After defeating, all red orbs on the battlefield will convert to blue orbs.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain07.png										
32150	<color=#34aff9><size=34>Red Orb</size></color>			Dodge red orbs, or they will explode when they get too close.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain01.png										
32151	<color=#34aff9><size=34>Blue Orb</size></color>			When red orbs are converted into blue orbs, they will attack the nearest enemy.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain03.png										
32152	<color=#34aff9><size=34>Soundwave Fever Value</size></color>			After destroying all crystals or triggering all red orbs, Fever will be calculated by the number of converted blue orbs.											
32153	<color=#34aff9><size=34>Mechanic Target</size></color>			<color=#CF0000>Lay red tiles and destroy crystals to convert them into blue tiles</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain04.png										
32154	<color=#34aff9><size=34>Red Crystal</size></color>			After destroying a crystal, there is a chance for all red orbs on the battlefield to conver to blue orbs.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain07.png										
32155	<color=#34aff9><size=34>Spotlight</size></color>			After entering the mechanic, the area surrounding the player will flash white, green, yellow and red every second. Once the tile flashes red, it will stay red.											
32156	<color=#34aff9><size=34>Red Tile</size></color>			Red tiles will explode if spotlights shine on them. Be careful!	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain02.png										
32157	<color=#34aff9><size=34>Blue Tile</size></color>			Converted from red tiles	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain04.png										
32158	<color=#34aff9><size=34>Spotlight Fever Value</size></color>			After destroy all of the crystals, Fever will be calculated based on the number of blue tiles converted.											
32159	<color=#34aff9><size=34>Mechanic Target</size></color>			<color=#CF0000>Aim and attack crystals to defeat fairies in a straight line</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain06.png										
32160	<color=#34aff9><size=34>Precision Crystal</size></color>			Direction signs will appear at close range. Destroying the crystal will send a wrecking ball that direction and destroy fairies in a straight line.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain06.png										
32161	<color=#34aff9><size=34>Fairy</size></color>			Can only by destroyed by wrecking ball	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain05.png										
32162	<color=#34aff9><size=34>Crash Fever Value</size></color>			After destroying a crystal or all fairies, Fever will be calculated based on the number of fairies defeated.											
32163	<color=#34aff9><size=34>Mechanic Target</size></color>			<color=#CF0000>While avoiding red orbs, destroy crystals to convert red tiles and orbs.</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain04.png										
32164	<color=#34aff9><size=34>Fever Value</size></color>			Fever will be calculated based on the number of blue orbs and tiles											
32165	<color=#34aff9><size=34>Mechanic Target</size></color>			While aiming attacks in a straight line to defeat fairies, convert as many red tiles on the ground as possible.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain06.png										
32166	<color=#34aff9><size=34>Fever Value</size></color>			Fever will be calculated based on the number of fairies defeated and blue tiles converted.											
32167	<color=#34aff9><size=34>Mechanic Target</size></color>			<color=#CF0000>While avoiding red orbs, defeat as many fairies as possible</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain01.png										
32168	<color=#34aff9><size=34>Fever Value</size></color>			Fever will be calculated based on the number of fairies and blue orbs destroyed.											
32169	<color=#34aff9><size=34>Co-op Mechanic</size></color>			A boss will shuttle between team members every 30s. Members not facing the boss will have to deal with the mechanics. Maintain the Fever status to defeat the boss!	Text: Use talents and stage clearing mechanisms to support your teammates. Your Fever value will be calculated after clearing a mechanic. Once the entire team reaches 100 Fever, the team will enter a Fever state and gain a massive bonus!										
32170	<color=#34aff9><size=34>Soundwave Dodge III</size></color>			Dodge red orbs and destroy crystals.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain01.png										
32171	<color=#34aff9><size=34>Spotlight Battlefield</size></color>			Lay red tiles and destroy crystals to convert them to blue tiles.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain04.png										
32172	<color=#34aff9><size=34>Crystal Crash</size></color>			Aim and attack crystals to defeat fairies in a straight line.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain06.png										
32173	<color=#34aff9><size=34>Mechanic Target</size></color>			<color=#CF0000>Pick up all signal orbs as quickly as possible</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain13.png										
32174	<color=#34aff9><size=34>Signal Orb</size></color>			After picking up, trigger talent 2 to buff you and your teammates.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain13.png										
32175	<color=#34aff9><size=34>Mechanic Target</size></color>			<color=#CF0000>Arrive at the endpoint, then learn how to raise and lower walls.</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain09.png										
32176	<color=#34aff9><size=34>Blue Wall</size></color>			Walking over wall tiles will raise then. Once fully enclosed, the walls will turn yellow and begin to slowly lower.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain09.png	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain10.png									
32177	<color=#34aff9><size=34>Red Wall</size></color>			Can form an enclosed wall	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain08.png										
32178	<color=#34aff9><size=34>Mechanic Target</size></color>			<color=#CF0000>Pick up all signal orbs</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain13.png										
32179	<color=#34aff9><size=34>Mechanic Target</size></color>			<color=#CF0000>Defeat enemies and pick up all the Orbs</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain14.png										
32180	<color=#34aff9><size=34>Orb</size></color>			Defeat all the enemies on the battlefield. Pick up Orbs of the same color for 2 points. Pick up Orbs of a different color for 1 point.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain14.png										
32181	<color=#34aff9><size=34>Mechanic Target</size></color>			<color=#CF0000>Dodge red orbs and defeat enemies</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain16.png										
32182	<color=#34aff9><size=34>Angry Players</size></color>			Red orbs will continuously spawn at the edge of the battlefield and rush to the player after a period of time. Destroy them to increase Fever.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain16.png										
32183	<color=#34aff9><size=34>Conscious Players</size></color>			Converts after defeating the Angry Players	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain15.png										
32184	<color=#34aff9><size=34>Mechanic Target</size></color>			<color=#CF0000>Defeat enemies and illuminate star lanterns</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain11.png										
32185	<color=#34aff9><size=34>Star Lantern</size></color>			Players must stand under a star lantern for 5s to activate it, then it will disappear in 15s.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain11.png	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain12.png									
32186	<color=#34aff9><size=34>Star Lantern Illumination</size></color>			Fighting under spotlights will reward the corresponding buff.	text:Lanterns will turn either red, yellow, or green depending on the class that illuminates them.	text: [Red]: DMG +55%	text: [Yellow]: DMG Reduction +55%	text: [Green]：Recover 10% of Max HP every second							
32187															
