StageId	Title	Description	Icon	PhaseDescription
30100814	Thermal Armament	Karenina gains thermal energy by 3-Pings and Signature Moves. She becomes enhanced and gains a certain amount of Fire DMG Bonus after her thermal energy reaches 50%. When enhanced, she loses 5% of thermal energy per second. Each level of Core Passive increases her starting thermal energy by 3%.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Kalie01.png	Construct Tutorial
30100815	Overclocking Resonance	Nanami accumulates energy by Basic Attacks and pinging orbs. Performs a Signature Move up to 3 times after the energy is accumulated to a certain level. After a Signature Move, Nanami enters Overclocking state. Basic Attacks of Nanami will then deal Fire DMG and reduce a certain amount of Fire Resistance of the target being hit.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Qishi01.png	Construct Tutorial
30100816	Crimson Abyss - Blade Will	Lucia accumulates Blade Will by a Blue Orb 3-Ping. 3-Ping again to trigger a backward dodge and Lucia will enter Blade Will state that grants Super Armor. In this state, all Signal Orbs will be converted into Blade Will and two additional Signal Orbs will be gained. Clicking the Blade Will Orbs will unleash sword waves.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Luxiyaaerfa02.png	Construct Tutorial
30100817	Vector Cube	Pinging a Blue Orb after any 3-Ping will cause Ayla to charge up, draw in nearby enemies, and gain a shield equal to 8% of her maximum HP for 7s. Ayla then unleashes a heavy strike to the targets ahead, dealing a large amount of Physical DMG. DMG taken reduces by 70% when charging.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Aila01.png	Construct Tutorial
30100818	Cosmic Wave	When pinging a Red Orb after any 3-Ping, transforms into shadow and launches consecutive attacks to deal Dark DMG at the area ahead. When finished, enters enhanced shadow form that allows Basic Attacks to deal additional Dark DMG and Chasing Blade to deal additional Dark DMG. Lasts 5s.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Dubian01.png	Construct Tutorial
30100819	Critical Moment	Enters into sniping mode when pinging a Blue Orb after a Red Orb 3-Ping. During so, Basic Attack shoots a long-ranged lightning arrow to deal Lightning DMG. Exits sniping mode if 6 lightning arrows are shot or if 6 seconds pass. Dodging in sniping mode will lower the charge time of the next Basic Attack.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Bianka01.png	Construct Tutorial
30100820	Field Supplies	On the last combo of Basic Attack, 3-Ping, Signature Move, or QTE, targets will drop an Energy Ball. Picking up an Energy Ball heals friendly members in the area and boosts their Fire DMG. Picking up an Energy Ball earns Sophia Energy and Heat and increases her ATK.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Sufeiya01.png	Construct Tutorial
30100821	Arclight Shield	Any 3-Ping + Blue Orb will generate a shield that blocks damage. The shield explodes and deals wide area damage when it expires or when it becomes refreshed.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Kuluomu01.png	Construct Tutorial
30100822	Halcyonic Blossoms	Every 3-ping made in the Normal Form generates 50% more Energy and 1 Signature Point. Up to 2 Signature Points can be accumulated. Using Form Switch in the Normal Form will transform Plume into the Arctic Form. Switching with full Energy will re-arrange all the existing Signal Orbs. Ice DMG is increased when in the Arctic Form. A 3-ping grants 1 Signature Point. Final - Halcyonic Blossoms requires 4 Signature Points to cast.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR4Luxiya01.png	Construct Tutorial
30100823	Surging Madness	Any 3-Ping in the normal mode will accumulate Madness (up to 3 stacks). Once Camu reaches full Madness, he will gain additional Signature Energy from any 3-Ping. When he enters the Berserk mode, he will consume all Madness stacks and gain a DMG bonus based on the number of Madness stacks consumed.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Kamu01.png	Construct Tutorial
30100824	Mass Illusion	Overclock Pts are earned automatically over time or through pinging Signal Orbs. Once Vera has enough Overclock Pts, long tap the Basic Attack to launch her Core Attack. Vera's Core Attack deals Dark DMG in an area, and Physical DMG to targets in melee range. Vera will consume Overclock Pts and gain energy when casting her Core Attack.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Weila01.png	Construct Tutorial
30100825	Wide-area electromagnetic cannon	Rosetta can have up to 3 energy points. When performing a 3-Ping, consumes 1 energy point to gain DMG Bonus. When performing a Signature, consumes up to 2 energy points to gain DMG Bonus based on the energy points consumed. If there are no energy points left, Rosetta enters Full Burst form. Tap and hold basic attack to build up her power. When at max power, she will fire [wide-area electromagnetic cannon]. 3 energy points will be restored in 8s after this shot.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Luosaita01.png	Construct Tutorial
30100826	Follow-Up	Changyu has a special "Follow-Up" Orb that normally cannot be pinged or tagged. It will light up for a while upon a 3-Ping. Tap it to perform different follow-up skills based on the color of orbs pinged.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Changyu01.png	Character Tutorial
30100827	Concentrated Will	Pinging orbs or performing a Signature Move will accumulate Sync Rate. When the Sync Rate is at maximum, Signal Orbs are enhanced, and Qu enters the Concentrated Will state once an orb is pinged. Enhanced Signal Orbs can only be pinged individually. When pinged (no Energy granted), costs Sync Rate and triggers a 3-Ping skill and Concentrated Will. The Sync Rate goes down over time in the Concentrated Will state.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Qu01.png	Character Tutorial
30100155	Laser Cluster	After any 3-Ping, the next Red Orb skill carries out laser beams.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Lifu01.png	Construct Tutorial
30100156	EX - Slash Storm	When pinging a Yellow Orb after a 3-Ping, Nanami will use EX - Slash Storm and launch 8 consecutive attacks at nearby targets, dealing a certain amount of Physical DMG per attack.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Qishi01.png	Construct Tutorial
30100157	In Matrix, 1 orb=3-Ping / Red Orbs=passive effect.	Pinging a Red Orb within 4 seconds after any 3-Ping will make Lucia Burst. Lucia then replaces Basic Attacks with Dual Blades.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1luxiya01.png	Construct Tutorial
30100171	Blue Orb QTE Description	Pinging a 3-Ping Blue Orb can activate the teammate in blue place. Clicks to trigger the QTE skill of that character.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue04A.png	QTE Tutorial
30100172	Yellow Orb QTE Description	Pinging a 3-Ping Yellow Orb can activate the teammate in blue place. Clicks to trigger the QTE skill of that character.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue04B.png	QTE Tutorial
30100173	Ping Tips	When having 4 Skill Orbs with the same color, click the outmost Skill Orb to save a 3-Ping skill by only pinging one Orb. This trick can be used to use two consecutive 3-Ping skills within Matrix.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue05.png	Ping Tutorial
30100303	In Matrix, 1 orb=3-Ping / Red Orbs=passive effect.	Pinging a Red Orb within 4 seconds after any 3-Ping will make Lucia Burst. Lucia then replaces Basic Attacks with Dual Blades.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue02A.png	Construct Tutorial
30100304	In Matrix, 1 orb=3-Ping / Red Orbs=passive effect.	After any 3-Ping, the next Red Orb skill carries out laser beams.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue03A.png	Construct Tutorial
30100305	In Matrix, 1 orb=3-Ping / Yellow Orbs=passive effect.	When pinging a Yellow Orb after a 3-Ping, Nanami will use EX - Slash Storm and launch 8 consecutive attacks at nearby targets, dealing a certain amount of Physical DMG per attack.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue03B.png	Construct Tutorial
30100306	In Matrix, 1 orb=3-Ping / Red Orbs=passive effect.	Pinging a Red Orb within 4 seconds after any 3-Ping will make Lucia Burst. Lucia then replaces Basic Attacks with Dual Blades.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue02A.png	Construct Tutorial
30101001	Annihilation	The next Orb pinged is regarded 3-Ping after a 3-Ping. Accumulate Annihilation Points and press and hold the basic attack button to enter the Annihilation State, change the basic attack form, and obtain Annihilation Orbs. Ping Annihilation Orbs to gain Energy and cast targeted spikes. Basic Attack consumes Annihilation Points in the Annihilation State, while Signature Move depletes all Annihilation Points. After depleting all Annihilation Points or being swapped out, exit the Annihilation State.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Luna01.png	Construct Tutorial
30101002	Critical Moment	Enters into sniping mode when pinging a Blue Orb after a Red Orb 3-Ping. During so, Basic Attack shoots a long-ranged lightning arrow to deal Lightning DMG. Exits sniping mode if 6 lightning arrows are shot or if 6 seconds pass. Dodging in sniping mode will lower the charge time of the next Basic Attack.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Bianka01.png	Construct Tutorial
30101003	Reversed Egretfield	Hitting a marked enemy with Basic Attacks has a chance to trigger Lightning Lure that deals Lightning DMG. Red Orb has 30%, 60% and 100% of chance to trigger Lightning Lure. When triggered for the 5th time, the next Lightning Lure will carry out Ex - Lightning Lure, dealing Lightning DMG to enemies and healing allies in the area.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Lifu01.png	Construct Tutorial
301008373	Annihilation	The next Orb pinged is regarded 3-Ping after a 3-Ping. Accumulate Annihilation Points and press and hold the basic attack button to enter the Annihilation State, change the basic attack form, and obtain Annihilation Orbs. Ping Annihilation Orbs to gain Energy and cast targeted spikes. Basic Attack consumes Annihilation Points in the Annihilation State, while Signature Move depletes all Annihilation Points. After depleting all Annihilation Points or being swapped out, exit the Annihilation State.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Luna01.png	Construct Tutorial
301008311	Annihilation	The next Orb pinged is regarded 3-Ping after a 3-Ping. Accumulate Annihilation Points and press and hold the basic attack button to enter the Annihilation State, change the basic attack form, and obtain Annihilation Orbs. Ping Annihilation Orbs to gain Energy and cast targeted spikes. Basic Attack consumes Annihilation Points in the Annihilation State, while Signature Move depletes all Annihilation Points. After depleting all Annihilation Points or being swapped out, exit the Annihilation State.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Luna01.png	Construct Tutorial
30101004	Wide-area electromagnetic cannon	Rosetta can have up to 3 energy points. When performing a 3-Ping, consumes 1 energy point to gain DMG Bonus. When performing a Signature, consumes up to 2 energy points to gain DMG Bonus based on the energy points consumed. If there are no energy points left, Rosetta enters Full Burst form. Power ATK becomes [wide-area electromagnetic cannon]. 3 energy points will be restored in 8s after this shot.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Luosaita01.png	Construct Tutorial
30101005	Concentrated Will	Pinging orbs or performing a Signature Move will accumulate Sync Rate. When the Sync Rate is at maximum, Signal Orbs are enhanced, and Qu enters the Concentrated Will state once an orb is pinged. Enhanced Signal Orbs can only be pinged individually. When pinged (no Energy granted), costs Sync Rate and triggers a 3-Ping skill and Concentrated Will. The Sync Rate goes down over time in the Concentrated Will state.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Qu01.png	Construct Tutorial
30101006	Crimson Abyss - Luster Blade	After a Blue Orb 3-Ping, any other 3-Ping will trigger Luster Blade. All Signal orbs will turn into Special Orbs and you will gain 2 Special Orbs. When the Special Orbs are eliminated, unleash a swordwave at the target and deal Physical Damage.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Luxiyaaerfa02.png	Construct Tutorial
301008411	Prototype	After any 3-ping, calls upon the POD to launch homing missiles at the enemy in front and obtain POD: Shield. Once POD: Shield is fully charged, A2 is able to cast her Signature Move to activate Berserk Mode.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3A201.png	Construct Tutorial
301008421	Blade Rend	After a Yellow 3-Ping, make another 3-Ping of any color to enter Battle Stance, which causes Basic Attacks, Red Orb, and Yellow Orb skills to launch Swordwaves. Pinging Red Orbs in Battle Stance can also stack Data Correction effect to increase Physical DMG.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR32B01.png	Construct Tutorial
301008431	Overclock Strike	After any 3-ping, an Overclock Indicator in corresponding color will be added to the far right of the Orbs bar. Tap the Overclock Indicator to ping all Signal Orbs of the corresponding color and cast the Core Skill.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR39S01.png	Construct Tutorial
301008501	Tertian	Making a 3-Ping will generate a [Triad] of the same color. The next Orb pinged will generate [Tune] and trigger Chord. Chord with the same color as the [Triad] will trigger [Concerto], dealing Lightning DMG. Chord with a color different to [Triad] will trigger [Solo], increasing own damage.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Sailinna01.png	Construct Tutorial
301008513	Cold Snap	After any 3-Ping, press Basic Attack within 1s to enter [Tactical Stance], and keep holding the Basic Attack button to maintain this form. Release the Basic Attack button to trigger [Blooming Shot]. The backstep of [Blooming Shot] is able to evade enemy attacks. If this move successfully dodges an attack, the follow-up shot will be enhanced.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Wanshi01.png	Construct Tutorial
30101007	Frost Origin	Glory gains [Condensed Frost] when he makes a 3-Ping while shield capacity is higher than 50%, or when he makes 3-Ping or Basic Attacks while [Frost Spirit] is active. [Condensed Frost] allows Chrome to ignore 1 attack, and slows the attacker instead.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Kuluomu01.png	Construct Tutorial
301008532	Frost Origin	Glory gains [Condensed Frost] when he makes a 3-Ping while shield capacity is higher than 50%, or when he makes 3-Ping or Basic Attacks while [Frost Spirit] is active. [Condensed Frost] allows Chrome to ignore 1 attack, and slows the attacker instead.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Kuluomu01.png	Construct Tutorial
30100857	Shadow Prism Agglomerate	After unleashing four basic attacks, the next Basic Attack will be an Enhanced Attack and form 1 Twilight Matrix. When No. 21 is in mid-air after a 3-Ping, using Dodge will trigger Instant Dodge and form 3 Twilight Matrices. The Co-Bot will unleash Force Wave when No. 21 unleashes an Enhanced Attack, controlling the enemy and detonating all Twilight Matrices. (Twilight Matrices last for 3s)	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Twentyone01.png	Character Tutorial
30101017	Tertian	Making a 3-Ping will generate a [Triad] of the same color. The next Orb pinged will generate [Tune] and trigger Chord. Chord with the same color as the [Triad] will trigger [Concerto], dealing Lightning DMG. Chord with a color different to [Triad] will trigger [Solo], increasing own damage.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Sailinna01.png	Summer Coating Trial
30101018	Overclock	Nanami accumulates energy by Basic Attacks and pinging orbs. Performs a Signature Move up to 3 times after the energy is accumulated to a certain level. After a Signature Move, Nanami enters Overclocking state. Basic Attacks of Nanami will then deal Fire DMG and reduce a certain amount of Fire Resistance of the target being hit.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Qishi01.png	Summer Coating Trial
30100862	Lightning Fall	The next Basic Attack after a 3-Ping grants [Electric Charge]. It can stack up to 3 times. Press and hold the Basic Attack button to perform [Lightning Fall] that deals wide-area Lightning DMG based on the [Electric Charge] consumed and inflicts [Turbulence Interference].	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Weila01.png	Character Tutorial
30100863	Art of Deception	On the 2nd/3rd/4th Basic Attack, tap the white orb to cast a Combo Attack and gain Deception Points. Where there are enough Deception Points, tap the Signal Orb to cast a skill and gain Energy. The Matrix's enhanced orb effect now removes the cost of the next Signal Orb skill. After casting a Signature Move, gain 1 Incinerating Orb that can fire multiple incinerating bullets.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Luolan01.png	Character Tutorial
30100869	Ode for Everlight	Basic Attacks and pinging orbs will accumulate Prayer. When it is full, double tapping the dodge button triggers Divine Prayer, during which you are allowed to ping 2 sets of Signal Orbs. If both sets are of the same color, trigger Purity Oath that deals AOE DMG; otherwise, trigger Chaos Oath that lands dodgeable attacks on both enemies and Liv: Empyrea. The more orbs pinged, the more DMG you will deal. Upon entering Divine Prayer during the Signature Move, you are allowed to ping 3 sets of Signal Orbs of any color.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR4Lifu01.png	Character Tutorial
30101020	Ode for Everlight	Basic Attacks and pinging orbs will accumulate Prayer. When it is full, double tapping the dodge button triggers Divine Prayer, during which you are allowed to ping 2 sets of Signal Orbs. If both sets are of the same color, trigger Purity Oath that deals AOE DMG; otherwise, trigger Chaos Oath that lands dodgeable attacks on both enemies and Liv: Empyrea. The more orbs pinged, the more DMG you will deal. Upon entering Divine Prayer during the Signature Move, you are allowed to ping 3 sets of Signal Orbs of any color.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR4Lifu01.png	Character Tutorial
30101022	Frost Origin	Glory gains [Condensed Frost] when he makes a 3-Ping while shield capacity is higher than 50%, or when he makes a 3-Ping or Basic Attacks while [Frost Spirit] is active. [Condensed Frost] allows Chrome to ignore 1 attack, and slows the attacker instead.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Kuluomu01.png	Character Tutorial
30100873	Phantasia	Moving the joystick after a 3-Ping or pinging a Signature Move Special Orb will interrupt the current skill, releasing a skill variant and dealing a large amount of Dark DMG in the direction of the joystick. Also creates a phantom that casts the interrupted skill.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR4Sailinna01.png	Character Tutorial
30101023	Thermal Armament	Karenina gains Thermal Energy after a 3-Ping Attack or her Signature Move. Once Thermal Energy reaches 50%, she will become supercharged and gain increased Fire DMG. While supercharged, Thermal Energy is reduced by 5% ever second. As her Core Passive increases with each level, she gains +3% default Thermal Energy upon entering battle.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Kalie01.png	Character Tutorial
30100878	Snow Dragon	Consumes 20 Signature Energy to cast Spirit Blade: Dragon Throw, which summons and throws Dragon Axe. While Dragon Axe is on the field, Pulao can press and hold the Signature button to consume 100 Signature Energy and cast Spirit Blade: Falling Stars. Pulao can summon Dragon Axe back to her at any time. Basic Attack/Ping can be used to gain Dragon Force. If Pulao catches Dragon Axe during a Ping and half of the Dragon Force is acquired, Pulao will release the Dragon Force Combo, followed by multiple Basic Attacks.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Pulao01.png	Character Tutorial
30101024	Critical Moment	After you match 3 Red Orbs, upon removing more Blue Orbs, starts sniping. Basic attacks fire a long-ranged lightning bolt that deals Lightning DMG. This lasts 6s or until 6 shots have been fired. Dodging in sniping mode will lower the charge time of the next Basic Attack.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Bianka01.png	Character Tutorial
30101025	Fighting Will	3-Ping Skills recover 10 Energy. While Dark Form is active, Physical Resistance and Dark Resistance are increased.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Shenwei01.png	Character Tutorial
30100908	Soul of Molten Steel	You can tap and hold Dodge or cast Quantum Compression Shot/Flame Bombing for Nanami: Starfarer to start sliding. While this is active, you can cast the above skills with no intervals. Use the Signature and activate Rumbling. While this is active, Nanami: Starfarer has a Pressure slot that goes up to 200. When a Basic Attack hits an enemy, you can tap and hold Basic Attack to activate Bzzz. While this is active, release Basic Attack at different times to trigger Oops! Missed It! or Perfect!. When Pressure is at 200, tap and hold all the way to spend all Pressure and cast Burning Blow. When Oops! Missed It!/Perfect! is cast, gains 80/120 Pressure and 32/48 Signature Energy, respectively. Burning Blow: Recovers 60 Signature Energy, gains the damage multiplier of this Ironsoul Slice's Perfect!, and applies a damage bonus based on the Pressure spent, with the Base DMG increased by 0.25% for every Pressure. This damage is recorded after it has been tallied. Upon casting Gigabyte Star Strike, additionally deals 50% of the recorded damage and then removes the recorded damage.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR4R4Yongyechao.png	Character Tutorial
30101027	Space Lord	After any 3-Ping, unleash a red orb that will follow continuous cannon attacks. Each cannon fire will deal a designated amount of Physical DMG.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Li01.png	Character Tutorial
30100915	Huntress' Command	Press and hold Dodge to activate and charge Bitterfrost Level. Releasing Dodge when Bitterfrost Level is fully charged to inflict Ice DMG. Releasing Dodge before fully charged will result in no attacks, and Bitterfrost Level will gradually decrease. Getting hit while charging will deduct Dodge Gauge and perform Flash if there is enough Dodge available (1.5s cooldown). Gains Super Armor and increases Extra DMG Reduction by <color=#FF6347>50%</color> when <color=#FF6347>Bitterfrost Level</color> is activated.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Hakama.png	Character Tutorial
30100921	Lotus Lightning Dance	Lightning Lure: Lightning attacks on enemies marked by Lucia have a chance to channel lighting to hit them and deal a certain amount of Lightning DMG to them based on the marks on them.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Luxiya01.png	Character Tutorial
30100922	Controlling Bullet	Pinging a Red Orb after pinging a Yellow Orb grants the Blast effect. Blast: Bullets will explode on hit, dealing Fire DMG to enemies within the area of explosion.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Li01.png	Character Tutorial
30100923	Goddess Connection System	Attacks on marked enemies have a 20% chance to trigger Light Penalty and deal Physical DMG. After a 3-Ping or Light Penalty is triggered 5 times, restores a certain amount of HP to allies nearby.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Lifu02.png	Character Tutorial
30100925	Anti-gravity System	Anti-gravity System: When Karenina: Scire has a set of 3-Ping Orbs or Matrix's enhanced orb effect, holding the Basic Attack button will start charging and consume 3-Ping Orbs (up to 2 sets can be consumed), each set granting 20 Anti-gravity Energy. After that, Karenina leaps up into the air with Leap Attack that deals 750% Dark DMG (its Base DMG increases by 250% if 2 sets of 3-Ping Orbs have been consumed) and activates the Anti-gravity status. In this status, tapping the Basic Attack button repeatedly will cast Radiant Whirlwind that deals 10% Dark DMG, and each Basic Attack will increase Karenina's airborne duration and spin speed. Upon landing, Gravity Overload will be triggered to deduct 20 Anti-gravity Energy in exchange for 10 Energy and deal 300% Dark DMG. If Karenina has more than 20 Anti-gravity Energy, she can leap up again until her Anti-gravity Energy becomes insufficient. Radiant Whirlwind will accumulate Kinetic Energy. Casting Starshatter Horizon in the Anti-gravity status will consume all Kinetic Energy, each increasing its Base DMG by 0.14% (up to 100%). Ending the Anti-gravity status will empty Kinetic Energy as well. When the Anti-gravity status is activated, Airborne Spin can be cast by tapping the Dodge button to pull and knock back nearby enemies, dealing 200% Dark DMG and restoring 20 Anti-gravity Energy (can be triggered once per 10s only). If the dodge triggers Matrix, Returning Repulsion will be cast to pull and knock back nearby enemies, dealing 400% Dark DMG and restoring 40 Anti-gravity Energy. Anti-gravity Matrix: When Karenina: Scire has at least a set of 3-Ping Orbs, if Matrix is triggered, holding the Basic Attack button will start charging, which will be considered to consume a set of 3-Ping Orbs.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR4Kalienina1.png	Character Tutorial
30100932	Cosmic Wave	If Watanabe pings Red Orbs after any 3-Ping, he will turn into shadow and unleash a series of attacks into the area ahead of him, dealing Shadow damage with each strike. After the attacks end, he will enter Enhanced Shadow Form. While it's active, basic attacks and Trailblade will deal extra Dark damage. Lasts 5s.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Dubian01.png	Character Tutorial
