Id	ActivityId	Name	CostItemId	CostItemCount	IsFree	RewardId	Icon	BuyDesc	PayKeySuffix
24	8	Top-Secret Intel	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	      ※Uniframe Greatsword Coating <color=#0E70BD>Dragonboat</color>\n    ※<color=#0E70BD>Event Character R&D Ticket x2500</color> in total\n  ※<color=#0E70BD>Inver-Shard - Luminance</color> and massive \n     <color=#0E70BD>Trade Vouchers</color>\n※<color=#0E70BD>+10</color> rating levels upon purchase	
25	9	Basic Intel			1		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	                     ※ 6★ Memory Shard\n                 ※ <color=#0E70BD>Trade Voucher</color>\n              ※ Equipment & CUB Enhancement Material	
26	9	Encrypted Intel	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	                    ※Obtain <color=#0E70BD>CUB R&D Ticket ×2,500</color>\n                 ※<color=#0E70BD>Inver-Shard - Luminance</color>\n                and CUB overclock material\n            ※Tons of <color=#0E70BD>Trade Vouchers</color>\n         ※Upon purchase, obtain <color=#0E70BD>lv.10</color> rating	
27	9	Top-Secret Intel	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	                    ※Gun Set Coating: <color=#0E70BD>Soaker Mk.81 Redux</color>\n                 ※ Obtain <color=#0E70BD>Event Character R&D Ticket ×2,500</color>\n               in total\n            ※<color=#0E70BD>Inver-Shard - Luminance</color> and massive\n           <color=#0E70BD>Trade Vouchers</color>\n      ※ Immediately get <color=#0E70BD>10</color> rating levels after purchase	
28	10	Basic Intel			1		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	                    ※ 6★ Memory Shard\n                 ※ <color=#0E70BD>Trade Voucher</color>\n               ※ Equipment & CUB Enhancement Material	
29	10	Encrypted Intel	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	                    ※<color=#0E70BD>CUB R&D Ticket ×2500</color> in total\n                  ※<color=#0E70BD>S-Rank Character Shard Choice</color> and \n               CUB Overclock Material\n            ※Massive <color=#0E70BD>Trade Vouchers</color>\n          ※<color=#0E70BD>+10</color> rating levels upon purchase	
30	10	Top-Secret Intel	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	                    ※Amplifier Coating <color=#0E70BD>Lunar Clouds</color>\n                  ※Obtain <color=#0E70BD>Event Construct R&D Ticket x2500</color> \n                 in total\n            ※<color=#0E70BD>S-Rank Character Shard Choice</color> and massive \n          <color=#0E70BD>Trade Vouchers</color>\n      ※<color=#0E70BD>+10</color> rating levels upon purchase	
31	11	Basic Intel			1		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	                    ※6★ Memory Shard\n                 ※<color=#0E70BD>Trade Voucher</color>\n               ※Equipment & CUB Enhancement Material	
32	11	Encrypted Intel	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	                     ※<color=#0E70BD>CUB R&D Ticket ×2500</color> in total\n                  ※<color=#0E70BD>S-Rank Character Shard Choice</color> and\n                     CUB Overclock Material\n            ※Massive <color=#0E70BD>Trade Vouchers</color>\n         ※<color=#0E70BD>+10</color> rating levels upon purchase	
33	11	Top-Secret Intel	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	                    ※Bow Coating <color=#0E70BD>Elpis, Release!</color>\n                 ※Obtain <color=#0E70BD>Event Character R&D Ticket x2500</color>\n                       in total\n           ※<color=#0E70BD>S-Rank Character Shard Choice</color> and massive\n              <color=#0E70BD>Trade Vouchers</color>\n       ※<color=#0E70BD>+10</color> rating levels upon purchase	
34	12	Basic Intel			1		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	                    ※6★ Memory Shard\n                 ※<color=#0E70BD>Trade Voucher</color>\n               ※Equipment & CUB Enhancement Material	
35	12	Encrypted Intel	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	                     ※<color=#0E70BD>CUB R&D Ticket ×2500</color> in total\n                  ※<color=#0E70BD>S-Rank Character Shard Choice</color> and\n                CUB Overclock Material\n            ※Massive <color=#0E70BD>Trade Vouchers</color>\n         ※<color=#0E70BD>+10</color> rating levels upon purchase	
36	12	Top-Secret Intel	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	                    ※Composite Armaments Coating \n                   <color=#0E70BD>Woe's Wonder</color>\n               ※Obtain <color=#0E70BD>Event Character R&D Ticket x2500</color>\n              in total\n         ※<color=#0E70BD>S-Rank Character Shard Choice</color> and massive\n        <color=#0E70BD>Trade Vouchers</color>\n   ※<color=#0E70BD>+10</color> rating levels upon purchase	
