Id	TimeId	ActivityTimeId	UiType	Name	Priority	FubenActivityOrder	FunctionOpenId	SkipId[1]	SkipId[2]	StagePrefix	BannerBg	ChapterType	MainBackgound	EffectUrl	FubenPrefab	GridFubenPrefab	GridStoryPrefab	TitleIcon	TitleBg	ChapterBgm	StageId[1]	StageId[2]	StageId[3]	StageId[4]	StageId[5]	StageId[6]	StageId[7]	StageId[8]	StageId[9]	StageId[10]	StageId[11]	StageId[12]	StageId[13]	StageId[14]	StageId[15]	StageId[16]	StageId[17]	StageId[18]	StageId[19]	StageId[20]
12				Hidden Current	12		10306	20036		FAN-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner20.png	27	Assets/Product/Texture/Image/UIFubenYureLuna/UIFubenYureLunaBg01.jpg		Assets/Product/Ui/ComponentPrefab/FubenYureLuna/FuBenYureLuna.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageYureLuna.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageYureLunaStory.prefab	Assets/Product/Texture/Image/UIFubenYureLuna/FubenYureLunaCD01.png	Assets/Product/Texture/Image/UIFubenYureLuna/FubenYureTitleLuna01.png	6	10130153	10130154	10130155																	
13				Sea of Stars	13		10306	20048		MCX-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner23.png	27			Assets/Product/Ui/ComponentPrefab/FubenChristmas/FuBenChristmasStrong.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFightChristmas.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageJuqingChristmas.prefab	Assets/Product/Texture/Image/UiFubenChristmas/UiFubenChristmasImg1.png	Assets/Product/Texture/Image/UiFubenChristmas/UiFubenChristmasTitleBg.png	11	30130901	30130902	30130903	30130904	30130905	30130906	30130911	30130912												
14				Ring in the New Year	14		10306	11744		HNY-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner24.png	27	Assets/Product/Texture/Image/UiFubenYuandan/UiYuandanBg01.png		Assets/Product/Ui/ComponentPrefab/FunbenYuandan/FuBenYuandan.prefab	Assets/Product/Ui/ComponentPrefab/FunbenYuandan/GridStageYuandan.prefab	Assets/Product/Ui/ComponentPrefab/FunbenYuandan/GridStageYuandanStory.prefab	Assets/Product/Texture/Image/UiFubenYuandan/UiFubenYuanDanImg01.png	Assets/Product/Texture/Image/UiFubenYuandan/UiFubenYuanDanBg01.png	6	30131011	30131012	30131013	30131014	30131015															
15				Memory Rescue - Return	15		10306			YSS-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner25.png	27	Assets/Product/Texture/Image/UiFubenYiShi/FubenYiShiBg01.png		Assets/Product/Ui/ComponentPrefab/FubenYiShi/FuBenYiShi.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageYiShi.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageYureQuStory.prefab	Assets/Product/Texture/Image/UIFubenYure/FubenYureCD01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg8.png	41	30070111	30070112	30070113	30070114	30070115	30070116	30070117	30070118	30070119	30070120	30070121	30070122	30070123	30070124	30070125	30070126	30070127	30070128	30070129	30070130
16				Memory Rescue - Deep Dive	16		10306			YSS-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner26.png	27	Assets/Product/Texture/Image/UiFubenYiShi/FubenYiShiBg02.png		Assets/Product/Ui/ComponentPrefab/FubenYiShi/FuBenYiShi.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageYiShi1.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageYureQuStory.prefab	Assets/Product/Texture/Image/UIFubenYure/FubenYureCD01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg8.png	41	30070131	30070132	30070133	30070134	30070135	30070136	30070137	30070138	30070139	30070140	30070141	30070142	30070143	30070144	30070145	30070146	30070147	30070148	30070149	30070150
17				Memory Rescue - Final	17		10306			YSS-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner27.png	27	Assets/Product/Texture/Image/UiFubenYiShi/FubenYiShiBg03.png		Assets/Product/Ui/ComponentPrefab/FubenYiShi/FuBenYiShi.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageYiShi2.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageYureQuStory.prefab	Assets/Product/Texture/Image/UIFubenYure/FubenYureCD01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg8.png	41	30070151	30070152	30070153	30070154	30070155	30070156	30070157	30070158	30070159	30070160	30070161	30070162	30070163	30070164	30070165	30070166	30070167	30070168	30070169	30070170
18				Farewell to the Past Year	18		1308			ONY-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner30.png	42	Assets/Product/Texture/Image/UiSpringFestival/UiSpringFestivalBg1.png		Assets/Product/Ui/ComponentPrefab/FubenSpringFestival/FuBenSpringFestival.prefab	Assets/Product/Ui/ComponentPrefab/FubenSpringFestival/GridSpringFestivalStage02.prefab	Assets/Product/Ui/ComponentPrefab/FubenSpringFestival/GridSpringFestivalStage01.prefab	Assets/Product/Texture/Image/UiSpringFestival/UiFubenSpringFestivalImg1.png	Assets/Product/Texture/Image/UiSpringFestival/UiFubenSpringFestivalTitleBg.png	11	30131101	30131102	30131103	30131104	30131105	30131106	30131107	30131108	30131109	30131110	30131111	30131112								
19				Fortune Almanac	19		10306			LNY-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBannerNewYear.png	27	Assets/Product/Texture/Image/UiLunarNewYear/UiLunarNewYearBgWhite.png	Assets/Product/Effect/Prefab/FxUi/FxUiBabelTowerMainNew/FxUiBabelTowerMainNewSmoke01.prefab	Assets/Product/Ui/ComponentPrefab/FubenNewYear/FubenLineNewYear.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageNewYearFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageYureQuStory.prefab	Assets/Product/Texture/Image/UIFubenYure/FubenYureCD01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg8.png	49	30090321	30090322	30090323	30090324	30090325	30090326	30090327													
20				Weirdlands Adventure	20		10306			AFD-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner33.png	27	Assets/Product/Texture/Image/UiFubenYurenjie/UiFubenYurenjieBg02.png		Assets/Product/Ui/ComponentPrefab/FuBenYuRenJie21/FubenYurenjie21.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageYurenjie21.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageYurenjieStory21.prefab	Assets/Product/Texture/Image/UiFubenYurenjie/UiFubenYurenjieImg01.png	Assets/Product/Texture/Image/UiFubenYurenjie/UiFubenYurenjieImg13.png	205	30131201	30131202	30131203	30131204	30131205	30131206	30131207	30131208	30131209											
21				Adaptation Fitting - Toniris	21		10306			CRA-	Assets/Product/Texture/Image/UiFubenPet/UiFubenPetBg04.png	27	Assets/Product/Texture/Image/UiLunarNewYear/UiFubenPetBg1.png		Assets/Product/Ui/ComponentPrefab/FubenNewYear/FubenLinePet.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePetFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePetStory.prefab	Assets/Product/Texture/Image/UiFubenPet/UiFubenPetImg02.png	Assets/Product/Texture/Image/UiFubenPet/UiFubenPetBg03.png	52	30101101	30101102	30101008																	
22				Tales of the Sunken City	22		10306			BLT-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner41.png	27	Assets/Product/Texture/Image/UiFubenCombatTask/UiFubenCombatTaskBg01.png		Assets/Product/Ui/ComponentPrefab/FubenYiShi/FubenCombatTask.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageCombatTaskFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageCombatTaskStory.prefab	Assets/Product/Texture/Image/UiFubenDuanwu/UiFubenDuanwuImg01.png	Assets/Product/Texture/Image/UiFubenDuanwu/UiFubenDuanwuBg01.png	63	30161201	30161202	30161203	30161204	30161205	30161206	30161207	30161208	30161209	30161210										
23				Fortune of Tiger	23		10306			XC-	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPicJQ01.png	27	Assets/Product/Texture/Image/UiLunarNewYear/UiLunarNewYearHuhufufuBg.png	Assets/Product/Effect/Prefab/FxUi/FxUiFubenChristmasMainLineChapter/FxUiFubenChristmasMainLineChapterBG2.prefab	Assets/Product/Ui/ComponentPrefab/FubenNewYear/FubenLineNewYear.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageNewYearFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageNewYearStory.prefab	Assets/Product/Texture/Image/UiLunarNewYear/UiLunarNewYearHuhufufuJvqing.png	Assets/Product/Texture/Image/UiLunarNewYear/UiLunarNewYearHuhufufuJvqing1.png	49	30131113	30131114	30131115	30131139	30131117	30131140	30131141	30131142	30131143	30131144	30131123									
24				White Wishes	24		10306	10035	20011	IS-	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPicJQ02.png	27	Assets/Product/Texture/Image/UiUiFubenWhiteValentine/UiWhiteValentineBg.png	Assets/Product/Effect/Prefab/FxUi/FxUiBabelTowerMainNew/FxUiBabelTowerMainNewSmoke01.prefab	Assets/Product/Ui/ComponentPrefab/FubenWhiteValentine/FubenLineWhiteValentine.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFunbenWhiteValentineFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFunbenWhiteValentineStory.prefab	Assets/Product/Texture/Image/UiUiFubenWhiteValentine/UiWhiteValentineImg02.png	Assets/Product/Texture/Image/UiUiFubenWhiteValentine/UiWhiteValentineImgBg01.png	208	30130507	30130508	30130513	30130509	30130510	30130511	30130512	30130514												
25				Dumplings and Dragons	25		10306			SW-	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPicJQ03.png	27	Assets/Product/Texture/Image/UiFubenDuanWu2022/UiFubenDuanWu2022Bg.png	Assets/Product/Effect/Prefab/FxUi/FxUiBabelTowerMainNew/FxUiBabelTowerMainNewSmoke01.prefab	Assets/Product/Ui/ComponentPrefab/FubenNewYear/FubenLineDuanWu2022.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/DuanWu2022Fight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/DuanWu2022Story.prefab	Assets/Product/Texture/Image/UiFubenDuanWu2022/UiFubenDuanWu2022Gk4.png	Assets/Product/Texture/Image/UiFubenDuanWu2022/UiFubenDuanWu2022Gk3.png	6	30131124	30131125	30131145	30131127	30131128	30131146	30131130	30131131	30131147	30131148	30131134	30131135	30131149	30131137	30131138					
26	11905		2	Slumberland	26	3	10306	20159		LIV-	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner83.png	27	Assets/Product/Texture/Image/UiFubenTuzhuang/UiFubenTuzhuangshiwanBg.png		Assets/Product/Ui/ComponentPrefab/FuBenTuzhuangShiwan/FuBenTuzhuangShiwan.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTuzhuangFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTuzhuangStory1.prefab	Assets/Product/Texture/Image/UiFubenMainTab/UiFubenTuzhuangShiwanImg01.png	Assets/Product/Texture/Image/UiFubenMainTab/UiFubenTuzhuangShiwanTitleBg01.png	163	30130408	30130409	30130410																	
