Id	SubId[1]	SubId[2]	SubId[3]	SubId[4]	Des
1030222	103022201	103022202	103022203		Heteromer Hydraulic E
1030223	103022301	103022302	103022303		Hetero Fire Unit E
1030231	103023101	103023102	103023103		Heteromer Hydraulic F
1030232	103023201	103023202	103023203		Hetero Deconstruct Unit F
1030233	103023301	103023302	103023303		Harvester F
1040111	104011101	104011102	104011103		Deep-sea Ambusher A
1040112	104011201	104011202	104011203		Explorer A
1040113	104011301	104011302	104011303		Royal Guard A
1040121	104012101	104012102	104012103		Deep-sea Ambusher B
1040122	104012201	104012202	104012203		Explorer B
1040123	104012301	104012302	104012303		Royal Guard B
1040131	104013101	104013102	104013103		Explorer C
1040132	104013201	104013202	104013203		Heteromer Sentry Gun C
1040141	104014101	104014102	104014103		Explorer D
1040142	104014201	104014202	104014203		Heteromer Sentry Gun D
1040211	104021101	104021102	104021103		Heteromer Sentry Gun E
1040212	104021201	104021202	104021203		Musashi VI E
1040221	104022101	104022102	104022103		Heteromer Sentry Gun F
1040222	104022201	104022202	104022203		Musashi VI F
1040231	104023101	104023102	104023103		Royal Guard G
1040232	104023201	104023202	104023203		Musashi IX
1050111	105011101	105011102	105011103		Corrupted Construct A
1050112	105011201	105011202	105011203		Blair A
1050113	105011301	105011302	105011303		Excavator A
1050121	105012101	105012102	105012103		Corrupted Construct B
1050122	105012201	105012202	105012203		Blair B
1050123	105012301	105012302	105012303		Excavator B
1050131	105013101	105013102	105013103		Explorer C
1050132	105013201	105013202	105013203		Terrapod C
1050141	105014101	105014102	105014103		Explorer D
1050142	105014201	105014202	105014203		Terrapod D
1050211	105021101	105021102	105021103		Blair E
1050212	105021201	105021202	105021203		Excavator E
1050213	105021301	105021302	105021303		Terrapod E
1050221	105022101	105022102	105022103		Blair F
1050222	105022201	105022202	105022203		SSG-Meanderer F
1050231	105023101	105023102	105023103		Blair G
1050232	105023201	105023202	105023203		SSG-Meanderer G
1050311	105031101	105031102	105031103		Explorer H
1050312	105031201	105031202	105031203		Excavator H
1050321	105032101	105032102	105032103		Shark-speare
1050322	105032201	105032202	105032203		Black Shark-speare
1060111	106011101	106011102	106011103	106011104	Ronin IV A
1060112	106011201	106011202	106011203	106011204	Phecda X A
1060113	106011301	106011302	106011303	106011304	Blubber VI A
1060121	106012101	106012102	106012103	106012104	Ronin IV B
1060122	106012201	106012202	106012203	106012204	Phecda X B
1060123	106012301	106012302	106012303	106012304	Blubber VI B
1060131	106013101	106013102	106013103	106013104	Blubber VI C
1060132	106013201	106013202	106013203	106013204	Ballwheel IV C
1060133	106013301	106013302	106013303	106013304	Hanged Man C
1060211	106021101	106021102	106021103	106021104	Ronin IV A
1060212	106021201	106021202	106021203	106021204	Phecda X A
1060213	106021301	106021302	106021303	106021304	Blubber VI A
1060221	106022101	106022102	106022103	106022104	Ronin IV B
1060222	106022201	106022202	106022203	106022204	Phecda X B
1060223	106022301	106022302	106022303	106022304	Blubber VI B
1060231	106023101	106023102	106023103	106023104	Blubber VI C
1060232	106023201	106023202	106023203	106023204	Ballwheel IV C
1060233	106023301	106023302	106023303	106023304	Hanged Man C
1060241	106024101	106024102	106024103	106024104	Blubber VI D
1060242	106024201	106024202	106024203	106024204	Ballwheel IV D
1060243	106024301	106024302	106024303	106024304	Hanged Man D
1070111	107011101	107011102	107011103	107011104	Chomper A
1070112	107011201	107011202	107011203	107011204	Monkfish A
1070113	107011301	107011302	107011303	107011304	Beetle A
1070121	107012101	107012102	107012103	107012104	Chomper B
1070122	107012201	107012202	107012203	107012204	Monkfish B
1070123	107012301	107012302	107012303	107012304	Beetle B
1070131	107013101	107013102	107013103	107013104	Octopus C
1070132	107013201	107013202	107013203	107013204	Monkfish C
1070133	107013301	107013302	107013303	107013304	Buthus C
1070141	107014101	107014102	107014103	107014104	Octopus D
1070142	107014201	107014202	107014203	107014204	Monkfish D
1070143	107014301	107014302	107014303	107014304	Buthus D
1070211	107021101	107021102	107021103	107021104	Monkfish E
1070212	107021201	107021202	107021203	107021204	Buthus E
1070213	107021301	107021302	107021303	107021304	Hetero-Sapien E
1070221	107022101	107022102	107022103	107022104	Monkfish F
1070222	107022201	107022202	107022203	107022204	Buthus F
1070223	107022301	107022302	107022303	107022304	Hetero-Sapien F
1070231	107023101	107023102	107023103	107023104	Buthus G
1070232	107023201	107023202	107023203	107023204	Hetero-Sapien G
1070233	107023301	107023302	107023303	107023304	Vassago
1080111	108011101	108011102	108011103	108011104	Naval 5 - Squid A
1080112	108011201	108011202	108011203	108011204	Aerial 7 - Snow Owl A
1080113	108011301	108011302	108011303	108011304	Rabbit A
1080121	108012101	108012102	108012103	108012104	Naval 5 - Squid B
1080122	108012201	108012202	108012203	108012204	Aerial 7 - Snow Owl B
1080123	108012301	108012302	108012303	108012304	Rabbit B
1080131	108013101	108013102	108013103	108013104	Naval 5 - Squid C
1080132	108013201	108013202	108013203	108013204	Ground 1 - Polar Bear C
1080133	108013301	108013302	108013303	108013304	Polar Soldier C
1080211	108021101	108021102	108021103	108021104	Naval 5 - Squid D
1080212	108021201	108021202	108021203	108021204	Aerial 7 - Snow Owl D
1080213	108021301	108021302	108021303	108021304	Rabbit D
1080214	108021401	108021402	108021403	108021404	Ground 1 - Polar Bear D
1080221	108022101	108022102	108022103	108022104	Naval 5 - Squid E
1080222	108022201	108022202	108022203	108022204	Aerial 7 - Snow Owl E
1080223	108022301	108022302	108022303	108022304	Ground 1 - Polar Bear E
1080231	108023101	108023102	108023103	108023104	Aerial 7 - Snow Owl F
1080232	108023201	108023202	108023203	108023204	Ground 1 - Polar Bear F
1080233	108023301	108023302	108023303	108023304	Polar Soldier F
1080241	108024101	108024102	108024103	108024104	Aerial 7 - Snow Owl G
1080242	108024201	108024202	108024203	108024204	Ground 1 - Polar Bear G
1080243	108024301	108024302	108024303	108024304	Polar Soldier G
1080311	108031101	108031102	108031103	108031104	Naval 5 - Squid H
1080312	108031201	108031202	108031203	108031204	Aerial 7 - Snow Owl H
1080321	108032101	108032102	108032103	108032104	Amberia
1080322	108032201	108032202	108032203	108032204	Rosetta
1090111	109011101	109011102	109011103	109011104	Ground Monitor A
1090112	109011201	109011202	109011203	109011204	Bio-Salamander A
1090113	109011301	109011302	109011303	109011304	Acid Ant A
1090121	109012101	109012102	109012103	109012104	Ground Monitor B
1090122	109012201	109012202	109012203	109012204	Bio-Salamander B
1090123	109012301	109012302	109012303	109012304	Acid Ant B
1090131	109013101	109013102	109013103	109013104	Repairer C
1090132	109013201	109013202	109013203	109013204	Executor C
1090133	109013301	109013302	109013303	109013304	Envoy C
1090141	109014101	109014102	109014103	109014104	Repairer D
1090142	109014201	109014202	109014203	109014204	Executor D
1090143	109014301	109014302	109014303	109014304	Envoy D
1090211	109021101	109021102	109021103	109021104	Executor E
1090212	109021201	109021202	109021203	109021204	Envoy E
1090213	109021301	109021302	109021303	109021304	Hetero-Sapien E
1090221	109022101	109022102	109022103	109022104	Executor F
1090222	109022201	109022202	109022203	109022204	Envoy F
1090223	109022301	109022302	109022303	109022304	Hetero-Sapien F
1090231	109023101	109023102	109023103	109023104	Envoy G
1090232	109023201	109023202	109023203	109023204	Hetero-Sapien G
1090233	109023301	109023302	109023303	109023304	Sanctuary Guard G
1090241	109024101	109024102	109024103	109024104	Envoy H
1090242	109024201	109024202	109024203	109024204	Hetero-Sapien H
1090243	109024301	109024302	109024303	109024304	Sanctuary Guard A
1100111	110011101	110011102	110011103	110011104	Shieldbearer A
1100112	110011201	110011202	110011203	110011204	Gardener A
1100113	110011301	110011302	110011303	110011304	Construct Soldier A
1100121	110012101	110012102	110012103	110012104	Shieldbearer B
1100122	110012201	110012202	110012203	110012204	Gardener B
1100123	110012301	110012302	110012303	110012304	Construct Soldier B
1100131	110013101	110013102	110013103	110013104	Shieldbearer C
1100132	110013201	110013202	110013203	110013204	Construct Captain C
1100133	110013301	110013302	110013303	110013304	Excavator C
1100141	110014101	110014102	110014103	110014104	Pilgrim D
1100142	110014201	110014202	110014203	110014204	Royal Guard D
1100143	110014301	110014302	110014303	110014304	Explorer D
1100151	110015101	110015102	110015103	110015104	Pilgrim E
1100152	110015201	110015202	110015203	110015204	Royal Guard E
1100153	110015301	110015302	110015303	110015304	Explorer E
1100211	110021101	110021102	110021103	110021104	Shieldbearer F
1100212	110021201	110021202	110021203	110021204	Gardener F
1100213	110021301	110021302	110021303	110021304	PK-43 "Sheriff" F
1100221	110022101	110022102	110022103	110022104	Shieldbearer G
1100222	110022201	110022202	110022203	110022204	Gardener G
1100223	110022301	110022302	110022303	110022304	PK-43 "Sheriff" G
1100231	110023101	110023102	110023103	110023104	Shieldbearer H
1100232	110023201	110023202	110023203	110023204	Gardener H
1100233	110023301	110023302	110023303	110023304	PK-43 "Sheriff" H
1110111	111011101	111011102	111011103		Gung-hoer A
1110112	111011201	111011202	111011203		Heaven Breaker A
1110121	111012101	111012102	111012103		Gung-hoer B
1110122	111012201	111012202	111012203		Demon Bane B
1110131	111013101	111013102	111013103		Gung-hoer C
1110132	111013201	111013202	111013203		God Slayer C
1110211	111021101	111021102	111021103		Gung-hoer D
1110212	111021201	111021202	111021203		Heaven Breaker D
1110221	111022101	111022102	111022103		Gung-hoer E
1110222	111022201	111022202	111022203		Demon Bane E
1110231	111023101	111023102	111023103		Gung-hoer E
1110232	111023201	111023202	111023203		MC Solar
1120111	112011101	112011102	112011103	112011104	Ground Monitor A
1120112	112011201	112011202	112011203	112011204	Sentry Gun A
1120113	112011301	112011302	112011303	112011304	Firefighter A
1120121	112012101	112012102	112012103	112012104	Ground Monitor B
1120122	112012201	112012202	112012203	112012204	Tamer B
1120123	112012301	112012302	112012303	112012304	Trailblazing Surfer B
1120131	112013101	112013102	112013103	112013104	Ground Monitor C
1120132	112013201	112013202	112013203	112013204	Tamer C
1120133	112013301	112013302	112013303	112013304	Trailblazing Surfer C
1120211	112021101	112021102	112021103	112021104	Ground Monitor D
1120212	112021201	112021202	112021203	112021204	Sentry Gun D
1120213	112021301	112021302	112021303	112021304	Firefighter D
1120221	112022101	112022102	112022103	112022104	Ground Monitor E
1120222	112022201	112022202	112022203	112022204	Sentry Gun E
1120223	112022301	112022302	112022303	112022304	Firefighter E
1120231	112023101	112023102	112023103	112023104	Ground Monitor F
1120232	112023201	112023202	112023203	112023204	Sentry Gun F
1120233	112023301	112023302	112023303	112023304	Firefighter F
1120311	112031101	112031102	112031103	112031104	Iron Maiden
1120312	112031201	112031202	112031203	112031204	Gabriel
1130111	113011101	113011102	113011103	113011104	Mr. White A
1130112	113011201	113011202	113011203	113011204	Cathy A
1130113	113011301	113011302	113011303	113011304	Martini A
1130121	113012101	113012102	113012103	113012104	Mr. White B
1130122	113012201	113012202	113012203	113012204	Cathy B
1130123	113012301	113012302	113012303	113012304	Martini B
1130131	113013101	113013102	113013103	113013104	Mr. White C
1130132	113013201	113013202	113013203	113013204	Martini C
1130133	113013301	113013302	113013303	113013304	A'Mao C
1130141	113014101	113014102	113014103	113014104	Mr. White D
1130142	113014201	113014202	113014203	113014204	Martini D
1130143	113014301	113014302	113014303	113014304	A'Mao D
1130211	113021101	113021102	113021103	113021104	Mr. White E
1130212	113021201	113021202	113021203	113021204	Cathy E
1130213	113021301	113021302	113021303	113021304	A'Mao E
1130221	113022101	113022102	113022103	113022104	Martini F
1130222	113022201	113022202	113022203	113022204	A'Mao F
1130223	113022301	113022302	113022303	113022304	Gear F
1130231	113023101	113023102	113023103	113023104	Martini G
1130232	113023201	113023202	113023203	113023204	A'Mao G
1130233	113023301	113023302	113023303	113023304	Gear G
1140111	114011101	114011102	114011103	114011104	Ronin IV A
1140112	114011201	114011202	114011203	114011204	Kemuri I A
1140113	114011301	114011302	114011303	114011304	Kowloong Crew - Yazi A
1140121	114012101	114012102	114012103	114012104	Kemuri I B
1140122	114012201	114012202	114012203	114012204	Moyuan B
1150111	115011101	115011102	115011103	115011104	Courier-M A
1150112	115011201	115011202	115011203	115011204	Deporter-R A
1150113	115011301	115011302	115011303	115011304	Popper A
1150121	115012101	115012102	115012103	115012104	Courier-M B
1150122	115012201	115012202	115012203	115012204	Deporter-R B
1150123	115012301	115012302	115012303	115012304	Popper B
1150131	115013101	115013102	115013103	115013104	Courier-M C
1150132	115013201	115013202	115013203	115013204	Deporter-R C
1150133	115013301	115013302	115013303	115013304	Popper C
1150141	115014101	115014102	115014103	115014104	Treant D
1150142	115014201	115014202	115014203	115014204	Deporter-R D
1150143	115014301	115014302	115014303	115014304	Fairy D
1150151	115015101	115015102	115015103	115015104	Treant E
1150152	115015201	115015202	115015203	115015204	Deporter-R E
1150153	115015301	115015302	115015303	115015304	Fairy E
1150211	115021101	115021102	115021103	115021104	Deporter-R F
1150212	115021201	115021202	115021203	115021204	Popper F
1150213	115021301	115021302	115021303	115021304	Rabbit F
1150221	115022101	115022102	115022103	115022104	Deporter-R G
1150222	115022201	115022202	115022203	115022204	Popper G
1150223	115022301	115022302	115022303	115022304	Rabbit G
1150231	115023101	115023102	115023103	115023104	Deporter-R H
1150232	115023201	115023202	115023203	115023204	Popper H
1150233	115023301	115023302	115023303	115023304	Rabbit H
1160111	116011101	116011102	116011103	116011104	Heteromer Hydraulic A
1160112	116011201	116011202	116011203	116011204	Hetero Deconstruct Unit A
1160113	116011301	116011302	116011303	116011304	Envoy A
1160121	116012101	116012102	116012103	116012104	Hetero Fire Unit B
1160122	116012201	116012202	116012203	116012204	Heteromer Sentry Gun B
1160123	116012301	116012302	116012303	116012304	Terrapod B
1160131	116013101	116013102	116013103	116013104	Hetero Fire Unit C
1160132	116013201	116013202	116013203	116013204	Heteromer Sentry Gun C
1160133	116013301	116013302	116013303	116013304	Terrapod C
1160211	116021101	116021102	116021103	116021104	Hetero Deconstruct Unit D
1160212	116021201	116021202	116021203	116021204	Envoy D
1160213	116021301	116021302	116021303	116021304	Harvester D
1160221	116022101	116022102	116022103	116022104	Hetero Deconstruct Unit A
1160222	116022201	116022202	116022203	116022204	Envoy E
1160223	116022301	116022302	116022303	116022304	Terrapod E
1160311	116031101	116031102	116031103	116031104	Roland
1160312	116031201	116031202	116031203	116031204	Camu
1170111	117011101	117011102	117011103	117011104	Gun A
1170112	117011201	117011202	117011203	117011204	Hetero-Sapien A
1170113	117011301	117011302	117011303	117011304	Hanged Man A
1170121	117012101	117012102	117012103	117012104	Gun B
1170122	117012201	117012202	117012203	117012204	Hetero-Sapien B
1170123	117012301	117012302	117012303	117012304	Hanged Man B
1170131	117013101	117013102	117013103	117013104	Gun C
1170132	117013201	117013202	117013203	117013204	Hetero-Sapien C
1170133	117013301	117013302	117013303	117013304	Hanged Man C
1170211	117021101	117021102	117021103	117021104	Hetero-Sapien D
1170212	117021201	117021202	117021203	117021204	Hanged Man D
1170213	117021301	117021302	117021303	117021304	Sanctuary Guard D
1170221	117022101	117022102	117022103	117022104	Hetero-Sapien E
1170222	117022201	117022202	117022203	117022204	Hanged Man E
1170223	117022301	117022302	117022303	117022304	Sanctuary Guard E
1170311	117031101	117031102	117031103	117031104	MC Solar
1170312	117031201	117031202	117031203	117031204	Musashi
1180111	118011101	118011102	118011103	118011104	Heteromer Hydraulic A
1180112	118011201	118011202	118011203	118011204	Executor A
1180113	118011301	118011302	118011303	118011304	Tai'E I A
1180121	118012101	118012102	118012103	118012104	Heteromer Hydraulic B
1180122	118012201	118012202	118012203	118012204	Executor B
1180131	118013101	118013102	118013103	118013104	Heteromer Hydraulic C
1180132	118013201	118013202	118013203	118013204	Executor C
1180211	118021101	118021102	118021103	118021104	Executor D
1180212	118021201	118021202	118021203	118021204	Tai'E I D
1180221	118022101	118022102	118022103	118022104	Unknown Construct α
1180222	118022201	118022202	118022203	118022204	Qu
1190111	119011101	119011102	119011103	119011104	Octopus
1190112	119011201	119011202	119011203	119011204	Mother
1200111	120011101	120011102	120011103	120011104	Nozzle
1200112	120011201	120011202	120011203	120011204	Roseblade
1200211	120021101	120021102	120021103	120021104	Machiavelli
1200212	120021201	120021202	120021203	120021204	Siren
