Id	Name	Icon	Des	StarLevel	SubScore	FightEventIds[1]
100423	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
100424	DMG Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 60%	3	400	97130
100425	QTE Synergy	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Triggering a QTE by a 3-Ping will trigger another character's QTE	1	100	90903
100426	Signature Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21073.png	Characters receive 30 Energy for every 10s they stay in battle.	3	300	190123
100521	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
100522	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
100523	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
100524	DMG Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 60%	3	400	97130
100525	Energy Boost III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13031.png	Obtains additional 3 points of Basic Attack Energy	3	300	51026
100526	Damage Immunity Shield III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	Gain a shield that can resist DMG three times every 20s.	3	500	97209
100527	Signal Amplifier III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 3 random Signal Orbs in every 10s.	3	300	93348
100621	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
100622	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
100623	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
100624	DMG Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 60%	3	400	97130
100625	Signature Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21073.png	Characters receive 30 Energy for every 10s they stay in battle.	3	300	190123
100626	Damage Immunity Shield III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	Gain a shield that can resist DMG three times every 20s.	3	500	97209
100627	Signal Amplifier III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 3 random Signal Orbs in every 10s.	3	300	93348
100721	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
100722	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
100723	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
100724	DMG Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 60%	3	400	97130
100725	QTE Synergy	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Triggering a QTE by a 3-Ping will trigger another character's QTE	1	100	90903
100726	QTE Heal	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	After triggering a QTE, heals 15% of the current character's max HP	1	300	21131
100821	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
100822	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
100823	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
100824	DMG Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 60%	3	400	97130
100825	Signal Amplifier III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 3 random Signal Orbs in every 10s.	3	300	93348
100826	Signature Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21073.png	Characters receive 30 Energy for every 10s they stay in battle.	3	300	190123
100827	Unrivalled	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	All 1-Pings and 2-Pings of team members are regarded as 3-Pings	1	800	93344
100921	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
100922	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
100923	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
100924	DMG Reduction I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 30%	1	200	97128
100925	Energy Boost III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13031.png	Obtains additional 3 points of Basic Attack Energy	3	300	51026
100926	QTE Synergy	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Triggering a QTE by a 3-Ping will trigger another character's QTE	1	100	90903
101021	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
101022	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
101023	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
101024	DMG Reduction I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 30%	1	200	97128
101025	QTE Heal	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	After triggering a QTE, heals 15% of the current character's max HP	1	300	21131
101026	Damage Immunity Shield III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	Gain a shield that can resist DMG three times every 20s.	3	500	97209
101121	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
101122	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
101123	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
101124	DMG Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 60%	3	400	97130
101125	Signal Amplifier III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 3 random Signal Orbs in every 10s.	3	300	93348
101126	Signature Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21073.png	Characters receive 30 Energy for every 10s they stay in battle.	3	300	190123
101221	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
101222	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
101223	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
101224	DMG Reduction I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 30%	1	200	97128
101225	Signal Amplifier II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 2 random Signal Orbs in every 15s.	2	200	93347
101226	Signal Amplifier III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 3 random Signal Orbs in every 10s.	3	300	93348
101227	Unrivalled	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	All 1-Pings and 2-Pings of team members are regarded as 3-Pings	1	800	93344
101321	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
101322	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
101323	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
101324	DMG Reduction I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 30%	1	200	97128
101325	QTE Heal	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	After triggering a QTE, heals 15% of the current character's max HP	1	300	21131
101326	Healing Riot	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22080.png	Excess healing is converted into 200% damage	1	100	93390
101421	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
101422	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
101423	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
101424	DMG Reduction I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 30%	1	200	97128
101425	QTE Synergy	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Triggering a QTE by a 3-Ping will trigger another character's QTE	1	100	90903
101426	QTE Heal	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	After triggering a QTE, heals 15% of the current character's max HP	1	300	21131
101427	The Chosen One	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22060.png	Team members gain 10% Extra DMG Bonus for 15s when pinging the same type of Signal Orbs. Stacks infinitely.	1	300	96105
101521	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
101522	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
101523	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
101524	DMG Reduction I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 30%	1	200	97128
101525	Signal Amplifier II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 2 random Signal Orbs in every 15s.	2	200	93347
101526	QTE Heal	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	After triggering a QTE, heals 15% of the current character's max HP	1	300	21131
101621	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
101622	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
101623	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
101624	DMG Reduction I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 30%	1	200	97128
101625	QTE Heal	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	After triggering a QTE, heals 15% of the current character's max HP	1	300	21131
101626	Signal Amplifier III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 3 random Signal Orbs in every 10s.	3	300	93348
101627	Healing Riot	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22080.png	Excess healing is converted into 200% damage	1	100	93390
101721	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
101722	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
101723	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
101724	DMG Reduction I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 30%	1	200	97128
101725	Damage Immunity Shield III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	Gain a shield that can resist DMG three times every 20s.	3	500	97209
101726	Signal Amplifier III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 3 random Signal Orbs in every 10s.	3	300	93348
101727	Signature Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21073.png	Characters receive 30 Energy for every 10s they stay in battle.	3	300	190123
101821	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
101822	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
101823	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
101824	DMG Reduction I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 30%	1	200	97128
101825	QTE Heal	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	After triggering a QTE, heals 15% of the current character's max HP	1	300	21131
101826	Signal Amplifier II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 2 random Signal Orbs in every 15s.	2	200	93347
101827	Unrivalled	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	All 1-Pings and 2-Pings of team members are regarded as 3-Pings	1	800	93344
101921	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
101922	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
101923	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
101924	DMG Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 60%	3	400	97130
101925	Damage Immunity Shield III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	Gain a shield that can resist DMG three times every 20s.	3	500	97209
101926	Signature Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21073.png	Characters receive 30 Energy for every 10s they stay in battle.	3	300	190123
102021	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
102022	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
102023	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
102024	DMG Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 60%	3	400	97130
102025	Signal Amplifier III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 3 random Signal Orbs in every 10s.	3	300	93348
102026	QTE Synergy	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Triggering a QTE by a 3-Ping will trigger another character's QTE	1	100	90903
102027	QTE Heal	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	After triggering a QTE, heals 15% of the current character's max HP	1	300	21131
