Id	SubIds[0]	SubIds[1]	SubIds[2]	SubIds[3]	SubIds[4]	SubIds[5]	SubIds[6]	SubIds[7]	SubIds[8]	SubIds[9]	SubIds[10]	SubIds[11]	SubIds[12]	SubIds[13]	SubIds[14]	SubIds[15]	SubIds[16]	SubIds[17]	SubIds[18]	SubIds[19]	SubIds[20]	SubIds[21]	SubIds[22]	SubIds[23]	SubIds[24]	SubIds[25]	SubIds[26]	SubIds[27]	SubIds[28]	SubIds[29]	SubIds[30]	SubIds[31]	SubIds[32]	SubIds[33]	SubIds[34]	SubIds[35]	SubIds[36]	SubIds[37]	SubIds[38]	SubIds[39]	SubIds[40]	SubIds[41]	SubIds[42]	SubIds[43]	SubIds[44]	SubIds[45]	SubIds[46]	SubIds[47]	SubIds[48]	SubIds[49]	SubIds[50]	SubIds[51]	SubIds[52]	SubIds[53]	SubIds[54]	SubIds[55]
1227	12270	12271	12272	12273	12274	12275	12276	12277	12278	12279	12280	12281	12282	12283	12284	12285	12286	12287	12288																																					
1228	12250	12251	12252	12253	12254	12255	12256	12257	12258	12259	12260	12261	12262	12263	12264	12265	12266	12267	12268																																					
1229	12290																																																							
1230	12300	12301	12302	12303	12304	12305	12306	12307	12308	12309	12310	12311	12312	12313	12314	12315	12316	12317	12318																																					
1232	12320	12321	12322	12323	12324	12325	12326	12327	12328	12329	12330	12331	12332	12333	12334	12335	12336	12337	12338																																					
1233	12300	12301	12302	12303	12304	12305	12306	12307	12308	12309	12310	12311	12312	12313	12314	12315	12316	12317	12318																																					
1234	12340	12341	12342	12343	12344	12345	12346	12347	12348	12349	12350	12351	12352	12353	12354																																									
1236	12360	12361	12362	12363	12364	12365	12366	12367	12368	12369	12370	12371	12372	12373	12374																																									
1237	12340	12341	12342	12343	12344	12345	12346	12347	12348	12349	12350	12351	12352	12353	12354																																									
1238	12380	12381	12382	12383	12384	12385	12386	12387	12388	12389	12390	12391	12392	12393	12394	12395	12396	12397	12398																																					
1240	12400	12401	12402	12403	12404	12405	12406	12407	12408	12409	12410	12411	12412	12413	12414	12415	12416	12417	12418																																					
1241	12380	12381	12382	12383	12384	12385	12386	12387	12388	12389	12390	12391	12392	12393	12394	12395	12396	12397	12398																																					
1242	12420	12421	12422	12423	12424	12425	12426	12427	12428	12429	12430																																													
1243	12431	12432	12433																																																					
1244	12440	12441	12442	12443	12444																																																			
1245	12450	12451	12452	12453	12454	12455	12456	12457	12458	12459	12460	12461																																												
1246	12462	12463	12464	12465	12466	12467	12468	12469	12470	12471																																														
1248	12480	12481	12482	12483	12484	12485	12486	12487	12488	12489	12490	12491	12492	12493																																										
1250	12500																																																							
1251	12510	12511	12512	12513	12514																																																			
1252	12520	12521	12522	12523	12524																																																			
1253	12530	12531	12532	12533	12534	12535	12536	12537	12538	12539																																														
1254	12540	12541	12542	12543	12544																																																			
1255	12550	12551	12552	12553																																																				
1256	12560	12561	12562	12563	12564	12565	12566	12567	12568	12569																																														
1257	12570	12571	12572	12573	12574	12575	12576	12577	12578																																															
1258	12580	12581	12582	12583	12584																																																			
1259	12590	12591	12592	12593																																																				
1260	12600	12601	12602	12603																																																				
1261	12610	12611																																																						
1262	12620	12621																																																						
1263	12630	12631	12632	12633																																																				
1264	12640																																																							
1265	12650	12651	12652	12653	12654	12655	12656	12657	12658	12659	12660	12661	12662	12663	12664	12665																																								
1267	12670	12671	12672	12673	12674	12675	12676	12677	12678	12679	12680	12681	12682	12683	12684	12685																																								
1268	12650	12651	12652	12653	12654	12655	12656	12657	12658	12659	12660	12661	12662	12663	12664	12665																																								
1269	12690	12691																																																						
1300	13000																																																							
1800	18000																																																							
1801	18010																																																							
1802	18020																																																							
1803	18030																																																							
5000	50000																																																							
5001	50010																																																							
5002	50020																																																							
5003	50030																																																							
5004	50040																																																							
5005	50050																																																							
5006	50060																																																							
5007	50070																																																							
5008	50080																																																							
5009	50090																																																							
5010	50100																																																							
5011	50110																																																							
5012	50120																																																							
5013	50130																																																							
5014	50140																																																							
5015	50150																																																							
5016	50160																																																							
5017	50170																																																							
5018	50180																																																							
5019	50190																																																							
5020	50200																																																							
5021	50210																																																							
5022	50220																																																							
5023	50230																																																							
5024	50240																																																							
5025	50250																																																							
5026	50260																																																							
5027	50270																																																							
5500	55000																																																							
5501	55010																																																							
5502	55020																																																							
5503	55030																																																							
5504	55040																																																							
5505	55050																																																							
5506	55060																																																							
5507	55070																																																							
5508	55080																																																							
5509	55090																																																							
5510	55100																																																							
5511	55110																																																							
5512	55120																																																							
5513	55130																																																							
6000	60001	60002	60000																																																					
6001	60011	60012	60010																																																					
6002	60021	60022	60020																																																					
6003	60031	60032	60030																																																					
6004	60041	60042	60040																																																					
6005	60051	60052	60050																																																					
6006	60061	60062	60060																																																					
6007	60071	60072	60070																																																					
6008	60081	60082	60080																																																					
6009	60091	60092	60090																																																					
6010	60101	60102	60100																																																					
6011	60111	60112	60110																																																					
6012	60121	60122	60120																																																					
6013	60131	60132	60130																																																					
6014	60141	60142	60140																																																					
6015	60150	60151	60152																																																					
6016	60160	60161	60162																																																					
6017	60170	60171	60172																																																					
6018	60180	60181	60182																																																					
6019	60190	60191	60192																																																					
6020	60200	60201	60202																																																					
6021	60210	60211	60212																																																					
6022	60220	60221	60222																																																					
6023	60230	60231	60232																																																					
7000	70000																																																							
7001	70010																																																							
7002	70020																																																							
7003	70030																																																							
7004	70040																																																							
7005	70050																																																							
7006	70060																																																							
7100	71000																																																							
7101	71010																																																							
7102	71020																																																							
7103	71030																																																							
7104	71040																																																							
7105	71050																																																							
7106	71060																																																							
7110	71100																																																							
7111	71110																																																							
7112	71120																																																							
7113	71130																																																							
7114	71140																																																							
7115	71150																																																							
7116	71160																																																							
7120	71200																																																							
7121	71210																																																							
7122	71220																																																							
7123	71230																																																							
7124	71240																																																							
7125	71250																																																							
7126	71260																																																							
7130	71300																																																							
7131	71310																																																							
7132	71320																																																							
7133	71330																																																							
7134	71340																																																							
7135	71350																																																							
7136	71360																																																							
7140	71400																																																							
7141	71410																																																							
7142	71420																																																							
7143	71430																																																							
7144	71440																																																							
7145	71450																																																							
7146	71460																																																							
7150	71500																																																							
7151	71510																																																							
7152	71520																																																							
7153	71530																																																							
7154	71540																																																							
7155	71550																																																							
7156	71560																																																							
7157	71570																																																							
7158	71580																																																							
7159	71590																																																							
7160	71600																																																							
7161	71610																																																							
7162	71620																																																							
