EventId	CharacterId	Type	Weight	BehaviorId	FinishReward	HappenReward	ConditionList[1]	ConditionList[2]	ConditionList[3]	CompletedType[0]	CompletedType[1]	CompletedType[2]
2103	81600	3	50	REWAWRD	301	302	101003	102003		6		
2104	81600	4	50	REWAWRD	401	402	101004	102004	107004	7		
2105	81600	2	10	ANNOY	501	502	101005	102005		1		
2106	81600	2	10	BORING	601	602	101006	102006		5		
2107	81600	2	10	LAZY	701	702	101007	102007		3		
2108	81600	2	10	WANTTOUCH	801	802	101008	102008		8		
2201	81500	1	350	REWAWRD	101	102	101001	102001	107001	4		
2202	81500	2	10	TIRED	201	202	101002	102002		2		
2203	81500	3	50	REWAWRD	301	302	101003	102003		6		
2204	81500	4	50	REWAWRD	401	402	101004	102004	107004	7		
2205	81500	2	10	ANNOY	501	502	101005	102005		1		
2206	81500	2	10	BORING	601	602	101006	102006		5		
2207	81500	2	10	LAZY	701	702	101007	102007		3		
2208	81500	2	10	WANTTOUCH	801	802	101008	102008		8		
2301	92030	1	350	REWAWRD	101	102	101001	102001	107001	4		
2302	92030	2	10	TIRED	201	202	101002	102002		2		
2303	92030	3	50	REWAWRD	301	302	101003	102003		6		
2304	92030	4	50	REWAWRD	401	402	101004	102004	107004	7		
2305	92030	2	10	ANNOY	501	502	101005	102005		1		
2306	92030	2	10	BORING	601	602	101006	102006		5		
2307	92030	2	10	LAZY	701	702	101007	102007		3		
2308	92030	2	10	WANTTOUCH	801	802	101008	102008		8		
2401	1041003	1	350	REWAWRD	101	102	101001	102001	107001	4		
2402	1041003	2	10	TIRED	201	202	101002	102002		2		
2403	1041003	3	50	REWAWRD	301	302	101003	102003		6		
2404	1041003	4	50	REWAWRD	401	402	101004	102004	107004	7		
2405	1041003	2	10	ANNOY	501	502	101005	102005		1		
2406	1041003	2	10	BORING	601	602	101006	102006		5		
2407	1041003	2	10	LAZY	701	702	101007	102007		3		
2408	1041003	2	10	WANTTOUCH	801	802	101008	102008		8		
2501	1121002	1	350	REWAWRD	101	102	101001	102001	107001	4		
2502	1121002	2	10	TIRED	201	202	101002	102002		2		
2503	1121002	3	50	REWAWRD	301	302	101003	102003		6		
2504	1121002	4	50	REWAWRD	401	402	101004	102004	107004	7		
2505	1121002	2	10	ANNOY	501	502	101005	102005		1		
2506	1121002	2	10	BORING	601	602	101006	102006		5		
2507	1121002	2	10	LAZY	701	702	101007	102007		3		
2508	1121002	2	10	WANTTOUCH	801	802	101008	102008		8		
2601	92670	1	350	REWAWRD	101	102	101001	102001	107001	4		
2602	92670	2	10	TIRED	201	202	101002	102002		2		
2603	92670	3	50	REWAWRD	301	302	101003	102003		6		
2604	92670	4	50	REWAWRD	401	402	101004	102004	107004	7		
2605	92670	2	10	ANNOY	501	502	101005	102005		1		
2606	92670	2	10	BORING	601	602	101006	102006		5		
2607	92670	2	10	LAZY	701	702	101007	102007		3		
2608	92670	2	10	WANTTOUCH	801	802	101008	102008		8		
2701	813000	1	350	REWAWRD	101	102	101001	102001	107001	4		
2702	813000	2	10	TIRED	201	202	101002	102002		2		
2703	813000	3	50	REWAWRD	301	302	101003	102003		6		
2704	813000	4	50	REWAWRD	401	402	101004	102004	107004	7		
2705	813000	2	10	ANNOY	501	502	101005	102005		1		
2706	813000	2	10	BORING	601	602	101006	102006		5		
2707	813000	2	10	LAZY	701	702	101007	102007		3		
2708	813000	2	10	WANTTOUCH	801	802	101008	102008		8		
2801	1000000	1	350	REWAWRD	101	102	101001	102001	107001	4		
2802	1000000	2	10	TIRED	201	202	101002	102002		2		
2803	1000000	3	50	REWAWRD	301	302	101003	102003		6		
2804	1000000	4	50	REWAWRD	401	402	101004	102004	107004	7		
2805	1000000	2	10	ANNOY	501	502	101005	102005		1		
2806	1000000	2	10	BORING	601	602	101006	102006		5		
2807	1000000	2	10	LAZY	701	702	101007	102007		3		
2808	1000000	2	10	WANTTOUCH	801	802	101008	102008		8		
2901	1021004	1	350	REWAWRD	101	102	101001	102001	107001	4		
2902	1021004	2	10	TIRED	201	202	101002	102002		2		
2903	1021004	3	50	REWAWRD	301	302	101003	102003		6		
2904	1021004	4	50	REWAWRD	401	402	101004	102004	107004	7		
2905	1021004	2	10	ANNOY	501	502	101005	102005		1		
2906	1021004	2	10	BORING	601	602	101006	102006		5		
2907	1021004	2	10	LAZY	701	702	101007	102007		3		
2908	1021004	2	10	WANTTOUCH	801	802	101008	102008		8		
3001	1131002	1	350	REWAWRD	101	102	101001	102001	107001	4		
3002	1131002	2	10	TIRED	201	202	101002	102002		2		
3003	1131002	3	50	REWAWRD	301	302	101003	102003		6		
3004	1131002	4	50	REWAWRD	401	402	101004	102004	107004	7		
3005	1131002	2	10	ANNOY	501	502	101005	102005		1		
3006	1131002	2	10	BORING	601	602	101006	102006		5		
3007	1131002	2	10	LAZY	701	702	101007	102007		3		
3008	1131002	2	10	WANTTOUCH	801	802	101008	102008		8		
3101	1511003	1	350	REWAWRD	101	102	101001	102001	107001	4		
3102	1511003	2	10	TIRED	201	202	101002	102002		2		
3103	1511003	3	50	REWAWRD	301	302	101003	102003		6		
3104	1511003	4	50	REWAWRD	401	402	101004	102004	107004	7		
3105	1511003	2	10	ANNOY	501	502	101005	102005		1		
3106	1511003	2	10	BORING	601	602	101006	102006		5		
3107	1511003	2	10	LAZY	701	702	101007	102007		3		
3108	1511003	2	10	WANTTOUCH	801	802	101008	102008		8		
3201	1141003	1	350	REWAWRD	101	102	101001	102001	107001	4		
3202	1141003	2	10	TIRED	201	202	101002	102002		2		
3203	1141003	3	50	REWAWRD	301	302	101003	102003		6		
3204	1141003	4	50	REWAWRD	401	402	101004	102004	107004	7		
3205	1141003	2	10	ANNOY	501	502	101005	102005		1		
3206	1141003	2	10	BORING	601	602	101006	102006		5		
3207	1141003	2	10	LAZY	701	702	101007	102007		3		
3208	1141003	2	10	WANTTOUCH	801	802	101008	102008		8		
3301	1521003	1	350	REWAWRD	101	102	101001	102001	107001	4		
3302	1521003	2	10	TIRED	201	202	101002	102002		2		
3303	1521003	3	50	REWAWRD	301	302	101003	102003		6		
3304	1521003	4	50	REWAWRD	401	402	101004	102004	107004	7		
3305	1521003	2	10	ANNOY	501	502	101005	102005		1		
3306	1521003	2	10	BORING	601	602	101006	102006		5		
3307	1521003	2	10	LAZY	701	702	101007	102007		3		
3308	1521003	2	10	WANTTOUCH	801	802	101008	102008		8		
3401	1161002	1	350	REWAWRD	101	102	101001	102001	107001	4		
3402	1161002	2	10	TIRED	201	202	101002	102002		2		
3403	1161002	3	50	REWAWRD	301	302	101003	102003		6		
3404	1161002	4	50	REWAWRD	401	402	101004	102004	107004	7		
3405	1161002	2	10	ANNOY	501	502	101005	102005		1		
3406	1161002	2	10	BORING	601	602	101006	102006		5		
3407	1161002	2	10	LAZY	701	702	101007	102007		3		
3408	1161002	2	10	WANTTOUCH	801	802	101008	102008		8		
3501	837000	1	350	REWAWRD	101	102	101001	102001	107001	4		
3502	837000	2	10	TIRED	201	202	101002	102002		2		
3503	837000	3	50	REWAWRD	301	302	101003	102003		6		
3504	837000	4	50	REWAWRD	401	402	101004	102004	107004	7		
3505	837000	2	10	ANNOY	501	502	101005	102005		1		
3506	837000	2	10	BORING	601	602	101006	102006		5		
3507	837000	2	10	LAZY	701	702	101007	102007		3		
3508	837000	2	10	WANTTOUCH	801	802	101008	102008		8		
3601	1171003	1	350	REWAWRD	101	102	101001	102001	107001	4		
3602	1171003	2	10	TIRED	201	202	101002	102002		2		
3603	1171003	3	50	REWAWRD	301	302	101003	102003		6		
3604	1171003	4	50	REWAWRD	401	402	101004	102004	107004	7		
3605	1171003	2	10	ANNOY	501	502	101005	102005		1		
3606	1171003	2	10	BORING	601	602	101006	102006		5		
3607	1171003	2	10	LAZY	701	702	101007	102007		3		
3608	1171003	2	10	WANTTOUCH	801	802	101008	102008		8		
3701	1181003	1	350	REWAWRD	101	102	101001	102001	107001	4		
3702	1181003	2	10	TIRED	201	202	101002	102002		2		
3703	1181003	3	50	REWAWRD	301	302	101003	102003		6		
3704	1181003	4	50	REWAWRD	401	402	101004	102004	107004	7		
3705	1181003	2	10	ANNOY	501	502	101005	102005		1		
3706	1181003	2	10	BORING	601	602	101006	102006		5		
3707	1181003	2	10	LAZY	701	702	101007	102007		3		
3708	1181003	2	10	WANTTOUCH	801	802	101008	102008		8		
3801	1191003	1	350	REWAWRD	101	102	101001	102001	107001	4		
3802	1191003	2	10	TIRED	201	202	101002	102002		2		
3803	1191003	3	50	REWAWRD	301	302	101003	102003		6		
3804	1191003	4	50	REWAWRD	401	402	101004	102004	107004	7		
3805	1191003	2	10	ANNOY	501	502	101005	102005		1		
3806	1191003	2	10	BORING	601	602	101006	102006		5		
3807	1191003	2	10	LAZY	701	702	101007	102007		3		
3808	1191003	2	10	WANTTOUCH	801	802	101008	102008		8		
3901	1201003	1	350	REWAWRD	101	102	101001	102001	107001	4		
3902	1201003	2	10	TIRED	201	202	101002	102002		2		
3903	1201003	3	50	REWAWRD	301	302	101003	102003		6		
3904	1201003	4	50	REWAWRD	401	402	101004	102004	107004	7		
3905	1201003	2	10	ANNOY	501	502	101005	102005		1		
3906	1201003	2	10	BORING	601	602	101006	102006		5		
3907	1201003	2	10	LAZY	701	702	101007	102007		3		
3908	1201003	2	10	WANTTOUCH	801	802	101008	102008		8		
4001	1211002	1	350	REWAWRD	101	102	101001	102001	107001	4		
4002	1211002	2	10	TIRED	201	202	101002	102002		2		
4003	1211002	3	50	REWAWRD	301	302	101003	102003		6		
4004	1211002	4	50	REWAWRD	401	402	101004	102004	107004	7		
4005	1211002	2	10	ANNOY	501	502	101005	102005		1		
4006	1211002	2	10	BORING	601	602	101006	102006		5		
4007	1211002	2	10	LAZY	701	702	101007	102007		3		
4008	1211002	2	10	WANTTOUCH	801	802	101008	102008		8		
4101	1531003	1	350	REWAWRD	101	102	101001	102001	107001	4		
4102	1531003	2	10	TIRED	201	202	101002	102002		2		
4103	1531003	3	50	REWAWRD	301	302	101003	102003		6		
4104	1531003	4	50	REWAWRD	401	402	101004	102004	107004	7		
4105	1531003	2	10	ANNOY	501	502	101005	102005		1		
4106	1531003	2	10	BORING	601	602	101006	102006		5		
4107	1531003	2	10	LAZY	701	702	101007	102007		3		
4108	1531003	2	10	WANTTOUCH	801	802	101008	102008		8		
4201	1121003	1	350	REWAWRD	101	102	101001	102001	107001	4		
4202	1121003	2	10	TIRED	201	202	101002	102002		2		
4203	1121003	3	50	REWAWRD	301	302	101003	102003		6		
4204	1121003	4	50	REWAWRD	401	402	101004	102004	107004	7		
4205	1121003	2	10	ANNOY	501	502	101005	102005		1		
4206	1121003	2	10	BORING	601	602	101006	102006		5		
4207	1121003	2	10	LAZY	701	702	101007	102007		3		
4208	1121003	2	10	WANTTOUCH	801	802	101008	102008		8		
4301	1221002	1	350	REWAWRD	101	102	101001	102001	107001	4		
4302	1221002	2	10	TIRED	201	202	101002	102002		2		
4303	1221002	3	50	REWAWRD	301	302	101003	102003		6		
4304	1221002	4	50	REWAWRD	401	402	101004	102004	107004	7		
4305	1221002	2	10	ANNOY	501	502	101005	102005		1		
4306	1221002	2	10	BORING	601	602	101006	102006		5		
4307	1221002	2	10	LAZY	701	702	101007	102007		3		
4308	1221002	2	10	WANTTOUCH	801	802	101008	102008		8		
4401	1131003	1	350	REWAWRD	101	102	101001	102001	107001	4		
4402	1131003	2	10	TIRED	201	202	101002	102002		2		
4403	1131003	3	50	REWAWRD	301	302	101003	102003		6		
4404	1131003	4	50	REWAWRD	401	402	101004	102004	107004	7		
4405	1131003	2	10	ANNOY	501	502	101005	102005		1		
4406	1131003	2	10	BORING	601	602	101006	102006		5		
4407	1131003	2	10	LAZY	701	702	101007	102007		3		
4408	1131003	2	10	WANTTOUCH	801	802	101008	102008		8		
4501	1541003	1	350	REWAWRD	101	102	101001	102001	107001	4		
4502	1541003	2	10	TIRED	201	202	101002	102002		2		
4503	1541003	3	50	REWAWRD	301	302	101003	102003		6		
4504	1541003	4	50	REWAWRD	401	402	101004	102004	107004	7		
4505	1541003	2	10	ANNOY	501	502	101005	102005		1		
4506	1541003	2	10	BORING	601	602	101006	102006		5		
4507	1541003	2	10	LAZY	701	702	101007	102007		3		
4508	1541003	2	10	WANTTOUCH	801	802	101008	102008		8		
4601	1031004	1	350	REWAWRD	101	102	101001	102001	107001	4		
4602	1031004	2	10	TIRED	201	202	101002	102002		2		
4603	1031004	3	50	REWAWRD	301	302	101003	102003		6		
4604	1031004	4	50	REWAWRD	401	402	101004	102004	107004	7		
4605	1031004	2	10	ANNOY	501	502	101005	102005		1		
4606	1031004	2	10	BORING	601	602	101006	102006		5		
4607	1031004	2	10	LAZY	701	702	101007	102007		3		
4608	1031004	2	10	WANTTOUCH	801	802	101008	102008		8		
4701	1531004	1	350	REWAWRD	101	102	101001	102001	107001	4		
4702	1531004	2	10	TIRED	201	202	101002	102002		2		
4703	1531004	3	50	REWAWRD	301	302	101003	102003		6		
4704	1531004	4	50	REWAWRD	401	402	101004	102004	107004	7		
4705	1531004	2	10	ANNOY	501	502	101005	102005		1		
4706	1531004	2	10	BORING	601	602	101006	102006		5		
4707	1531004	2	10	LAZY	701	702	101007	102007		3		
4708	1531004	2	10	WANTTOUCH	801	802	101008	102008		8		
4801	1551003	1	350	REWAWRD	101	102	101001	102001	107001	4		
4802	1551003	2	10	TIRED	201	202	101002	102002		2		
4803	1551003	3	50	REWAWRD	301	302	101003	102003		6		
4804	1551003	4	50	REWAWRD	401	402	101004	102004	107004	7		
4805	1551003	2	10	ANNOY	501	502	101005	102005		1		
4806	1551003	2	10	BORING	601	602	101006	102006		5		
4807	1551003	2	10	LAZY	701	702	101007	102007		3		
4808	1551003	2	10	WANTTOUCH	801	802	101008	102008		8		
4901	1051004	1	350	REWAWRD	101	102	101001	102001	107001	4		
4902	1051004	2	10	TIRED	201	202	101002	102002		2		
4903	1051004	3	50	REWAWRD	301	302	101003	102003		6		
4904	1051004	4	50	REWAWRD	401	402	101004	102004	107004	7		
4905	1051004	2	10	ANNOY	501	502	101005	102005		1		
4906	1051004	2	10	BORING	601	602	101006	102006		5		
4907	1051004	2	10	LAZY	701	702	101007	102007		3		
4908	1051004	2	10	WANTTOUCH	801	802	101008	102008		8		
5001	1561003	1	350	REWAWRD	101	102	101001	102001	107001	4		
5002	1561003	2	10	TIRED	201	202	101002	102002		2		
5003	1561003	3	50	REWAWRD	301	302	101003	102003		6		
5004	1561003	4	50	REWAWRD	401	402	101004	102004	107004	7		
5005	1561003	2	10	ANNOY	501	502	101005	102005		1		
5006	1561003	2	10	BORING	601	602	101006	102006		5		
5007	1561003	2	10	LAZY	701	702	101007	102007		3		
5008	1561003	2	10	WANTTOUCH	801	802	101008	102008		8		
5101	1071004	1	350	REWAWRD	101	102	101001	102001	107001	4		
5102	1071004	2	10	TIRED	201	202	101002	102002		2		
5103	1071004	3	50	REWAWRD	301	302	101003	102003		6		
5104	1071004	4	50	REWAWRD	401	402	101004	102004	107004	7		
5105	1071004	2	10	ANNOY	501	502	101005	102005		1		
5106	1071004	2	10	BORING	601	602	101006	102006		5		
5107	1071004	2	10	LAZY	701	702	101007	102007		3		
5108	1071004	2	10	WANTTOUCH	801	802	101008	102008		8		
5201	1571003	1	350	REWAWRD	101	102	101001	102001	107001	4		
5202	1571003	2	10	TIRED	201	202	101002	102002		2		
5203	1571003	3	50	REWAWRD	301	302	101003	102003		6		
5204	1571003	4	50	REWAWRD	401	402	101004	102004	107004	7		
5205	1571003	2	10	ANNOY	501	502	101005	102005		1		
5206	1571003	2	10	BORING	601	602	101006	102006		5		
5207	1571003	2	10	LAZY	701	702	101007	102007		3		
5208	1571003	2	10	WANTTOUCH	801	802	101008	102008		8		
5301	1041004	1	350	REWAWRD	101	102	101001	102001	107001	4		
5302	1041004	2	10	TIRED	201	202	101002	102002		2		
5303	1041004	3	50	REWAWRD	301	302	101003	102003		6		
5304	1041004	4	50	REWAWRD	401	402	101004	102004	107004	7		
5305	1041004	2	10	ANNOY	501	502	101005	102005		1		
5306	1041004	2	10	BORING	601	602	101006	102006		5		
5307	1041004	2	10	LAZY	701	702	101007	102007		3		
5308	1041004	2	10	WANTTOUCH	801	802	101008	102008		8		
5401	1231002	1	350	REWAWRD	101	102	101001	102001	107001	4		
5402	1231002	2	10	TIRED	201	202	101002	102002		2		
5403	1231002	3	50	REWAWRD	301	302	101003	102003		6		
5404	1231002	4	50	REWAWRD	401	402	101004	102004	107004	7		
5405	1231002	2	10	ANNOY	501	502	101005	102005		1		
5406	1231002	2	10	BORING	601	602	101006	102006		5		
5407	1231002	2	10	LAZY	701	702	101007	102007		3		
5408	1231002	2	10	WANTTOUCH	801	802	101008	102008		8		
