Id	Type	Model	Name	NameFrist	NameLast	HeadRoundIcon	HeadIcon	ExpFondleWidgetHeight	ExpDetailWidgetHeight	PutOnWidgetHight	DailogWidgetHight	DailogTouchHight	EffectWidgetHight	TouchWidgetHight	LoveType	LikeType	LikeCharIds[1]	LikeCharIds[2]	LikeCharIds[3]	LikeCharIds[4]	HateCharIds[1]	HateCharIds[2]	HateCharIds[3]	HateCharIds[4]	QuestAttrib[1]	QuestAttrib[2]	QuestAttrib[3]
1061003	1	Assets/Product/Role/Room/Prefab/QR3ShenweiMd010011.prefab	Kamui: Tenebrion	Kamui	Tenebrion	Assets/Product/Texture/Image/Role/RoleHeadShenwei3SSQ.png	Assets/Product/Texture/Image/Role/RoleHeadShenweiSSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1031002	1021001	1011003		1011002				2	5	6
1031003	2	Assets/Product/Role/Room/Prefab/QR3LifuMd010011.prefab	Liv: Luminance	Liv	Luminance	Assets/Product/Texture/Image/Role/RoleHeadLifu3SSQ.png	Assets/Product/Texture/Image/Role/RoleHeadLifuSSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	1	1021002	1011003							1	3	7
1011003	1	Assets/Product/Role/Room/Prefab/QR3LiangMd010011.prefab	Lee: Entropy	Lee 	Entropy	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	Assets/Product/Texture/Image/Role/RoleHeadLiSSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	1	1021002	1031001	1061003						1	3	5
1071003	2	Assets/Product/Role/Room/Prefab/QR3KalieninaMd010011.prefab	Karenina: Ember	Karenina	Ember	Assets/Product/Texture/Image/Role/RoleHeadKalie3SSQ.png	Assets/Product/Texture/Image/Role/RoleHeadKalieSSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1031003	1041002							2	4	5
1051003	2	Assets/Product/Role/Room/Prefab/QR3YongyechaoMd010011.prefab	Nanami: Pulse	Nanami	Pulse	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechaoSSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	1	1031003	1041002							2	3	5
1021003	2	Assets/Product/Role/Room/Prefab/QR3LuxiyaMd010011.prefab	Lucia: Crimson Abyss	Lucia	Crimson Abyss	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	Assets/Product/Texture/Image/Role/RoleHeadluxiyaSSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3					1021001	1021002			1	2	4
1081003	1	Assets/Product/Role/Room/Prefab/QR3DubianMd010011.prefab	Watanabe: Astral	Watanabe	Astral	Assets/Product/Texture/Image/Role/RoleHeadDubian3SSQ.png	Assets/Product/Texture/Image/Role/RoleHeadDubianSSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	2					1041002				4	6	
1091002	2	Assets/Product/Role/Room/Prefab/QR2AilaMd010011.prefab	Ayla: Brilliance	Ayla	Brilliance	Assets/Product/Texture/Image/Role/RoleHeadAila3Q.png	Assets/Product/Texture/Image/Role/RoleHeadAilaQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	1	1011002	1021001	1031001						5	6	
90370	3	Assets/Product/Role/Room/Prefab/QR1GongjianMd010011.prefab	B5 Pointy	Pointy	B5	Assets/Product/Texture/Image/Role/RoleChangmao3Q.png	Assets/Product/Texture/Image/Role/RoleChangmaoQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	90220										
90220	3	Assets/Product/Role/Room/Prefab/QR1ChangmaoMd010011.prefab	B5 Pokey	Pokey	B5	Assets/Product/Texture/Image/Role/RoleChangQiang3Q.png	Assets/Product/Texture/Image/Role/RoleChangQiangQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	90370										
1041003	2	Assets/Product/Role/Room/Prefab/QR3BiankaMd010011.prefab	Bianca: Veritas	Bianca	Veritas	Assets/Product/Texture/Image/Role/RoleHeadBianka3SSQ.png	Assets/Product/Texture/Image/Role/RoleHeadBiankaSSQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1071002	1071003			1081003	1081002			1	5	7
1111002	2	Assets/Product/Role/Room/Prefab/QR2SufeiyaMd010011.prefab	Sophia: Silverfang	Sophia	Silverfang	Assets/Product/Texture/Image/Role/RoleHeadSufeiya3Q.png	Assets/Product/Texture/Image/Role/RoleHeadSufeiyaQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	2	1011002	1031001							3	5	
81600	3	Assets/Product/Role/Room/Prefab/QR1LuolanMd010011.prefab	Roland	Roland		Assets/Product/Texture/Image/Role/RoleHeadLuolan3Q.png	Assets/Product/Texture/Image/Role/RoleHeadLuolanQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	2	1021003	1061002									
81500	3	Assets/Product/Role/Room/Prefab/QR1PentujixieMd010011.prefab	Nozzle	Nozzle		Assets/Product/Texture/Image/Role/RoleHeadGuer3Q.png	Assets/Product/Texture/Image/Role/RoleHeadGuerQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	3	1091002				1011002						
92030	3	Assets/Product/Role/Room/Prefab/QR1XiulijigongMd010011.prefab	Repairer	Repairer		Assets/Product/Texture/Image/Role/RoleHeadBanshou3Q.png	Assets/Product/Texture/Image/Role/RoleHeadBanshouQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	1	1111002										
1121002	1	Assets/Product/Role/Room/Prefab/QR2KuluomuMd010011.prefab	Chrome: Arclight	Chrome	Arclight	Assets/Product/Texture/Image/Role/RoleHeadKulomu3Q.png	Assets/Product/Texture/Image/Role/RoleHeadKulomuQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	2	1061003	1061002							6	7	
92670	3	Assets/Product/Role/Room/Prefab/QR1HuanMd010011.prefab	Kemuri	Kemuri		Assets/Product/Texture/Image/Role/RoleHeadHuan3Q.png	Assets/Product/Texture/Image/Role/RoleHeadHuanQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	2	1091002	1041003	1041002								
813000	3	Assets/Product/Role/Room/Prefab/QR1GuanjiaMd010011.prefab	Roseblade	Roseblade		Assets/Product/Texture/Image/Role/RoleHeadGuanjia3Q.png	Assets/Product/Texture/Image/Role/RoleHeadGuanjiaQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	1	1021001	1031001	1011002								
1000000	5	Assets/Product/Role/Room/Prefab/QR1SailikaMd010011.prefab	Celica	Celica		Assets/Product/Texture/Image/Role/RoleHeadSailika3Q.png	Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	2	1041002	1011002			1051003	1071002					
1021004	2	Assets/Product/Role/Room/Prefab/QR4LuxiyaMd010011.prefab	Lucia: Plume	Lucia	Plume	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Assets/Product/Texture/Image/Role/RoleHeadR4LuxiyaQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	2	1031001	1011003							1	4	6
1131002	2	Assets/Product/Role/Room/Prefab/QR2WeilaMd010011.prefab	Vera: Rozen	Vera	Rozen	Assets/Product/Texture/Image/Role/RoleHeadWeila3Q.png	Assets/Product/Texture/Image/Role/RoleHeadWeilaQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	2					81600				1	3	
1511003	6	Assets/Product/Role/Room/Prefab/QR2KamuMd010011.prefab	Camu: Crocotta	Camu	Crocotta	Assets/Product/Texture/Image/Role/RoleHeadKamu3Q.png	Assets/Product/Texture/Image/Role/RoleHeadKamuQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	2	1061002	1061003			81600				1	2	6
1141003	2	Assets/Product/Role/Room/Prefab/QR3LuosaitaMd010011.prefab	Rosetta: Rigor	Rosetta	Rigor	Assets/Product/Texture/Image/Role/RoleHeadLuosaita3Q.png	Assets/Product/Texture/Image/Role/RoleHeadLuosaitaQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1021004	1011003	1031001		1021003				1	2	5
1521003	7	Assets/Product/Role/Room/Prefab/QR2QuMd010011.prefab	Qu: Pavo	Qu	Pavo	Assets/Product/Texture/Image/Role/RoleHeadQu3Q.png	Assets/Product/Texture/Image/Role/RoleHeadQuQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	1	1021004				1021003				1	2	7
1161002	1	Assets/Product/Role/Room/Prefab/QR1ChangyuMd010011.prefab	Changyu: Qilin	Changyu	Qilin	Assets/Product/Texture/Image/Role/RoleHeadChangYu3Q.png	Assets/Product/Texture/Image/Role/RoleHeadChangYuQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1031002	1111002							2	7	
837000	3	Assets/Product/Role/Room/Prefab/QR1AolajiangMd010011.prefab	Shark-speare	Shark-speare		Assets/Product/Texture/Image/Role/RoleHeadShashibier3Q.png	Assets/Product/Texture/Image/Role/RoleHeadShashibierQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	2	1091002										
1171003	2	Assets/Product/Role/Room/Prefab/QR3LunaMd010011.prefab	Luna: Laurel	Luna	Laurel	Assets/Product/Texture/Image/Role/RoleHeadLuna3Q.png	Assets/Product/Texture/Image/Role/RoleHeadLunaQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1021001	1021003							1	2	4
1181003	8	Assets/Product/Role/Room/Prefab/QR3TwobMd010011.prefab	2B	2B		Assets/Product/Texture/Image/Role/RoleHead2B3Q.png	Assets/Product/Texture/Image/Role/RoleHead2BQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	2	1191003										
1191003	8	Assets/Product/Role/Room/Prefab/QR3NinesMd010011.prefab	9S	9S		Assets/Product/Texture/Image/Role/RoleHead9S3Q.png	Assets/Product/Texture/Image/Role/RoleHead9SQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1181003					1201003					
1201003	8	Assets/Product/Role/Room/Prefab/QR3AtwoMd010011.prefab	A2	A2		Assets/Product/Texture/Image/Role/RoleHeadA23Q.png	Assets/Product/Texture/Image/Role/RoleHeadA2Q.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	1						1191003					
1211002	1	Assets/Product/Role/Room/Prefab/QR2WanshiMd010011.prefab	Wanshi: Hypnos	Wanshi	Hypnos	Assets/Product/Texture/Image/Role/RoleHeadWanShi3Q.png	Assets/Product/Texture/Image/Role/RoleHeadWanShiQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1061002	1061003	1121002	1511003	81600				2	3	
1531003	7	Assets/Product/Role/Room/Prefab/QR3SailinnaMd010011.prefab	Selena: Tempest	Selena	Tempest	Assets/Product/Texture/Image/Role/RoleHeadSaiLinNa3Q.png	Assets/Product/Texture/Image/Role/RoleHeadSaiLinNaQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	2	1091002				81600				3	6	7
1121003	1	Assets/Product/Role/Room/Prefab/QR3KuluomuMd010011.prefab	Chrome: Glory	Chrome	Glory	Assets/Product/Texture/Image/Role/RoleHeadR3Kuluomu3Q.png	Assets/Product/Texture/Image/Role/RoleHeadR3KuluomuQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	2	1061003	1061002	1211002						1	6	7
1221002	2	Assets/Product/Role/Room/Prefab/QR2TwentyoneMd010011.prefab	No. 21: XXI	No. 21	XXI	Assets/Product/Texture/Image/Role/RoleHead21Hao3Q.png	Assets/Product/Texture/Image/Role/RoleHead21HaoQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	1	1131002								2	6	
1131003	2	Assets/Product/Role/Room/Prefab/QR3WeilaMd010011.prefab	Vera: Garnet	Vera	Garnet	Assets/Product/Texture/Image/Role/RoleHeadR3Weila3Q.png	Assets/Product/Texture/Image/Role/RoleHeadR3WeilaQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	2	1221002				81600				2	3	6
1541003	6	Assets/Product/Role/Room/Prefab/QR2LuolanMd010011.prefab	Roland: Flambeau	Roland	Flambeau	Assets/Product/Texture/Image/Role/RoleHeadR2Luolan3Q.png	Assets/Product/Texture/Image/Role/RoleHeadR2LuolanQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	3	1171003	1021003							4	5	6
1031004	2	Assets/Product/Role/Room/Prefab/QR4LifuMd010011.prefab	Liv: Empyrea	Liv	Empyrea	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Assets/Product/Texture/Image/Role/RoleHeadR4LifuQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1021004	1011003							2	3	7
1531004	2	Assets/Product/Role/Room/Prefab/QR4SailinnaMd010011.prefab	Selena: Capriccio	Selena	Capriccio	Assets/Product/Texture/Image/Role/RoleHeadR3Sailinna3Q.png	Assets/Product/Texture/Image/Role/RoleHeadR3SailinnaQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	2	1091002	1531003							2	6	7
1551003	7	Assets/Product/Role/Room/Prefab/QR2PulaoMd010011.prefab	Pulao: Dragontoll	Pulao	Dragontoll	Assets/Product/Texture/Image/Role/RoleHeadPulao3Qnew.png	Assets/Product/Texture/Image/Role/RoleHeadPulaoQnew.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1161002	1111002							1	4	7
1051004	2	Assets/Product/Role/Room/Prefab/QR4YongyechaoMd010011.prefab	Nanami: Starfarer	Nanami	Starfarer	Assets/Product/Texture/Image/Role/RoleHeadR5Yongyechao3Q.png	Assets/Product/Texture/Image/Role/RoleHeadR5YongyechaoQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	1	1021004	1031004	1041003						2	3	4
1561003	7	Assets/Product/Role/Room/Prefab/QR2HakamaMd010011.prefab	Haicma: Starveil	Haicma	Starveil	Assets/Product/Texture/Image/Role/RoleHeadHakama3Qnew.png	Assets/Product/Texture/Image/Role/RoleHeadHakamaQnew.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	1	1051004	1051003	1051001						2	4	6
1071004	2	Assets/Product/Role/Room/Prefab/QR4KalieninaMd010011.prefab	Karenina: Scire	Karenina	Scire	Assets/Product/Texture/Image/Role/RoleHeadR4Kalienina3Q.png	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	3	1041002	837000							1	4	5
1571003	6	Assets/Product/Role/Room/Prefab/QR2NuoanMd010011.prefab	Noan: Arca	Noan	Arca	Assets/Product/Texture/Image/Role/RoleHeadNuoan3Qnew.png	Assets/Product/Texture/Image/Role/RoleHeadNuoanQnew.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	2	1081002	1161002							4	6	7
1041004	2	Assets/Product/Role/Room/Prefab/QR4BiankaMd010011.prefab	Bianca: Stigmata	Bianca	Stigmata	Assets/Product/Texture/Image/Role/RoleHeadR4Bianka3Q.png	Assets/Product/Texture/Image/Role/RoleHeadR4BiankaQ.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	3	1071002	1071003	1071004		1081003	1081002			1	5	6
1231002	2	Assets/Product/Role/Room/Prefab/QR2BangbinataMd010011.prefab	Bambinata: Vitrum	Bambinata	Vitrum	Assets/Product/Texture/Image/Role/RoleHeadR2Bangbinata2Q.png	Assets/Product/Texture/Image/Role/RoleHeadR2Bangbinata1Q.png	0.85	0.7	1.2	1.4	0.51	1	0.6	2	1									1	6	
1011004	1	Assets/Product/Role/Room/Prefab/QR4LiangMd010011.prefab	Lee: Hyperreal	Lee 	Hyperreal	Assets/Product/Texture/Image/Role/RoleHeadR4Li2Q.png	Assets/Product/Texture/Image/Role/RoleHeadR4Li1Q.png	0.85	0.7	1.2	1.4	0.51	1	0.6	3	1	1021004	1031001							1	3	6
1091003	2	Assets/Product/Role/Room/Prefab/QR3AilaMd010011.prefab	Ayla: Kaleido	Ayla	Kaleido	Assets/Product/Texture/Image/Role/RoleHeadR3Aila2Q.png	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png	0.85	0.7	1.2	1.4	0.51	1	0.6	1	2	1531003	1531004	1051004						5	6	7
