Id	Node[1]	Node[2]	Node[3]	Node[4]	Node[5]	Node[6]	Node[7]	Node[8]	Node[9]	Node[10]	Node[11]	Node[12]	Node[13]	Node[14]	Node[15]	Node[16]	Node[17]	Node[18]	Node[19]	Node[20]	Node[21]	Node[22]	Node[23]	Node[24]	Node[25]	Node[26]	Node[27]	Node[28]	Node[29]	Node[30]	Node[31]	Node[32]	Node[33]	Node[34]	Node[35]	Node[36]	Node[37]	Node[38]	Node[39]	Node[40]	Node[41]	Node[42]	Node[43]	Node[44]	Node[45]	Node[46]	Node[47]	Node[48]	Node[49]	Node[50]	Node[51]	Node[52]	Node[53]	Node[54]	Node[55]	Node[56]	Node[57]	Node[58]	Node[59]	Node[60]	Node[61]	Node[62]	Node[63]	Node[64]	Node[65]	Node[66]	Node[67]	Node[68]	Node[69]	Node[70]	Node[71]	Node[72]	Node[73]	Node[74]	Node[75]	Node[76]	Node[77]	Node[78]	Node[79]	Node[80]	Node[81]	Node[82]	Node[83]	Node[84]	Node[85]	Node[86]	Node[87]	Node[88]	Node[89]	Node[90]	Node[91]	Node[92]	Node[93]	Node[94]	Node[95]	Node[96]	Node[97]	Node[98]	Node[99]	Node[100]
15	1|0|3	0|10|0	1|8|3	0|11|0	0|0|0	9|2|3	11|0|0	0|0|0	1|8|3	0|11|0	0|0|0	1|2|9	0|0|11	0|0|0	1|8|3	0|11|0	0|0|0	7|2|3	0|0|0	0|0|0	7|7|7	0|0|0	0|10|0	8|8|8	0|0|0	0|10|0	4|4|4	0|0|0	10|0|0	4|4|4	0|0|0	0|10|0	9|9|9	0|0|0	0|0|10	4|4|4	0|0|0	0|10|0	7|7|7	0|0|0																																																												
16	10|0|0	0|0|0	0|2|0	10|2|0	0|2|0	0|0|0	1|0|0	1|10|0	1|0|0	0|0|0	0|2|0	0|2|10	0|2|0	0|0|0	0|0|3	10|0|3	0|0|3	0|0|0	0|12|0	0|10|0	0|10|0	0|10|0	12|0|0	10|0|0	10|0|0	10|0|0	0|12|0	0|10|0	0|10|0	0|10|0	0|0|12	0|0|10	0|0|10	0|0|10	0|0|0	0|0|0																																																																
17	0|0|0	1|0|0	1|10|0	1|0|0	0|0|0	0|2|0	10|2|0	0|2|0	0|0|0	1|0|0	1|10|0	1|0|0	0|0|0	0|2|0	0|2|10	0|2|0	0|0|0	0|12|0	0|0|0	0|0|0	11|0|0	7|0|0	0|0|0	12|0|0	0|0|0	0|0|0	0|0|11	0|0|7	0|0|0	0|0|0	0|0|12	0|0|0	0|11|0	0|7|0	0|0|0	0|0|0	0|12|0	0|0|0	0|0|0	1|0|0																																																												
18	0|2|10	0|0|0	0|10|3	0|0|0	0|2|10	0|0|0	0|10|3	0|0|0	10|2|0	0|0|0	11|0|3	0|0|0	1|2|10	0|0|0	1|10|3	0|0|0	10|2|3	0|0|0	1|2|0	0|10|0	1|8|3	0|11|0	0|0|0	1|2|9	0|11|0	0|0|0	7|2|3	0|11|0	0|0|0	1|2|9	0|0|0	0|0|0	1|8|3	0|11|0	0|0|0	7|2|3	0|0|0																																																															
21	0|12|0	0|10|0	0|10|0	0|10|0	0|0|0	0|0|13	0|0|0	0|10|3	0|10|3	0|10|3	12|0|0	10|0|0	10|0|0	10|0|0	0|0|0	0|13|0	0|0|0	10|2|0	10|2|0	10|2|0	0|0|0	0|0|12	0|0|10	0|0|10	0|0|10	0|0|10	0|0|0																																																																									
22	0|12|0	0|10|0	0|10|0	11|0|0	11|0|0	10|0|0	10|0|0	0|0|0	0|0|0	0|13|0	0|0|12	0|0|10	0|0|10	0|11|0	0|11|0	0|0|10	0|0|10	0|13|0	0|12|0	0|10|0	0|10|0	0|0|0	11|0|0	0|0|0	0|10|0	0|0|0	0|0|11	0|10|0	0|12|0	0|10|0	0|10|0																																																																					
23	7|7|7	0|10|0	0|10|0	8|8|8	0|0|0	0|10|0	0|10|0	0|10|0	7|7|7	0|10|0	0|10|0	4|4|4	0|10|0	0|10|0	9|9|9	0|0|0	0|0|11	0|0|0	4|4|4	0|0|0	0|11|0	0|0|0	8|8|8	0|0|0	11|0|0																																																																											
24	0|13|0	1|10|2	1|10|2	1|0|11	1|0|11	1|10|2	1|10|2	11|0|2	11|0|2	1|10|2	1|11|2	0|0|0	0|0|11	0|13|0	11|0|0	0|12|0	0|0|11	0|11|0	0|0|0	1|0|11	0|13|0	11|0|3	0|0|0	1|11|0	0|0|0	0|11|3	0|0|0	0|2|11	0|0|0	0|11|0	11|2|0	0|0|0	0|11|0	0|2|11	0|0|0	11|8|9	0|0|0	7|11|9	0|0|0	7|8|11	0|0|0	1|11|3	0|0|0	7|7|7	0|0|0	11|2|3	0|0|0	4|4|4	0|0|0	1|11|3	0|0|0	7|7|7	0|0|0	1|2|11	0|0|0	4|4|4																																												
25	0|0|0	1|7|0	1|10|0	1|0|0	0|0|0	8|2|0	10|2|0	0|2|0	0|0|0	1|9|0	1|10|0	1|0|0	0|0|0	0|2|7	0|2|10	0|2|0	0|0|0	0|0|0	0|0|0	7|7|7	0|8|8	10|0|9	0|10|0	7|0|10	7|8|0	7|8|9	0|0|0	7|0|10	7|8|0	7|8|9	0|0|10	0|10|0	10|0|0	0|0|0	7|8|9	0|8|9	10|0|9	0|10|0	0|0|10																																																													
26	0|2|10	0|0|0	0|10|3	0|0|0	0|2|10	0|0|0	0|10|3	0|0|0	10|2|0	0|0|0	1|10|0	0|0|0	10|2|0	0|0|0	1|10|0	0|0|0	10|2|3	0|0|0	1|0|3	0|10|0	1|8|3	0|0|0	0|11|0	0|0|0	1|2|9	0|0|0	0|11|0	0|0|0	7|2|3	0|0|0	0|11|0	0|0|0	1|2|9	0|0|0	0|0|0	1|8|3	0|0|0	0|11|0	0|0|0	7|2|3																																																												
27	7|7|7	0|10|0	0|10|0	7|7|7	0|10|0	0|10|0	8|8|8	0|0|0	10|0|0	10|0|0	8|8|8	10|0|0	10|0|0	0|0|0	4|4|4	0|0|0	12|0|0	10|0|0	10|0|0	10|0|0	0|0|0	0|12|0	0|10|0	0|10|0	0|10|0	0|0|0	0|0|12	0|0|10	0|0|10	0|0|10																																																																						
28	0|0|0	1|10|0	0|0|0	0|2|0	0|10|0	1|0|0	10|0|0	0|0|3	0|0|10	0|2|0	0|10|0	1|0|0	10|0|0	7|0|0	0|10|0	0|8|0	0|0|0	7|0|0	10|0|0	0|0|9	0|0|0	0|8|10	0|0|0	7|0|0	10|0|0	0|0|9	0|0|10	0|0|0	1|0|0	0|0|0	0|2|0																																																																					
31	0|12|0	0|11|0	0|11|0	0|0|13	0|0|9	0|0|11	0|11|0	0|11|0	0|12|0	11|0|0	11|0|0	13|0|0	9|0|0	11|0|0	0|11|0	0|11|0	0|11|0	0|0|0	11|2|3	0|11|0																																																																																
32	0|0|0	0|12|0	0|11|0	0|11|0	0|0|13	0|0|9	0|0|11	0|11|0	0|11|0	0|12|0	11|0|0	11|0|0	13|0|0	9|0|0	11|0|0	0|11|0	0|11|0	0|11|0	0|0|0	11|2|3	0|11|0	1|11|3	11|0|0	11|2|3	0|11|0	1|11|2	0|0|11	1|2|11	0|11|0	0|11|0	0|11|0	1|11|3	11|0|0	11|2|3	0|11|0	1|11|3	0|0|11	1|2|11	0|11|0	0|11|0	0|12|0	0|11|0																																																										
33	0|12|0	0|0|0	0|10|0	0|0|0	11|0|0	0|0|0	0|10|0	0|0|0	0|0|12	0|0|0	0|0|10	0|0|0	0|11|0	0|0|0	0|0|10	0|0|0	0|12|0	0|0|0	0|10|0	0|0|0	11|0|0	0|0|0	0|10|0	0|0|0	0|0|11	0|0|0	0|10|0																																																																									
34	0|12|0	0|0|0	0|10|0	0|0|0	1|2|11	0|0|0	1|10|3	0|0|0	12|2|3	0|0|0	1|10|3	0|0|0	1|2|11	0|0|0	1|10|3	0|0|0	12|2|3	0|0|0	10|2|3	0|0|0	1|11|3	0|0|0	1|2|10	0|0|0	1|11|3	0|0|0	1|10|3																																																																									
35	0|12|0	0|11|0	7|7|7	0|0|0	0|11|0	0|12|0	8|8|8	0|11|0	0|12|0	9|9|9	0|0|0	0|11|0	0|12|0	0|0|0	7|7|7	0|0|0	11|0|0	12|0|0	0|0|0	8|8|8	0|0|0	0|11|0	0|12|0	0|0|0	9|9|9	0|0|0	0|0|11	0|0|12	0|0|0	4|4|4																																																																						
36	0|12|0	0|11|0	7|7|7	0|0|0	0|11|0	0|12|0	4|4|4	0|11|0	0|12|0	9|9|9	0|0|0	0|11|0	0|12|0	0|0|0	4|4|4	0|0|0	11|0|0	12|0|0	0|0|0	8|8|8	0|0|0	0|11|0	0|12|0	0|0|0	4|4|4	0|0|0	0|0|11	0|0|12																																																																								
37	0|12|0	0|0|0	0|0|0	1|2|7	0|0|12	0|0|0	0|11|0	1|8|3	0|12|0	0|0|0	11|0|0	9|2|3	0|0|0	0|11|0	0|0|0	4|4|4	0|0|0	0|0|0	12|0|0	9|2|3	11|0|0	0|0|0	0|12|0	1|8|3	0|11|0	0|0|0	0|0|12	1|2|7	0|0|11	0|0|0	0|0|0																																																																					
38	0|12|0	0|0|0	0|10|0	0|0|0	11|0|0	0|0|0	0|10|0	0|0|0	0|0|12	0|0|0	0|0|10	0|0|0	0|11|0	0|0|0	0|0|10	0|0|0	0|12|0	0|0|0	0|10|0	0|0|0	11|0|0	0|0|0	0|10|0	0|0|0	0|0|11	0|0|0	0|10|0																																																																									
41	1|12|0	11|0|0	11|0|0	11|0|0	12|2|0	0|11|0	0|11|0	0|11|0	1|12|0	11|0|0	11|0|0	11|0|0	12|2|0	0|11|0	0|11|0	0|11|0	0|12|0	0|0|3	0|0|11	0|0|11	0|0|11	0|0|0	1|0|0	0|2|0	0|0|9	0|2|0	0|0|0	0|0|3	0|2|0	7|0|0	0|2|0	0|0|0																																																																				
42	4|4|4	0|11|0	0|0|12	0|0|11	4|4|4	0|0|11	0|12|0	0|11|0	7|7|7	0|11|0	12|0|0	11|0|0	8|8|8	11|0|0	0|12|0	0|11|0	4|4|4	0|11|0	0|0|12	0|0|11	9|9|9	0|0|11	0|11|0	0|11|0	0|11|0	11|8|9	11|0|0	7|11|9	0|11|0	7|8|11	0|0|11	1|11|3	0|11|0	7|7|7	0|0|0	11|2|3	11|0|0	4|4|4	0|0|0	1|11|3	0|11|0	7|7|7	0|0|0	1|2|11	0|0|11	4|4|4	0|12|0	0|11|0	0|11|0	0|11|0	0|0|12	0|0|11	0|0|11	0|0|11	0|12|0	0|11|0	0|11|0	0|11|0																																										
43	0|13|0	0|10|0	0|11|0	12|0|0	10|0|0	10|0|0	0|11|0	0|11|0	0|0|13	0|0|10	0|0|10	0|12|0	0|10|0	0|10|0	11|0|0	11|0|0	0|10|0	0|10|0	0|13|0	0|0|10	0|0|10	0|11|0																																																																														
44	0|13|0	0|10|0	0|11|0	12|2|0	10|2|0	10|2|0	0|11|0	0|11|0	0|2|13	0|2|10	0|2|10	0|12|0	0|10|0	0|10|0	11|2|0	11|2|0	4|4|4	0|0|0	0|10|0	0|11|0	0|0|0	4|4|4	0|0|0	10|0|0	11|0|0	0|0|0	4|4|4	0|0|0	0|10|0	0|11|0	0|0|0	4|4|4	0|0|0	0|0|10	0|0|11	7|7|7	0|0|0	0|10|0	0|11|0	4|4|4	0|0|0	10|0|0	11|0|0	0|0|0	8|8|8	0|0|0	0|10|0	0|11|0																																																				
45	0|13|0	0|11|0	0|10|0	0|0|12	0|0|8	0|0|11	0|0|10	0|12|0	0|7|0	0|11|0	0|10|0	13|0|0	10|0|0	7|0|0	11|0|0	10|0|0	8|0|0	12|0|0	0|13|0	0|10|0	0|7|0	0|11|0	0|10|0	0|8|0	0|12|0	0|0|13	0|0|10	0|0|7	0|0|11	0|0|10	0|0|8	0|0|10																																																																				
46	0|13|0	0|11|0	0|10|0	12|0|0	8|0|0	11|0|0	10|0|0	0|12|0	4|4|4	0|11|0	0|10|0	0|0|13	0|0|10	0|0|7	0|0|11	0|0|10	4|4|4	0|0|12	0|13|0	0|10|0	4|4|4	0|11|0	0|10|0	7|7|7	0|12|0	13|0|0	10|0|0	7|0|0	11|0|0	10|0|0	4|4|4	10|0|0																																																																				
47	1|0|0	10|2|0	0|10|3	0|0|10	0|2|0	0|10|0	0|0|3	0|0|10	0|13|0	10|2|0	0|10|0	2|0|0	10|2|0	0|10|0	1|0|0	10|2|0	0|13|0	0|0|0	1|2|0	0|0|0	0|11|0	0|0|0	0|2|3	0|0|0	0|11|0	0|0|0	1|0|3	0|0|0	0|0|11	0|0|0	1|0|3	0|0|0																																																																				
48	1|0|0	11|0|0	7|0|0	10|2|0	0|11|0	0|8|0	0|10|3	0|0|11	0|0|9	0|2|10	0|11|0	4|4|4	0|10|3	0|0|11	0|0|7	0|2|10	0|11|0	4|4|4	1|10|0	11|0|0	8|0|0	10|2|0	0|11|0	4|4|4	1|10|0	11|0|0	9|0|0	10|0|0																																																																								
