Id	Name	Type	Desc	Icon	MaxNum	CanManualRemove	FinishDayCount	LockPeopleOnBuilding	UnlockCondition	SpendResourceType[0]	SpendResourceCount[0]	SpendResourceType[1]	SpendResourceCount[1]	LockPeopleOnWorking	WorkDayCount	ExtendPeopleNumber	WorkingEffectId[0]	WorkingEffectId[1]	WorkingEffectId[2]	WorkingDailyConsumeResourceId[0]	WorkingDailyConsumeResourceCount[0]	WorkingDailyConsumeResourceId[1]	WorkingDailyConsumeResourceCount[1]	WorkingDailyGainResourceId[0]	WorkingDailyGainResourceCount[0]	WorkingDailyGainResourceId[1]	WorkingDailyGainResourceCount[1]
208	Supply Depot		With enough residents working in it, the Supply Depot will produce a fixed amount of Food every day.	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild07.png		1	1	2		1	160	2	120	2			210							4	15		
209	Outpost	2	Constructing outpost(s) unlocks the <color=#0F70BC>Explore</color> feature. There are supplies and survivors beyond the camp. Form a team to explore the world outside. <color=#FF0033>(Cannot be demolished)</color>	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild06.png	2		1	3		1	300	2	300				211	212									
20201	Comms Device	2	A communication device with the radar feature. It can scan nearby terrain and establish communication with the outside world. <color=#FF0033>(Cannot be demolished)</color>	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild04.png	1		2	6		1	1000	2	1000				20209	20210	20211								
20202	Outpost	2	After constructing an outpost, you will be able to form a team to explore the world. <color=#FF0033>(Cannot be demolished)</color>	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild06.png	1		1	3	20202	1	300	2	300				211										
20301	Outpost	2	Constructing outpost(s) unlocks the <color=#0F70BC>Explore</color> feature. There are supplies and survivors beyond the camp. Form a team to explore the world outside. <color=#FF0033>(Cannot be demolished)</color>	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild06.png	2		1	3		1	300	2	300				211	212	20310								
20401	Outpost	2	Constructing outpost(s) unlocks the [Explore] feature. There are supplies and survivors beyond the camp. Form a team to explore the world outside. (Cannot be demolished)	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild06.png	1		1	3		1	350	2	350				211	212	20419								
20402	Comms Device	2	A communication device with the recording feature. Can be used for recording or communicating with distant locations.	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild04.png	1	1	2	4		1	900	2	900				20420										
20403	Not-So-Small Ruins	1	Relatively small ruins. After clearing them, you will get <color=#0F70BC>Wood x200</color> and <color=#0F70BC>Iron x200</color> and the area will be <color=#0F70BC>restored to a vacant area</color>.	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild02.png			1							4	1		20410	20411						1	200	2	200
20404	Not-So-Big Ruins	1	Relatively big ruins. After clearing them, you will get <color=#0F70BC>Wood x350</color> and <color=#0F70BC>Iron x350</color> and the area will be <color=#0F70BC>restored to a vacant area</color>.	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild02.png			1							6	1		20412	20413						1	350	2	350
20405	Shelter	2	It provides a place to live for some people <color=#0F70BC>(5 people)</color>. At least, it's more comfortable than passing the night on the ground. Those in it are less likely to get tired. <color=#0F70BC>(They lose less Spirit.)</color>	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild05.png		1	1	2		1	100	2	100			5											
