Id	Desc	Type	Args[0]	Args[1]	Args[2]	Args[3]	Args[4]	Args[5]
201112	Event Requirement: Complete the exploration of Location 6 (20105)	401	20105					
201114	Event Requirement: Complete the exploration of Location 6 (20105)	401	20105					
201116	Event Requirement: Complete the exploration of Location 6 (20105)	401	20105					
2011110	Event Requirement: Complete the exploration of Location 6 (20105)	401	20105					
2020	Ending - A  Event Requirement: Complete [Mountain Valley] Bonus Event and the exploration of Location 8	702	202001	202002				
202001	Ending - A  Event Requirement: Complete [Mountain Valley] Bonus Event	601	2020720	1				
202002	Ending - A  Event Requirement: Complete the exploration of Location 8	601	2020800	1				
2022	Ending - B  Event Requirement: Complete [Mountain Valley] Bonus Event and the exploration of Location 8	702	202003	202004				
202003	Ending - B  Event Requirement: Complete [Mountain Valley] Bonus Event	601	2020710	1				
202004	Ending - B  Event Requirement: Complete the exploration of Location 8	601	2020800	1				
2024	Ending - C  Event Requirement: Complete [Southern Evacuation Point]	601	2020800	1				
20202	Build %s%s to unlock	301	20201	1				
20203	Stage 2 Location 3 Unlock Requirement: Complete [Comms Device]	601	202004	1				
20212	Stage 2 Location 12 Unlock Requirement: Complete [Comms Device]	601	202004	1				
2020710	Stage 2 Location 7 [Mountain Valley] Bonus Event B Trigger Requirement: Complete the [Hunting Trap - B] event	601	2021520	1				
2020720	Stage 2 Location 7 [Mountain Valley] Bonus Event A Trigger Requirement: Complete the [Hunting Trap - A] event	601	2021510	1				
2021210	Stage 2 Location 12 [Forest Edge - A] Event Trigger Requirement: Complete [Comms From Afar - 1] Option 1	601	202100	1				
2021220	Stage 2 Location 12 [Forest Edge - B] Event Trigger Requirement: Complete [Comms From Afar - 1] Option 2	601	202100	2				
2021310	Stage 2 Location 13 [Burnt Forest - A] Event Trigger Requirement: Complete [Comms From Afar - 2 - A] or [Comms From Afar - 2 - B] Option 1	701	2021311	2021312	2021313			
2021311	Stage 2 Location 13 [Burnt Forest - A] Event Trigger Requirement: Complete [Comms From Afar - 2 - A]	601	202210	1				
2021312	Stage 2 Location 13 [Burnt Forest - A] Event Trigger Requirement: Complete [Comms From Afar - 2 - A]	601	202210	2				
2021313	Stage 2 Location 13 [Burnt Forest - A] Event Trigger Requirement: Complete [Comms From Afar - 2 - B] Option 1	601	202220	1				
2021320	Stage 2 Location 13 [Burnt Forest - B] Event Trigger Requirement: Complete [Comms From Afar - 2 - B] Option 2	601	202220	2				
2021410	Stage 2 Location 14 [Dark Path - A] Event Trigger Requirement: Complete [Comms From Afar - 3 - A] Option 1	601	202310	1				
2021420	Stage 2 Location 14 [Dark Path - B] Event Trigger Requirement: Complete [Comms From Afar - 3- A] Option 2 or [Comms From Afar - 3 - B] Option 1	701	2021421	2021422				
2021421	Stage 2 Location 14 [Dark Path - B] Event Trigger Requirement: Complete [Comms From Afar - 3 - A] Option 2	601	202310	2				
2021422	Stage 2 Location 14 [Dark Path - B] Event Trigger Requirement: Complete [Comms From Afar - 3 - B] Option 1	601	202320	1				
2021430	Stage 2 Location 14 [Dark Path - C] Event Trigger Requirement: Complete [Comms From Afar - 3 - B] Option 1	601	202320	2				
2021510	Stage 2 Location 15 [Hunting Trap - A] Event Trigger Requirement: Complete [Comms From Afar - 4 - A] Option 1	601	202410	1				
2021520	Stage 2 Location 15 [Hunting Trap - B] Event Trigger Requirement: Complete [Comms From Afar - 4 - B] Option 1	601	202420	1				
2021530	Stage 2 Location 15 [Hunting Trap - C] Event Trigger Requirement: Complete [Comms From Afar - 4 - C] Option 1	601	202430	1				
20301	Event Unlock Requirement: Have 30 members and no less than 60 Spirit.	702	20306	20308				
20302	Event Unlock Requirement: Have 30 members and less than 60 Spirit.	702	20306	20309				
20303	Event Unlock Requirement: Have 35 members and no less than 60 Spirit.	702	20307	20308				
20304	Event Unlock Requirement: Have 35 members and less than 60 Spirit.	702	20307	20309				
20305	Event Unlock Requirement: Complete option [Option 1]	601	203090	1				
20306	Event Unlock Requirement: Have 30 members.	801	30					
20307	Event Unlock Requirement: Have 35 members.	801	35					
20308	Event Unlock Requirement: Have no less than 60 Spirit.	202	3	60				
20309	Event Unlock Requirement: Have less than 60 Spirit.	201	3	60				
20310	Complete Forest Edge	601	203040	1				
20311	Complete Abandoned School [Option 1]	601	203090					
20312	Abandoned Farm Unlock Requirement	702	20310	20311				
20313	Event Unlock Requirement: Own at least 1 Big Supply Depot	301	202	1				
20314	Event Unlock Requirement: Own at least 1 Big Medical Depot	301	201	1				
20401	Event Unlock Requirement: Complete the exploration of location [City Center]	401	20405					
20402	Event Unlock Requirement: Complete option [Avoid Fight]	601	204040	1				
20403	Event Unlock Requirement: Complete option [Fight Head-On]	601	204040	2				
20404	Event Unlock Requirement: Do not own the Comms Device	302	20402	1				
20405	Event Unlock Requirement: Own the Comms Device	301	20402	1				
20406	Event Unlock Requirement: Complete the exploration of [City Center]; complete [Avoid Fight]; own the Comms Device.	702	20401	20405	20402			
20407	Event Unlock Requirement: Complete the exploration of [City Center]; complete [Avoid Fight]; do not own the Comms Device.	702	20401	20404	20402			
20408	Event Unlock Requirement: Complete the exploration of [City Center]; complete [Fight Head-On]; own the Comms Device.	702	20401	20405	20403			
20409	Event Unlock Requirement: Complete the exploration of [City Center]; complete [Fight Head-On]; do not own the Comms Device.	702	20401	20404	20403			
20501	Ending A Requirement: Completion of Event Ending A	601	2051901	1				
20502	Ending A Requirement: Completion of Event Ending B	601	2051905	1				
20503	Ending A Requirement: Completion of Event Ending C	601	2051911	1				
20504	Unlock Location 4: Complete the exploration event of Location 6	601	2050600	1				
20507	Unlock Location 7: Complete the exploration event of Location 10	601	2051000	1				
20511	Unlock Location 11: Complete the exploration event of Location 15 and fulfil one of the following conditions.	701	20512	20513				
20512	Complete Event 15 Option A	601	2051500	1				
20513	Complete Event 15 Option B	601	2051500	2				
20516	Unlock Location 16:Complete the exploration event of Location 17 and fulfil one of the following conditions.	701	20517	20518				
20517	Complete Event 17 Option A	601	2051700	1				
20518	Complete Event 17 Option B	601	2051700	2				
2050202	A-1 Event	601	2050200	1				
2050206	B-1 Event	601	2050200	2				
2050304	A-1 Event	601	2050300	1				
2050306	B-1 Event	601	2050300	2				
2050308	C-1 Event	601	2050300	3				
2050404	A-1 Event	601	2050400	1				
2050406	B-1 Event	601	2050400	2				
2050408	C-1 Event	601	2050400	3				
2050704	A-1 Event	601	2050700	1				
2050706	B-1 Event	601	2050700	2				
2050708	C-1 Event	601	2050700	3				
2050803	A-1 Event	601	2050800	1				
2050805	B-1 Event	601	2050800	2				
2050902	A-1 Event	601	2050900	1				
2051002	A-1 Event	601	2051000	1				
2051004	A-A-1 Event	601	2051002	1				
2051104	A-1 Event	601	2051100	1				
2051106	B-1 Event	601	2051100	2				
2051108	C-1 Event	601	2051100	3				
2051203	A-1 Event	601	2051200	1				
2051205	B-1 Event	601	2051200	2				
2051302	A-1 Event	601	2051300	1				
2051305	B-1 Event	601	2051300	2				
2051403	A-1 Event	601	2051400	1				
2051503	A-1 Event	601	2051500	1				
2051604	A-1 Event	601	2051600	1				
2051608	C-1 Event	601	2051600	3				
2051803	A-1 Event	601	2051800	1				
2051805	B-1 Event	601	2051800	2				
2060	Complete Locations: Signal Tower and Mangshan - A	702	2065	2066				
2062	Complete Locations: Signal Tower and Mangshan - B	702	2065	2067				
2064	Complete Locations: Signal Tower and Mangshan - C	702	2065	2068				
2065	Signal Station	601	2060910	1				
2066	Mangshan - A	601	2060810	1				
2067	Mangshan - B	601	2060820	1				
2068	Mangshan - C	601	2060830	1				
20608	Event [Map Update] Unlock Requirement: Build 2 Outposts	301	209	2				
206030	Location 3 Unlock Requirement: Complete the exploration event of Location 16	601	2061600	1				
206050	Location 5 Unlock Requirement: Complete the exploration event of Location 13	701	206051	206052	206053	206054	206055	206056
206051	Complete the Military Facility	601	2061314	1				
206052	Complete the Military Facility	601	2061316	1				
206053	Complete the Military Facility	601	2061318	1				
206054	Complete the Military Facility	601	2061324	1				
206055	Complete the Military Facility	601	2061326	1				
206056	Complete the Military Facility	601	2061328	1				
206090	[Signal Station] Unlock Requirement: Complete [Mangshan Town]	701	206091	206092	206093			
206091	Mangshan - A	601	2060812	1				
206092	Mangshan - B	601	2060822	1				
206093	Mangshan - C	601	2060832	1				
206110	Location 11 Unlock Requirement: Complete the exploration event of Location 4	601	2060400	1				
206170	Location 17 Unlock Requirement: Complete the exploration event of Location 30	701	206171	206172				
206180	Location 18 Unlock Requirement: Complete the exploration event of Location 30	701	206171	206172				
206210	Location 21 Unlock Requirement: Complete the exploration event of Location 30	701	206171	206172				
206171	Complete the Dispatching Center	601	2063010	1				
206172	Complete the Dispatching Center	601	2063020	1				
206190	Location 19 Unlock Requirement: Complete the exploration event of Location 22	601	2062200	1				
206270	Location 27 Unlock Requirement	601	20608	1				
206290	Location 29 Unlock Requirement: Complete the exploration event of Location 28	601	2062800	1				
2060402	Location 4 Bonus Option Requirement: Completion of [Envoy]	601	206000	1				
2061311	Believed Jersey one time at the [Abandoned Hotel]	601	2061500	1				
2061310	Location Event Trigger Requirement: Complete Health Center - A	601	2061100	1				
2061320	Location Event Trigger Requirement: Complete Health Center - B	601	2061100	2				
2060610	Helped out at the Medical Depot and lifted the alarm at the Military Center	701	2060611	2060612				
2060611	Helped out at the Medical Depot and lifted the alarm at the Military Center	601	2061310	1				
2060612	Helped out at the Medical Depot and lifted the alarm at the Military Center	601	2061310	2				
2060620	Helped out at the Medical Depot but did nothing at the Military Facility, or chose not to help out at the Medical Depot but intervened at the Military Facility.	701	2060621	2060622	2060623			
2060621	Helped out at the Medical Depot but chose not to intervene at the Military Facility	601	2061310	3				
2060622	Chose not to help out at the Medical Depot but intervened at the Military Facility	601	2061320	1				
2060623	Chose not to help out at the Medical Depot but intervened at the Military Facility	601	2061320	2				
2060630	Chose not to help out at the Medical Depot and did not intervene in anything	601	2061320	3				
2060810	Complete Medical Depot - A	601	20606191	1				
2060820	Complete Medical Depot - B	601	20606291	1				
2060830	Complete Medical Depot - C	601	20606391	1				
2063010	Complete Abandoned Platform - A	601	2062900	1				
2063020	Complete Abandoned Platform - B	601	2062900	2				
