Id	Name	Desc	ResourceId[0]	ResourceId[1]	ResourceId[2]	ResourceId[3]	CanGetPeople	Pos	PrePlaceId	UnlockCondition[0]	EventId[0]	EventId[1]	EventId[2]	EventId[3]	EventId[4]	EventId[5]	EventId[6]
20100	Exercise Camp	A small camp set up for the survival exercise. It has reproduced the living environment of the Scavengers on the ground to the maximum extent.					1	1									
20101	Quiet Apartment	Even though most of the paint has come off the walls and revealed the bloody red bricks, the building still remains in good shape. Hope there is something we can use inside it.	1	2				2	20100		2010100						
20102	Camp Amidst Woods	If it were not for the flash of light at night, we wouldn't have found this camp. It's well hidden. In other words, it's a perfect shelter.	1	2			1	3	20101		2010200						
20103	Roadside Gas Station	From the outside, the roadside gas station still looks abandoned. Even the door of the convenience store deep inside is closed. Everything is peaceful and quiet.	4				1	4	20102		2010300						
20104	Wastewater Treatment Plant	This distorted building is the Golden Age wastewater treatment plant marked on the map. However, it is the only building that still looks like a "building" in the area.	1	2			1	5	20103		2010400						
20105	Suburban Quarantine Station	The quarantine station is located far away from the city center, which is probably the reason why it is still in a good state. There are ruts left by survivors outside the station. We could find plenty of useful things if we are lucky.	3	4			1	6	20104		2010500						
20106	Resource Landfill Site	... Compared to the weird Red Tide and the smell of blood, the smell of this landfill site is rather "pleasant". It could hold some useful supplies. A place worth exploring.	2				1	7	20102		2010600						
20107	Empty Trench	We can smell gunpowder even from a distance. Thankfully, we haven't seen any traces of the Corrupted around here. Should we take a look?	1	2	3	4	1	8	20101		2010700						
20108	Battlefield Ruins	One can still see a pile of the remains of the Corrupted in the center of the battlefield even from a distance. In other words, if it is safe enough, it must hold many usable supplies.	1	2				9	20107		2010800						
20109	Community Hospital	There is dim light coming out through the windows. Are the Scavengers who escaped from the forest camp staying here?	1	2	3	4	1	10	20100	20109	2010900						
20110	Suburban Signal Station	The huge signal station only has its damaged base remaining, which looks like a giant's body with its upper half missing. It stands vulnerably and firmly in the wilderness.	1	2			1	11	20109		2011000						
20111	Southern Woods	From the outside, we can see the wet ruts extending deep into the forest. Perhaps we can find some survivors by following the ruts.	1	2			1	12	20110		2011100						
20200	Camp	A temporary camp. The exploration team needs to return to the camp to recycle the resources in the backpack.						1									
20201	Abandoned Postal Station		1	2	3	4	1	2	20200		2020100						
20202	Mountain Village		1	2	3	4	1	3	20200		2020200						
20203	Cableway		1	2				4	20202	20203	2020300						
20204	Relatively Flat Mountain Road		1	2	4			5	20203		2020400						
20205	Mountaintop Viewpoint		1	2	3	4	1	6	20204		2020500						
20206	Cliff Lake						1	7	20205		2020600						
20207	Mountain Valley						1	8	20206		2020700	2020710	2020720				
20208	Southern Evacuation Point						1	9	20207		2020800						
20209	Resource Transfer Depot		3	4			1	10	20201		2020900						
20210	Eastern Resource Depot		3	4			1	11	20209		2021000						
20211	Path of Fallen Leaves		1					12	20200		2021100						
20212	Forest Edge		1	2				13	20211	20212	2021210	2021220					
20213	Burnt Forest		1	2	4			14	20212		2021310	2021320					
20214	Dark Path	The forest seems to be boundless as if it's sending... a silent invitation.					1	15	20213		2021410	2021420	2021430				
20215	Hunting Trap		1	2	4		1	16	20214		2021510	2021520	2021530				
20216	Hunter's Cabin		1	2	3	4	1	17	20213		2021600						
20217	Rocky Riverbank		1	2			1	18	20211		2021700						
20218	Lumberjack's Cabin		1	2			1	19	20217		2021800						
20219	Old Logging Site		1	2			1	20	20218		2021900						
20300	Camp							7									
20301	Temporary Shelter	This temporary shelter is actually a huge, tattered tent, inside which live many emaciated refugees.	3	4			1	8	20300		203010						
20302	Flat Area	This is a barren land with cement fragments scattered on it.						1	20300		203020						
20303	Abandoned Hospital	An abandoned hospital without electricity. Looking from the outside, the hospital is just as creepy as the typical haunted hospital in the movie.	3	4				13	20300		203030						
20304	Forest Edge	This is a dense forest that the wind could hardly blow through. It's dark deep in the forest. And there seem to be howls of beasts coming from it.	1	2	3	4		9	20301		203040						
20305	Abandoned Gas Station	An abandoned gas station. It's old, but its staff room can still be used as a shelter.	1	2	3	4		2	20302		203050						
20306	Abandoned Road	Long in disrepair, the road is bumpy and covered in bird droppings.						3	20305		203060						
20307	Abandoned Farm	An abandoned farm. Judging from the situation inside it, a family of seven used to live here.						4	20306	20312	203070						
20308	Giant Wheel	A huge mechanical device that gives off a ghostly silver metallic light. Its core is rotating at a tremendous speed with a roaring sound.	1	2			1	5	20307		203080						
20309	Abandoned School	An abandoned school that looks good. A perfect shelter from wind and rain.					1	14	20303		203090						
20400	Camp							3									
20401	Ruins	This place used to be a large amusement park full of the laughter of the children. The war turned this land of happiness into ruins.						18	20400		204010						
20402	Highway 68	A chemical plant was blown up in the war, leaving heavy pollution in the air and water nearby. We have to wear masks to proceed in the toxic mist here.						1	20401		204020						
20403	City Outskirts	There are many supplies scattered around on the ground of the city outskirts. They must be left by people who fled the war in a hurry. Where are they right now?	3	4				23	20406		204030						
20404	City Entrance	Even though the city has gone through the war and is severely damaged, this extravagant building is still standing in the city center. Disgusting.						20	20403		204040						
20405	City Center	It is where everything started. Expose the evil with your hands and end this absurd drama.						21	20404		204050	204052					
20406	Church	A church that was blown up by bombs. It used to be the place where people make prayers. God, will you save humans today?						19	20402		204060						
20407	Dilapidated Building	A building that has gone through the war. It could be a watchtower but is already hard to recognize its original form. The walls are full of bullet holes, revealing some of the steel bars, as if the building is about to collapse at any minute.						2	20400		204070						
20408	Hillside Villa	A small hill with a relatively complete big house on the hillside. It could be the private villa of a rich family. Shhh. It seems there is someone in the villa. Let's get closer.	1	2				9	20407		204080						
20500	Camp	A secondary island located relatively far away from the Hexagon Island.						1									
20502	Smart Gate One	The first gate of the Hexagon Island. It used to be the place where Scavengers' intelligence got tested before the island was sealed off.	1	2	3	4	1	2	20500		2050200	2050206					
20503	Survival Gate Two	The second gate of the Hexagon Island. It used to be the place where Scavengers' survival skills got tested before the island was sealed off.	1	2	3	4		3	20502		2050300	2050304	2050306	2050308			
20504	Strength Gate Three	The third gate of the Hexagon Island. It used to be the place where Scavengers' strength got tested before the island was sealed off.	3	4				4	20503	20504	2050400	2050404	2050406	2050408			
20505	Honor Island	An island of honor for Scavengers who passed all six trials. The towering alloy pillar in the middle is carved with the name of the Hexagon Warriors in the order of time. Will your name appear where the pillar touches the sky?	3	4				5	20503		2050500						
20506	Cultivation Area	The area that produces most of the food for the islanders. It is also where the Scavengers exchange supplies.	3	4			1	6	20503		2050600						
20507	War Gate Four	The fourth gate of the Hexagon Island. It used to be the place where Scavengers' combat capabilities got tested before the island was sealed off.	3	4				7	20504	20507	2050700	2050704	2050706	2050708			
20508	Unnamed Island	An island that is only halfway developed and now surrounded by warning lines. The rusty gate at its entrance is quietly closed.						8	20504		2050800	2050803	2050805				
20509	Fresh Water Treatment Area	An advanced water treatment device that provides fresh water for the island.	3	4				9	20504		2050900	2050902					
20510	Comms Depot	A base that sends and receives signals. It was destroyed after the island was sealed and still hasn't been repaired up to this day.	3	4				10	20509		2051000	2051002	2051004				
20511	Defense Gate Five	The fifth gate of the Hexagon Island. It used to be the place where Scavengers' defense capabilities got tested before the island was sealed off.	3	4				11	20507	20511	2051100						
20512	Medical Depot	The place where the island distributes serum and heals patients. It is also where Beverly works.	3	4				12	20507		2051200	2051203	2051205				
20513	Residential Area	It is where the islanders live. Hexagon Warriors live in the most luxurious places in this area.	3	4				13	20512		2051300	2051305					
20514	Warehouse	It holds many emergency supplies. Only the island chief can enter.	3	4				14	20512		2051400	2051403					
20515	Residence of the Island Chief	It is where the island chief's family lives and where they meet guests. It's said that among the island chief's family members, there is an outsider who passed the Hexagon trials.	3	4				15	20513		2051500	2051503					
20516	Mechanical Gate Six	The sixth gate of the Hexagon Island. It used to be the place where Scavengers' mastery of various weapons got tested before the island was sealed off.						16	20511	20516	2051600	2051604	2051608				
20517	Shipwreck Point	A luxury ship sank here 3 years ago.						17	20511		2051700						
20518	Fishery	It's a fishery and an open fishing pool. There are many assault boats here.						18	20516		2051800	2051803	2051805				
20600	Camp	A temporary camp. The exploration team needs to return to the camp to recycle the resources in the backpack.					1	1									
20601	Roadside Cabin	The only building that is relatively complete by the roadside. There is occasionally smoke coming out of the chimney. Are there any Scavengers inside?	1	2			1	2	20600		2060100						
20602	Mangshan Pass	The only entrance to Mangshan. One can see the outline of the misty Mangshan from here.	1	2				3	20601		2060200						
20603	Hiking Trail	It's more like a relatively flat mountain road than a hiking trail. It's a detour to enter the mountain.	1	2			1	4	20602	206030	2060300						
20604	Mountain Farm	A farm on the hillside. It seems it was famous in the area due to its high yield of corn.	4	1	2		1	5	20603		2060400						
20605	Collapsed Road	A path found with the military facility map. It's barely passable.	3	4	1	2	1	6	20604	206050	2060510						
20606	Medical Camp	A medical camp set up by survivors after the Mangshan battle.					1	7	20605		2060610	2060620	2060630				
20607	Mangshan Entrance	The last checkpoint outside the Mangshan Camp.					1	8	20606		2060700						
20608	Mangshan Camp	Jersey's hometown.					1	9	20607		2060810	2060820	2060830				
20609	Signal Station	It shows that there are medicine, food, wood, iron, and survivors.					1	10	20606	206090	2060910						
20610	West Mountain Road	This is a road that links the Health Center, the Military Facility, and Mangshan Pass. Originally nameless, it was named the "West Mountain Road" as it is located on the west of the mountain.	3	4			1	11	20603		2061000						
20611	Health Center	A health center established in the Golden Age. It is still operating in a difficult state. It's the medicine hub of the surrounding area.	3	4			1	12	20610	206110	2061100						
20612	Warship Remains	No one knows how long the warship remains have been here.	2				1	13	20611		2061200						
20613	Military Facility	A military facility that emits strange signals. The Corrupted nearby are probably attracted here by it.	2				1	14	20612		2061310	2061320					
20614	Transfer Station	A transfer station of the old times. It was still the main transportation hub not long ago.	3	4				15	20611		2061400						
20615	Abandoned Hotel	A hotel near the mountain. The location is perfect, but the hotel itself is already abandoned.	4	2				16	20601		2061500						
20616	Temporary Camp	A temporary camp built as a shelter from the mountain wind. It's just a place to temporarily take a rest.	3	4	1			17	20615		2061600						
20617	Deep Pit	A huge pit that cuts off the road to the west.	3					18	20600	206170	2061700						
20618	Dongshan Racecourse	A famous racecourse in the Golden Age. It has already been abandoned for years.	3	4	1	2		19	20600	206180	2061800						
20619	Grassland of Horses	A place for the racecourse horses to rest. The golf course seems to be ahead.	3	4				20	20618	206190	2061900						
20620	Golf Course	A golf course with astonishing design and size. If it hadn't been the disaster, it would have been the place for most of the "upper class" to hang out on weekends.	3	4				21	20619		2062000						
20621	Forest Park	A forest park on the edge of the city. There is even a supermarket in it. We could probably find some supplies here.	3	4	1	2		22	20600	206210	2062100						
20622	Park Supermarket	It offers fewer choices of items than a supermarket but is enough to fulfill your daily needs.	3	4				23	20621		2062200						
20623	Park Management Office	The management office of the park. There seems to be light coming out from the office. Perhaps there are survivors inside.	3	4				24	20622		2062300						
20625	Black Lighthouse	A black lighthouse that stands quietly by the lake.	3	4				26	20622		2062500						
20626	Lakeside Cave	A weird cave. There seem to be traces left by a tent deep inside.	3	4				27	20625		2062600						
20627	Abandoned Industrial Park	The previous big industrial park is now in ruins.	1	2			1	28	20600	206270	2062700						
20628	Freight Station	A freight station of the old times. There could be other supplies in the warehouse.	3	4	2		1	29	20627		2062800						
20629	Abandoned Platform	... An abandoned platform. It seems that someone has camped here. We can smell blood even from the outside. We'd better get prepared before we go inside.	3	4	1		1	30	20627	206290	2062900						
20630	Dispatching Center	The dispatching center of the freight station. It's probably the only building that is relatively complete around here.	3	4	1	2	1	31	20629		2063010	2063020					
