Id	Desc	Trigger	EffectType	SourceType[0]	SourceCount[0]	SourceType[1]	SourceCount[1]	SourceType[2]	SourceCount[2]	SourceType[3]	SourceCount[3]	TargetType[0]	TargetCount[0]	TargetType[1]	TargetCount[1]	TargetType[2]	TargetCount[2]	TargetType[3]	TargetCount[3]	Args[0]	Args[1]	Args[2]	Args[3]	Args[4]	Args[5]	Args[6]	Args[7]
10515	Disaster Relief 2	0	1001									3	30	4	30												
10551	Stage 5 Location 1	0	4001																	1	500	2	500				
10552	Stage 5 Location 2	0	4001																	1	500	2	500				
10553	Stage 5 Location 3	0	4001																	1	500	2	500				
10554	Stage 5 Location 4	0	4001																	1	500	2	500				
10555	Stage 5 Location 5	0	4001																	1	500	2	500				
10556	Stage 5 Location 6	0	4001																	1	500	2	500				
10557	Stage 5 Location 7	0	4001																	1	500	2	500				
10558	Stage 5 Location 8	0	4001																	1	500	2	500				
10559	Stage 5 Location 9	0	4001																	1	500	2	500				
10560	Stage 5 Location 10	0	4001																	1	500	2	500				
10561	Stage 5 Location 11	0	4001																	1	500	2	500				
11001	Stage Event Result: Spirit -10		1002																	0	0	-10					
11002	Stage Event Result: Spirit +10		1002																	0	0	10					
11004	Stage Event Result: Spirit -10		1002																	0	0	-10					
11005	Stage Event Result: Spirit +10		1002																	0	0	10					
11007	Stage Event Result: Spirit -10		1002																	0	0	-10					
11008	Stage Event Result: Spirit +10		1002																	0	0	10					
11011	Stage Event Result: Food -20		1001	4	20																						
11015	Stage Event Result: Food -100		1001	4	100																						
11017	Stage Event Result: Food +50		1001									4	50														
11019	Stage Event Result: Food +50		1001									4	50														
11021	Stage Event Result: Food -100		1001	4	100																						
11023	Stage Event Result: Food +50, Iron +50		1001									2	50	4	50												
11025	Stage Event Result: Health and Spirit -30		1002																	-30	0	-30					
11027	Stage Event Result: Food +50, Iron +50		1001									2	50	4	50												
11029	Stage Event Result: Health and Spirit -30		1002																	-30	0	-30					
11031	Stage Event Result: Food +50, Iron +50		1001									2	50	4	50												
11033	Stage Event Result: Health and Spirit -30		1002																	-30	0	-30					
11035	Stage Event Result: Food -100		1001	4	100																						
11037	Stage Event Result: Wood +50, Iron +50		1001									1	50	2	50												
201	Big Medical Depot: Produces Serum x10 per day	2	2001									3	10														
202	Big Supply Depot: Produces Food x10 per day	2	2001									4	10														
203	Small Ruins: Produce Wood x100 and Iron x100 per turn when working properly	2	2001									1	100	2	100												
204	Small Ruins: Convert the building into a vacant area after 1 turn when working properly	2	2004																	1							
205	Medium Ruins: Produce Wood x100 and Iron x100 per turn when working properly	2	2001									1	100	2	100												
206	Medium Ruins: Convert the building into a vacant area after 2 turns when working properly	2	2004																	2							
207	Big Ruins: Produce Wood x170 and Iron x170 per turn when working properly	2	2001									1	170	2	170												
208	Big Ruins: Convert the building into a vacant area after 3 turns when working properly	2	2004																	3							
209	Medical Depot: Produces Serum x15 per day	2	2001									3	15														
210	Supply Depot: Produces Food x15 per day	2	2001									4	15														
211	Outpost: Unlock Exploration Team	13	2003																	1							
212	Outpost: Unlock the Exploration feature	13	2006																								
20101	Stage 1 Initialization: Wood x180	1	1001									1	180														
20102	Stage 1 Initialization: Iron x180	1	1001									2	180														
20103	Stage 1 Initialization: Serum x30	1	1001									3	30														
20104	Stage 1 Initialization: Food x30	1	1001									4	30														
20105	Stage 1 Initialization: 15 Members, 100 Stat Points	1	1005																	15	100	100	100				
20106	Stage 1 Initialization: Own Small Ruins x1	1	1007																	203	1	1					
20107	Stage 1 Initialization: Own Medium Ruins x1	1	1007																	204	1	1					
20108	Stage 1 Initialization: Own [Outpost] x1	1	1007																	209	1	1					
201030	Stage 1 Event: Obtained: Resident x7	0	1005																	7	80	80	80				
201050	Stage 1 Event: Spirit -10	0	1002																	0	0	10					
201070	Stage 1 Event: Spirit -10	0	1002																	0	0	10					
201090	Stage 1 Event: Obtained: Wood x300, Iron x300	0	1001									1	300	2	300												
1103	Sunny Day Event: Obtained: Medicine x15	0	1001									3	15														
1105	Sunny Day Event: Obtained: Medicine x20	0	1001									3	20														
1107	Sunny Day Event: Obtained: Food x15	0	1001									4	15														
1109	Sunny Day Event: Obtained: Food x20	0	1001									4	20														
1111	Sunny Day Event: Spirit +5	0	1002																	0	0	5					
1113	Sunny Day Event: Spirit +10	0	1002																	0	0	10					
1203	Rainy Day Event: Medicine -20	0	1001	3	20																						
1205	Rainy Day Event: Medicine -30	0	1001	3	30																						
1207	Rainy Day Event: Food -20	0	1001	4	20																						
1209	Rainy Day Event: Food -30	0	1001	4	30																						
1211	Rainy Day Event: Spirit -5	0	1002																	0	0	-5					
1213	Rainy Day Event: Spirit -10	0	1002																	0	0	-10					
1215	Rainy Day Event: Medicine -15	0	1001	3	15																						
1216	Rainy Day Event: Spirit +15	0	1002																	0	0	15					
1218	Rainy Day Event: Medicine -20	0	1001	3	20																						
1219	Rainy Day Event: Spirit +20	0	1002																	0	0	20					
1303	Snowy Day Event: Medical Depot stops working for 1 day	0	3003																	207	2	2					
1305	Snowy Day Event: Supply Depot stops working for 1 day	0	3003																	208	2	2					
1307	Snowy Day Event: Medicine -40	0	1001	3	40																						
1309	Snowy Day Event: Medicine -50	0	1001	3	50																						
1311	Snowy Day Event: Food -40	0	1001	4	40																						
1313	Snowy Day Event: Food -50	0	1001	4	50																						
1315	Snowy Day Event: Spirit -5	0	1002																	0	0	-5					
1317	Snowy Day Event: Spirit -10	0	1002																	0	0	-10					
1319	Snowy Day Event: Spirit -15	0	1002																	0	0	-15					
1321	Snowy Day Event: Food -15	0	1001	4	15																						
1322	Snowy Day Event: Spirit +15	0	1002																	0	0	15					
1324	Snowy Day Event: Food -20	0	1001	4	20																						
1325	Snowy Day Event: Spirit +20	0	1002																	0	0	20					
1403	Red Tide Event: Medical Depot stops working for 2 days	0	3003																	207	2	2					
1405	Red Tide Event: Supply Depot stops working for 2 days	0	3003																	208	2	2					
1407	Red Tide Event: Medicine -40	0	1001	3	40																						
1409	Red Tide Event: Medicine -50	0	1001	3	50																						
1411	Red Tide Event: Food -40	0	1001	4	40																						
1413	Red Tide Event: Food -50	0	1001	4	50																						
1415	Red Tide Event: Spirit -5	0	1002																	0	0	-5					
1417	Red Tide Event: Spirit -10	0	1002																	0	0	-10					
1419	Red Tide Event: Spirit -15	0	1002																	0	0	-15					
1421	Red Tide Event: Medicine -15	0	1001	3	15																						
1422	Red Tide Event: Spirit +15	0	1002																	0	0	15					
1424	Red Tide Event: Medicine -20	0	1001	3	20																						
1425	Red Tide Event: Spirit +20	0	1002																	0	0	20					
1427	Red Tide Event: Food -15	0	1001	4	15																						
1428	Red Tide Event: Spirit +15	0	1002																	0	0	15					
1430	Red Tide Event: Food -20	0	1001	4	20																						
1431	Red Tide Event: Spirit +20	0	1002																	0	0	20					
2010101	Stage 1 Location 1: Wood x200, Iron x200	0	4001																	1	200	2	200				
2010201	Stage 1 Location 2 Main Event Option 1: Triggers the subsequent event	0	1009																	2010204							
2010202	Stage 1 Location 2 Main Event Option 2: Triggers the subsequent event	0	1009																	2010208							
2010203	Stage 1 Location 2 Main Event Option 3: Triggers the subsequent event	0	1009																	2010212							
2010205	Stage 1 Location 2 Sub-Event - 1 Option: Triggers the subsequent event	0	1009																	2010206							
2010209	Stage 1 Location 2 Sub-Event - 2 Option: Triggers the subsequent event	0	1009																	2010210							
2010213	Stage 1 Location 2 Sub-Event - 3 Option: Triggers the subsequent event	0	1009																	2010214							
2010215	Stage 1 Location 2 Overall Effect: Wood x200, Iron x200	0	4001																	1	200	2	200				
2010216	Stage 1 Location 2 Overall Effect: Survivor x1	0	4002																	1	80	80	80				
2010217	Stage 1 Location 2 Overall Effect: Unlocks Location 10	0	1008																	20109							
2010301	Obtained: Medicine x15, Food x10	0	4001																	3	15	4	10				
2010401	Stage 1 Location 3: Triggers the subsequent event	0	1009																	2010403							
2010402	Obtained: Wood x120, Iron x100	0	4001																	1	120	2	100				
2010405	Survivor x4	0	4002																	4	80	80	80				
2010501	Obtained: Medicine x10, Food x10	0	4001																	3	10	4	10				
2010502	Survivor x6	0	4002																	6	80	80	80				
2010601	Obtained: Wood x70, Iron x125	0	4001																	1	70	2	125				
2010701	Obtained: Wood x30, Iron x45, Medicine x20, Food x20	0	4001																	1	30	2	45	3	20	4	20
2010801	Obtained: Wood x300, Iron x300	0	4001																	1	300	2	300				
2010901	Stage 1 Location 10 Option Outcome	0	1009																	2010903							
2010902	Stage 1 Location 10 Option Outcome	0	1009																	2010905							
2010904	Stage 1 Location 10 Option Outcome	0	1009																	2010905							
2010906	Medicine x20, Food x20	0	4001																	3	20	4	20				
2010907	Survivor x2	0	4002																	2	80	80	80				
2011001	Wood x400, Iron x400	0	4001																	1	400	2	400				
2011002	Survivor x2	0	4002																	2	80	80	80				
2011101	Obtained: Survivor x7	0	4002																	7	80	80	80				
20201	Stage 2 Initialization: Wood x200	1	1001									1	200														
20202	Stage 2 Initialization: Iron x200	1	1001									2	200														
20203	Stage 2 Initialization: Serum x50	1	1001									3	50														
20204	Stage 2 Initialization: Food x50	1	1001									4	50														
20205	Stage 2 Initialization: 15 Members, 50 Health, 50 Satiety, 100 Spirit	1	1005																	15	50	50	80				
20206	Stage 2 Initialization: Own Small Ruins x1	1	1007																	203	1	1					
20207	Stage 2 Initialization: Own Medium Ruins x1	1	1007																	204	1	1					
20208	Stage 2 Initialization: Own [Outpost] x1	1	1007																	209	1	1					
20209	Stage 2 [Comms Device] Special Effect: Triggers [Comms Device]	0	1009																	202004							
20210	Stage 2 [Comms Device] Special Effect: Triggers [Comms From Afar]	0	1009																	202100							
202005	Stage 2 [Comms Device] Event Effect: Unlocks Location 4	0	1008																	20203							
202006	Stage 2 [Comms Device] Event Effect: Unlocks Location 12	0	1008																	20212							
202007	Stage 2 [Comms Device] Event Effect: Triggers [The Sea in the South]	0	1009																	202016							
202009	Stage 2 [Weather Change] Event Effect: Change of the weather	0	5001																	203	204						
202013	Stage 2 [Weather Change] Event Effect: Change of the weather	0	5001																	205	206						
202101	Stage 2 [Comms From Afar - 1] Option 1 Effect: Triggers the next page	0	1009																	202103							
202102	Stage 2 [Comms From Afar - 1] Option 2 Effect: Triggers the next page	0	1009																	202116							
202104	Stage 2 [Comms From Afar - 1] Option 1 Effect: Triggers the next page	0	1009																	202106							
202105	Stage 2 [Comms From Afar - 1] Option 1 Effect: Triggers the next page	0	1009																	202108							
202107	Stage 2 [Comms From Afar - 1] Option 1 Effect: Triggers the next page	0	1009																	202108							
202109	Stage 2 [Comms From Afar - 1] Option 1 Effect: Triggers the next page	0	1009																	202110							
202111	Stage 2 [Comms From Afar - 1] Option 1 Effect: Triggers the next page	0	1009																	202112							
202113	Stage 2 [Comms From Afar - 1] Option 1 Effect: Triggers the next page	0	1009																	202114							
202211	Stage 2 [Comms From Afar - 2 - A] Option Effect: Triggers the next page	0	1009																	202213							
202212	Stage 2 [Comms From Afar - 2 - A] Option Effect: Triggers the next page	0	1009																	202215							
202214	Stage 2 [Comms From Afar - 2 - A] Option Effect: Triggers the next page	0	1009																	202215							
202216	Stage 2 [Comms From Afar - 2 - A] Option Effect: Triggers the next page	0	1009																	202217							
202221	Stage 2 [Comms From Afar - 2 - B] Option 1 Effect: Triggers the next page	0	1009																	202223							
202222	Stage 2 [Comms From Afar - 2 - B] Option 2 Effect: Triggers the next page	0	1009																	202234							
202224	Stage 2 [Comms From Afar - 2 - B] Option 1 Effect: Triggers the next page	0	1009																	202226							
202225	Stage 2 [Comms From Afar - 2 - B] Option 1 Effect: Triggers the next page	0	1009																	202228							
202227	Stage 2 [Comms From Afar - 2 - B] Option 1 Effect: Triggers the next page	0	1009																	202228							
202229	Stage 2 [Comms From Afar - 2 - B] Option 1 Effect: Triggers the next page	0	1009																	202230							
202231	Stage 2 [Comms From Afar - 2 - B] Option 1 Effect: Triggers the next page	0	1009																	202232							
202311	Stage 2 [Comms From Afar - 3 - A] Option 1 Effect: Triggers the next page	0	1009																	202313							
202312	Stage 2 [Comms From Afar - 3 - A] Option 2 Effect: Triggers the next page	0	1009																	202315							
202321	Stage 2 [Comms From Afar - 3 - B] Option 1 Effect: Triggers the next page	0	1009																	202323							
202322	Stage 2 [Comms From Afar - 3 - B] Option 2 Effect: Triggers the next page	0	1009																	202331							
202324	Stage 2 [Comms From Afar - 3 - B] Option 1 Effect: Triggers the next page	0	1009																	202325							
202326	Stage 2 [Comms From Afar - 3 - B] Option 1 Effect: Triggers the next page	0	1009																	202327							
202328	Stage 2 [Comms From Afar - 3 - B] Option 1 Effect: Triggers the next page	0	1009																	202329							
2020101	Stage 2 Location 1 [Abandoned Postal Station] Event Outcome: Wood x100, Iron x100	0	4001																	1	150	2	150				
2020201	Stage 2 Location 2 [Mountain Village] Event Outcome: Wood x100, Iron x100	0	4001																	1	120	2	120				
2020202	Stage 2 Location 2 [Mountain Village] Event Outcome: Triggers [White Birch Courtyard]	0	1009																	202014							
2020301	Stage 2 Location 3 [Cableway] Event Outcome: Wood x150, Iron x150	0	4001																	1	150	2	150				
2020302	Stage 2 Location 3 [Cableway] Event Outcome: Survivor x1	0	4002																	1	80	80	80				
2020401	Stage 2 Location 4 [Relatively Flat Mountain Road] Event Outcome: Wood x150, Iron x150, Medicine x60, Food x60	0	4001																	1	150	2	150	3	60	4	60
2020501	Stage 2 Location 5 [Mountaintop Viewpoint] Event Outcome: Wood x100, Iron x100, Medicine x70, Food x70	0	4001																	1	100	2	100	3	70	4	70
2020502	Stage 2 Location 5 [Mountaintop Viewpoint] Event Outcome: Survivor x2	0	4002																	2	80	80	80				
2020901	Stage 2 Location 9 [Resource Transfer Depot] Event Outcome: Medicine x30, Food x30	0	4001																	3	30	4	30				
2021001	Stage 2 Location 10 [Eastern Resource Depot] Event Outcome: Medicine x60, Food x60	0	4001																	1	300	2	300	3	60	4	60
2021002	Stage 2 Location 10 [Eastern Resource Depot] Event Outcome: Survivor x3	0	4002																	3	80	80	80				
2021101	Stage 2 Location 11 [Path of Fallen Leaves] Event Outcome: Wood x10, Iron x10	0	4001																	1	10	2	10				
2021102	Stage 2 Location 11 [Path of Fallen Leaves] Event Outcome: Triggers [Joy]	0	1009																	202010							
2021211	Stage 2 Location 12 [Forest Edge - A] Event Outcome: Wood x150, Iron x150, Medicine x15, Food x15	0	4001																	1	150	2	150	3	15	4	15
2021212	Stage 2 Location 12 [Forest Edge - A] Event Outcome: Triggers [Comms From Afar - 2 - A]	0	1009																	202210							
2021221	Stage 2 Location 12 [Forest Edge - B] Event Outcome: Wood x150, Iron x150, Medicine x15, Food x15	0	4001																	1	150	2	150	3	15	4	15
2021222	Stage 2 Location 12 [Forest Edge - B] Event Outcome: Triggers [Comms From Afar - 2 - B]	0	1009																	202220							
2021311	Stage 2 Location 13 [Burnt Forest - A] Event Outcome: Wood x300, Iron x300, Medicine x30, Food x30	0	4001																	1	300	2	300	3	30	4	30
2021312	Stage 2 Location 13 [Burnt Forest - A] Event Outcome: Triggers [Comms From Afar - 3 - A]	0	1009																	202310							
2021321	Stage 2 Location 13 [Burnt Forest - B] Event Outcome: Wood x300, Iron x300, Medicine x30, Food x30	0	4001																	1	300	2	300	3	30	4	30
2021322	Stage 2 Location 13 [Burnt Forest - B] Event Outcome: Triggers [Comms From Afar - 3 - B]	0	1009																	202320							
2021411	Stage 2 Location 14 [Dark Path - A] Event Outcome: Triggers [Comms From Afar - 4 - A]	0	1009																	202410							
2021421	Stage 2 Location 14 [Dark Path - B] Event Outcome: Triggers [Comms From Afar - 4 - B]	0	1009																	202420							
2021431	Stage 2 Location 14 [Dark Path - C] Event Outcome: Triggers [Comms From Afar - 4 - C]	0	1009																	202430							
2021511	Stage 2 Location 15 [Hunting Trap - A] Event Outcome: Obtained: Medicine x50, Food x40	0	4001																	3	50	4	50				
2021512	Stage 2 Location 15 [Hunting Trap - A] Event Outcome: Survivor x5	0	4002																	2	80	80	80				
2021513	Stage 2 Location 15 [Hunting Trap - A] Event Effect: Sub-Event	0	1009																	2021512							
2021521	Stage 2 Location 15 [Hunting Trap - B] Event Outcome: Obtained: Medicine x20, Food x20	0	4001																	3	20	4	20				
2021522	Stage 2 Location 15 [Hunting Trap - B] Event Outcome: Survivor x2	0	4002																	2	50	50	50				
2021523	Stage 2 Location 15 [Hunting Trap - B] Event Effect: Sub-Event	0	1009																	2021522							
2021531	Stage 2 Location 15 [Hunting Trap - C] Event Outcome: Obtained: Medicine x20, Food x20	0	4001																	3	20	4	20				
2021601	Stage 2 Location 16 [Hunter's Cabin] Event Outcome: Wood x300, Iron x300, Medicine x20, Food x20	0	4001																	1	300	2	300	3	20	4	20
2021602	Stage 2 Location 16 [Hunter's Cabin] Event Outcome: Survivor x2	0	4002																	2	80	80	80				
2021701	Stage 2 Location 17 [Rocky Riverbank] Event Outcome: Wood x240, Iron x240	0	4001																	1	240	2	240				
2021702	Stage 2 Location 17 [Rocky Riverbank] Event Outcome: Survivor x2	0	4002																	2	80	80	80				
2021801	Stage 2 Location 18 [Lumberjack's Cabin] Event Outcome: Wood x350, Iron x350	0	4001																	1	350	2	350				
2021802	Stage 2 Location 18 [Lumberjack's Cabin] Event Outcome: Survivor x3	0	4002																	3	80	80	80				
2021901	Stage 2 Location 19 [Old Logging Site] Event Outcome: Wood x480, Iron x480	0	4001																	1	480	2	480				
2021902	Stage 2 Location 19 [Old Logging Site] Event Outcome: Survivor x2	0	4002																	2	80	80	80				
20301	Stage 3 Initialization: Serum x40	1	1001									3	40														
20302	Stage 3 Initialization: Food x40	1	1001									4	40														
20303	Stage 3 Initialization: 20 Members, 80 Stat Points	1	1005																	20	80	80	30				
20304	Stage 3 Initialization: Own Residence x2	1	1007																	206	2	1					
20305	Stage 3 Initialization: Own Big Medical Depot x2	1	1007																	201	2	1					
20306	Stage 3 Initialization: Own Big Supply Depot x2	1	1007																	202	2	1					
20307	Stage 3: Unlock the Abandoned Farm	0	1008																	20307							
203011	Medicine x80, Food x80	0	4001																	3	80	4	80				
