Id	NextStep	Mask	ConditionType	ConditionParam	CompleteType	CompleteParam	Effect	Arrow	UiName	IsFlow[1]	ListIndex[1]	FlowParam[1]	Target[1]	IsFlow[2]	ListIndex[2]	FlowParam[2]	Target[2]	IsFlow[3]	ListIndex[3]	FlowParam[3]	Target[3]	IsFlow[4]	ListIndex[4]	FlowParam[4]	Target[4]	RewardId	Record	IconPos	Icon	Name	Text	
20202	20203	1	3	20201	1	UiFubenMainLineBanner			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
20203	20204	1	6	PanelChapterList	1	UiFubenMainLineChapter			UiFubenMainLineBanner	1	1001	Id	PanelChapterList	0			@										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
20204	20205	1	3	20203	1	UiFubenMainLineDetail			UiFubenMainLineChapter	0	10010102		PanelStageContent	0			@										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
20205	20206	1	3	20204	1	UiNewRoomSingle			UiFubenMainLineDetail	0			BtnEnter	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
20206		1	3	20205	0				UiNewRoomSingle	0			BtnEnterFight	0													1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
30101	30102	1	1	UiFubenMainLineChapter	0				UiFubenMainLineChapter	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Clear a stage to get equipment as reward.	
30102		1	3	30101	0				UiFubenMainLineChapter	0				0													1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Let's proceed to the next stage.	
40101	40102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Claim your mission reward.	
40102	40103	1	3	40101	1	UiTask			UiMain	0			SafeAreaContentPane/BgView/Background/BtnLegion	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
40103		1	3	40102	0				UiTask	0	10010103		PanelCourseContainer	0			BtnClick										1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Claim your [Main Quest Mission Reward] from below.	
40201	40202	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	A new Construct has awakened. Prepare for battle.	
40202	40203	1	3	40201	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Choose your new Construct in [Members].	
40203	40204	1	3	40202	5	SViewCharacterList			UiMain	0			BtnConstructor	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
40204	40205	1	3	40203	0				UiCharacter	1	1031001	Id	SViewCharacterList	0			BtnCharacter										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
40205	40206	1	3	40204	0				UiCharacter	0			BtnLevelUp	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
40206	40207	1	3	40205	0	UiCharacter|PanelCharLevel			UiCharacter	0			BtnLevelUpButton	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
40207	40208	1	6	30011	0	UiCharacter|PanelSelectLevelItems			UiCharacter	0			30011	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Select enough [EXP Materials].	
40208		1	3	40207	0				UiCharacter	0			BtnUpgrade	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
40301	40302	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	We are now ready for battle.	
40302	40303	1	3	40301	1	UiFubenMainLineBanner			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
40303	40304	1	6	PanelChapterList	1	UiFubenMainLineChapter			UiFubenMainLineBanner	1	1001	Id	PanelChapterList	0			@										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
40304	40305	1	3	40303	1	UiFubenMainLineDetail			UiFubenMainLineChapter	0	10010104		PanelStageContent	0			@										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
40305	40306	1	3	40304	1	UiNewRoomSingle			UiFubenMainLineDetail	0			BtnEnter	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
40306	40307	1	3	40305	0				UiNewRoomSingle	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Add the new member to your team.	
40307	40308	1	3	40306	1	UiMainLineRoomCharacter			UiNewRoomSingle	0			BtnChar1	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
40308	40309	1	3	40307	0				UiMainLineRoomCharacter	0	1031001		PanelRoleContent	0			@										1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
40309	40310	1	3	40308	0				UiMainLineRoomCharacter	0			BtnJoinTeam	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
40310		1	1	UiNewRoomSingle	0				UiNewRoomSingle	0			BtnEnterFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
50101	50102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Increase Construct skill level to increase their prowess in battle.	
50102	50103	1	3	50101	5	SViewCharacterList			UiMain	0			BtnConstructor	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Choose a Construct from [Members].	
50103	50104	1	3	50102	0				UiCharacter	1	1031001	Id	SViewCharacterList	0			BtnCharacter										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
50104	50105	1	3	50103	0				UiCharacter	0			BtnLevelUp	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
50105	50106	1	3	50104	0				UiCharacter	0			TogSkill	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
50106	50107	1	3	50105	5				UiCharacter	0			GridSkillItem4/RImgSkillIcon	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Go to the [Skill] tab.	
50107	50108	1	3	50106	0				UiCharacter	0			103118/BtnSubSkillIconBg	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Choose a [Skill] to upgrade.	
50108		1	3	50107	0				UiCharacter	0			BtnUpgradeButtonOn	0													1	1	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
50201	50202	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Go to the theater of operations.	
50202	50203	1	3	50201	1	UiFubenMainLineBanner			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
50203	50204	1	6	PanelChapterList	1	UiFubenMainLineChapter			UiFubenMainLineBanner	1	1001	Id	PanelChapterList	0			@										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
50204	50205	1	3	50203	1	UiFubenMainLineDetail			UiFubenMainLineChapter	0	10010201		PanelStageContent	0			@										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
50205	50206	1	3	50204	1	UiNewRoomSingle			UiFubenMainLineDetail	0			BtnEnter	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
50206	50207	1	3	50205	0				UiNewRoomSingle	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Liv is currently deployed at the location marked in <color=#00EEEE>[Blue]</color>.	
50207	50208	1	3	50206	0				UiNewRoomSingle	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Get a <color=#00EEEE>Blue 3-Ping</color> with another Construct to trigger Liv's [Support Attack].	
50208		1	3	50207	0				UiNewRoomSingle	0			BtnEnterFight	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
70101	70102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	There are many [Novice Mission] that a new Commandant can complete.	
70102	70103	1	3	70101	0				UiMain	0			BtnTarget	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Check them out.	
70103		1	6	SViewTask	0				UiNewPlayerTask	1	7100	Id	SViewTask	0			BtnCollect										1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
90101	90102	1	1	UiMain	5	SViewCharacterList			UiMain	0			BtnConstructor	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	A Construct is available for [Promotion]. Go to the Members page.	
90102	90103	1	3	90101	0				UiCharacter	1	1021001	Id	SViewCharacterList	0			BtnCharacter										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
90103	90104	1	3	90102	0				UiCharacter	0			BtnLevelUp	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
90104	90105	1	3	90103	0				UiCharacter	0			TogGrade	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
90105	90106	1	3	90104	0				UiCharacter	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Promoting a Construct increases their abilities.	
90106	90107	1	3	90105	0				UiCharacter	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Take note of the promotion requirements.	
90107		1	3	90106	0				UiCharacter	0			BtnWisdom	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
110101	110102	1	1	UiMain	1	UiSocial			UiMain	0			BtnSocial	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Try adding another Commandant as your friend.	
110102	110103	1	3	110101	0				UiSocial	0			BtnMainAddContact	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
110103		1	3	110102	0				UiSocial	0				0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Try to add a contact.	
120101	120102	1	1	UiMain	0				UiMain	0			BtnRole	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
120102	120103	1	3	120101	1	UiFavorability			UiMain	0			PanelLayout	0			BtnInteractive										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
120103	120104	1	3	120102	0				UiFavorability	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Tap to switch tabs or view details about a Construct.	
120104	120105	1	3	120103	0				UiFavorability	0				0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	You can play minigames with Constructs in Rendezvous to increase their Affection.	
130001	130002	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	You can research new [Constructs], [Weapons] and [Memory].	
130002	130003	1	3	130001	0				UiMain	0				0												1300	1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	I can lend you some [R&D Tickets].	
130003		1	2	UiObtain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Don't forget to return them.	
130101	130102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Let's try researching.	
130102	130103	1	3	130101|130003	1	UiDrawMain			UiMain	0			BtnReward	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130103	130104	1	6	UiDrawMain	0				UiDrawMain	0			1	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130104	130105	1	6		1	UiDraw			UiDrawMain	0			DrawStandardPt01	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130105		1	3	130104	0				UiDraw	0			BtnDraw1	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130201	130202	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	A new [Construct] has awakened. Prepare for battle.	
130202	130203	1	3	130201	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Choose your new Construct in [Members].	
130203	130204	1	3	130202	5	SViewCharacterList			UiMain	0			BtnConstructor	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130204	130205	1	3	130203	0				UiCharacter	1	1051001	Id	SViewCharacterList	0			BtnCharacter										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130205	130206	1	3	130204	0				UiCharacter	0			BtnLevelUp	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130206	130207	1	3	130205	0	UiCharacter|PanelCharLevel			UiCharacter	0			BtnLevelUpButton	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130207	130208	1	6	30012	0				UiCharacter	0			30012	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Select enough [EXP Materials].	
130208	130209	1	3	130207	0				UiCharacter	0			BtnUpgrade	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130209		1	2	UiCharacter|PanelLevelUpgrade	0				UiCharacter	0			BtnMainUi	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130301	130302	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	We are now ready for battle.	
130302	130303	1	3	130301	1	UiFubenMainLineBanner			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130303	130304	1	6	PanelChapterList	1	UiFubenMainLineChapter			UiFubenMainLineBanner	1	1001	Id	PanelChapterList	0			@										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130304	130305	1	3	130303	1	UiFubenMainLineDetail			UiFubenMainLineChapter	0	10010401		PanelStageContent	0			@										0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130305	130306	1	3	130304	1	UiNewRoomSingle			UiFubenMainLineDetail	0			BtnEnter	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130306	130307	1	3	130305	0				UiNewRoomSingle	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Add your new member and start a battle.	
130307	130308	1	3	130306	1	UiMainLineRoomCharacter			UiNewRoomSingle	0			BtnChar3	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130308	130309	1	3	130307	0				UiMainLineRoomCharacter	0	1051001		PanelRoleContent	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130309	130310	1	3	130308	0				UiMainLineRoomCharacter	0			BtnJoinTeam	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
130310		1	1	UiNewRoomSingle	0				UiNewRoomSingle	0			BtnEnterFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
150101	150102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Event mission is now available. Claim your mission reward.	
150102	150103	1	3	150101	1	UiTask			UiMain	0			BtnLegion	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
150103	150104	1	3	150102	0				UiTask	0			TogActivity	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
150104		1	6	PanelTaskActivityList	0				UiTask	1	5107	Id	PanelTaskActivityList	0			BtnFinish										1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Choose a completed mission.	
170101	170102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Daily mission is now available. Claim your mission reward.	
170102	170103	1	3	170101	1	UiTask			UiMain	0			BtnLegion	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
170103	170104	1	3	170102	0				UiTask	0			TogDaily	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl		
170104	170105	1	3	170103	0				UiTask	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Complete daily missions to get [EXP].	
170105		1	3	170104	0				UiTask	0				0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Mysterious Girl	Remember to complete your daily missions!	
180101	180102	1	1	UiNewRoomSingle	0				UiNewRoomSingle	0			BtnAssistToggle	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Tap here to send a [Support Signal].	
180102		1	3	180101	0				UiNewRoomSingle	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	This sends a call for help to nearby squads.	
210101	210102	1	1	UiMain	1	UiPlayer			UiMain	0			BtnRoleInfo	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Let's check out Achievements.	
210102	210103	1	3	210101	0				UiPlayer	0			TogAchv	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
210103		1	3	210102	0				UiPlayer	0				0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Claim your achievement rewards here.	
220101	220102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	[Targeted Mode] in Research increases the chance of certain equipment appearing.	
220102	220103	1	3	220101	1	UiDrawMain			UiMain	0			BtnReward	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
220103	220104	1	6	UiDrawMain	0				UiDrawMain	0			2	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
220104	220105	1	3	220103	1	UiDraw			UiDrawMain	0			DrawStandardJj02	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
220105		1	3	220104	0				UiDraw	0				0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Use [Select Equipment] below to set which equipment you want to appear more frequently.	
230101	230102	1	1	UiMain	1	UiShop			UiMain	0			BtnStore	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	You can buy supplies in the Shop.	
230102		1	6	1	0				UiShop	0			1	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
250101	250102	1	1	UiMain	0				UiMain	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Training is now ready. Get ready to enter the M.I.N.D.	
250102	250103	1	3	250101	1	UiFuben			UiMain	0			BtnFight	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
250103	250104	1	3	250102	1	UiFubenDailyBanner			UiFuben	0			TogDaily	0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Switch to the Daily tab.	
250104	250105	1	6	PanelChapterList	1	UiFubenChallengeMap			UiFubenDailyBanner	1	1		PanelChapterList	0													1	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica		
250105		1	3	250104	0				UiFubenChallengeMap	0				0													0	0	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Celica	Complete challenges to get [Construct EXP].	
