Id	RoleId	StandType	ChangeToStandType	ShowType	ConditionId	ConditionParam	Content	CvId	FaceId	ActionId	Duration[1]	Duration[2]	Duration[3]	Duration[4]	Weight	Validity	CoolTime	FavorLimit	ShowButton	ActivityId	ShowTime
1020407	1021004	0	0	0	10001	4	I... think I need some time for mental preparation.	1022053		BoardAct1002	7.2	7.2	7.2	7.2	1	-1	-1	1|8			
1020408	1021004	0	0	0	10001	5	I... think I need some time for mental preparation.	1022053		BoardAct1002	7.2	7.2	7.2	7.2	1	-1	-1	1|8			
1020409	1021004	0	0	1	101	10	I've been waiting, Commandant. Let's go.	1022043		BoardAct1004	6.833	6.833	6.833	6.833	96	-1	-1	2|8			
1020410	1021004	0	0	1	111	3600	Commandant, you should go rest. Handle the rest of your work after you get some sleep.	1022038		BoardAct1007	7.912	7.667	7.667	7.667	98	-1	-1	3|8			
1020411	1021004	0	0	1	1	900	Hide-and-seek? Commandant isn't one to do something so childish, I'll have to get the others for a search party...	1022035		BoardAct1005	12.333	12.333	12.333	12.333	97	-1	-1	4|8			
1020412	1021004	0	0	0	10002	-1	Um... The Plume model can actually fly, but it doesn't really do much.	1022049		BoardAct1003	9.167	9.167	9.167	9.218	1	-1	-1	5|8			
1020413	1021004	0	0	2	102	2	If you're going on a trip, can you bring me with you? I'll do anything, as long as I can be with you.	1022047		BoardAct1006	13.333	13.333	13.333	13.333	99	-1	-1	6|8			
1030101	1031001	0	0	0	10001	1	Please get some rest. I'll help Lucia protect the base.	103018		BoardAct0401	7.333	7.333	7.333	7.333	1	-1	-1	1|8	1|2		
1030102	1031001	0	0	0	10001	1	I may not fight as well as the others, but I'll always try my best!	103022		BoardAct0601	5.333	6.238	6.189	6.189	1	-1	-1	1|8	1|2		
1030103	1031001	0	0	0	120	-1	I may not fight as well as the others, but I'll always try my best!	103022		BoardAct0601	5.333	6.238	6.189	6.189	1	-1	-1	1|8	1|2		
1030104	1031001	0	0	0	2	-1	There's a lot of things about you that I'd like to study closer.	103035		BoardAct1001	6.667	6.667	6.667	6.71	1	-1	-1	1|8			
1030105	1031001	0	0	0	10001	3	W-wha... W-wha... W-wha...	103069		BoardAct1002	4.333	4.333	4.333	4.333	1	-1	-1	1|8			
1030106	1031001	0	0	0	10001	4	W-wha... W-wha... W-wha...	103069		BoardAct1002	4.333	4.333	4.333	4.333	1	-1	-1	1|8			
1030107	1031001	0	0	0	10001	5	W-wha... W-wha... W-wha...	103069		BoardAct1002	4.333	4.333	4.333	4.333	1	-1	-1	1|8			
1030201	1031002	0	0	0	10001	1	Please get some rest. I'll help Lucia protect the base.	103018		BoardAct0201	7.333	7.333	7.333	7.333	1	-1	-1	1|8	1|2		
1030202	1031002	0	0	0	10001	1	I may not fight as well as the others, but I'll always try my best!	103022		BoardAct0202	5.667	6.238	6.189	6.189	1	-1	-1	1|8	1|2		
1030203	1031002	0	0	0	10001	1	Hm? You're afraid of the dark? In that case... I'll stay with you a bit longer.	103031		BoardAct0203	8.5	8.5	8.5	8.544	1	-1	-1	1|8	1|2		
1030204	1031002	0	0	0	120	-1	I may not fight as well as the others, but I'll always try my best!	103022		BoardAct0202	5.667	6.238	6.189	6.189	1	-1	-1	1|8	1|2		
1030205	1031002	0	0	0	2	-1	There's a lot of things about you that I'd like to study closer.	103035		BoardAct1001	6.667	6.667	6.667	6.71	1	-1	-1	1|8			
1030206	1031002	0	0	0	10001	3	W-wha... W-wha... W-wha...	103069		BoardAct1002	3.833	3.833	3.833	3.833	1	-1	-1	1|8			
1030207	1031002	0	0	0	10001	4	W-wha... W-wha... W-wha...	103069		BoardAct1002	3.833	3.833	3.833	3.833	1	-1	-1	1|8			
1030208	1031002	0	0	0	10001	5	W-wha... W-wha... W-wha...	103069		BoardAct1002	3.833	3.833	3.833	3.833	1	-1	-1	1|8			
1030301	1031003	0	0	0	10001	1	A world shrouded in darkness is not worth anything. That's why I wish to restore the light.	103082		BoardAct0201	11.167	11.167	11.167	11.238	1	-1	-1	1|8	1|2		
1030302	1031003	0	0	0	10001	1	Would today's operation planning require my help?	103085		BoardAct0202	9.667	9.667	10.962	10.962	1	-1	-1	1|8	1|2		
1030303	1031003	0	0	0	10001	1	Do not fear to be in the darkness, for I shall lead you forward.	103087		BoardAct0203	10	10	10	10	1	-1	-1	1|8	1|2		
1030304	1031003	0	0	0	120	-1	Would today's operation planning require my help?	103085		BoardAct0202	9.667	9.667	10.962	10.962	1	-1	-1	1|8	1|2		
1030305	1031003	0	0	0	2	-1	I could never hate you.	103092		BoardAct1001	8.128	8	9.924	9.924	1	-1	-1	1|8			
1030306	1031003	0	0	0	10001	3	W-wha... W-wha... W-wha...	103069		BoardAct1002	7.2	7.2	7.2	7.2	1	-1	-1	1|8			
1030307	1031003	0	0	0	10001	4	W-wha... W-wha... W-wha...	103069		BoardAct1002	7.2	7.2	7.2	7.2	1	-1	-1	1|8			
1030308	1031003	0	0	0	10001	5	W-wha... W-wha... W-wha...	103069		BoardAct1002	7.2	7.2	7.2	7.2	1	-1	-1	1|8			
1030309	1031003	0	0	1	101	10	Good day, Commandant.	103115		BoardAct1004	4	4	4	4.04	96	-1	-1	2|8			
1030310	1031003	0	0	1	111	3600	Don't take too long to connect. I'll always be here...	103114		BoardAct1007	8.667	8.667	8.667	8.667	98	-1	-1	3|8			
1030311	1031003	0	0	1	1	900	Don't be so quiet... I'd be worried.	103109		BoardAct1005	8.667	8.667	8.667	8.707	97	-1	-1	4|8			
1030312	1031003	0	0	0	10002	-1	Please... enough is enough.	103064		BoardAct1003	5.334	5.334	5.334	5.334	1	-1	-1	5|8			
1030313	1031003	0	0	2	102	2	I'm sure you'll be back. Thank you for coming back...	103122		BoardAct1006	10.667	10.667	10.667	10.727	99	-1	-1	6|8			
1040201	1041002	0	0	0	10001	1	Now that I'm a member of Gray Raven, you can just treat me like the others.	104019		BoardAct0201	9	9	9	9	1	-1	-1	1|8	1|2		
1040202	1041002	0	0	0	10001	1	Faith? It all came naturally, please don't mind me.	104020		BoardAct0202	7.667	7.667	7.667	7.667	1	-1	-1	1|8	1|2		
1040203	1041002	0	0	0	10001	1	It's time to recharge, Commandant. Please recharge regularly.	104017		BoardAct0203	6.667	6.667	6.667	6.667	1	-1	-1	1|8	1|2		
1040204	1041002	0	0	0	120	-1	Now that I'm a member of Gray Raven, you can just treat me like the others.	104019		BoardAct0201	9	9	9	9	1	-1	-1	1|8	1|2		
1040205	1041002	0	0	0	2	-1	I feel very comfortable working with you, Commandant.	104028		BoardAct1001	7.333	7.333	7.333	7.333	1	-1	-1	1|8			
1040206	1041002	0	0	0	10001	3	Never mind. I just need to get used to it.	104063		BoardAct1002	5.333	5.333	5.435	5.435	1	-1	-1	1|8			
1040207	1041002	0	0	0	10001	4	Never mind. I just need to get used to it.	104063		BoardAct1002	5.333	5.333	5.435	5.435	1	-1	-1	1|8			
1040208	1041002	0	0	0	10001	5	Never mind. I just need to get used to it.	104063		BoardAct1002	5.333	5.333	5.435	5.435	1	-1	-1	1|8			
1040301	1041003	0	0	0	10001	1	During this time period, I recommend resting and replenishing energy and calories.	104069		BoardAct0201	7.667	7.667	7.667	7.667	1	-1	-1	1|8	1|2		
1040302	1041003	0	0	0	10001	1	Constructs can't truly have faith? Or are you trying to be my target of worship?	104072		BoardAct0202	10.667	10.667	10.667	10.667	1	-1	-1	1|8	1|2		
1040303	1041003	0	0	0	10001	1	I will follow all your commands.	104073		BoardAct0203	5.333	5.333	5.333	5.333	1	-1	-1	1|8	1|2		
1040304	1041003	0	0	0	120	-1	Constructs can't truly have faith? Or are you trying to be my target of worship?	104072		BoardAct0202	10.667	10.667	10.667	10.667	1	-1	-1	1|8	1|2		
1040305	1041003	0	0	0	2	-1	Hmm, I'm not against it.	104079		BoardAct1001	5.667	5.667	5.667	5.667	1	-1	-1	1|8			
1040306	1041003	0	0	0	10001	3	Never mind. I just need to get used to it.	104063		BoardAct1002	5.667	5.667	5.667	5.667	1	-1	-1	1|8			
1040307	1041003	0	0	0	10001	4	Never mind. I just need to get used to it.	104063		BoardAct1002	5.667	5.667	5.667	5.667	1	-1	-1	1|8			
1040308	1041003	0	0	0	10001	5	Never mind. I just need to get used to it.	104063		BoardAct1002	5.667	5.667	5.667	5.667	1	-1	-1	1|8			
1040309	1041003	0	0	1	101	10	I don't know why but I'm a bit nervous seeing you.	104098		BoardAct1004	8.534	8.534	8.534	8.534	96	-1	-1	2|8			
1040310	1041003	0	0	1	111	3600	Now you won't even listen to me any more?	104094		BoardAct1007	6.5	6.5	6.5	6.5	98	-1	-1	3|8			
1040311	1041003	0	0	1	1	900	Am I not enough to have all your attention?	104092		BoardAct1005	6.834	6.834	6.834	6.834	97	-1	-1	4|8			
1040312	1041003	0	0	0	10002	-1	Well, feel free to do whatever you want.	104059		BoardAct1003	6	6	6	6	1	-1	-1	5|8			
1040313	1041003	0	0	2	102	2	It's been a long time since you've been to the base. What's wrong?	104099		BoardAct1006	9.834	9.834	9.834	9.834	99	-1	-1	6|8			
1050101	1051001	0	0	0	10001	1	Nanami's pretty one of a kind! Take a closer look and you'll see.	105023		BoardAct0201	7.333	7.333	7.333	7.333	1	-1	-1	1|8	1|2		
1050102	1051001	0	0	0	10001	1	Gray Raven is Nanami's first squad!	105020		BoardAct0202	6.667	6.667	6.667	6.71	1	-1	-1	1|8	1|2		
1050103	1051001	0	0	0	10001	1	Who knows, maybe one day Nanami will just disappear altogether... So, please try to remember me.	105026		BoardAct0203	10.667	10.667	10.667	10.704	1	-1	-1	1|8	1|2		
1050104	1051001	0	0	0	120	-1	Nanami's pretty one of a kind! Take a closer look and you'll see.	105023		BoardAct0201	7.333	7.333	7.333	7.333	1	-1	-1	1|8	1|2		
1050105	1051001	0	0	0	2	-1	The more time I spend with you, the more I feel like I'm becoming a human...	105032		BoardAct1001	7.167	7.195	7.167	7.198	1	-1	-1	1|8			
1050106	1051001	0	0	0	10001	3	And dodge! And... AH!	105062		BoardAct1002	6.167	6.167	6.167	8.034	1	-1	-1	1|8			
1050107	1051001	0	0	0	10001	4	And dodge! And... AH!	105062		BoardAct1002	6.167	6.167	6.167	8.034	1	-1	-1	1|8			
1050108	1051001	0	0	0	10001	5	And dodge! And... AH!	105062		BoardAct1002	6.167	6.167	6.167	8.034	1	-1	-1	1|8			
1050301	1051003	0	0	0	10001	1	Stop eating in front of Nanami?! It makes me want to eat too...	105069		BoardAct0201	6.667	6.667	7.062	7.062	1	-1	-1	1|8	1|2		
1050302	1051003	0	0	0	10001	1	Humans are all mysterious creatures to me. That's why Nanami is striving to be mysterious to humans too!	105071		BoardAct0202	12	12	12	12	1	-1	-1	1|8	1|2		
1050303	1051003	0	0	0	10001	1	Nanami loves humans!	105073		BoardAct0203	4.667	4.667	4.667	4.667	1	-1	-1	1|8	1|2		
1050304	1051003	0	0	0	120	-1	Nanami loves humans!	105073		BoardAct0203	4.667	4.667	4.667	4.667	1	-1	-1	1|8	1|2		
1050305	1051003	0	0	0	2	-1	The more time I spend with you, the more I feel like I'm becoming a human...	105032		BoardAct1001	7.167	7.195	7.167	7.198	1	-1	-1	1|8			
1050306	1051003	0	0	0	10001	3	And dodge! And... AH!	105062		BoardAct1002	8.033	8.033	8.033	8.034	1	-1	-1	1|8			
1050307	1051003	0	0	0	10001	4	And dodge! And... AH!	105062		BoardAct1002	8.033	8.033	8.033	8.034	1	-1	-1	1|8			
1050308	1051003	0	0	0	10001	5	And dodge! And... AH!	105062		BoardAct1002	8.033	8.033	8.033	8.034	1	-1	-1	1|8			
1050309	1051003	0	0	1	101	10	Morning, meow! Is this how you humans like to greet each other?	105098		BoardAct1004	9.833	9.833	9.833	9.868	96	-1	-1	2|8			
1050310	1051003	0	0	1	111	3600	There are important memories of me in your mind! What if you lose them all? Go take a break!	105097		BoardAct1007	13.134	13.134	13.134	13.134	98	-1	-1	3|8			
1050311	1051003	0	0	1	1	900	Commandant, don't slack off during working hours, all right?	105090		BoardAct1005	6.7	6.7	6.7	6.756	97	-1	-1	4|8			
1050312	1051003	0	0	0	10002	-1	Huh, you wanna play this again?	105057		BoardAct1003	5.334	5.334	5.334	5.334	1	-1	-1	5|8			
1050313	1051003	0	0	2	102	2	Nanami thought you're lost...	105104		BoardAct1006	7.5	7.5	7.5	7.5	99	-1	-1	6|8			
1060201	1061002	0	0	0	10001	1	Commandant! When are you going to take me on another mission—?!	106019		BoardAct0201	7.667	7.667	7.667	7.667	1	-1	-1	1|8	1|2		
1060202	1061002	0	0	0	10001	1	The very thought of fighting next to you sends energy coursing through my body.	106022		BoardAct0202	7.333	7.333	7.333	7.333	1	-1	-1	1|8	1|2		
1060203	1061002	0	0	0	10001	1	I wouldn't mind knowing what hunger feels like... but just charging up like us is also pretty convenient, right?	106017		BoardAct0203	8.667	10.172	8.667	8.667	1	-1	-1	1|8	1|2		
1060204	1061002	0	0	0	120	-1	Commandant! When are you going to take me on another mission—?!	106019		BoardAct0201	7.667	7.667	7.667	7.667	1	-1	-1	1|8	1|2		
1060205	1061002	0	0	0	2	-1	Oh yeah, we're the best buds!	106028		BoardAct1001	4.167	4.167	4.167	4.167	1	-1	-1	1|8			
1060206	1061002	0	0	0	10001	3	Ah, so much poking. I'll get you back someday!	106064		BoardAct1002	8.5	8.5	8.5	8.5	1	-1	-1	1|8			
1060207	1061002	0	0	0	10001	4	Ah, so much poking. I'll get you back someday!	106064		BoardAct1002	8.5	8.5	8.5	8.5	1	-1	-1	1|8			
1060208	1061002	0	0	0	10001	5	Ah, so much poking. I'll get you back someday!	106064		BoardAct1002	8.5	8.5	8.5	8.5	1	-1	-1	1|8			
1060301	1061003	0	0	0	10001	1	Have you eaten? You better. There's nothing to eat here if you get the munchies later.	106070		BoardAct0201	6.667	6.667	6.667	6.667	1	-1	-1	1|8	1|2		
1060302	1061003	0	0	0	10001	1	You're the strangest Commandant I've ever seen... not that I'm complaining, haha!	106073		BoardAct0202	10.667	10.667	10.667	10.667	1	-1	-1	1|8	1|2		
1060303	1061003	0	0	0	10001	1	You can't see the stars on our current Earth. Better spend the time thinking about tomorrow's operations instead.	106071		BoardAct0203	8.667	8.819	8.667	8.667	1	-1	-1	1|8	1|2		
1060304	1061003	0	0	0	120	-1	Have you eaten? You better. There's nothing to eat here if you get the munchies later.	106070		BoardAct0201	6.667	6.667	6.667	6.667	1	-1	-1	1|8	1|2		
1060305	1061003	0	0	0	2	-1	I once saw the term "besties" in a book. Are we besties?	106081		BoardAct1001	6.667	6.667	6.667	6.667	1	-1	-1	1|8			
1060306	1061003	0	0	0	10001	3	Ah, so much poking. I'll get you back someday!	106064		BoardAct1002	9.833	9.833	9.833	9.833	1	-1	-1	1|8			
1060307	1061003	0	0	0	10001	4	Ah, so much poking. I'll get you back someday!	106064		BoardAct1002	9.833	9.833	9.833	9.833	1	-1	-1	1|8			
1060308	1061003	0	0	0	10001	5	Ah, so much poking. I'll get you back someday!	106064		BoardAct1002	9.833	9.833	9.833	9.833	1	-1	-1	1|8			
1060309	1061003	0	0	1	101	10	Well, I'm ready for a fight.	106099		BoardAct1004	5.334	5.334	5.334	5.363	96	-1	-1	2|8			
1060310	1061003	0	0	1	111	3600	As much as it's relieved to see you working so hard, there's no need to exhaust yourself.	106096		BoardAct1007	9.334	9.334	9.334	9.334	98	-1	-1	3|8			
1060311	1061003	0	0	1	1	900	If you're bored, come roam all over the world with me! Just kidding...	106094		BoardAct1005	8	8.033	8	8	97	-1	-1	4|8			
1060312	1061003	0	0	0	10002	-1	I... I'm a bit dizzy!	106058		BoardAct1003	6.5	6.5	6.5	6.5	1	-1	-1	5|8			
1060313	1061003	0	0	2	102	2	It's been a while. How have you been?	106104		BoardAct1006	6.5	6.5	6.5	6.501	99	-1	-1	6|8			
1070201	1071002	0	0	0	10001	1	Go organize the schedules already.	107016		BoardAct0201	3.5	3.5	4.254	4.254	1	-1	-1	1|8	1|2		
1070202	1071002	0	0	0	10001	1	Will I ever find something in my life that's more important than battling?	107022		BoardAct0202	6.333	6.333	7.417	7.417	1	-1	-1	1|8	1|2		
1070203	1071002	0	0	0	10001	1	Why do I hate Lucia? Because she's strong... I mean, nothing!	107019		BoardAct0203	8.333	8.333	8.333	8.333	1	-1	-1	1|8	1|2		
1070204	1071002	0	0	0	120	-1	Go organize the schedules already.	107016		BoardAct0201	3.5	3.5	4.254	4.254	1	-1	-1	1|8	1|2		
1070205	1071002	0	0	0	2	-1	You want to make me sharper? Then let me fight!	107029		BoardAct1001	4	4	5.118	5.118	1	-1	-1	1|8			
1070206	1071002	0	0	0	10001	3	You want a taste of my cannon?!	107060		BoardAct1002	5	5	5	5	1	-1	-1	1|8			
1070207	1071002	0	0	0	10001	4	You want a taste of my cannon?!	107060		BoardAct1002	5	5	5	5	1	-1	-1	1|8			
1070208	1071002	0	0	0	10001	5	You want a taste of my cannon?!	107060		BoardAct1002	5	5	5	5	1	-1	-1	1|8			
1070301	1071003	0	0	0	10001	1	Going to bed early will do you good. Ignore me at your peril.	107070		BoardAct0201	9.333	9.333	9.333	9.333	1	-1	-1	1|8	1|2		
1070302	1071003	0	0	0	10001	1	Is every team you lead this stupid?	107072		BoardAct0202	5	5	5	5	1	-1	-1	1|8	1|2		
1070303	1071003	0	0	0	10001	1	I will become stronger and earn my place by your side.	107075		BoardAct0203	8.333	8.333	8.333	8.359	1	-1	-1	1|8	1|2		
1070304	1071003	0	0	0	120	-1	I will become stronger and earn my place by your side.	107075		BoardAct0203	8.333	8.333	8.333	8.359	1	-1	-1	1|8	1|2		
1070305	1071003	0	0	0	2	-1	You want to make me sharper? Then let me fight!	107029		BoardAct1001	4	4	5.118	5.118	1	-1	-1	1|8			
1070306	1071003	0	0	0	10001	3	You want a taste of my cannon?!	107060		BoardAct1002	4.333	4.333	4.333	4.342	1	-1	-1	1|8			
1070307	1071003	0	0	0	10001	4	You want a taste of my cannon?!	107060		BoardAct1002	4.333	4.333	4.333	4.342	1	-1	-1	1|8			
1070308	1071003	0	0	0	10001	5	You want a taste of my cannon?!	107060		BoardAct1002	4.333	4.333	4.333	4.342	1	-1	-1	1|8			
1070309	1071003	0	0	1	101	10	Remember to let me know if you decide to sleep late next time...	107103		BoardAct1004	8.834	8.834	8.834	8.834	96	-1	-1	2|8			
1070310	1071003	0	0	1	111	3600	Do you think I'd like to see you sick and hurt? Go take a rest now!	107098		BoardAct1007	9.534	9.534	9.534	9.534	98	-1	-1	3|8			
1070311	1071003	0	0	1	1	900	I'll count to three and if you ignore me again, I... I'll never speak to you again!	107094		BoardAct1005	12.567	12.567	12.567	12.567	97	-1	-1	4|8			
1070312	1071003	0	0	0	10002	-1	Hmph, it doesn't work for me any more!	107059		BoardAct1003	6.234	6.234	6.234	6.234	1	-1	-1	5|8			
1070313	1071003	0	0	2	102	2	Mr. Commandant, it seems like you've connected to the wrong base. Hmph...	107106		BoardAct1006	7.834	7.834	7.834	7.871	99	-1	-1	6|8			
1080201	1081002	0	0	0	10001	1	I'll stay right here. If anything weird happens, I'll let you know.	108018		BoardAct0201	5.667	5.667	5.667	5.735	1	-1	-1	1|8	1|2		
