Id	EventId	NeedDecoration	StepId	NextStepId	Type	StageId	StepRewardItemId	StepRewardItemCount	StoryId	OptionDesc[1]	OptionDownDesc[1]	OptionIcon[1]	OptionType[1]	OptionItemId[1]	OptionItemCount[1]	OptionNextStepId[1]	OptionNeedDecoration[1]	OptionDesc[2]	OptionDownDesc[2]	OptionIcon[2]	OptionType[2]	OptionItemId[2]	OptionItemCount[2]	OptionNextStepId[2]	OptionNeedDecoration[2]	OptionDesc[3]	OptionDownDesc[3]	OptionIcon[3]	OptionType[3]	OptionItemId[3]	OptionItemCount[3]	OptionNextStepId[3]	OptionNeedDecoration[3]	OptionDesc[4]	OptionDownDesc[4]	OptionIcon[4]	OptionType[4]	OptionItemId[4]	OptionItemCount[4]	OptionNextStepId[4]	OptionNeedDecoration[4]	Title	TitleContent	RoleIcon	RoleName	RoleContent	EventDesc	ConfirmContent	BgAsset
26	105		10501		2					Head to the cabin			3			10502		Walk around on the deck			3			10503		I want to have a walk around			3			10504										On the Ship		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor		You get on the ship. The sailor who guides you asks you where you want to go.	Next	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
27	105		10502		6				ZX02404BA																																	On the Ship							
28	105		10503		6				ZX02405BA																																	On the Ship							
29	105		10504		1																																					On the Ship					I want to have a walk around	Leave	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
30	107		10701		2					Nod to the sailor			3			10702		Return to the cabin to rest			3			10707																		Sailor		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor		The sun goes down under the horizon. It starts to get dark on the ship. The sailor on duty tonight is a tall man with sallow skin, who walks with a slight limp. You notice that he is one of the sailors whom you met when boarding. He is always quiet during the day and tends to open up during the night.	Next	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
31	107		10702		2					Talk about the dragon			3			10703		Talk about the sailor			3			10704																		Sailor		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor		He stands on the deck far from the cabin while staring at it. He waves at you and only begins to talk when you get close.	Next	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
32	107		10703	10705	6				ZX02407BA																																	Sailor		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor				
33	107		10704	10705	6				ZX02408BA																																	Sailor		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor				
34	107		10705	10706	1																																					Sailor		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	I guess I'm old. Start to talk on and on about unrelated stuff. You don't wanna listen to this, do you?	The sailor smiles, which softens his face.	Talk	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
35	107		10706		1																																					Sailor		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	It's late. Let's call it a night.	The sailor smiles, which softens his face.	Next	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
36	107		10707		1																																					Sailor		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor		You say goodbye to the sailor. The gentle wind from the sea makes you sleepy. You go back to the cabin and have a long dream.	Next	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
37	108		10801		2					Where am I?			3			10802																										Castaway					You open your eyes and see a clear sky. There is a smell of the sea in the air. You have a fuzzy memory of being thrown up by the waves while screaming for help. The last thing you saw was the dragon holding its head high and two huge claws coming at you. You dodged and held tight to the small boat under your chest to keep yourself from drowning.	Next	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
38	108		10802		2					Walk around			3			10803																										Castaway					Under your body is soft sand. You sit up slowly. What meets your eyes is the calm sea. The waves are lapping at your feet.	Next	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
39	108		10803		2					Sunbathe on the beach			3			10804		Look for the living being			3			10805																		Castaway					You take a walk around. Although there are still a lot of things to find out, you're pretty sure that you're on an island. Is this an uninhabited island?	Next	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
40	108		10804		1																																					Castaway					The sunshine is perfect. Your clothes were dried before you're fully awake.	Next	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
41	108		10805		5	30061932																																				Castaway					You see something moving and go after the figure. Is it Caliban or Friday? You decide to find out.	Prepare for Battle	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
42	201		20101		2					Find a place to rest			3			20102																										Place to Sleep	Something Mysterious Is About to Happen				Night falls. Humidity rises from the ground. And the air feels cold. The entire forest seems to be deprived of light. Strange shadows bend their bodies into different shapes, silently dissolving into the darkness. Howls of wolves and bears seem to be coming from a distance. There is still a long way to go. And it seems you have to find a place for the night before you can move on after the sun rises and lights the way.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
43	201		20102		2					On the huge tree with a spider web			3			20103		On the short tree that is easier to climb			3			20104																		Place to Sleep	Something Mysterious Is About to Happen				You think for a moment and decide to stay here for the night.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
44	201		20103		1																																					Place to Sleep	Something Mysterious Is About to Happen				You fall into a deep sleep. The three spiders on the web are weaving your dream. You dream of fire, crying, endless fields of flowers, a hovering dragon, a girl standing on a balcony up high... And now you wake up in the morning sunlight. The road ahead feels just as unpredictable as the dream you had.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
45	201		20104		5	30061911																																				Place to Sleep	Something Mysterious Is About to Happen				You grab the lowest branch of the tree, but the tree suddenly starts to shake violently right when you begin to climb...	Prepare for Battle	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
46	202		20201		2					Go ahead			3			20202																										Campfire					A white-gray smoke rises above the forest. You decide to go in the direction of the smoke.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
47	202		20202		2					Go through the ashes			3			20203		Stay and wait			3			20204		Move on			3			20205										Campfire					There are only campfire remnants and ashes. There are no people or other living beings around. Looking at the remnants and ashes, you...	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
48	202		20203		4		96110	1																																		Campfire					You pick up a branch and start to go through the remnants and ashes. There are some burnt bones that you can't tell their original shape. You move away a broken bone and find a bright gem in the ashes.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
49	202		20204		5	30061910																																				Campfire					You sit down by the extinguished campfire, hoping someone will come back here. Time passes through the branches of the trees and casts a spell that gently closes your eyes. And the moment you open your eyes, sparks are flying out from the campfire...	Prepare for Battle	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
50	202		20205		1																																					Campfire					You move forward carefully in the opposite direction from where you came from and away from the campfire, but there is still no traces of other people. Fortunately, you come across a bush full of winter strawberries.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
51	203		20301		2					Follow the guidance of the buds			3			20304		Follow the direction of the sunrise			3			20303		Follow the guidance of the feather			3			20302										Flower and Feather	A New Option Emerges				You wander around in the forest. You listen to the sound of the wind. You travel after sunrise and rest after sunset. You gargle with the sweet stream water and eat the fruits on the trees. Gradually, you master the survival skills in the forest but also lose your way.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
52	203		20302		1																																					Flower and Feather					You pick up a feather dropped from some kind of gray bird and figure out the direction to go through divination. Following the guidance of the feather, you arrive at the source of the water. You move forward along the stream.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
53	203		20303		1																																					Flower and Feather					Based on some shallow knowledge that appears in your mind, you decide to determine a direction to go. You walk slowly in the direction of the sunrise.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
54	203		20304	20305	1																																					Flower and Feather					You notice that there are some small buds surrounded by long sword-shaped leaves in the grass on the ground. Fragile and beautiful, they stretch forward as if they are guiding you somewhere. You move forward in the direction they point.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
55	203		20305		6				ZX02404BB																																	Flower and Feather							
56	204		20401		2					Hand out the gem	Item %s required		2	96110	1	20402		I can be a helper on board			3			20406		Be honest and ask for help			3			20407										Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	This is not a toy ship bound for Debussy's Joyous Island.	After a brief talk, you tell the sailor that you want to join their voyage to the distant kingdom. The sailor's description of the city capital is exactly what you remember about Naples. However, you search all your pockets and can't find any money.	Next	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
57	204		20402	20403	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	You...	The sailor looks at you. He says something, but it doesn't answer your question. He agrees to let you get on the ship but refuses to take the gem.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
58	204		20403	20404	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	Where did you get this?	The sailor looks at you. He says something, but it doesn't answer your question. He agrees to let you get on the ship but refuses to take the gem.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
59	204		20404	20405	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	Do you know a traveler with purple eyes?	The sailor looks at you. He says something, but it doesn't answer your question. He agrees to let you get on the ship but refuses to take the gem.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
60	204		20405		1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	Nothing... Forget it.	The sailor looks at you. He says something, but it doesn't answer your question. He agrees to let you get on the ship but refuses to take the gem.	Next	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
61	204		20406		1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor		The sailor gives you a glance with a faint smile without saying anything. He allows you to get on board but doesn't respond to your proposal.	Next	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
62	204		20407	20408	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor		The sailor looks at you as if he recalls a distant memory. He allows you to board without saying anything.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
63	204		20408	20409	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	Have you seen a dragon before?	The sailor looks at you as if he recalls a distant memory. He allows you to board without saying anything.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
64	204		20409	20410	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	We haven't seen a dragon for a very long time.	The sailor looks at you as if he recalls a distant memory. He allows you to board without saying anything.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
65	204		20410	20411	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	'The dragon comes with the pipe music.'	The sailor looks at you as if he recalls a distant memory. He allows you to board without saying anything.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
66	204		20411	20412	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	But at the very beginning, the dragon came without warning.	The sailor looks at you as if he recalls a distant memory. He allows you to board without saying anything.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
67	204		20412	20413	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	The only thing we knew was it always targeted at a crowd.	The sailor looks at you as if he recalls a distant memory. He allows you to board without saying anything.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
68	204		20413		1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	It would bring the crowd from the ground and let them fall from above. It attacked villages and people, destroying everything in its sight.	The sailor looks at you as if he recalls a distant memory. He allows you to board without saying anything.	Next	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
69	205		20501		2					Head to the cabin			3			20502		Walk around on the deck			3			20503		I want to have a walk around			3			20504										On the Ship		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor		You get on the ship. The sailor who guides you asks you where you want to go.	Next	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
70	205		20502		6				ZX02405BB																																	On the Ship							
71	205		20503		6				ZX02406BB																																	On the Ship							
72	205		20504		1																																					On the Ship					I want to have a walk around	Leave	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
73	207		20701		2					I want to enjoy the breeze			3			20705		Nod to the sailor			3			20702		Return to the cabin to rest			3			20706										Sailor	A New Option Emerges	Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor		The sun goes down under the horizon. It starts to get dark on the ship. The sailor on duty tonight is a tall man with sallow skin, who walks with a slight limp. You notice that he is one of the sailors whom you met when boarding. He is always quiet during the day and tends to open up during the night.	Next	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
74	207		20702		2					Talk about the dragon			3			20703		Talk about the sailor			3			20704																		Sailor		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor		He stands on the deck far from the cabin while staring at it. He waves at you and only begins to talk when you get close.	Next	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
75	207		20703	20707	6				ZX02409BB																																	Sailor		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor				
76	207		20704	20707	6				ZX02410BB																																	Sailor		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor				
77	207		20705		6				ZX02408BB																																	Sailor		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor				
78	207		20706		1																																					Sailor		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor		You say goodbye to the sailor. The gentle wind from the sea makes you sleepy. You go back to the cabin and fall into a dreamless sleep.	Next	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
79	207		20707	20708	1																																					Sailor		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	I guess I'm old. Start to talk on and on about unrelated stuff. You don't wanna listen to this, do you?	The sailor smiles, which softens his face.	Talk	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
80	207		20708		1																																					Sailor		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	It's late. Let's call it a night.	The sailor smiles, which softens his face.	Next	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
81	208		20801		2					Where am I?			3			20802																										Castaway					You open your eyes and see a clear sky. There is a smell of the sea in the air. You have a fuzzy memory of being thrown up by the waves while screaming for help. The last thing you saw was the dragon holding its head high and two huge claws coming at you. You dodged and held tight to the small boat under your chest to keep yourself from drowning.	Next	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
82	208		20802		2					Walk around			3			20803																										Castaway					Under your body is soft sand. You sit up slowly. What meets your eyes is the calm sea. The waves are lapping at your feet.	Next	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
83	208		20803		2					Sunbathe on the beach			3			20804		Look for the living being			3			20805		Walk along the coast			3			20806										Castaway	A New Option Emerges				You take a walk around. Although there are still a lot of things to find out, you're pretty sure that you're on an island. Is this an uninhabited island?	Next	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
84	208		20804		1																																					Castaway					The sunshine is perfect. Your clothes were dried before you're fully awake.	Next	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
85	208		20805		5	30061932																																				Castaway					You see something moving and go after the figure. Is it Caliban or Friday? You decide to find out.	Start Battle	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
86	208		20806		6				ZX02412BB																																	Castaway							
87	210		21001		2					Introduce yourself			3			21002		Explain what happened			3			21003		I will only stay for a short time and will leave soon			3			21007										Village					The appearance of the dragon has caused a disturbance in the village. The villagers pick up their tools and weapons and rush to the venue only to find you slowly climbing down from the roof.	Next	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
88	210		21002		1																																					Village		Assets/Product/Texture/Image/RoleStory/PinminNormal01.png	Farmer	Outsiders are not welcome here.	You explain everything, but the villagers don't seem convinced. They still stand in your way like an iron wall.	Leave	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
89	210		21003	21004	1																																					Village		Assets/Product/Texture/Image/RoleStory/TongyongNanminboyNormal02.png	Young Person A	Are you with the piper?	You explain everything and the villagers begin to whisper to each other. They look at you in an unfriendly way. Someone throws a stone at you.	Next	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
90	210		21004	21005	1																																					Village		Assets/Product/Texture/Image/RoleStory/TongyongNanmingirlNormal02.png	Young Person B	You said you followed the dragon here?	You explain everything and the villagers begin to whisper to each other. They look at you in an unfriendly way. Someone throws a stone at you.	Next	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
91	210		21005	21006	1																																					Village		Assets/Product/Texture/Image/RoleStory/ShihuangzhenanNormal01.png	Middle-aged Person A	Disaster! Disaster! The disaster has come to our village!	You explain everything and the villagers begin to whisper to each other. They look at you in an unfriendly way. Someone throws a stone at you.	Next	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
92	210		21006		5	30061887																																				Village		Assets/Product/Texture/Image/RoleStory/KaliegrandNomal02.png	Middle-aged Person B	Get out! Get out!	You explain everything and the villagers begin to whisper to each other. They look at you in an unfriendly way. Someone throws a stone at you.	Prepare for Battle	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
93	210		21007		1																																					Village					I will only stay for a short time and will leave soon	Leave	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
94	211		21101	21102	1																																					Village Entrance		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	Woman	May! May!	You wander around the village entrance, having no clue what to do or where to go next. The cries of a desperate woman attract your attention.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
95	211		21102		2					Ignore			3			21103		Approach and ask if she is all right.			3			21104																		Village Entrance		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	Woman	Where are you, May?	You wander around the village entrance, having no clue what to do or where to go next. The cries of a desperate woman attract your attention.	Next	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
96	211		21103		1																																					Village Entrance		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	Woman	(Sobs)	The woman was one of those who wanted to drive you out of the village. You leave as you don't want to get into trouble.	Leave	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
97	211		21104	21105	1																																					Village Entrance		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	Woman	May is gone... My May is gone.	You go up to her and ask her if she needs any help.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
98	211		21105	21106	1																																					Village Entrance		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	Woman	I searched the whole village but still couldn't find him!	You go up to her and ask her if she needs any help.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
99	211		21106	21107	1																																					Village Entrance		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	Woman	No one dares to go outside the village. They say there's a dragon and a monster out there...	You go up to her and ask her if she needs any help.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
100	211		21107	21108	1																																					Village Entrance		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	Woman	Could it be that May was enchanted by the strange pipe music and headed for the dragon's lair?	You go up to her and ask her if she needs any help.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
101	211		21108		2					Tell her you will help her find May			3			21109		Tell her you have to leave for something more important			3			21112																		Village Entrance		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	Woman	It's all my fault!	You go up to her and ask her if she needs any help.	Next	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
102	211		21109		2					Sneak into the village to look for clues			3			21110		Look for the "Dragon's Lair" mentioned by the woman later			3			21111																		Village Entrance		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	Woman		Where to start?	Next	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
103	211		21110		5	30061887																																				Village Entrance					Sneak into the village to look for clues	Prepare for Battle	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
104	211		21111		6				ZX02415BB																																	Village Entrance							
105	211		21112		1																																					Village Entrance					Tell her you have to leave for something more important	Leave	
