Id	ChapterId	NodeId	IsRandom	Type[1]	Param[1]	Type[2]	Param[2]	Type[3]	Param[3]	MaxRandom	LvExpect	LvWeight	SkillExpect	SkillWeight	DecorationExpect	DecorationWeight	FavorExpect	FavorWeight
58	5	2	0	2	2						40	0	7	4500	1	600	1	300
59	5	2	0	6	ZX02411EB						0	0	0	0	0	0	0	0
60	5	2	0	3	75					1	40	0	8	4500	1	600	1	300
61	6	3	0	1	208						0	0	0	0	0	0	0	0
62	6	3	1								60	0	10	4500	1	600	1	300
63	6	3	1								60	0	10	4500	1	600	1	300
64	6	3	1								60	0	10	4500	1	600	1	300
65	6	3	1								60	0	10	4500	1	600	1	300
66	6	3	1								60	0	10	4500	1	600	1	300
67	6	3	0	2	3						60	0	10	4500	1	600	1	300
68	6	3	0	3	89					1	60	0	11	4500	1	600	1	300
69	6	3	0	6	ZX02413BB						0	0	0	0	0	0	0	0
70	6	3	0	5	90						60	0	11	4500	1	600	1	300
71	7	4	0	1	210						0	0	0	0	0	0	0	0
72	7	4	0	1	211						0	0	0	0	0	0	0	0
73	7	4	1								80	0	13	4500	1	600	1	300
74	7	4	1								80	0	13	4500	1	600	1	300
75	7	4	1								80	0	13	4500	1	600	1	300
76	7	4	1								80	0	13	4500	1	600	1	300
77	7	4	1								80	0	13	4500	1	600	1	300
78	7	4	0	2	4						80	0	13	4500	1	600	1	300
79	7	4	0	3	102					1	80	0	14	4500	1	600	1	300
80	8	5	0	1	213						0	0	0	0	0	0	0	0
81	8	5	1								80	0	15	4500	1	600	1	300
82	8	5	1								80	0	15	4500	1	600	1	300
83	8	5	1								80	0	15	4500	1	600	1	300
84	8	5	0	2	5						80	0	15	4500	1	600	1	300
85	8	5	0	3	110					1	80	0	16	4500	1	600	1	300
86	8	5	0	6	ZX02401BB						0	0	0	0	0	0	0	0
87	8	5	0	5	111						80	0	16	4500	1	600	1	300
88	9	1	1								20	0	3	4500	1	600	0	300
89	9	1	1								20	0	3	4500	1	600	0	300
90	9	1	0	1	301						0	0	0	0	0	0	0	0
91	9	1	1								20	0	3	4500	1	600	0	300
92	9	1	1								20	0	3	4500	1	600	0	300
93	9	1	1								20	0	3	4500	1	600	0	300
94	9	1	0	1	302						0	0	0	0	0	0	0	0
95	9	1	0	2	1						20	0	3	4500	1	600	0	300
96	9	1	0	3	126					1	20	0	4	4500	1	600	0	300
97	9	1	0	1	303						0	0	0	0	0	0	0	0
98	10	2	0	1	304						0	0	0	0	0	0	0	0
99	10	2	0	1	314						0	0	0	0	0	0	0	0
100	10	2	0	6	ZX02407BC						0	0	0	0	0	0	0	0
101	10	2	0	1	305						0	0	0	0	0	0	0	0
102	10	2	0	1	306						0	0	0	0	0	0	0	0
103	10	2	0	6	ZX02419BC						0	0	0	0	0	0	0	0
104	10	2	1								40	0	7	4500	1	600	1	300
105	10	2	1								40	0	7	4500	1	600	1	300
106	10	2	1								40	0	7	4500	1	600	1	300
107	10	2	1								40	0	7	4500	1	600	1	300
108	10	2	1								40	0	7	4500	1	600	1	300
109	10	2	1								40	0	7	4500	1	600	1	300
110	10	2	0	2	2						40	0	7	4500	1	600	1	300
111	10	2	0	6	ZX02419EC						0	0	0	0	0	0	0	0
112	10	2	0	3	141					1	40	0	8	4500	1	600	1	300
113	11	3	0	1	307						0	0	0	0	0	0	0	0
114	11	3	1								60	0	10	4500	1	600	1	300
115	11	3	1								60	0	10	4500	1	600	1	300
116	11	3	1								60	0	10	4500	1	600	1	300
117	11	3	1								60	0	10	4500	1	600	1	300
118	11	3	1								60	0	10	4500	1	600	1	300
119	11	3	0	2	3						60	0	10	4500	1	600	1	300
120	11	3	0	3	155					1	60	0	11	4500	1	600	1	300
121	11	3	0	6	ZX02414BC						0	0	0	0	0	0	0	0
122	11	3	0	5	156						60	0	11	4500	1	600	1	300
123	12	4	0	1	308						0	0	0	0	0	0	0	0
124	12	4	0	1	309						0	0	0	0	0	0	0	0
125	12	4	1								80	0	13	4500	1	600	1	300
126	12	4	1								80	0	13	4500	1	600	1	300
127	12	4	1								80	0	13	4500	1	600	1	300
128	12	4	1								80	0	13	4500	1	600	1	300
129	12	4	1								80	0	13	4500	1	600	1	300
130	12	4	0	2	4						80	0	13	4500	1	600	1	300
131	12	4	0	3	168					1	80	0	14	4500	1	600	1	300
132	13	5	0	1	310						0	0	0	0	0	0	0	0
133	13	5	0	1	311						0	0	0	0	0	0	0	0
134	13	5	0	1	312						0	0	0	0	0	0	0	0
135	13	5	1								80	0	15	4500	1	600	1	300
136	13	5	1								80	0	15	4500	1	600	1	300
137	13	5	1								80	0	15	4500	1	600	1	300
138	13	5	0	2	5						80	0	15	4500	1	600	1	300
139	13	5	0	3	176					1	80	0	16	4500	1	600	1	300
140	13	5	0	6	ZX02401BC						0	0	0	0	0	0	0	0
141	13	5	0	5	177						80	0	16	4500	1	600	1	300
142	14	6	0	1	313						0	0	0	0	0	0	0	0
143	14	6	1								80	0	17	4500	1	600	1	300
144	14	6	1								80	0	17	4500	1	600	1	300
145	14	6	1								80	0	17	4500	1	600	1	300
146	14	6	0	2	6						80	0	17	4500	1	600	1	300
147	14	6	0	3	185					1	80	0	18	4500	1	600	1	300
148	14	6	0	1	315						0	0	0	0	0	0	0	0
149	14	6	0	5	186						80	0	18	4500	1	600	1	300
150	15	1	1								20	0	3	4500	1	600	0	300
151	15	1	1								20	0	3	4500	1	600	0	300
152	15	1	0	1	401						0	0	0	0	0	0	0	0
153	15	1	0	1	402						0	0	0	0	0	0	0	0
154	15	1	1								20	0	3	4500	1	600	0	300
155	15	1	1								20	0	3	4500	1	600	0	300
156	15	1	1								20	0	3	4500	1	600	0	300
157	15	1	0	2	1						20	0	3	4500	1	600	0	300
158	15	1	0	3	201					1	20	0	4	4500	1	600	0	300
159	15	1	0	1	403						0	0	0	0	0	0	0	0
160	16	2	0	1	404						0	0	0	0	0	0	0	0
161	16	2	0	1	406						0	0	0	0	0	0	0	0
162	16	2	0	6	ZX02419BD						0	0	0	0	0	0	0	0
163	16	2	1								40	0	7	4500	1	600	1	300
164	16	2	1								40	0	7	4500	1	600	1	300
165	16	2	1								40	0	7	4500	1	600	1	300
166	16	2	1								40	0	7	4500	1	600	1	300
167	16	2	1								40	0	7	4500	1	600	1	300
168	16	2	1								40	0	7	4500	1	600	1	300
169	16	2	0	2	2						40	0	7	4500	1	600	1	300
170	16	2	0	6	ZX02419ED						0	0	0	0	0	0	0	0
171	16	2	0	3	216					1	40	0	8	4500	1	600	1	300
172	17	3	0	1	407						0	0	0	0	0	0	0	0
173	17	3	1								60	0	10	4500	1	600	1	300
174	17	3	1								60	0	10	4500	1	600	1	300
175	17	3	1								60	0	10	4500	1	600	1	300
176	17	3	1								60	0	10	4500	1	600	1	300
177	17	3	1								60	0	10	4500	1	600	1	300
178	17	3	0	2	3						60	0	10	4500	1	600	1	300
179	17	3	0	3	230					1	60	0	11	4500	1	600	1	300
180	17	3	0	6	ZX02414BD						0	0	0	0	0	0	0	0
181	17	3	0	5	231						60	0	11	4500	1	600	1	300
182	18	4	0	1	408						0	0	0	0	0	0	0	0
183	18	4	1								80	0	13	4500	1	600	1	300
184	18	4	1								80	0	13	4500	1	600	1	300
185	18	4	1								80	0	13	4500	1	600	1	300
186	18	4	1								80	0	13	4500	1	600	1	300
187	18	4	1								80	0	13	4500	1	600	1	300
188	18	4	0	2	4						80	0	13	4500	1	600	1	300
189	18	4	0	3	243					1	80	0	14	4500	1	600	1	300
190	19	5	0	1	410						0	0	0	0	0	0	0	0
191	19	5	1								80	0	15	4500	1	600	1	300
192	19	5	1								80	0	15	4500	1	600	1	300
193	19	5	1								80	0	15	4500	1	600	1	300
194	19	5	0	2	5						80	0	15	4500	1	600	1	300
195	19	5	0	3	251					1	80	0	16	4500	1	600	1	300
196	19	5	0	6	ZX02401BD						0	0	0	0	0	0	0	0
197	19	5	0	5	252						80	0	16	4500	1	600	1	300
198	20	6	0	1	413						0	0	0	0	0	0	0	0
199	20	6	1								80	0	17	4500	1	600	1	300
200	20	6	1								80	0	17	4500	1	600	1	300
201	20	6	1								80	0	17	4500	1	600	1	300
202	20	6	0	2	6						80	0	17	4500	1	600	1	300
203	20	6	0	3	260					1	80	0	18	4500	1	600	1	300
204	20	6	0	1	415						0	0	0	0	0	0	0	0
205	20	6	0	6	ZX02420BD						0	0	0	0	0	0	0	0
206	20	6	0	5	261						80	0	18	4500	1	600	1	300
207	21	1	1								20	0	3	4500	1	600	0	300
208	21	1	1								20	0	3	4500	1	600	0	300
209	21	1	0	1	501						0	0	0	0	0	0	0	0
210	21	1	0	1	502						0	0	0	0	0	0	0	0
211	21	1	1								20	0	3	4500	1	600	0	300
212	21	1	1								20	0	3	4500	1	600	0	300
213	21	1	1								20	0	3	4500	1	600	0	300
214	21	1	0	2	1						20	0	3	4500	1	600	0	300
215	21	1	0	3	276					1	20	0	4	4500	1	600	0	300
216	21	1	0	1	503						0	0	0	0	0	0	0	0
217	22	2	0	1	504						0	0	0	0	0	0	0	0
218	22	2	0	1	506						0	0	0	0	0	0	0	0
219	22	2	0	6	ZX02419BE						0	0	0	0	0	0	0	0
220	22	2	1								40	0	7	4500	1	600	1	300
221	22	2	1								40	0	7	4500	1	600	1	300
222	22	2	1								40	0	7	4500	1	600	1	300
223	22	2	1								40	0	7	4500	1	600	1	300
224	22	2	1								40	0	7	4500	1	600	1	300
225	22	2	1								40	0	7	4500	1	600	1	300
226	22	2	0	2	2						40	0	7	4500	1	600	1	300
227	22	2	0	6	ZX02419EE						0	0	0	0	0	0	0	0
228	22	2	0	3	291					1	40	0	8	4500	1	600	1	300
229	23	3	0	1	507						0	0	0	0	0	0	0	0
230	23	3	1								60	0	10	4500	1	600	1	300
231	23	3	1								60	0	10	4500	1	600	1	300
232	23	3	1								60	0	10	4500	1	600	1	300
233	23	3	1								60	0	10	4500	1	600	1	300
234	23	3	1								60	0	10	4500	1	600	1	300
235	23	3	0	2	3						60	0	10	4500	1	600	1	300
236	23	3	0	3	305					1	60	0	11	4500	1	600	1	300
237	23	3	0	6	ZX02414BE						0	0	0	0	0	0	0	0
238	23	3	0	5	306						60	0	11	4500	1	600	1	300
239	24	4	0	1	508						0	0	0	0	0	0	0	0
240	24	4	1								80	0	13	4500	1	600	1	300
241	24	4	1								80	0	13	4500	1	600	1	300
242	24	4	1								80	0	13	4500	1	600	1	300
243	24	4	1								80	0	13	4500	1	600	1	300
244	24	4	1								80	0	13	4500	1	600	1	300
245	24	4	0	2	4						80	0	13	4500	1	600	1	300
246	24	4	0	3	318					1	80	0	14	4500	1	600	1	300
247	25	5	0	1	510						0	0	0	0	0	0	0	0
248	25	5	1								80	0	15	4500	1	600	1	300
249	25	5	1								80	0	15	4500	1	600	1	300
250	25	5	1								80	0	15	4500	1	600	1	300
251	25	5	0	2	5						80	0	15	4500	1	600	1	300
252	25	5	0	3	326					1	80	0	16	4500	1	600	1	300
253	25	5	0	6	ZX02401BE						0	0	0	0	0	0	0	0
254	25	5	0	5	327						80	0	16	4500	1	600	1	300
255	26	6	0	1	513						0	0	0	0	0	0	0	0
256	26	6	1								80	0	17	4500	1	600	1	300
257	26	6	1								80	0	17	4500	1	600	1	300
258	26	6	1								80	0	17	4500	1	600	1	300
259	26	6	0	2	6						80	0	17	4500	1	600	1	300
260	26	6	0	3	335					1	80	0	18	4500	1	600	1	300
261	26	6	0	1	515						0	0	0	0	0	0	0	0
262	26	6	0	6	ZX02420BE						0	0	0	0	0	0	0	0
263	26	6	0	5	336						80	0	18	4500	1	600	1	300
