Id	GroupId	ConditionId	IsRecruit	RecruitCount	RecruitGrid	RecruitRefreshCount	DecorationPoint	FavorPoint	NeedDecoration	OpenIndexIcon	OpenTitleIcon	Title	SceneUrl	BgA	BgB	ModelUrl	MultiFightLoadingBg	BeginStory	EndStory
16	4		1	2	8	3	130	100		Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitle2.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitleName2.png	Scene 2	Assets/Product/Ui/Scene3DPrefab/UiTheatre3D02.prefab	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgA2.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgB2.png	Assets/Product/Ui/UiModel/UiTheatreMain/UiTheatreMain2.prefab	Assets/Product/Texture/Image/BgStory/Bgstory561.png	ZX02403BD	
17	4		1	2	12	3	140	110		Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitle3.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitleName3.png	Scene 3	Assets/Product/Ui/Scene3DPrefab/UiTheatre3D03.prefab	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgA3.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgB3.png	Assets/Product/Ui/UiModel/UiTheatreMain/UiTheatreMain3.prefab	Assets/Product/Texture/Image/BgStory/Bgstory562.png		
18	4		1	2	16	3	150	120		Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitle4.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitleName4.png	Scene 4	Assets/Product/Ui/Scene3DPrefab/UiTheatre3D04.prefab	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgA4.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgB4.png	Assets/Product/Ui/UiModel/UiTheatreMain/UiTheatreMain4.prefab	Assets/Product/Texture/Image/BgStory/Bgstory563.png	ZX02415BD	
19	4		1	2	20	3	160	130		Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitle5.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitleName5.png	Scene 5	Assets/Product/Ui/Scene3DPrefab/UiTheatre3D05.prefab	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgA5.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgB5.png	Assets/Product/Ui/UiModel/UiTheatreMain/UiTheatreMain5.prefab	Assets/Product/Texture/Image/BgStory/Bgstory564.png		
20	4		1	2	24	3	170	140		Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitle6.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitleName6.png	Scene 6	Assets/Product/Ui/Scene3DPrefab/UiTheatre3D06.prefab	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgA6.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgB6.png	Assets/Product/Ui/UiModel/UiTheatreMain/UiTheatreMain6.prefab	Assets/Product/Texture/Image/BgStory/Bgstory565.png		
21	5		1	2	4	5	120	90		Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitle1.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitleName1.png	Scene 1	Assets/Product/Ui/Scene3DPrefab/UiTheatre3D01.prefab	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgA1.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgB1.png	Assets/Product/Ui/UiModel/UiTheatreMain/UiTheatreMain1.prefab	Assets/Product/Texture/Image/BgStory/Bgstory560.png	ZX02402BE	
22	5		1	2	8	3	130	100		Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitle2.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitleName2.png	Scene 2	Assets/Product/Ui/Scene3DPrefab/UiTheatre3D02.prefab	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgA2.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgB2.png	Assets/Product/Ui/UiModel/UiTheatreMain/UiTheatreMain2.prefab	Assets/Product/Texture/Image/BgStory/Bgstory561.png	ZX02403BE	
23	5		1	2	12	3	140	110		Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitle3.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitleName3.png	Scene 3	Assets/Product/Ui/Scene3DPrefab/UiTheatre3D03.prefab	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgA3.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgB3.png	Assets/Product/Ui/UiModel/UiTheatreMain/UiTheatreMain3.prefab	Assets/Product/Texture/Image/BgStory/Bgstory562.png		
24	5		1	2	16	3	150	120		Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitle4.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitleName4.png	Scene 4	Assets/Product/Ui/Scene3DPrefab/UiTheatre3D04.prefab	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgA4.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgB4.png	Assets/Product/Ui/UiModel/UiTheatreMain/UiTheatreMain4.prefab	Assets/Product/Texture/Image/BgStory/Bgstory563.png	ZX02415BE	
25	5		1	2	20	3	160	130		Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitle5.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitleName5.png	Scene 5	Assets/Product/Ui/Scene3DPrefab/UiTheatre3D05.prefab	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgA5.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgB5.png	Assets/Product/Ui/UiModel/UiTheatreMain/UiTheatreMain5.prefab	Assets/Product/Texture/Image/BgStory/Bgstory564.png		
26	5		1	2	24	3	170	140		Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitle6.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreLoadingTitleName6.png	Scene 6	Assets/Product/Ui/Scene3DPrefab/UiTheatre3D06.prefab	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgA6.png	Assets/Product/Texture/Image/UiTheatre/UiTheatreChapterBgB6.png	Assets/Product/Ui/UiModel/UiTheatreMain/UiTheatreMain6.prefab	Assets/Product/Texture/Image/BgStory/Bgstory565.png		
