GroupId	GroupName	Icon	Desc	PreGroupId	ChallengeNum	BaseStage	StageId[1]	StageId[2]	StageId[3]	StageId[4]	StageId[5]	FightInfoId[1]	FightInfoId[2]	FightInfoId[3]	FightInfoId[4]	FightInfoId[5]	TeamFightSeq	LogisticsInfoId[1]	LogisticsInfoId[2]	LogisticsInfoId[3]	GroupOrderId
1201	1st		Description	1103	3	12120104	12120101	12120102	12120103	12120104		12120101	12120102	12120103	12120104		1|2|3|4				1
1202	2nd		Description	1201	3	12120204	12120201	12120202	12120203	12120204		12120201	12120202	12120203	12120204		1|2|3|4				2
1203	3rd		Description	1202	3	12120304	12120301	12120302	12120303	12120304		12120301	12120302	12120303	12120304		1|2|3|4				3
1301	1st Battle		Description	1203	3	12130105	12130101	12130102	12130103	12130104	12130105	12130101	12130102	12130103	12130104	12130105	1|2|3|4|5				1
1302	2nd Battle		Description	1301	3	12130205	12130201	12130202	12130203	12130204	12130205	12130201	12130202	12130203	12130204	12130205	1|2|3|4|5				2
1303	3rd Battle		Description	1302	3	12130305	12130301	12130302	12130303	12130304	12130305	12130301	12130302	12130303	12130304	12130305	1|2|3|4|5				3
1401	1st Battle		Description	1303	3	12140105	12140101	12140102	12140103	12140104	12140105	12140101	12140102	12140103	12140104	12140105	1|2|3|4|5				1
1402	2nd Battle		Description	1401	3	12140205	12140201	12140202	12140203	12140204	12140205	12140201	12140202	12140203	12140204	12140205	1|2|3|4|5				2
1403	3rd Battle		Description	1402	3	12140305	12140301	12140302	12140303	12140304	12140305	12140301	12140302	12140303	12140304	12140305	1|2|3|4|5				3
1501	1st Battle		Description	1403	3	12150105	12150101	12150102	12150103	12150104	12150105	12150101	12150102	12150103	12150104	12150105	1|2|3|4|5				1
1502	2nd Battle		Description	1501	3	12150205	12150201	12150202	12150203	12150204	12150205	12150201	12150202	12150203	12150204	12150205	1|2|3|4|5				2
1503	3rd Battle		Description	1502	3	12150305	12150301	12150302	12150303	12150304	12150305	12150301	12150302	12150303	12150304	12150305	1|2|3|4|5				3
1601	1st Battle		Description	1503	3	12160105	12160101	12160102	12160103	12160104	12160105	12160101	12160102	12160103	12160104	12160105	1|2|3|4|5				1
1602	2nd Battle		Description	1601	3	12160205	12160201	12160202	12160203	12160204	12160205	12160201	12160202	12160203	12160204	12160205	1|2|3|4|5				2
1603	3rd Battle		Description	1602	3	12160305	12160301	12160302	12160303	12160304	12160305	12160301	12160302	12160303	12160304	12160305	1|2|3|4|5				3
1701	1st Battle		Description	1603	3	12170105	12170101	12170102	12170103	12170104	12170105	12170101	12170102	12170103	12170104	12170105	1|2|3|4|5				1
1702	2nd Battle		Description	1701	3	12170205	12170201	12170202	12170203	12170204	12170205	12170201	12170202	12170203	12170204	12170205	1|2|3|4|5				2
1703	3rd Battle		Description	1702	3	12170305	12170301	12170302	12170303	12170304	12170305	12170301	12170302	12170303	12170304	12170305	1|2|3|4|5				3
1801	1st Battle		Description	1703	3	12180105	12180101	12180102	12180103	12180104	12180105	12180101	12180102	12180103	12180104	12180105	1|2|3|4|5				1
1802	2nd Battle		Description	1801	3	12180205	12180201	12180202	12180203	12180204	12180205	12180201	12180202	12180203	12180204	12180205	1|2|3|4|5				2
1803	3rd Battle		Description	1802	3	12180305	12180301	12180302	12180303	12180304	12180305	12180301	12180302	12180303	12180304	12180305	1|2|3|4|5				3
