Id	BuffId	RequireAbility	NeedCharacter	Condition	ShowFightEventIds[1]	ShowFightEventIds[2]	ShowFightEventIds[3]
12090202		6000	3		760221	760253	760272
12090203		6000	3		760642	760221	760253
12090301		6000	3		778200	760642	780031
12090302		6000	3		760253	760291	
12090303		6000	3		780011	760253	760632
12100101		6000	1		760302	760312	780202
12100102		6000	3		760332	760322	760342
12100103		6000	3		780011	760313	760292
12100104		6000	3		780183	760313	760333
12100201		6000	2		760353	760433	760343
12100202		6000	3		780011	760333	760253
12100203		6000	3		780183	780193	760303
12100204		6000	3		760631	760412	760352
12100301		6000	3		760242	760472	760253
12100302		6000	3		760493	760372	760252
12100303		6000	3		760333	760243	760253
12100304		6000	3		780012	760313	760242
12110101		6000	3		780102	760632	760392
12110102		6000	3		760332	760273	760353
12110103		6000	3		780011	760313	760242
12110104		6000	3		760322	760252	760213
12110201		6000	3		760393	760253	760213
12110202		6000	3		760253	760342	
12110203		6000	3		780011	760393	760253
12110204		6000	3		778200	760361	760411
12110301		6000	3		760253		
12110302		6000	3		760333	760253	
12110303		6000	3		780012	760263	760413
12110304		6000	3		778200	780102	760372
12120101		6000	3		760242	760393	760373
12120102		6000	3		760690	760642	760241
12120103		6000	3		780021	760313	760243
12120104		6000	3		760322	760213	760253
12120201		6000	3		778200	780021	760342
12120202		6000	3		760253	760632	
12120203		6000	3		780021	760253	760472
12120204		6000	3		780021	760253	760393
12120301		6000	3		778200	780021	760273
12120302		6000	3		760252	760333	760453
12120303		6000	3		760253	760273	760396
12120304		6000	3				
12130101		7000	3		760221	760293	760251
12130102		7000	3		760343	760262	760372
12130103		7000	3		760692	760221	760632
12130104		7000	3		760311	760361	780403
12130105		7000	3		780193	760323	780203
12130201		7000	3		760313	760283	760243
12130202		7000	3		760303	760396	760672
12130203		7000	3		760233	780193	760323
12130204		7000	3		760333	760313	760453
12130205		7000	3		778200	760632	760603
12130301		7000	3		778200	780001	760291
12130302		7000	3		778200	712002	760253
12130303		7000	3		778200	712002	760413
12130304		7000	3		778200	780041	760353
12130305		7000	3		778200	712002	760632
12140101		7000	3		760253	760391	
12140102		7000	3		760233	760293	780202
12140103		7000	3		780403	760603	760221
12140104		7000	3		760381	760453	760396
12140105		7000	3		778200	780041	760632
12140201		7000	3		772583	760396	760361
12140202		7000	3		760231	760202	760632
12140203		7000	3		760263	760293	772595
12140204		7000	3		772595	760413	760253
12140205		7000	3		778200	780021	760303
12140301		7000	3		760233		
12140302		7000	3		760253	760343	760263
12140303		7000	3		772583	760381	760323
12140304		7000	3		772587	780396	760273
12140305		7000	3		778200	780021	760353
12150101		7000	3		760251	760231	
12150102		7000	3		760692	760321	760343
12150103		7000	3		760283	780203	760670
12150104		7000	3		772602	760233	780203
12150105		7000	3		778200	760243	760652
12150201		7000	3		780403	760263	772587
12150202		7000	3		760233	772593	
12150203		7000	3		760692	760603	760453
12150204		7000	3		760253	760221	760393
12150205		7000	3		778200	780001	780031
12150301		7000	3		778201		
12150302		7000	3		760603	760413	760393
12150303		7000	3		760692	760253	760393
12150304		7000	3		760283	760243	
12150305		7000	3		780011	760642	
12160101		7100	3		760193	760253	760283
12160102		7100	3		760273	760343	760393
12160103		7100	3		760193	760333	760353
12160104		7100	3		760453	760433	760253
12160105		7100	3		760203	760253	
12160201		7100	3		712003	760213	
12160202		7100	3		780163	760453	760473
12160203		7100	3		760303	760353	760263
12160204		7100	3		760193	760293	760632
12160205		7100	3		760632		
12160301		7100	3		715946	715947	760253
12160302		7100	3		780143	780163	760632
12160303		7100	3		760313	760133	
12160304		7100	3		760333	760652	760603
12160305		7100	3		760413		
12170101		7200	3		760232	760313	
12170102		7200	3		760213	760413	
12170103		7200	3		760303		
12170104		7200	3		760273	760303	
12170105		7200	3		760293		
12170201		7200	3		12170211	715956	760313
12170202		7200	3		12170221	12170222	760213
12170203		7200	3		12170231	12170232	760303
12170204		7200	3		12170241	760303	
12170205		7200	3		12170251	760293	
12170301		7200	3		12170311	715985	712003
12170302		7200	3		760193	760303	760343
12170303		7200	3				
12170304		7200	3		760283	12170304	
12170305		7200	3		760343		
12180101		7300	3		12180101	780163	760213
12180102		7300	3		12180101	712003	760453
12180103		7300	3		12180101	760652	760353
12180104		7300	3		760251	760313	760263
12180105		7300	3		12170303	12170304	
12180201		7300	3		760393	760383	
12180202		7300	3		760303	760393	760672
12180203		7300	3		760473	760652	760263
12180204		7300	3		760283	712003	
12180205		7300	3		760343	760632	760642
12180301		7300	3		760473	712004	760293
12180302		7300	3		760333	716004	716005
12180303		7300	3		760333	716004	716005
12180304		7300	3		760193	760303	
12180305		7300	3		760133		
