Id	MissileId	BornPosition	BornHeight	OffsetX	OffsetY	OffsetZ	BornCoordinates	DestinationPosition	DestinationHeight	DestinationOffsetX	DestinationOffsetY	DestinationOffsetZ	DestinationCoordinates	Rotation	EulerX	EulerY	EulerZ	RotationLimit	RotationLimitCoordinates	TransformOrder	LaunchBoneName
10025107	10025107	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10025108	10025108	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10025110	10025110	2	2	0	0	0	2	2	4	0	0	0	2	1	0	180	0	7	1	1	
10025111	10025111	2	2	0	0	0	2	2	4	0	0	0	2	2	0	0	0	0	2	1	
10025112	10025112	2	2	0	0	0	2	2	4	0	0	0	2	2	0	0	0	0	2	1	
10025113	10025113	2	2	0	0	0	2	2	4	0	0	0	2	2	0	0	0	0	2	1	
10025114	10025114	2	2	0	0	0	2	2	4	0	0	0	2	2	0	0	0	0	2	1	
10025115	10025115	2	2	0	0	0	2	2	4	0	0	0	2	2	0	0	0	0	2	1	
10025116	10025116	2	2	0	0	0	2	2	4	0	0	0	2	2	0	0	0	0	2	1	
10025117	10025117	2	2	0	0	0	2	2	4	0	0	0	2	2	0	0	0	0	2	1	
10025118	10025118	2	2	0	0	0	2	2	4	0	0	0	2	2	0	0	0	0	2	1	
10025119	10025119	2	2	0	0	0	2	2	4	0	0	0	2	2	0	0	0	0	2	1	
10025120	10025120	2	2	0	0	0	2	2	4	0	0	0	2	2	0	0	0	0	2	1	
10025121	10025121	2	2	0	0	0	2	2	4	0	0	0	2	2	0	0	0	0	2	1	
10025122	10025122	2	2	0	0	0	2	2	4	0	0	0	2	2	0	0	0	0	2	1	
10025124	10025124	3	3	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10025125	10025125	3	3	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10060101	100601001	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10060201	100602001	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10060202	100602002	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10060301	100603001	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10060401	100604001	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10060501	100605001	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10060801	10060801	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10060802	10060802	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10061201	10061201	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10061301	10061301	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10061302	10061302	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10061701	10061701	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10061801	10061801	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10061901	10061901	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10062001	10062001	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10062101	10062101	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10062102	10062102	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10062201	10062201	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10062202	10062202	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10062301	10062301	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10062302	10062302	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10062303	10062303	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10062304	10062304	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10062401	10062401	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10062402	10062402	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10062403	10062403	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10062404	10062404	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10030101	10030101	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10030201	10030201	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10030301	10030301	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10030302	10030302	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10030401	10030401	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10030501	10030501	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10030502	10030502	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10030503	10030503	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10030504	10030504	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10030601	10030601	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10030901	10030901	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10030902	10030902	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10030903	10030903	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10030904	10030904	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10030905	10030905	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10030906	10030906	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10031301	10031301	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10031401	10031401	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10031501	10031501	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10031502	10031502	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10031503	10031503	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10031601	10031601	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10031602	10031602	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10031603	10031603	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10031701	10031701	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10031702	10031702	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10031703	10031703	2	2	0	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	1	
10031801	10031801	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10031901	10031901	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10032001	10032001	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10032002	10032002	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10032003	10032003	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10032004	10032004	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10032101	10032101	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10032102	10032102	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10032201	10032201	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10032202	10032202	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10032301	10032301	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10032302	10032302	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10032303	10032303	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10032304	10032304	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10032305	10032305	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10032306	10032306	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10032307	10032307	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10032308	10032308	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
