Id	TimeId	Name	PrefabPath	FullScreenBg	BtnBg	Type	RoundDays[1]	SubRoundId[1]	RoundDays[2]	SubRoundId[2]	RoundDays[3]	SubRoundId[3]	RoundDays[4]	SubRoundId[4]	OpenLevel	OpenStage	PreSignId	IsShowWhenDayOver	IsShowWhenSignOver	CreateTimeId
19		Spring Tribute Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignGiftPack.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg48.png	3	7	1019	7	1020								0	0	
20		New Year Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignGiftPack2.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg49.png	3	7	1021										0	0	
21		Echo Aria Sign-In	Assets/Product/Ui/ComponentPrefab/Sign/SignWanshi.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg46.png	2	7	1022							20			0	0	
22		Imprisoned Sight	Assets/Product/Ui/ComponentPrefab/Sign/SignChrome.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	2	7	1023							20			0	0	
23		Inscription of Labyrinth	Assets/Product/Ui/ComponentPrefab/Sign/SignInNo21.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseTableBgKrLantern.png	2	7	1024							20			0	0	
24		Eden Festival	Assets/Product/Ui/ComponentPrefab/Sign/SignMengWar.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableMainLineV128.png	2	7	1025	7	1026					52			0	0	
25		The Last Spark Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignInXiahuo.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryKaLieV128.png	2	7	1027							20			0	0	
26		Merry Christmas	Assets/Product/Ui/ComponentPrefab/Sign/SignSummer.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg53.png	2	7	1028							20			0	0	
27		Evernight Beat	Assets/Product/Ui/ComponentPrefab/Sign/SignLuolan.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableZhongZhiV129.png	2	7	1029							20			0	0	
28		Miles of Moonlight	Assets/Product/Ui/ComponentPrefab/Sign/SignZhongqiu2.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableMainLineV129.png	2	3	1030							20			0	0	
29		The Surviving Lucem	Assets/Product/Ui/ComponentPrefab/Sign/SignLiv.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryNuoAnV129.png	2	7	1031							20			0	0	
30		Recitativo di Fantasia	Assets/Product/Ui/ComponentPrefab/Sign/Sign2Year.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryIdolV129.png	2	7	1032							20			0	0	
31		Anniversary Gift	Assets/Product/Ui/ComponentPrefab/Sign/SignSelena.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseTableBgJpWeiLaSummer.png	2	3	1033							20			0	0	
32		Reveries with a Whale	Assets/Product/Ui/ComponentPrefab/Sign/SignPulao.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableMainLineV130.png	2	7	1034							20			0	0	
33		New Year's Day Celebration	Assets/Product/Ui/ComponentPrefab/Sign/SignPulaoYuandna.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryBiankaV130.png	2	3	1035							20			0	0	
36		Her Last Bow	Assets/Product/Ui/ComponentPrefab/Sign/Sign70jiqiren.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryPetV130.png	2	7	1036							20			0	0	
35		Spring Blossom	Assets/Product/Ui/ComponentPrefab/Sign/Sign70chunjie.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryLivV130.png	2	3	1037							20			0	0	
37		The Ark Beyond	Assets/Product/Ui/ComponentPrefab/Sign/SignHaicma.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryVelaV130.png	2	7	1038							20			0	0	
38		A New Divide	Assets/Product/Ui/ComponentPrefab/Sign/SignKarenina.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryBansV130.png	2	7	1039							20			0	0	
39		Labor Day Logs	Assets/Product/Ui/ComponentPrefab/Sign/SignMayDayV128.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableMainLineV131.png	2	3	1040							20			0	0	
40		Cinder Burns	Assets/Product/Ui/ComponentPrefab/Sign/SignNuoanV129.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryBBNTV131.png	2	7	1041							20			0	0	
41		Bunny Dance	Assets/Product/Ui/ComponentPrefab/Sign/SignDuanWuV129.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryLuoziNikkiV131.png	2	3	1042							20			0	0	
42	24	Cogsgiving Gifts - Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignNewhand2.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSignInCelica.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSignInCelica.png	2	7	1043								10010203		0	0	30
43		Across the Ruined Sea	Assets/Product/Ui/ComponentPrefab/Sign/SignBiancaV130.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryLuoziNikkiV131.png	2	7	1044							20			0	0	
44		Left Unsaid	Assets/Product/Ui/ComponentPrefab/Sign/SignBBNTV131.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryLuoziNikkiV131.png	2	7	1045							20			0	0	
45		Autumn Moon Brightens	Assets/Product/Ui/ComponentPrefab/Sign/SignMoonV131.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryLuoziNikkiV131.png	2	3	1046							20			0	0	
46		Spiral of Chronos	Assets/Product/Ui/ComponentPrefab/Sign/SignLeeV132.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryLuoziNikkiV131.png	2	7	1047							20			0	0	
47	14507	Renaissance du Fantastique - Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignMainSAilaV200.prefab	Assets/Product/Texture/Image/UiActivityBase/SignBgSAilaV200.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelFirstSAilaV200.png	2	7	1048							20			0	0	
48	14508	Thousand-Day Colors - Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignMainAnniversaryV200.prefab	Assets/Product/Texture/Image/UiActivityBase/SignBgAnniversaryV200.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelFirstAnniversaryV200.png	2	3	1049							20			0	0	
49	15801	Wintry Shackles - Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignMainSuperAlphaV201.prefab	Assets/Product/Texture/Image/UiActivityBase/SignBgSuperAlphaV201.png	Assets/Product/Texture/Image/UiActivityBase/SignLabelSuperAlphaV201.png	2	7	1050							20			0	0	
50	15802	New Beginnings - Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignYuanDanV201.prefab	Assets/Product/Texture/Image/UiActivityBase/SignBgYuanDanV201.png	Assets/Product/Texture/Image/UiActivityBase/SignLabelYuanDanV201.png	2	3	1051										0	0	
51	15803	Happy New Year - Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignSpringFestivalV201.prefab	Assets/Product/Texture/Image/UiActivityBase/SignBgSignSpringFestivalV201.png	Assets/Product/Texture/Image/UiActivityBase/SignLabelSignSpringFestivalV201.png	2	3	1052										0	0	
1000002		Fallen Star Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignHeixing.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg49.png	2	7	1000002							20			0	0	
1100003		Valentine's Day	Assets/Product/Ui/ComponentPrefab/Sign/SignValentine.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating01.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg46.png	2	7	1100003							20			0	0	
1200001		Xmas＆新年ログイン	Assets/Product/Ui/ComponentPrefab/Sign/SignJpXmas.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	2	7	1200001	3	1200002					20			0	0	
1300001		[Frozen] Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignEnjidi.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	2	7	1300001							20					
1300020		[100-day] Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignEnHundred.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	2	7	1300020							20			0	0	
1300030		[Half Anniv.] Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignEnHalfAnniv.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	2	5	1300030							20			0	0	
1300040		Lantern Fest. Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignLanternFestival.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	2	5	1300040							20			0	0	
1300050		White Day Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/UiSignBannerEnKrWhiteDay.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	2	7	1300050							20			0	0	
1300060	2150000	Kowloong · Bygone	Assets/Product/Ui/ComponentPrefab/Sign/UiSignBannerEnKaizhai.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	2	5	1300060							20			0	0	
1300100	2160017	Anniversary Gift	Assets/Product/Ui/ComponentPrefab/Sign/SignEnAnniv.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	2	7	1300100							20			0	0	
1300150		Luxury 14-Day Pass	Assets/Product/Ui/ComponentPrefab/Sign/SignGiftPack.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	3	7	1300150	7	1300151								0	0	
1300160		S-Rank 7-Day Pass	Assets/Product/Ui/ComponentPrefab/Sign/SignGiftPack2.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	3	7	1300160										0	0	
1300170	2160030	Mid-Autumn Festival	Assets/Product/Ui/ComponentPrefab/Sign/UiSignBannerEnMidAutumn.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	2	3	1300170							20			0	0	
1300210	2160082	Happy New Year	Assets/Product/Ui/ComponentPrefab/Sign/UiSignBannerEnYuandan22.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	2	3	1300210							20			0	0	
1300230	2160094	Lantern Fest. Sign-in	Assets/Product/Ui/ComponentPrefab/Sign/SignLanternFestival2.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	2	5	1300230							20			0	0	
1300240	2160161	2nd Anniversary Gift	Assets/Product/Ui/ComponentPrefab/Sign/SignEN2Year.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	2	3	1300240							20			0	0	
1300250	2160202	New Beginnings	Assets/Product/Ui/ComponentPrefab/Sign/SignKrYuanDan2.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	2	3	1300250							20			0	0	
1300260	2160203	Merry Christmas	Assets/Product/Ui/ComponentPrefab/Sign/SignKrChristmas.prefab	Assets/Product/Texture/Image/DrawCoating/DrawCoating02.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png	2	3	1300260							20			0	0	
1300270	2160226	Spring Blossom	Assets/Product/Ui/ComponentPrefab/Sign/Sign70chunjie.prefab	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseYuanDan.png	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg15.png	2	3	1300270							20			0	0
