Npc	PartId	PartName	RoulettleIndex	RoulettleName	BrokenGOName	RoulettleIcon
800103	8001003	左手	3	Bip001LForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon03.png
800103	8001004	右手	4	Bip001RForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon02.png
800103	8001006	尾巴	5	weibaLbone04	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon05.png
800104	8001002	身体	1	Bip001Spine	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon04.png
800104	8001001	尻尾	2	Bip001Head	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon01.png
800104	8001003	左手	3	Bip001LForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon03.png
800104	8001004	右手	4	Bip001RForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon02.png
800104	8001006	尾巴	5	weibaLbone04	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon05.png
800105	8001002	身体	1	Bip001Spine	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon04.png
800105	8001001	胴体	2	Bip001Head	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon01.png
800105	8001003	左手	3	Bip001LForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon03.png
800105	8001004	右手	4	Bip001RForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon02.png
800105	8001006	尾巴	5	weibaLbone04	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon05.png
800111	8001002	身体	1	Bip001Spine	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon04.png
800111	8001001	胴体	2	Bip001Head	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon01.png
800111	8001003	左手	3	Bip001LForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon03.png
800111	8001004	右手	4	Bip001RForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon02.png
800111	8001006	尾巴	5	weibaLbone04	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon05.png
800112	8001002	胴体	1	Bip001Spine	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon04.png
800112	8001001	头	2	Bip001Head	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon01.png
800112	8001003	左手	3	Bip001LForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon03.png
800112	8001004	右手	4	Bip001RForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon02.png
800112	8001006	尾巴	5	weibaLbone04	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon05.png
800113	8001002	身体	1	Bip001Spine	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon04.png
800113	8001001	头	2	Bip001Head	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon01.png
800113	8001003	左手	3	Bip001LForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon03.png
800113	8001004	右手	4	Bip001RForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon02.png
800113	8001006	右手	5	weibaLbone04	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon05.png
800114	8001002	胴体	1	Bip001Spine	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon04.png
800114	8001001	头	2	Bip001Head	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon01.png
800114	8001003	左手	3	Bip001LForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon03.png
800114	8001004	右手	4	Bip001RForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon02.png
800114	8001006	尾巴	5	weibaLbone04	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon05.png
800115	8001002	身体	1	Bip001Spine	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon04.png
800115	8001001	头	2	Bip001Head	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon01.png
800115	8001003	左手	3	Bip001LForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon03.png
800115	8001004	右手	4	Bip001RForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon02.png
800115	8001006	胴体	5	weibaLbone04	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon05.png
8002	8001002	胴体	1	Bip001Spine	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon04.png
8002	8001001	头	2	Bip001Head	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon01.png
8002	8001003	左手	3	Bip001LForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon03.png
8002	8001004	右手	4	Bip001RForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon02.png
8002	8001006	尾巴	5	weibaLbone04	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon05.png
800201	8001002	身体	1	Bip001Spine	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon04.png
800201	8001001	头	2	Bip001Head	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon01.png
800201	8001003	左手	3	Bip001LForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon03.png
800201	8001004	左手	4	Bip001RForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon02.png
800201	8001006	尾巴	5	weibaLbone04	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon05.png
800202	8001002	胴体	1	Bip001Spine	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon04.png
800202	8001001	头	2	Bip001Head	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon01.png
800202	8001003	左手	3	Bip001LForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon03.png
800202	8001004	右手	4	Bip001RForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon02.png
800202	8001006	尾巴	5	weibaLbone04	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon05.png
800203	8001002	身体	1	Bip001Spine	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon04.png
800203	8001001	头	2	Bip001Head	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon01.png
800203	8001003	胴体	3	Bip001LForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon03.png
800203	8001004	右手	4	Bip001RForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon02.png
800203	8001006	尾巴	5	weibaLbone04	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon05.png
800204	8001002	胴体	1	Bip001Spine	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon04.png
800204	8001001	头	2	Bip001Head	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon01.png
800204	8001003	左手	3	Bip001LForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon03.png
800204	8001004	右手	4	Bip001RForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon02.png
800204	8001006	尾巴	5	weibaLbone04	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon05.png
800205	8001002	身体	1	Bip001Spine	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon04.png
800205	8001001	头	2	Bip001Head	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon01.png
800205	8001003	頭部	3	Bip001LForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon03.png
800205	8001004	右手	4	Bip001RForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon02.png
800205	8001006	尾巴	5	weibaLbone04	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon05.png
800211	8001002	身体	1	Bip001Spine	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon04.png
800211	8001001	头	2	Bip001Head	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon01.png
800211	8001003	左手	3	Bip001LForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon03.png
800211	8001004	胴体	4	Bip001RForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon02.png
800211	8001006	尾巴	5	weibaLbone04	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon05.png
800212	8001002	身体	1	Bip001Spine	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon04.png
800212	8001001	胴体	2	Bip001Head	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon01.png
800212	8001003	左手	3	Bip001LForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon03.png
800212	8001004	右手	4	Bip001RForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon02.png
800212	8001006	尾巴	5	weibaLbone04	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon05.png
800213	8001002	身体	1	Bip001Spine	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon04.png
800213	8001001	头	2	Bip001Head	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon01.png
800213	8001003	胴体	3	Bip001LForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon03.png
800213	8001004	右手	4	Bip001RForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon02.png
800213	8001006	尾巴	5	weibaLbone04	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon05.png
800214	8001002	身体	1	Bip001Spine	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon04.png
800214	8001001	胴体	2	Bip001Head	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon01.png
800214	8001003	左手	3	Bip001LForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon03.png
800214	8001004	右手	4	Bip001RForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon02.png
800214	8001006	尾巴	5	weibaLbone04	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon05.png
800215	8001002	身体	1	Bip001Spine	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon04.png
800215	8001001	头	2	Bip001Head	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon01.png
800215	8001003	胴体	3	Bip001LForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon03.png
800215	8001004	右手	4	Bip001RForearm	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon02.png
800215	8001006	尾巴	5	weibaLbone04	Mb1JueanhtMd010001Hand04	Assets/Product/Texture/Image/UiFightDlc/UiFightDlcJueanhtIcon05.png
8004	8001002	胴体	1	Bip001Spine	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon04.png
8004	8001001	头	2	Bip001Head	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon01.png
8004	8001003	左手	3	Bip001LForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon03.png
8004	8001004	右手	4	Bip001RForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon02.png
8004	8001006	尾巴	5	weibaLbone04	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon05.png
