Id	EventId	Npc	PartId	AndOr	Priority	ElementTypes[1]	DamageTypes[1]	Percents[1]	AbsValues[1]	ElementTypes[2]	DamageTypes[2]	Percents[2]	AbsValues[2]	ElementTypes[3]	DamageTypes[3]	Percents[3]	AbsValues[3]	ElementTypes[4]	DamageTypes[4]	Percents[4]	AbsValues[4]	ElementTypes[5]	DamageTypes[5]	Percents[5]	AbsValues[5]	Desc
17	800100602	8001	8001006	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.25	0																	
18	800100201	8001	8001002	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.05	0																	Grimhorn|Body|Small Take Hit
19	800100203	8001	8001002	2	3	0	40|41|402|412	0.216	0																	Grimhorn|Body|Stage Clear Exclusive
20	800200101	8002	8001001	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.024	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Bloom|Head|Small Take Hit
21	800200102	8002	8001001	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.052	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Bloom|Head|Big Take Hit
22	800200103	8002	8001001	2	3	0	40|41|401|411	0.024	0																	Bloom|Head|Hit During Spear QTE
23	800200104	8002	8001001	2	4	0	50	0	1																	Events Used to Judge Whether Spear Hits Head
24	800200105	8002	8001001	2	5	-1		0.052	0																	Bloom|Head|Hack
25	800200301	8002	8001003	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.024	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Bloom|Left Hand|Small Take Hit
26	800200302	8002	8001003	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.052	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Bloom|Left Hand|Big Take Hit
27	800200303	8002	8001003	2	3	0	40|41|403|413	0.024	0																	Bloom|Left Hand|Hit During Spear QTE
28	800200304	8002	8001003	2	4	0	50	0	1																	Event Used to Judge Spear Hit
29	800200305	8002	8001003	2	5	-1		0.052	0																	Bloom|Left Hand|Hack
30	800200401	8002	8001004	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.024	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Bloom|Right Hand|Small Take Hit
31	800200402	8002	8001004	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.052	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Bloom|Right Hand|Big Take Hit
32	800200403	8002	8001004	2	3	0	40|41|404|414	0.024	0																	Bloom|Right Hand|Hit During Spear QTE
33	800200404	8002	8001004	2	4	0	50	0	1																	Event Used to Judge Spear Hit
34	800200405	8002	8001004	2	5	-1		0.052	0																	Bloom|Right Hand|Hack
35	800200601	8002	8001006	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.1	0																	
36	800200602	8002	8001006	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.25	0																	
37	800200201	8002	8001002	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.05	0																	Grimhorn|Body|Small Take Hit
38	800200203	8002	8001002	2	3	0	40|41|402|412	0.216	0																	Grimhorn|Body|Stage Clear Exclusive
39	800400101	8004	8001001	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0	15000	1		0	15000	2		0	15000	3		0	15000	4		0	15000	Tutorial Stage Grimhorn|Head|Small Take Hit
40	800400102	8004	8001001	2	2	0	1|11|12|13|21|22|23|31|32|33	0.99	0	1		0.99	0	2		0.99	0	3		0.99	0	4		0.99	0	Tutorial Stage Grimhorn|Head|Big Take Hit
41	800400103	8004	8001001	2	3	0	40|41|401|411	0	10000																	Tutorial Stage Grimhorn|Head|Hit During Spear QTE
42	800400104	8004	8001001	2	4	0	50	0	1																	Events Used to Judge Whether Spear Hits Head
43	800400105	8004	8001001	2	5	-1		0	15000																	Tutorial Stage Phantom Grimhorn|Right Hand|Vulnerability
44	800400301	8004	8001003	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0	15000	1		0	15000	2		0	15000	3		0	15000	4		0	15000	Tutorial Stage Grimhorn|Left Hand|Small Take Hit
45	800400302	8004	8001003	2	2	0	1|11|12|13|21|22|23|31|32|33	0.99	0	1		0.99	0	2		0.99	0	3		0.99	0	4		0.99	0	Tutorial Stage Grimhorn|Left Hand|Big Take Hit
46	800400303	8004	8001003	2	3	0	40|41|403|413	0	15000																	Tutorial Stage Grimhorn|Left Hand|Hit During Spear QTE
47	800400304	8004	8001003	2	4	0	50	0	1																	Event Used to Judge Spear Hit
48	800400305	8004	8001003	2	5	-1		0	15000																	Tutorial Stage Phantom Grimhorn|Left Hand|Vulnerability
49	800400401	8004	8001004	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0	15000	1		0	15000	2		0	15000	3		0	15000	4		0	15000	Tutorial Stage Grimhorn|Right Hand|Small Take Hit
50	800400402	8004	8001004	2	2	0	1|11|12|13|21|22|23|31|32|33	0.99	0	1		0.99	0	2		0.99	0	3		0.99	0	4		0.99	0	Tutorial Stage Grimhorn|Right Hand|Big Take Hit
51	800400403	8004	8001004	2	3	0	40|41|404|414	0	15000																	Tutorial Stage Grimhorn|Right Hand|Hit During Spear QTE
52	800400404	8004	8001004	2	4	0	50	0	1																	Event Used to Judge Spear Hit
53	800400405	8004	8001004	2	5	-1		0	15000																	Tutorial Stage Phantom Grimhorn|Right Hand|Vulnerability
54	800100101	800101	8001001	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.012	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Head|Small Take Hit
55	800100102	800101	8001001	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.026	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Head|Big Take Hit
56	800100103	800101	8001001	2	3	0	40|41|401|411	0.012	0																	Grimhorn|Head|Hit During Spear QTE
57	800100104	800101	8001001	2	4	0	50	0	1																	Events Used to Judge Whether Spear Hits Head
58	800100105	800101	8001001	2	5	-1		0.026	0																	Grimhorn|Head|Vulnerability
59	800100301	800101	8001003	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.012	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Left Hand|Small Take Hit
60	800100302	800101	8001003	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.026	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Left Hand|Big Take Hit
61	800100303	800101	8001003	2	3	0	40|41|403|413	0.012	0																	Grimhorn|Left Hand|Hit During Spear QTE
62	800100304	800101	8001003	2	4	0	50	0	1																	Event Used to Judge Spear Hit
63	800100305	800101	8001003	2	5	-1		0.026	0																	Grimhorn|Left Hand|Vulnerability
64	800100401	800101	8001004	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.012	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Right Hand|Small Take Hit
65	800100402	800101	8001004	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.026	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Right Hand|Big Take Hit
66	800100403	800101	8001004	2	3	0	40|41|404|414	0.012	0																	Grimhorn|Right Hand|Hit During Spear QTE
67	800100404	800101	8001004	2	4	0	50	0	1																	Event Used to Judge Spear Hit
68	800100405	800101	8001004	2	5	-1		0.026	0																	Grimhorn|Right Hand|Vulnerability
69	800100601	800101	8001006	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.05	0																	
70	800100602	800101	8001006	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.125	0																	
71	800100201	800101	8001002	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.025	0																	Grimhorn|Body|Small Take Hit
72	800100203	800101	8001002	2	3	0	40|41|402|412	0.108	0																	Grimhorn|Body|Stage Clear Exclusive
73	800100101	800102	8001001	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.016	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Head|Small Take Hit
74	800100102	800102	8001001	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.034	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Head|Big Take Hit
75	800100103	800102	8001001	2	3	0	40|41|401|411	0.016	0																	Grimhorn|Head|Hit During Spear QTE
76	800100104	800102	8001001	2	4	0	50	0	1																	Events Used to Judge Whether Spear Hits Head
77	800100105	800102	8001001	2	5	-1		0.034	0																	Grimhorn|Head|Vulnerability
78	800100301	800102	8001003	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.016	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Left Hand|Small Take Hit
79	800100302	800102	8001003	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.034	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Left Hand|Big Take Hit
80	800100303	800102	8001003	2	3	0	40|41|403|413	0.016	0																	Grimhorn|Left Hand|Hit During Spear QTE
81	800100304	800102	8001003	2	4	0	50	0	1																	Event Used to Judge Spear Hit
82	800100305	800102	8001003	2	5	-1		0.034	0																	Grimhorn|Left Hand|Vulnerability
83	800100401	800102	8001004	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.016	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Right Hand|Small Take Hit
84	800100402	800102	8001004	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.034	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Right Hand|Big Take Hit
85	800100403	800102	8001004	2	3	0	40|41|404|414	0.016	0																	Grimhorn|Right Hand|Hit During Spear QTE
86	800100404	800102	8001004	2	4	0	50	0	1																	Event Used to Judge Spear Hit
87	800100405	800102	8001004	2	5	-1		0.034	0																	Grimhorn|Right Hand|Vulnerability
88	800100601	800102	8001006	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.05	0																	
89	800100602	800102	8001006	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.125	0																	
90	800100201	800102	8001002	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.025	0																	Grimhorn|Body|Small Take Hit
91	800100203	800102	8001002	2	3	0	40|41|402|412	0.144	0																	Grimhorn|Body|Stage Clear Exclusive
92	800100101	800103	8001001	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.012	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Head|Small Take Hit
93	800100102	800103	8001001	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.026	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Head|Big Take Hit
94	800100103	800103	8001001	2	3	0	40|41|401|411	0.012	0																	Grimhorn|Head|Hit During Spear QTE
95	800100104	800103	8001001	2	4	0	50	0	1																	Events Used to Judge Whether Spear Hits Head
96	800100105	800103	8001001	2	5	-1		0.026	0																	Grimhorn|Head|Vulnerability
97	800100301	800103	8001003	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.012	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Left Hand|Small Take Hit
98	800100302	800103	8001003	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.026	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Left Hand|Big Take Hit
99	800100303	800103	8001003	2	3	0	40|41|403|413	0.012	0																	Grimhorn|Left Hand|Hit During Spear QTE
100	800100304	800103	8001003	2	4	0	50	0	1																	Event Used to Judge Spear Hit
101	800100305	800103	8001003	2	5	-1		0.026	0																	Grimhorn|Left Hand|Vulnerability
102	800100401	800103	8001004	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.012	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Right Hand|Small Take Hit
103	800100402	800103	8001004	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.026	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Right Hand|Big Take Hit
104	800100403	800103	8001004	2	3	0	40|41|404|414	0.012	0																	Grimhorn|Right Hand|Hit During Spear QTE
105	800100404	800103	8001004	2	4	0	50	0	1																	Event Used to Judge Spear Hit
106	800100405	800103	8001004	2	5	-1		0.026	0																	Grimhorn|Right Hand|Vulnerability
107	800100601	800103	8001006	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.05	0																	
108	800100602	800103	8001006	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.125	0																	
109	800100201	800103	8001002	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.025	0																	Grimhorn|Body|Small Take Hit
110	800100203	800103	8001002	2	3	0	40|41|402|412	0.108	0																	Grimhorn|Body|Stage Clear Exclusive
111	800100101	800104	8001001	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.01	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Head|Small Take Hit
112	800100102	800104	8001001	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.02	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Head|Big Take Hit
113	800100103	800104	8001001	2	3	0	40|41|401|411	0.01	0																	Grimhorn|Head|Hit During Spear QTE
114	800100104	800104	8001001	2	4	0	50	0	1																	Events Used to Judge Whether Spear Hits Head
115	800100105	800104	8001001	2	5	-1		0.02	0																	Grimhorn|Head|Vulnerability
116	800100301	800104	8001003	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.01	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Left Hand|Small Take Hit
117	800100302	800104	8001003	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.02	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Left Hand|Big Take Hit
118	800100303	800104	8001003	2	3	0	40|41|403|413	0.01	0																	Grimhorn|Left Hand|Hit During Spear QTE
119	800100304	800104	8001003	2	4	0	50	0	1																	Event Used to Judge Spear Hit
120	800100305	800104	8001003	2	5	-1		0.02	0																	Grimhorn|Left Hand|Vulnerability
121	800100401	800104	8001004	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.01	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Right Hand|Small Take Hit
122	800100402	800104	8001004	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.02	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Right Hand|Big Take Hit
123	800100403	800104	8001004	2	3	0	40|41|404|414	0.01	0																	Grimhorn|Right Hand|Hit During Spear QTE
124	800100404	800104	8001004	2	4	0	50	0	1																	Event Used to Judge Spear Hit
125	800100405	800104	8001004	2	5	-1		0.02	0																	Grimhorn|Right Hand|Vulnerability
126	800100601	800104	8001006	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.05	0																	
127	800100602	800104	8001006	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.125	0																	
128	800100201	800104	8001002	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.025	0																	Grimhorn|Body|Small Take Hit
129	800100203	800104	8001002	2	3	0	40|41|402|412	0.09	0																	Grimhorn|Body|Stage Clear Exclusive
130	800100101	800105	8001001	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.008	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Head|Small Take Hit
131	800100102	800105	8001001	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.018	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Head|Big Take Hit
132	800100103	800105	8001001	2	3	0	40|41|401|411	0.008	0																	Grimhorn|Head|Hit During Spear QTE
133	800100104	800105	8001001	2	4	0	50	0	1																	Events Used to Judge Whether Spear Hits Head
134	800100105	800105	8001001	2	5	-1		0.018	0																	Grimhorn|Head|Vulnerability
135	800100301	800105	8001003	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.008	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Left Hand|Small Take Hit
136	800100302	800105	8001003	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.018	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Left Hand|Big Take Hit
137	800100303	800105	8001003	2	3	0	40|41|403|413	0.008	0																	Grimhorn|Left Hand|Hit During Spear QTE
138	800100304	800105	8001003	2	4	0	50	0	1																	Event Used to Judge Spear Hit
139	800100305	800105	8001003	2	5	-1		0.018	0																	Grimhorn|Left Hand|Vulnerability
140	800100401	800105	8001004	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.008	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Right Hand|Small Take Hit
141	800100402	800105	8001004	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.018	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Right Hand|Big Take Hit
142	800100403	800105	8001004	2	3	0	40|41|404|414	0.008	0																	Grimhorn|Right Hand|Hit During Spear QTE
143	800100404	800105	8001004	2	4	0	50	0	1																	Event Used to Judge Spear Hit
144	800100405	800105	8001004	2	5	-1		0.018	0																	Grimhorn|Right Hand|Vulnerability
145	800100601	800105	8001006	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.05	0																	
146	800100602	800105	8001006	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.125	0																	
147	800100201	800105	8001002	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.025	0																	Grimhorn|Body|Small Take Hit
148	800100203	800105	8001002	2	3	0	40|41|402|412	0.072	0																	Grimhorn|Body|Stage Clear Exclusive
149	800100101	800111	8001001	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.024	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Head|Small Take Hit
150	800100102	800111	8001001	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.052	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Head|Big Take Hit
151	800100103	800111	8001001	2	3	0	40|41|401|411	0.024	0																	Grimhorn|Head|Hit During Spear QTE
152	800100104	800111	8001001	2	4	0	50	0	1																	Events Used to Judge Whether Spear Hits Head
153	800100105	800111	8001001	2	5	-1		0.052	0																	Grimhorn|Head|Vulnerability
154	800100301	800111	8001003	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.024	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Left Hand|Small Take Hit
155	800100302	800111	8001003	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.052	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Left Hand|Big Take Hit
156	800100303	800111	8001003	2	3	0	40|41|403|413	0.024	0																	Grimhorn|Left Hand|Hit During Spear QTE
157	800100304	800111	8001003	2	4	0	50	0	1																	Event Used to Judge Spear Hit
158	800100305	800111	8001003	2	5	-1		0.052	0																	Grimhorn|Left Hand|Vulnerability
159	800100401	800111	8001004	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.024	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Right Hand|Small Take Hit
160	800100402	800111	8001004	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.052	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Right Hand|Big Take Hit
161	800100403	800111	8001004	2	3	0	40|41|404|414	0.024	0																	Grimhorn|Right Hand|Hit During Spear QTE
162	800100404	800111	8001004	2	4	0	50	0	1																	Event Used to Judge Spear Hit
163	800100405	800111	8001004	2	5	-1		0.052	0																	Grimhorn|Right Hand|Vulnerability
164	800100601	800111	8001006	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.1	0																	
165	800100602	800111	8001006	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.25	0																	
166	800100201	800111	8001002	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.05	0																	Grimhorn|Body|Small Take Hit
167	800100203	800111	8001002	2	3	0	40|41|402|412	0.216	0																	Grimhorn|Body|Stage Clear Exclusive
168	800100101	800112	8001001	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.032	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Head|Small Take Hit
169	800100102	800112	8001001	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.068	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Head|Big Take Hit
170	800100103	800112	8001001	2	3	0	40|41|401|411	0.032	0																	Grimhorn|Head|Hit During Spear QTE
171	800100104	800112	8001001	2	4	0	50	0	1																	Events Used to Judge Whether Spear Hits Head
172	800100105	800112	8001001	2	5	-1		0.068	0																	Grimhorn|Head|Vulnerability
173	800100301	800112	8001003	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.032	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Left Hand|Small Take Hit
174	800100302	800112	8001003	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.068	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Left Hand|Big Take Hit
175	800100303	800112	8001003	2	3	0	40|41|403|413	0.032	0																	Grimhorn|Left Hand|Hit During Spear QTE
176	800100304	800112	8001003	2	4	0	50	0	1																	Event Used to Judge Spear Hit
177	800100305	800112	8001003	2	5	-1		0.068	0																	Grimhorn|Left Hand|Vulnerability
178	800100401	800112	8001004	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.032	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Right Hand|Small Take Hit
179	800100402	800112	8001004	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.068	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Right Hand|Big Take Hit
180	800100403	800112	8001004	2	3	0	40|41|404|414	0.032	0																	Grimhorn|Right Hand|Hit During Spear QTE
181	800100404	800112	8001004	2	4	0	50	0	1																	Event Used to Judge Spear Hit
182	800100405	800112	8001004	2	5	-1		0.068	0																	Grimhorn|Right Hand|Vulnerability
183	800100601	800112	8001006	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.1	0																	
184	800100602	800112	8001006	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.25	0																	
185	800100201	800112	8001002	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.05	0																	Grimhorn|Body|Small Take Hit
186	800100203	800112	8001002	2	3	0	40|41|402|412	0.288	0																	Grimhorn|Body|Stage Clear Exclusive
187	800100101	800113	8001001	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.024	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Head|Small Take Hit
188	800100102	800113	8001001	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.052	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Head|Big Take Hit
189	800100103	800113	8001001	2	3	0	40|41|401|411	0.024	0																	Grimhorn|Head|Hit During Spear QTE
190	800100104	800113	8001001	2	4	0	50	0	1																	Events Used to Judge Whether Spear Hits Head
191	800100105	800113	8001001	2	5	-1		0.052	0																	Grimhorn|Head|Vulnerability
192	800100301	800113	8001003	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.024	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Left Hand|Small Take Hit
193	800100302	800113	8001003	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.052	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Left Hand|Big Take Hit
194	800100303	800113	8001003	2	3	0	40|41|403|413	0.024	0																	Grimhorn|Left Hand|Hit During Spear QTE
195	800100304	800113	8001003	2	4	0	50	0	1																	Event Used to Judge Spear Hit
196	800100305	800113	8001003	2	5	-1		0.052	0																	Grimhorn|Left Hand|Vulnerability
197	800100401	800113	8001004	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.024	0	1		0.01	0	2		0.01	0	3		0.01	0	4		0.01	0	Grimhorn|Right Hand|Small Take Hit
198	800100402	800113	8001004	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.052	0	1		0.035	0	2		0.035	0	3		0.035	0	4		0.035	0	Grimhorn|Right Hand|Big Take Hit
199	800100403	800113	8001004	2	3	0	40|41|404|414	0.024	0																	Grimhorn|Right Hand|Hit During Spear QTE
200	800100404	800113	8001004	2	4	0	50	0	1																	Event Used to Judge Spear Hit
201	800100405	800113	8001004	2	5	-1		0.052	0																	Grimhorn|Right Hand|Vulnerability
202	800100601	800113	8001006	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.1	0																	
203	800100602	800113	8001006	2	2	0	1|3|11|12|13|21|22|23|31|32|33	0.25	0																	
204	800100201	800113	8001002	2	1	0	1|3|11|12|13|21|22|23|31|32|33	0.05	0																	Grimhorn|Body|Small Take Hit
