Npc	PartId	AttribId	BreakTimes	DefaultBoneName	Desc
800201	800203	1	10	Bip001Head	对波的站位点
800202	8001001	1	10	Bip001Head	胴体
800202	8001002	1	10	Bip001Spine1	身体
800202	8001003	1	10	Bip001LForearm	左手
800202	8001004	1	10	Bip001RForearm	右手
800202	8001005	1	10	Bip001Head	XXX
800202	8001006	1	10	weibaLbone04	尾巴
800202	800201	1	10	Bip001Head	XXX
800202	800202	1	10	Bip001Head	白龙的测试挂点
800202	800203	1	10	Bip001Head	对波的站位点
800203	8001001	1	10	Bip001Head	头部
800203	8001002	1	10	Bip001Spine1	身体
800203	8001003	1	10	Bip001LForearm	左手
800203	8001004	1	10	Bip001RForearm	右手
800203	8001005	1	10	Bip001Head	XXX
800203	8001006	1	10	weibaLbone04	頭部
800203	800201	1	10	Bip001Head	XXX
800203	800202	1	10	Bip001Head	白龙的测试挂点
800203	800203	1	10	Bip001Head	对波的站位点
800204	8001001	1	10	Bip001Head	頭部
800204	8001002	1	10	Bip001Spine1	身体
800204	8001003	1	10	Bip001LForearm	左手
800204	8001004	1	10	Bip001RForearm	右手
800204	8001005	1	10	Bip001Head	XXX
800204	8001006	1	10	weibaLbone04	尾巴
800204	800201	1	10	Bip001Head	XXX
800204	800202	1	10	Bip001Head	白龙的测试挂点
800204	800203	1	10	Bip001Head	对波的站位点
800205	8001001	1	10	Bip001Head	头部
800205	8001002	1	10	Bip001Spine1	身体
800205	8001003	1	10	Bip001LForearm	右手
800205	8001004	1	10	Bip001RForearm	右手
800205	8001005	1	10	Bip001Head	XXX
800205	8001006	1	10	weibaLbone04	尾巴
800205	800201	1	10	Bip001Head	XXX
800205	800202	1	10	Bip001Head	白龙的测试挂点
800205	800203	1	10	Bip001Head	对波的站位点
800211	8001001	1	10	Bip001Head	頭部
800211	8001002	1	10	Bip001Spine1	身体
800211	8001003	1	10	Bip001LForearm	左手
800211	8001004	1	10	Bip001RForearm	右手
800211	8001005	1	10	Bip001Head	XXX
800211	8001006	1	10	weibaLbone04	尾巴
800211	800201	1	10	Bip001Head	XXX
800211	800202	1	10	Bip001Head	白龙的测试挂点
800211	800203	1	10	Bip001Head	对波的站位点
800212	8001001	1	10	Bip001Head	頭部
800212	8001002	1	10	Bip001Spine1	身体
800212	8001003	1	10	Bip001LForearm	左手
800212	8001004	1	10	Bip001RForearm	右手
800212	8001005	1	10	Bip001Head	XXX
800212	8001006	1	10	weibaLbone04	尾巴
800212	800201	1	10	Bip001Head	XXX
800212	800202	1	10	Bip001Head	白龙的测试挂点
800212	800203	1	10	Bip001Head	对波的站位点
800213	8001001	1	10	Bip001Head	头部
800213	8001002	1	10	Bip001Spine1	身体
800213	8001003	1	10	Bip001LForearm	左手
800213	8001004	1	10	Bip001RForearm	右手
800213	8001005	1	10	Bip001Head	XXX
800213	8001006	1	10	weibaLbone04	尻尾
800213	800201	1	10	Bip001Head	XXX
800213	800202	1	10	Bip001Head	白龙的测试挂点
800213	800203	1	10	Bip001Head	对波的站位点
800214	8001001	1	10	Bip001Head	頭部
800214	8001002	1	10	Bip001Spine1	身体
800214	8001003	1	10	Bip001LForearm	左手
800214	8001004	1	10	Bip001RForearm	右手
800214	8001005	1	10	Bip001Head	XXX
800214	8001006	1	10	weibaLbone04	尾巴
800214	800201	1	10	Bip001Head	XXX
800214	800202	1	10	Bip001Head	白龙的测试挂点
800214	800203	1	10	Bip001Head	对波的站位点
800215	8001001	1	10	Bip001Head	頭部
800215	8001002	1	10	Bip001Spine1	身体
800215	8001003	1	10	Bip001LForearm	左手
800215	8001004	1	10	Bip001RForearm	右手
800215	8001005	1	10	Bip001Head	XXX
800215	8001006	1	10	weibaLbone04	尾巴
800215	800201	1	10	Bip001Head	XXX
800215	800202	1	10	Bip001Head	白龙的测试挂点
800215	800203	1	10	Bip001Head	对波的站位点
1007	10072701	1	10	Bip001Head	XXX
1007	0	1	10	Bip001Head	XXX
1014	101401	1	10	Bip001Head	XXX
1014	0	1	10	Bip001Head	XXX
