Id	PhysicsStartTime	StartTime	Lifetime	Speed	TargetType	HitCount	RepeatDamage	DamageInterval	DamageCount	HinderType	HinderCount	RepeatHinder	HinderInterval	HinderDead	DeadExplosion	IsCloseToGround	GroundDistance	TrajectoryType	TrajectoryParams[1]	TrajectoryParams[2]	TrajectoryParams[3]	TrajectoryParams[4]	TrajectoryParams[5]	TrajectoryParams[6]	TrajectoryParams[7]	TrajectoryParams[8]	Magics[1]	Magics[2]	Magics[3]	Magics[4]	Magics[5]	Magics[6]	Magics2Launcher[1]	Magics2Launcher[2]	Magics2Launcher[3]	Magics2Launcher[4]	Magics2Launcher[5]	Magics2Launcher[6]	Magics2Launcher[7]	Magics2Part[1]	ChildDelays[1]	ChildIntervals[1]	ChildCounts[1]	Childs[1]	DeadChilds[1]	Collider	Effect	ExplosionEffect	HinderEffect	HitEffect[1]	HitEffect[2]	HitEffectUseMissileDirection	IsAlwaysShow	IsDecay	ShakeHitType	ShakeIntensityType	ShakeIntensityArgs	ShakeDuration	ShakeFrequency	ShakeDirection	RotShakeIntensityType	RotShakeDuration	RotShakeFrequency	RotShakeXIntensityArgs	RotShakeYIntensityArgs	RotShakeZIntensityArgs
10021602			0.1	50	4	-1			-1									1	0								1002011																			10021602																				
10021603			1	50	4	-1	1	0.2	-1									1	0								1002012																			10021602																				
10022101			0.3		4	-1			-1	2|3	-1	1	0.1					6	Bip001RHand								1002019	1002114	1002137				1002196			1002172										10022101			FxTongyongHit01	FxR1LuxiyaAttack31Shouji					2	1	0.6|15	1	10	-2,-1,0	1	0.2	5	0|0	15|5	0|0
10022103			3															1	0																											10140000	FxR1LuxiyaAttack31Dilie																			
10022201			0.3		4	-1			-1	2|3	-1	1	0.1					6	Bip001RHand								1002020	1002114	1002137				1002196			1002172										10022101			FxTongyongHit01	FxR1LuxiyaAttack31Shouji					2	1	0.6|15	1	10	-2,-1,0	1	0.2	5	0|0	15|5	0|0
10022203			3															1	0																											10140000	FxR1LuxiyaAttack31Dilie																			
10022301			0.3		4	-1			-1	2|3	-1	1	0.1					6	Bip001RHand								1002021	1002114	1002137				1002189			1002172										10022101			FxTongyongHit01	FxR1LuxiyaAttack31Shouji					2	1	0.6|15	1	10	-2,-1,0	1	0.2	5	0|0	15|5	0|0
10022303			3															1	0																											10140000	FxR1LuxiyaAttack33Dilie																			
10022401			0.1		4	-1			-1									6	Bip001RHand								1002016																			10022201				FxR1LuxiyaAttack31Shouji					2	1	0.5|20	1	10	-1,0,1	1	0.2	5	0|0	0|0	15|5
10022402			3															1	0																											10140000	FxR1LuxiyaAttack21																			
10022501			0.1		4	-1			-1									6	Bip001RHand								1002017																			10022201				FxR1LuxiyaAttack31Shouji					2	1	0.5|20	1	10	-1,0,1	1	0.2	5	0|0	0|0	15|5
10022502			3															1	0																											10140000	FxR1LuxiyaAttack21																			
10022601			0.1		4	-1			-1									6	Bip001RHand								1002018																			10022201				FxR1LuxiyaAttack31Shouji					2	1	0.5|20	1	10	-1,0,1	1	0.2	5	0|0	0|0	15|5
10022602			3															1	0																											10140000	FxR1LuxiyaAttack21																			
10022711			3															1	0																											10140000	FxR1LuxiyaRMSpearjumpSz																			
10022805			0.3		4	-1			-1									6	Bip001RHand								1002023	1002114	1002137	1000029	1002134		1002126	1002128	1002114	1002137	1002138									10022301				FxR1LuxiyaAttack41Shouji01																
10022808			9999	100	4	1			1	2	1			1				6	Bip001RHand								1002023	1002114		1000029						1000018	1000029									10020000			FxTongyongHit01		FxR1LuxiyaRMfallHit															
10022903			9999	100	4	1			1	2	1			1				5	10	0	5000	5000	0				1002023	1002114	1002137	1000029	1002134		1002126	1002128	1002114	1000018	1000029	1002137	1002138							10020000			FxTongyongHit01		FxR1LuxiyaRMfallHit															
10023201			0.3		4	-1	1	0.1	-1	2|3	-1	1	0.1					6	Bip001RHand								1002013						1002193													10022001			FxTongyongHit01	FxR1LuxiyaAttack11Shouji01					2	1	0.4|20	1	10	0,0,1	1	0.2	5	15|5	0|0	0|0
10023202			0.3		4	-1	1	0.05	-1	2|3	-1	1	0.1					1	0																																															
10023301			0.3		4	-1	1	0.1	-1	2|3	-1	1	0.1					6	Bip001RHand								1002014						1002194													10022001			FxTongyongHit01	FxR1LuxiyaAttack11Shouji01					2	1	0.4|20	1	10	0,0,1	1	0.2	5	15|5	0|0	0|0
10023302			0.3		4	-1	1	0.05	-1	2|3	-1	1	0.1					1	0																																															
10023401			0.3		4	-1	1	0.1	-1	2|3	-1	1	0.1					6	Bip001RHand								1002015						1002195													10022001			FxTongyongHit01	FxR1LuxiyaAttack11Shouji01					2	1	0.4|20	1	10	0,0,1	1	0.2	5	15|5	0|0	0|0
10023402			0.3		4	-1	1	0.05	-1	2|3	-1	1	0.1					1	0																																															
10023501			1	65	4	1	0		-1	2								1	0	60							1002085																			10020101	FxR1LuxiyaRMAtk10Dandao			FxR1LuxiyaRMAtk10Hit																
10023502			1	65	4	1	0		-1	2								1	0	60							1002085																			10020101	FxR1LuxiyaRMAtk10Dandao																			
10023503			1	35	4	1	0		-1	2								1	0	60							1002085																			10020101	FxR1LuxiyaRMAtk10Dandao		FxR1LuxiyaAttack51Shouji	FxR1LuxiyaRMAtk10Hit	FxR1LuxiyaAttack04Shouji01															
10023504			1	0	4	1	0		-1	2								1	0	60																										10020101	FxR1LuxiyaRMAtk10DandaoBao																			
10023601			1	65	4	1	0		-1	2				1				1	0	60							1002086																			10020101	FxR1LuxiyaRMAtk12Dandao			FxR1LuxiyaRMAtk10Hit																
10023602			1	0	4	1	0		-1	2				1				1	0	60																										10020101	FxR1LuxiyaRMAtk10DandaoBao																			
10023603			1	35	4	1	0		-1	2				1				1	0	60							1002086																			10020101	FxR1LuxiyaRMAtk12Dandao			FxR1LuxiyaRMAtk11Hit																
10023604			1	0	4	1	0		-1	2				1				1	0	60																										10020101	FxR1LuxiyaRMAtk10DandaoBao																			
10023605			1	35	4	1	0		-1	2				1				1	0	60							1002086																			10020101	FxR1LuxiyaRMAtk11Dandao02		FxR1LuxiyaAttack51Shouji	FxR1LuxiyaRMAtk11Hit	FxR1LuxiyaAttack03Shouji01															
10023610			1	0	4	1	0		-1	2				1				1	0	60																										10020101	FxR1LuxiyaRMAtk10DandaoBao																			
10023611			1	65	4	1	0		-1	2				1				1	0	60							1002086																			10020101	FxR1LuxiyaRMAtk11Dandao01		FxR1LuxiyaAttack51Shouji	FxR1LuxiyaRMAtk11Hit	FxR1LuxiyaAttack04Shouji01															
10024005			0.4	99	4	1	0		-1	2								5	0	0	100	5000	0																							10020000																				
10024104			3															1	0																											10140000	FxR1LuxiyaRMSpearjumpSz																			
10024205			0.8		4	-1	1	0.3	-1									6	Bip001RHand								1002023	1002114		1000029			1002126	1002128	1002114		1000029									10020201				FxR1LuxiyaAttack41Shouji01																
10024301			1	65	4	1	0		-1	2				1				1	0	60							1002087																			10020101	FxR1LuxiyaRMAtk12Dandao			FxR1LuxiyaRMAtk10Hit																
10024302			1	65	4	1	0		-1	2				1				1	0	60							1002087																			10020101	FxR1LuxiyaRMAtk12Dandao			FxR1LuxiyaRMAtk10Hit																
10024303			1	0	4	1	0		-1	2				1				1	0	60																										10020101	FxR1LuxiyaRMAtk10DandaoBao																			
10024304			1	65	4	1	0		-1	2				1				1	0	60							1002087																			10020101	FxR1LuxiyaRMAtk12Dandao			FxR1LuxiyaAttack51Shouji	FxR1LuxiyaRMAtk12Hit															
10024305			1	65	4	1	0		-1	2				1				1	0	60							1002087																			10020101	FxR1LuxiyaRMAtk12Dandao			FxR1LuxiyaRMAtk10Hit																
10024306			1	65	4	1	0		-1	2				1				1	0	60							1002087																			10020101	FxR1LuxiyaRMAtk12Dandao			FxR1LuxiyaRMAtk10Hit																
10024307			1	65	4	1	0		-1	2				1				1	0	60							1002087																			10020101	FxR1LuxiyaRMAtk12Dandao			FxR1LuxiyaRMAtk10Hit																
10024401			1	65	4	1	0		-1	2				1				1	0	60							1002088																			10020101	FxR3BiankaAttack01Dandao			FxR3BiankaAttack01Shouji																
10024402			1	65	4	1	0		-1	2				1				1	0	60							1002088																			10020101	FxR3BiankaAttack01Dandao			FxR3BiankaAttack01Shouji																
10024403			1	65	4	1	0		-1	2				1				1	0	60							1002088																			10020101	FxR3BiankaAttack01Dandao			FxR3BiankaAttack01Shouji																
10024404			1	65	4	1	0		-1	2				1				1	0	60							1002088																			10020101	FxR3BiankaAttack01Dandao			FxR3BiankaAttack01Shouji																
10024405			1	65	4	1	0		-1	2				1				1	0	60							1002088																			10020101	FxR3BiankaAttack01Dandao			FxR3BiankaAttack01Shouji																
10024406			1	65	4	1	0		-1	2				1				1	0	60							1002088																			10020101	FxR3BiankaAttack01Dandao			FxR3BiankaAttack01Shouji																
10024407			1	65	4	1	0		-1	2				1				1	0	60							1002088																			10020101	FxR3BiankaAttack01Dandao			FxR3BiankaAttack01Shouji																
10024408			1	65	4	1	0		-1	2				1				1	0	60							1002088																			10020101	FxR3BiankaAttack01Dandao			FxR3BiankaAttack01Shouji																
10024409			1	65	4	1	0		-1	2				1				1	0	60							1002088																			10020101	FxR3BiankaAttack01Dandao			FxR3BiankaAttack01Shouji																
10024801			1	65	4	1	0		-1	2				1				1	0	180							1002074						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao01			FxR1LuxiyaRMAtk22Hit																
10024802			1	65	4	1	0		-1	2				1				1	0	180							1002074						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao01			FxR1LuxiyaRMAtk22Hit																
10024803			1	65	4	1	0		-1	2				1				1	0	180							1002074						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao01			FxR1LuxiyaRMAtk22Hit																
10024804			1	65	4	1	0		-1	2				1				1	0	180							1002074						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao01			FxR1LuxiyaRMAtk22Hit																
10024805			1	65	4	1	0		-1	2				1				1	0	180							1002074						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao01			FxR1LuxiyaRMAtk22Hit																
10024806			1	65	4	1	0		-1	2				1				1	0	180							1002074						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao01			FxR1LuxiyaRMAtk22Hit																
10024807			1	65	4	1	0		-1	2				1				1	0	180							1002074						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao01			FxR1LuxiyaRMAtk22Hit																
10024901			1	65	4	1	0		-1	2				1				1	0	180							1002075						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao02			FxR1LuxiyaRMAtk22Hit																
10024902			1	65	4	1	0		-1	2				1				1	0	180							1002075						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao02			FxR1LuxiyaRMAtk22Hit																
10024903			1	65	4	1	0		-1	2				1				1	0	180							1002075						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao02			FxR1LuxiyaRMAtk22Hit																
10024904			1	65	4	1	0		-1	2				1				1	0	180							1002075						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao02			FxR1LuxiyaRMAtk22Hit																
10024905			1	65	4	1	0		-1	2				1				1	0	180							1002075						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao02			FxR1LuxiyaRMAtk22Hit																
10024906			1	65	4	1	0		-1	2				1				1	0	180							1002075						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao02			FxR1LuxiyaRMAtk22Hit																
10024907			1	65	4	1	0		-1	2				1				1	0	180							1002075						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao02			FxR1LuxiyaRMAtk22Hit																
10025001			1	65	4	1	0		-1	2				1				1	0	180							1002076						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao03			FxR1LuxiyaRMAtk22Hit																
10025002			1	65	4	1	0		-1	2				1				1	0	180							1002076						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao03			FxR1LuxiyaRMAtk22Hit																
10025003			1	65	4	1	0		-1	2				1				1	0	180							1002076						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao03			FxR1LuxiyaRMAtk22Hit																
10025004			1	65	4	1	0		-1	2				1				1	0	180							1002076						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao03			FxR1LuxiyaRMAtk22Hit																
10025005			1	65	4	1	0		-1	2				1				1	0	180							1002076						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao03			FxR1LuxiyaRMAtk22Hit																
10025006			1	65	4	1	0		-1	2				1				1	0	180							1002076						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao03			FxR1LuxiyaRMAtk22Hit																
10025007			1	65	4	1	0		-1	2				1				1	0	180							1002076						1002219	1002220												10020101	FxR1LuxiyaRMAtk22Dandao03			FxR1LuxiyaRMAtk22Hit																
10025103			3															1	0																											10140000	FxR1LuxiyaRMSpearout2Huahen01																			
10025104			3															1	0																											10140000	FxR1LuxiyaRMSpearout2Huahen02																			
10025105			3															1	0																											10140000	FxR1LuxiyaRMSpearout2Huahen03																			
10025106			3															1	0																											10140000	FxR1LuxiyaRMSpearout2Huahen04																			
10025107			3															1	0																											10140000	FxR1LuxiyaRMSpearout2Huahen05																			
10025108			3															1	0																											10140000	FxR1LuxiyaRMSpearout2Huahen06																			
10025110	0	0	5	0	4											1	0.5	1	0																											10140000	FxR1LuxiyaRMSpearout2Zhongjie																			
10025111	0	0	0.1	300	4	1			1	2	-1	0	0	1	1			5	0	0	9999	9999	0				1002089																			10140101				FxR1LuxiyaRMAtk10Hit	FxTongyongHit01				2	1	0.4|20	1	30	0,0,2	1	0.2	5	0|0	15|5	0|0
10025112	0	0	0.1	300	4	1			1	2	-1	0	0	1	1			5	0	0	9999	9999	0				1002090																			10140101				FxR1LuxiyaRMAtk10Hit	FxTongyongHit01				2	1	0.4|20	1	30	0,0,-2						
10025113	0	0	0.1	300	4	1			1	2	-1	0	0	1	1			5	0	0	9999	9999	0				1002089																			10140101				FxR1LuxiyaRMAtk10Hit	FxTongyongHit01				2	1	0.4|20	1	30	0,0,2	1	0.2	5	0|0	15|5	0|0
10025114	0	0	0.1	300	4	1			1	2	-1	0	0	1	1			5	0	0	9999	9999	0				1002090																			10140101				FxR1LuxiyaRMAtk10Hit	FxTongyongHit01				2	1	0.4|20	1	30	0,0,-2						
10025115	0	0	0.1	300	4	1			1	2	-1	0	0	1	1			5	0	0	9999	9999	0				1002089																			10140101				FxR1LuxiyaRMAtk10Hit	FxTongyongHit01				2	1	0.4|20	1	30	0,0,2	1	0.2	5	0|0	15|5	0|0
10025116	0	0	0.1	300	4	1			1	2	-1	0	0	1	1			5	0	0	9999	9999	0				1002090																			10140101				FxR1LuxiyaRMAtk10Hit	FxTongyongHit01				2	1	0.4|20	1	30	0,0,-2						
10025117	0	0	0.1	300	4	1			1	2	-1	0	0	1	1			5	0	0	9999	9999	0				1002089																			10140101				FxR1LuxiyaRMAtk10Hit	FxTongyongHit01				2	1	0.4|20	1	30	0,0,2	1	0.2	5	0|0	15|5	0|0
10025118	0	0	0.1	300	4	1			1	2	-1	0	0	1	1			5	0	0	9999	9999	0				1002090																			10140101				FxR1LuxiyaRMAtk10Hit	FxTongyongHit01				2	1	0.4|20	1	30	0,0,-2						
10025119	0	0	0.1	300	4	1			1	2	-1	0	0	1	1			5	0	0	9999	9999	0				1002089																			10140101				FxR1LuxiyaRMAtk10Hit	FxTongyongHit01				2	1	0.4|20	1	30	0,0,2	1	0.2	5	0|0	15|5	0|0
10025120	0	0	0.1	300	4	1			1	2	-1	0	0	1	1			5	0	0	9999	9999	0				1002090																			10140101				FxR1LuxiyaRMAtk10Hit	FxTongyongHit01				2	1	0.4|20	1	30	0,0,-2						
10025121	0	0	0.1	300	4	1			1	2	-1	0	0	1	1			5	0	0	9999	9999	0				1002089														0.3	99999	1	10025124	10025124	10140101				FxR1LuxiyaRMAtk10Hit	FxTongyongHit01				2	1	0.4|20	1	30	0,0,2	1	0.2	5	0|0	15|5	0|0
10025122	0	0	0.1	300	4	1			1	2	-1	0	0	1	1			5	0	0	9999	9999	0				1002090																			10140101				FxR1LuxiyaRMAtk10Hit	FxTongyongHit01				2	1	0.4|20	1	30	0,0,-2						
10025124	1		1.2		4	-1	1	0.1	-1									1	0								1002089														1	99999	1		10025125	10022201				FxR1LuxiyaRMAtk10Hit					2	1	0.5|20	1	10	-1,0,1	1	0.2	5	0|0	0|0	15|5
10025125			0.2		4	-1	0		-1									1	0								1002090																			10022201				FxR1LuxiyaRMAtk10Hit					2	1	0.5|20	1	10	-1,0,1	1	0.2	5	0|0	0|0	15|5
10060101			0.1	50	4	-1			-1									8	0																											10060101																				
10060201			0.1	50	4	-1			-1									8	0																											10060201																				
10060202			0.1	50	4	-1			-1									8	0																											10060202																				
10060301			0.1	50	4	-1			-1									8	0																											10060301																				
10060401			0.1	50	4	-1			-1									8	0																											10060401																				
10060501			0.1	50	4	-1			-1									8	0																											10060501																				
10060801			0.1	50	4	-1			-1									8	0																											10060801																				
10060802			0.3	50	4	-1	1	0.1	-1									8	0																											10060802																				
10061201			0.1	50	4	-1			-1									8	0																											10061201																				
10061301			0.1	50	4	-1			-1									8	0																											10061301																				
10061302		1	0.1	50	4	-1			-1									8	0																											10061302																				
10061701			0.1	50	4	-1			-1									8	0																											10061901																				
10061801			0.1	50	4	-1			-1									8	0																											10061901																				
10061901			0.1	50	4	-1			-1									8	0																											10061901																				
10062001			0.1	50	4	-1			-1									8	0																											10062001																				
10062101			0.1	50	4	-1			-1									8	0																											10062101																				
10062102		0.1	3	33	4	-1			-1									1	0																											FxR2ShenweiAttack42Dandao																				
10062201			0.1	50	4	-1			-1									8	0																											10062101																				
10062202		0.1	3	33	4	-1			-1									1	0																											FxR2ShenweiAttack42Dandao																				
10062301			0.1	50	4	-1			-1									8	0																											10062201																				
10062302			0.1	50	4	-1			-1									8	0																											10062202																				
10062303			0.1	50	4	-1			-1									8	0																											10062203																				
10062304			0.1	50	1	-1			-1									8	0																											10062304																				
10062401			0.1	50	4	-1			-1									8	0																											10062301																				
10062402			0.1	50	4	-1			-1									8	0																											10062302																				
10062403			0.1	50	4	-1			-1									8	0																											10062303																				
10062404			0.1	50	3	-1			-1									8	0																											10062304																				
10030101			0.1		4	-1			-1									1	0																											10030101																				
10030201			0.1		4	-1			-1									1	0																											10030201																				
10030301			0.1		4	-1			-1									1	0																											10030301																				
10030302			0.1		4	-1			-1									1	0																											10030302																				
10030401			0.1		4	-1			-1									1	0																											10030401																				
10030501			0.1		4	-1			-1									1	0																											10030501																				
10030502			0.1		4	-1			-1									1	0																											10030502																				
10030503			0.1		4	-1			-1									1	0																											10030503																				
10030504			0.1		4	-1			-1									1	0																											10030504																				
10030601			0.1		4	-1			-1									1	0																											10030601																				
10030901			0.3		4	-1			-1									1	0																											10030901																				
10030902			0.3		4	-1			-1									1	0																											10030902																				
10030903			0.3		4	-1			-1									1	0																											10030903																				
10030904			1.2		4	-1			-1									1	0																											FxR1LifuAttack51Dandao																				
10030905		0.05	1.2		4	-1			-1									1	0																											FxR1LifuAttack51Dandao																				
10030906		0.1	1.2		4	-1			-1									1	0																											FxR1LifuAttack51Dandao																				
10031301			0.1		4	-1			-1									1	0																											10031301																				
10031401			0.1		4	-1			-1									1	0																											10031401																				
10031501			1.5		4	-1	1	0.05	-1									1	0																											FxR1LifuAttack31Dandao																				
10031502			1.6		4	-1	1	0.5	-1									1	0																											10031502																				
10031503		1.5	0.1		4	-1			-1									1	0																											FxR1LifuAttack31Zha																				
10031601			2.5		4	-1	1	0.05	-1									1	0																											FxR1LifuAttack32Dandao																				
10031602			2.6		4	-1	1	0.5	-1									1	0																											10031602																				
10031603		2.5	0.1		4	-1			-1									1	0																											FxR1LifuAttack32Zha																				
10031701			1.5		4	-1	1	0.05	-1									1	0																											FxR1LifuAttack31Dandao																				
10031702			1.6		4	-1	1	0.3	-1									1	0																											10031702																				
10031703		1.5	0.1		4	-1			-1									1	0																											FxR1LifuAttack31Zha																				
10031801			2		3	-1			-1									1	0																											10031801																				
10031901			2		3	-1			-1									1	0																											10031901																				
10032001			2		3	-1			-1									1	0																											10032001																				
10032002		0.2	2		4	-1			-1									1	0																											10032001																				
10032003		0.5	2		4	-1			-1									1	0																											10032001																				
