Key	Type	Value
MissionQuality2	string	Assets/Product/Texture/Atlas/IconMissionQuality/MissionQuality2.png
MissionQuality3	string	Assets/Product/Texture/Atlas/IconMissionQuality/MissionQuality3.png
MissionQuality4	string	Assets/Product/Texture/Atlas/IconMissionQuality/MissionQuality4.png
MissionQuality5	string	Assets/Product/Texture/Atlas/IconMissionQuality/MissionQuality5.png
TaskDailyActiveReach1	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveReach1.png
TaskDailyActiveReach2	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveReach2.png
TaskDailyActiveReach3	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveReach3.png
TaskDailyActiveReach4	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveReach4.png
TaskDailyActiveReach5	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveReach5.png
TaskDailyActiveNotReach1	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveNotReach1.png
TaskDailyActiveNotReach2	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveNotReach1.png
TaskDailyActiveNotReach3	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveNotReach1.png
TaskDailyActiveNotReach4	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveNotReach1.png
TaskDailyActiveNotReach5	string	Assets/Product/Texture/Atlas/UiTask/TaskDailyActiveNotReach1.png
GuildContributeRankFlag1	string	Assets/Product/Texture/Image/UiGuild/UiGuildRank1.png
GuildContributeRankFlag2	string	Assets/Product/Texture/Image/UiGuild/UiGuildRank2.png
GuildContributeRankFlag3	string	Assets/Product/Texture/Image/UiGuild/UiGuildRank3.png
GuildContributeRankFlag4	string	Assets/Product/Texture/Image/UiGuild/UiGuildRank4.png
GuildContributeRankFlag5	string	Assets/Product/Texture/Image/UiGuild/UiGuildRank5.png
GridRepeatChallengeStage	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridRepeatChallengeStage.prefab
GridRepeatChallengeStageSquare	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridRepeatChallengeStageSquare.prefab
GridBranchStageChallengeVertical	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridBranchStageChallengeVertical.prefab
GridBranchStageSquare	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridBranchStageSquare.prefab
GridBranchStageRectangle	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridBranchStageRectangle.prefab
GridStageSquare	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageSquare.prefab
GridStageRectangle	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageRectangle.prefab
GridStageSquareMW	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageSquareMW.prefab
GridStageRectangleMW	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageRectangleMW.prefab
GridPrequelStage	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridPrequelStage.prefab
GridAssignChapter	string	Assets/Product/Ui/ComponentPrefab/FubenAssign/GridAssignChapter.prefab
GridAssignStage	string	Assets/Product/Ui/ComponentPrefab/FubenAssign/GridAssignStage.prefab
GridActivityBossSingleStage	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridActivityBossSingleStage.prefab
GuideData	string	Assets/Product/Behavior/Guide/GuideData.bytes
DormitoryCharData	string	Assets/Product/Behavior/Dormitory/Character/CharacterData.bytes
DormitoryFurniData	string	Assets/Product/Behavior/Dormitory/Furniture/FurnitureData.bytes
UiFightTopInfectionPrefab	string	Assets/Product/Ui/UiFightPrefab/UiFightTopNoiseBar.prefab
UiDebuggerBehaviourTree	string	Assets/Product/Ui/Prefab/UiDebuggerBehaviourTree.prefab
UiDebuggerCheat	string	Assets/Product/Ui/Prefab/UiDebuggerCheat.prefab
UiDebuggerConsole	string	Assets/Product/Ui/Prefab/UiDebuggerConsole.prefab
UiDebuggerDps	string	Assets/Product/Ui/Prefab/UiDebuggerDps.prefab
UiDebuggerFubenList	string	Assets/Product/Ui/Prefab/UiDebuggerFubenList.prefab
UiDebuggerGm	string	Assets/Product/Ui/Prefab/UiDebuggerGm.prefab
UiDebuggerGraphic	string	Assets/Product/Ui/Prefab/UiDebuggerGraphic.prefab
UiDebuggerMissile	string	Assets/Product/Ui/Prefab/UiDebuggerMissile.prefab
UiDebuggerMultiplayerFightLagLossPacket	string	Assets/Product/Ui/Prefab/UiDebuggerMultiplayerFightLagLossPacket.prefab
UiDebuggerMultiplayerFight	string	Assets/Product/Ui/Prefab/UiDebuggerMultiplayerFight.prefab
UiDebuggerNpcCustom	string	Assets/Product/Ui/Prefab/UiDebuggerNpcCustom.prefab
UiDebuggerNpcFight	string	Assets/Product/Ui/Prefab/UiDebuggerNpcFight.prefab
UiDebuggerNpcList	string	Assets/Product/Ui/Prefab/UiDebuggerNpcList.prefab
UiDebuggerReplay	string	Assets/Product/Ui/Prefab/UiDebuggerReplay.prefab
UiDebuggerStoryList	string	Assets/Product/Ui/Prefab/UiDebuggerStoryList.prefab
UiDebuggerDormTemplate	string	Assets/Product/Ui/Prefab/UiDebuggerDormTemplate.prefab
UiDamageNumericalRecordPanel	string	Assets/Product/Ui/Prefab/UiDamageNumericalRecordPanel.prefab
UiDebuggerDamageStatisticsPanel	string	Assets/Product/Ui/Prefab/UiDebuggerDamageStatisticsPanel.prefab
UiDebuggerDamageContext	string	Assets/Product/Ui/Prefab/UiDebuggerDamageContext.prefab
UiDebuggerFightNumerical	string	Assets/Product/Ui/Prefab/UiDebuggerFightNumerical.prefab
UiDebuggerFightShortcut	string	Assets/Product/Ui/Prefab/UiDebuggerFightShortcut.prefab
UiDebuggerFightBuff	string	Assets/Product/Ui/Prefab/UiDebuggerFightBuff.prefab
UiVideoDebug	string	Assets/Product/Ui/Prefab/UiVideoDebug.prefab
UiDebuggerGyro	string	Assets/Product/Ui/Prefab/UiDebuggerGyro.prefab
IceTex	string	Assets/Product/Common/IceTex.png
Noise	string	Assets/Product/Common/Noise.png
ComponentDebuggerSwitch	string	Assets/Product/Ui/ComponentPrefab/Debuger/BtnDebugSwitch.prefab
UiDebugger	string	Assets/Product/Ui/Prefab/UiDebugger.prefab
XGridMatPath	string	Assets/Product/Common/XRoomGrid.mat
RenderConst	string	Assets/Product/Common/RenderConst.asset
FightWallCameraDitherDetector	string	Assets/Product/Common/FightWallCameraDitherDetector.prefab
FogNoiseTex	string	Assets/Product/Common/FogNoiseTex.png
CameraBlends	string	Assets/Product/Common/CameraBlends.asset
XShadowVolume	string	Assets/Product/Common/XShadowVolume.mat
UiRoot	string	Assets/Product/Ui/Prefab/UiRoot.prefab
UiMask	string	Assets/Product/Ui/Prefab/UiMask.prefab
PurchaseYKTotalCount	int	2
PurchaseYKLimtCount	int	30
DormDrawGroudId	int	6
DormDrawGroudPath	string	Assets/Product/Ui/ComponentPrefab/DrawBackGround/DrawBackGround01.prefab
DormComfortTime	int	2000
FurnitureImgS10	string	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS10.png
FurnitureImgS20	string	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS20.png
FurnitureImgS5	string	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS5.png
FurnitureImgS21	string	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS21.png
FurnitureImgS22	string	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS22.png
FurnitureImgS6	string	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS6.png
DormMainAnimationMoveTime	int	600
DormMainAnimationStaicTime	int	200
DormGroundGridMeshHighOffset	float	0.05
DormSecondAnimationDelayTime	int	600
PurchaseCardId	int	83028
CustomerServiceUrl	string	http://kf.yingxiong.com/kf2.0/user-center?game_id=186
FurnitureImgS8	string	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS8.png
FightPreloadRate	float	0.5
FurnitureImgS11	string	Assets/Product/Texture/Atlas/UiDorm/FurnitureImgS11.png
FavorabilitySkipSize	int	2
FavorabilitySkip1	int	10027
FavorabilitySkip2	int	10028
FavorabilitySkip3	int	4002
FavorabilitySkip4	int	4000
FightQualityStageId	int	10010001
FightKeyStageId	int	10010101
SpecialScreenOff	float	50
SelfNumSmall	int	20
SelfNumMiddle	int	30
SelfNumBig	int	45
ChannelInfoRefreshMin	int	1
ChannelChangeFadeTime	int	1
NewUserMovieId	string	ZX00000BA
IsShowChannelNumber	int	0
MedalStoryId	int	1100145
DrawLogLimit	int	10
NoticePathPrefix	string	client/notice/config/
UnloadNpcTime	int	10000
UnloadWeaponTime	int	5000
SelfNumDefault	int	100
GameLogo	string	Assets/Product/Texture/Image/Logo/CommonGameLogo.png
DormAttrFormat	string	<color=%s><size=30> %s%d</size></color>
DormSuitBgmDesc	string	Place <color=#0E70BDFF>%s</color> different set decors in room to %s unlock BGM <color=#0E70BDFF>[%s]</color>
DormSuitBgmTitleDesc	string	<size=30><color=#0E70BDFF>Set bonus</color></size>
MaxNameLength	int	12
MaxSignLength	int	30
ExhibitionLevelPoint_01	int	1
ExhibitionLevelPoint_02	int	1
ExhibitionLevelPoint_03	int	1
ExhibitionLevelPoint_04	int	1
DefaultDynamicJoystick	int	0
DefaultFocusType	int	3
DefaultFocusButton	int	1
DefaultInviteButton	int	1
DefaultWeaponTransType	int	2
DefaultRechargeType	int	2
FubenBabelTowerBannerBg	string	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner06.png
TipBatteryLeftTime	int	259200
TipTimeLimitItemsLeftTime	int	1728000
BabelTowerBuffShowTime	int	300
BabelTowerBuffShowRate	int	9
BabelTowerBuffDisappearTime	int	1500
BabelTowerMaxChallengeBuff	int	15
BabelTowerMaxSupportBuff	int	10
FightCoLoadRate	int	3
FightCoLoadMaxDT	float	0.0666667
FightCoLoadMinDT	float	0.04
MailWillFullCount	int	70
GuildNameMinLen	int	1
GuildNameMaxLen	int	16
GuildDeclarMaxLen	int	100
GuildVistorCountMax	int	10
GuildDormMapGridAssetUrl	string	Assets/Product/Common/HomeMapManager.prefab
GuildDormMainSceneName	string	Guild01
GuildDormMainScenePrefabPath	string	Assets/Product/Scene/ScenePrefab/Guild01.prefab
LovelCommunicateStartTime	string	1613160000
LovelCommunicateEndTime	string	1613487540
CommunicateReplaceStr	string	KURONAME
UIRepeatChallengeNewChapterNumIconPath1	string	Assets/Product/Texture/Atlas/UiFushuaguan/Num1.png
UIRepeatChallengeNewChapterNumIconPath2	string	Assets/Product/Texture/Atlas/UiFushuaguan/Num2.png
UIRepeatChallengeNewChapterNumIconPath3	string	Assets/Product/Texture/Atlas/UiFushuaguan/Num3.png
UIRepeatChallengeNewChapterNumIconPath4	string	Assets/Product/Texture/Atlas/UiFushuaguan/Num4.png
UIRepeatChallengeNewChapterNumIconPath5	string	Assets/Product/Texture/Atlas/UiFushuaguan/Num5.png
SelectReplicatedGiftMinusBtnLongClickTime	int	250
GuildFiltrateCount	int	100
GuildFiltrateShowCount	int	15
WeaponResonanceShowDelay	int	200
RogueLikeTeamMemberCount	int	3
RogueLikeUnknowRobot	string	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeIconZyjs.png
RogueLikeNormalNode	string	Assets/Product/Ui/ComponentPrefab/FubenRogueLike/FubenRogueLikeLevel.prefab
RogueLikeBossNode	string	Assets/Product/Ui/ComponentPrefab/FubenRogueLike/FubenRogueLikeBossLevel.prefab
RogueLikeChallengeCoin	int	60300
RogueLikePumpkinCoin	int	60301
RogueLikeKeepsakeCoin	int	60302
RogueLikeCheckLineSwitch	int	0
FubenRogueLikeBannerBg	string	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner08.png
RogueLikeTabFightNor	string	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeTabNor01.png
RogueLikeTabFightElite	string	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeTabNor02.png
RogueLikeTabFightBoss	string	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeTabNor03.png
RogueLikeTabBox	string	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeTabNor05.png
RogueLikeTabRest	string	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeTabNor06.png
RogueLikeTabShop	string	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeTabNor04.png
RogueLikeTabEvent	string	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeTabNor07.png
RogueLikeDisTabNor	string	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeTab01.png
RogueLikeDisTabElite	string	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeTab02.png
RogueLikeDisTabBoss	string	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeTab03.png
RogueLikeDisTabShop	string	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeTab04.png
RogueLikeDisTabBox	string	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeTab05.png
RogueLikeDisTabRest	string	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeTab06.png
RogueLikeDisTabEvent	string	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeTab07.png
ActivityShopItemTextCanBuyColor	string	ffffffff
ActivityShopItemTextCanNotBuyColor	string	ff0000ff
NierShopItemTextCanBuyColor	string	ffffffff
NierShopItemTextCanNotBuyColor	string	ff8f75ff
ActivityBriefMovie	int	0
RogueLikeNodeAnimTime	int	5
ArchiveAwarenessShowDelayTime	int	0
ArchiveWeaponShowDelayTime	int	10
ArchiveAwarenessSiteBgPath1	string	Assets/Product/Texture/Atlas/UiFushuaguan/Num1.png
ArchiveAwarenessSiteBgPath2	string	Assets/Product/Texture/Atlas/UiFushuaguan/Num2.png
ArchiveAwarenessSiteBgPath3	string	Assets/Product/Texture/Atlas/UiFushuaguan/Num3.png
ArchiveAwarenessSiteBgPath4	string	Assets/Product/Texture/Atlas/UiFushuaguan/Num4.png
ArchiveAwarenessSiteBgPath5	string	Assets/Product/Texture/Atlas/UiFushuaguan/Num5.png
ArchiveAwarenessSiteBgPath6	string	Assets/Product/Texture/Atlas/UiArchive/UiArchiveNum6.png
ArchiveEvaluateOnForAll	int	1
GuildChannelMaxCount	int	500
BabelTowerRankIcon1	string	Assets/Product/Texture/Image/UiFubenChallengeMapBoss/BossSingleNo1.png
BabelTowerRankIcon2	string	Assets/Product/Texture/Image/UiFubenChallengeMapBoss/BossSingleNo2.png
BabelTowerRankIcon3	string	Assets/Product/Texture/Image/UiFubenChallengeMapBoss/BossSingleNo3.png
MoeWarScheduleIcon1	string	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarScheduleRoleIcon01.png
MoeWarScheduleIcon2	string	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarScheduleRoleIcon02.png
MoeWarScheduleIcon3	string	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarScheduleRoleIcon03.png
MoeWarScheduleSupportIcon	string	Assets/Product/Texture/Image/IconTools/IconMoeWarSupport.png
MoeWarVoteReawrdIcon	string	Assets/Product/Texture/Image/IconTools/IconMoeWarWhistle.png
MoeWarVoteEndShiftTime	int	300
MoeWarGachaItem	int	62514
MoeWarGachaItemNum	int	700
WindowsInlayAddress	string	https://www.bilibili.com/blackboard/activity-zsxc.html
RegressionTaskScheduleProgressAnimTime	int	2
RegressionRequestInvitationMsgInternalTime	int	30
RegressionRequestUseInvitationCodeInternalTime	int	5
RegressionMainViewFreshTimeInterval	int	30
UiMainLowPowerValue	float	0.2
PicCompositionEditIcon	string	Assets/Product/Texture/Image/Role/RoleHeadJiaru.png
PicCompositionMemoMax	int	5
PicCompositionErrorKey	string	ProductCommentContentIllegal
StealthRoleIndicator	string	Assets/Product/Ui/UiFightPrefab/UiFightWatching.prefab
StealthTargetIndicator1	string	Assets/Product/Ui/UiFightPrefab/FightWatchingTip1.prefab
StealthTargetIndicator2	string	Assets/Product/Ui/UiFightPrefab/FightWatchingTip2.prefab
StealthRoleTypeGOName1	string	Watching
StealthRoleTypeGOName2	string	Found
StealthTargetFillBarName	string	Watching
StealthTargetMarkCase	string	MarkCase
StealthTargetAssetScale	float	2
StealthTargetOffsetY	float	1.3
PicCompositionGetMaxCount	int	20
FubenRepeatChallengeExCostItemId	int	0
LockStoryIconAspectRatio	float	1.778
GuildRefreshRecruitTime	int	5
GuildNewsMaxCount	int	5
GuildAnnouncementMaxLen	int	100
GuildInterComMaxLen	int	50
ShopCanBuyColor	string	000000ff
ShopCanNotBuyColor	string	ff0000ff
MusicPlayerSpectrumIntervalTime	int	60
MusicPlayerSpectrumBandNum	int	64
MusicPlayerSpectrumLogBandNum	int	60
MusicPlayerSpectrumBaseHeight	float	6
MusicPlayerSpectrumMinHeight	float	2
MusicPlayerSpectrumMaxHeight	float	84
MusicPlayerSpectrumIgnoreFrequencyCount	int	1
MusicPlayerMainViewTextMoveSpeed	float	70
MusicPlayerMainViewTextMovePauseInterval	float	2
MusicPlayerMainViewTextScheduleInterval	int	2000
MusicPlayerMainViewNeedPlayedAlbumId	int	1
NoticeMediumFontSize	int	20
MainLineStageMaxCount	int	25
MainLineExploreStageMaxCount	int	40
GuildMainInfoRefreshTime	int	5
GridStageSquareEx	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageSquareEx.prefab
GridStageRectangleEx	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageRectangleEx.prefab
GridStageFwSquare	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFwSquare.prefab
GridStageFwRectangle	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFwRectangle.prefab
GridStageFwSquareEx	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFwSquareEx.prefab
GridStageFwRectangleEx	string	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageFwRectangleEx.prefab
CommunicationGiftMaxCount	int	999
UnionPraiseInterval	int	30
UnionRankRequestInterval	int	20
UnionAllReadyInterval	int	30
UiActivityBriefBaseSpineAnimPath	string	Assets/Product/Ui/Spine/ActivitySpineLogin.prefab
UiLoginSpineAnimPath	string	Assets/Product/Ui/Spine/SpineLogin.prefab
GuildRankIcon1	string	Assets/Product/Texture/Image/Common/CommonSekuai1.png
GuildRankIcon2	string	Assets/Product/Texture/Image/Common/CommonSekuai1.png
GuildRankIcon3	string	Assets/Product/Texture/Image/Common/CommonSekuai1.png
GuildRankIcon4	string	Assets/Product/Texture/Image/Common/CommonSekuai1.png
GuildRankIcon5	string	Assets/Product/Texture/Image/Common/CommonSekuai1.png
GuildCustomNameLimit	int	6
GuildReqRecommandCdTime	int	10
GridFubenInfestorExploreStageFog	string	Assets/Product/Ui/ComponentPrefab/FubenInfestorExplore/GridFubenInfestorExploreStageFog.prefab
GridFubenInfestorExploreStagePassed	string	Assets/Product/Ui/ComponentPrefab/FubenInfestorExplore/GridFubenInfestorExploreStagePassed.prefab
GridFubenInfestorExploreStageReach	string	Assets/Product/Ui/ComponentPrefab/FubenInfestorExplore/GridFubenInfestorExploreStageReach.prefab
GridFubenInfestorExploreStageCurrent	string	Assets/Product/Ui/ComponentPrefab/FubenInfestorExplore/GridFubenInfestorExploreStageCurrent.prefab
GridFubenInfestorExploreStageUnReach	string	Assets/Product/Ui/ComponentPrefab/FubenInfestorExplore/GridFubenInfestorExploreStageUnReach.prefab
GridFubenInfestorExploreOccupiedPlayerPreafab	string	Assets/Product/Ui/ComponentPrefab/FubenInfestorExplore/GridFubenInfestorExploreRole.prefab
UiInfestorExploreCoreGold	string	Assets/Product/Texture/Atlas/UiInfestorExplore/UiInfestorExploreCoreGold.png
UiInfestorExploreCorePurple	string	Assets/Product/Texture/Atlas/UiInfestorExplore/UiInfestorExploreCorePurple.png
