Id	Title	Width	Height	VideoUrl	VideoUrlPc
10042	Rapper One to Two	1920	960	External/Video/Movie10043.usm	External/Video/Movie10043PcEn.usm
10043	Rapper Two to Three	1920	960	External/Video/Movie10044.usm	External/Video/Movie10044PcEn.usm
10044	Pulao's Sword Dance	1920	804	External/Video/Movie10041.usm	External/Video/Movie10041PcEn.usm
10045	Mecha Nanami Update Animated Cutscene	1920	804	External/Video/Movie10045.usm	External/Video/Movie10045PcEn.usm
10051	Haicma Boss Battle Animated Cutscene	1920	980	External/Video/Movie10051.usm	External/Video/Movie10051PcEn.usm
10052	Haicma Update Animated Cutscene	1920	804	External/Video/Movie10052.usm	External/Video/Movie10052PcEn.usm
10053	Karenina BOSS Entrance	1920	960	External/Video/Movie10053.usm	External/Video/Movie10053PcEn.usm
10054	Karenina BOSS Exclusive Phase	1920	960	External/Video/Movie10054.usm	External/Video/Movie10054PcEn.usm
10055	Super Karenina Update Animated Cutscene	1920	804	External/Video/Movie10055.usm	External/Video/Movie10055PcEn.usm
10056	Noan Update Animated Cutscene	1920	804	External/Video/Movie10056.usm	External/Video/Movie10056PcEn.usm
10057	Bianca Version Lithos Start Cutscene	1920	960	External/Video/Movie10057.usm	External/Video/Movie10057PcEn.usm
10058	Bianca Version Lithos Cutscene	1920	960	External/Video/Movie10058.usm	External/Video/Movie10058PcEn.usm
10059	Bianca Version Lithos Ending Cutscene	1920	960	External/Video/Movie10059.usm	External/Video/Movie10059PcEn.usm
10060	Bianca Version Hetero-Humanoid: Chiko Boss End	1920	960	External/Video/Movie10060.usm	External/Video/Movie10060PcEn.usm
10061	Bianca Version Hetero-Humanoid: Chiko Boss Start	1920	960	External/Video/Movie10061.usm	External/Video/Movie10061PcEn.usm
10063	Bianca Version Elite Enemy Battle End	1920	960	External/Video/Movie10063.usm	External/Video/Movie10063PcEn.usm
10064	Bianca Version Aquarium Collapse	1920	804	External/Video/Movie10064.usm	External/Video/Movie10064PcEn.usm
10065	Bambinata Update Story Cutscene 1	1920	804	External/Video/Movie10065.usm	External/Video/Movie10065PcEn.usm
10066	Bambinata Update Story Cutscene 2	1920	960	External/Video/Movie10066.usm	External/Video/Movie10066PcEn.usm
10067	Lee: Hyperreal_Battle_Tifa Crown Change	1920	960	External/Video/Movie10067.usm	External/Video/Movie10067.usm
10068	Lee: Hyperreal_Battle_Lee's Space Rift	1920	960	External/Video/Movie10068.usm	External/Video/Movie10068.usm
10069	Lee: Hyperreal_Battle_The Merciful One Enters	1920	960	External/Video/Movie10069.usm	External/Video/Movie10069.usm
10070	Lee: Hyperreal_Battle_The Merciful One Phase Change	1920	960	External/Video/Movie10070.usm	External/Video/Movie10070.usm
10071	Lee: Hyperreal_Story_Lee Calculation & Navigation	1920	804	External/Video/Movie10071.usm	External/Video/Movie10071.usm
10072	3rd Year Anniversary S Ayla Version_Story Cutscene	1920	804	External/Video/Movie10072.usm	External/Video/Movie10072.usm
20001	Bianca Version Prologue Cutscene 1	1920	1080	External/Video/Movie20001.usm	External/Video/Movie20001PcEn.usm
20002	Bianca Version Prologue Cutscene 2	1920	1080	External/Video/Movie20002.usm	External/Video/Movie20002PcEn.usm
