Id	GroupItemId	HasLeave	IsEnd	OptionDesc[1]	OptionDesc[2]	OptionDesc[3]	OptionDesc[4]
1330	127			[Continue]	[Continue]	[Continue]	
1331	132			[Continue]	[Continue]	[Continue]	
1332	137			[Continue]	[Continue]	[Continue]	
1333	142			[Continue]	[Continue]	[Continue]	
1334	147			[Continue]	[Continue]		
1335	152			[Continue]	[Continue]		
1336	155			[Continue]	[Continue]		
1337	158			[Continue]	[Continue]		
1338	161			[Continue]	[Continue]	[Continue]	[Continue]
1339	168			[Continue]	[Continue]	[Continue]	[Continue]
1401	1			[Continue]	[Continue]	[Continue]	
1402	5			[Continue]	[Continue]	[Continue]	
1403	9			[Continue]	[Continue]	[Continue]	
1404	13			[Continue]	[Continue]	[Continue]	
1405	17			[Continue]	[Continue]	[Continue]	
1406	21			[Continue]	[Continue]	[Continue]	
1407	25			[Continue]	[Continue]	[Continue]	
1408	29			[Continue]	[Continue]	[Continue]	
1409	33			[Continue]	[Continue]	[Continue]	
1410	37			[Continue]	[Continue]	[Continue]	
1411	41			[Continue]	[Continue]	[Continue]	
1412	45			[Continue]	[Continue]	[Continue]	
1413	49			[Continue]	[Continue]	[Continue]	
1414	53			[Continue]	[Continue]	[Continue]	
1415	57			[Continue]	[Continue]	[Continue]	
1416	61			[Continue]	[Continue]	[Continue]	
1417	65			[Continue]	[Continue]	[Continue]	
1418	69			[Continue]	[Continue]	[Continue]	
1419	73			[Continue]	[Continue]	[Continue]	
1420	77			[Continue]	[Continue]	[Continue]	
1421	81			[Continue]	[Continue]	[Continue]	[Continue]
1422	87			[Continue]	[Continue]	[Continue]	
1423	92			[Continue]	[Continue]	[Continue]	
1424	97			[Continue]	[Continue]	[Continue]	
1425	102			[Continue]	[Continue]	[Continue]	
1426	107			[Continue]	[Continue]	[Continue]	
1427	112			[Continue]	[Continue]	[Continue]	
1428	117			[Continue]	[Continue]	[Continue]	
1429	122			[Continue]	[Continue]	[Continue]	
1430	127			[Continue]	[Continue]	[Continue]	
1431	132			[Continue]	[Continue]	[Continue]	
1432	137			[Continue]	[Continue]	[Continue]	
1433	142			[Continue]	[Continue]	[Continue]	
1434	147			[Continue]	[Continue]		
1435	152			[Continue]	[Continue]		
1436	155			[Continue]	[Continue]		
1437	158			[Continue]	[Continue]		
1438	161			[Continue]	[Continue]	[Continue]	[Continue]
1439	168			[Continue]	[Continue]	[Continue]	[Continue]
1501	1			[Continue]	[Continue]	[Continue]	
1502	5			[Continue]	[Continue]	[Continue]	
1503	9			[Continue]	[Continue]	[Continue]	
1504	13			[Continue]	[Continue]	[Continue]	
1505	17			[Continue]	[Continue]	[Continue]	
1506	21			[Continue]	[Continue]	[Continue]	
1507	25			[Continue]	[Continue]	[Continue]	
1508	29			[Continue]	[Continue]	[Continue]	
1509	33			[Continue]	[Continue]	[Continue]	
1510	37			[Continue]	[Continue]	[Continue]	
1511	41			[Continue]	[Continue]	[Continue]	
1512	45			[Continue]	[Continue]	[Continue]	
1513	49			[Continue]	[Continue]	[Continue]	
1514	53			[Continue]	[Continue]	[Continue]	
1515	57			[Continue]	[Continue]	[Continue]	
1516	61			[Continue]	[Continue]	[Continue]	
1517	65			[Continue]	[Continue]	[Continue]	
1518	69			[Continue]	[Continue]	[Continue]	
1519	73			[Continue]	[Continue]	[Continue]	
1520	77			[Continue]	[Continue]	[Continue]	
1521	81			[Continue]	[Continue]	[Continue]	[Continue]
1522	87			[Continue]	[Continue]	[Continue]	
1523	92			[Continue]	[Continue]	[Continue]	
1524	97			[Continue]	[Continue]	[Continue]	
1525	102			[Continue]	[Continue]	[Continue]	
1526	107			[Continue]	[Continue]	[Continue]	
1527	112			[Continue]	[Continue]	[Continue]	
1528	117			[Continue]	[Continue]	[Continue]	
1529	122			[Continue]	[Continue]	[Continue]	
1530	127			[Continue]	[Continue]	[Continue]	
1531	132			[Continue]	[Continue]	[Continue]	
1532	137			[Continue]	[Continue]	[Continue]	
1533	142			[Continue]	[Continue]	[Continue]	
1534	147			[Continue]	[Continue]		
1535	152			[Continue]	[Continue]		
1536	155			[Continue]	[Continue]		
1537	158			[Continue]	[Continue]		
1538	161			[Continue]	[Continue]	[Continue]	[Continue]
1539	168			[Continue]	[Continue]	[Continue]	[Continue]
1601	1			[Continue]	[Continue]	[Continue]	
1602	5			[Continue]	[Continue]	[Continue]	
1603	9			[Continue]	[Continue]	[Continue]	
1604	13			[Continue]	[Continue]	[Continue]	
1605	17			[Continue]	[Continue]	[Continue]	
1606	21			[Continue]	[Continue]	[Continue]	
1607	25			[Continue]	[Continue]	[Continue]	
1608	29			[Continue]	[Continue]	[Continue]	
1609	33			[Continue]	[Continue]	[Continue]	
1610	37			[Continue]	[Continue]	[Continue]	
1611	41			[Continue]	[Continue]	[Continue]	
1612	45			[Continue]	[Continue]	[Continue]	
1613	49			[Continue]	[Continue]	[Continue]	
1614	53			[Continue]	[Continue]	[Continue]	
1615	57			[Continue]	[Continue]	[Continue]	
1616	61			[Continue]	[Continue]	[Continue]	
1617	65			[Continue]	[Continue]	[Continue]	
1618	69			[Continue]	[Continue]	[Continue]	
1619	73			[Continue]	[Continue]	[Continue]	
1620	77			[Continue]	[Continue]	[Continue]	
1621	81			[Continue]	[Continue]	[Continue]	[Continue]
1622	87			[Continue]	[Continue]	[Continue]	
1623	92			[Continue]	[Continue]	[Continue]	
1624	97			[Continue]	[Continue]	[Continue]	
1625	102			[Continue]	[Continue]	[Continue]	
1626	107			[Continue]	[Continue]	[Continue]	
1627	112			[Continue]	[Continue]	[Continue]	
1628	117			[Continue]	[Continue]	[Continue]	
1629	122			[Continue]	[Continue]	[Continue]	
1630	127			[Continue]	[Continue]	[Continue]	
1631	132			[Continue]	[Continue]	[Continue]	
1632	137			[Continue]	[Continue]	[Continue]	
1633	142			[Continue]	[Continue]	[Continue]	
1634	147			[Continue]	[Continue]		
1635	152			[Continue]	[Continue]		
1636	155			[Continue]	[Continue]		
1637	158			[Continue]	[Continue]		
1638	161			[Continue]	[Continue]	[Continue]	[Continue]
1639	168			[Continue]	[Continue]	[Continue]	[Continue]
1701	1			[Continue]	[Continue]	[Continue]	
1702	5			[Continue]	[Continue]	[Continue]	
1703	9			[Continue]	[Continue]	[Continue]	
1704	13			[Continue]	[Continue]	[Continue]	
1705	17			[Continue]	[Continue]	[Continue]	
1706	21			[Continue]	[Continue]	[Continue]	
1707	25			[Continue]	[Continue]	[Continue]	
1708	29			[Continue]	[Continue]	[Continue]	
1709	33			[Continue]	[Continue]	[Continue]	
1710	37			[Continue]	[Continue]	[Continue]	
1711	41			[Continue]	[Continue]	[Continue]	
1712	45			[Continue]	[Continue]	[Continue]	
1713	49			[Continue]	[Continue]	[Continue]	
1714	53			[Continue]	[Continue]	[Continue]	
1715	57			[Continue]	[Continue]	[Continue]	
1716	61			[Continue]	[Continue]	[Continue]	
1717	65			[Continue]	[Continue]	[Continue]	
1718	69			[Continue]	[Continue]	[Continue]	
1719	73			[Continue]	[Continue]	[Continue]	
1720	77			[Continue]	[Continue]	[Continue]	
1721	81			[Continue]	[Continue]	[Continue]	[Continue]
1722	87			[Continue]	[Continue]	[Continue]	
1723	92			[Continue]	[Continue]	[Continue]	
1724	97			[Continue]	[Continue]	[Continue]	
1725	102			[Continue]	[Continue]	[Continue]	
1726	107			[Continue]	[Continue]	[Continue]	
1727	112			[Continue]	[Continue]	[Continue]	
1728	117			[Continue]	[Continue]	[Continue]	
1729	122			[Continue]	[Continue]	[Continue]	
1730	127			[Continue]	[Continue]	[Continue]	
1731	132			[Continue]	[Continue]	[Continue]	
1732	137			[Continue]	[Continue]	[Continue]	
1733	142			[Continue]	[Continue]	[Continue]	
1734	147			[Continue]	[Continue]		
1735	152			[Continue]	[Continue]		
1736	155			[Continue]	[Continue]		
1737	158			[Continue]	[Continue]		
1738	161			[Continue]	[Continue]	[Continue]	[Continue]
1739	168			[Continue]	[Continue]	[Continue]	[Continue]
1801	1			[Continue]	[Continue]	[Continue]	
1802	5			[Continue]	[Continue]	[Continue]	
1803	9			[Continue]	[Continue]	[Continue]	
1804	13			[Continue]	[Continue]	[Continue]	
1805	17			[Continue]	[Continue]	[Continue]	
1806	21			[Continue]	[Continue]	[Continue]	
1807	25			[Continue]	[Continue]	[Continue]	
1808	29			[Continue]	[Continue]	[Continue]	
1809	33			[Continue]	[Continue]	[Continue]	
1810	37			[Continue]	[Continue]	[Continue]	
1811	41			[Continue]	[Continue]	[Continue]	
1812	45			[Continue]	[Continue]	[Continue]	
1813	49			[Continue]	[Continue]	[Continue]	
1814	53			[Continue]	[Continue]	[Continue]	
1815	57			[Continue]	[Continue]	[Continue]	
1816	61			[Continue]	[Continue]	[Continue]	
1817	65			[Continue]	[Continue]	[Continue]	
1818	69			[Continue]	[Continue]	[Continue]	
1819	73			[Continue]	[Continue]	[Continue]	
1820	77			[Continue]	[Continue]	[Continue]	
1821	81			[Continue]	[Continue]	[Continue]	[Continue]
1822	87			[Continue]	[Continue]	[Continue]	
1823	92			[Continue]	[Continue]	[Continue]	
1824	97			[Continue]	[Continue]	[Continue]	
1825	102			[Continue]	[Continue]	[Continue]	
1826	107			[Continue]	[Continue]	[Continue]	
1827	112			[Continue]	[Continue]	[Continue]	
1828	117			[Continue]	[Continue]	[Continue]	
1829	122			[Continue]	[Continue]	[Continue]	
1830	127			[Continue]	[Continue]	[Continue]	
1831	132			[Continue]	[Continue]	[Continue]	
1832	137			[Continue]	[Continue]	[Continue]	
1833	142			[Continue]	[Continue]	[Continue]	
1834	147			[Continue]	[Continue]		
1835	152			[Continue]	[Continue]		
1836	155			[Continue]	[Continue]		
1837	158			[Continue]	[Continue]		
1838	161			[Continue]	[Continue]	[Continue]	[Continue]
1839	168			[Continue]	[Continue]	[Continue]	[Continue]
1901	1			[Continue]	[Continue]	[Continue]	
1902	5			[Continue]	[Continue]	[Continue]	
1903	9			[Continue]	[Continue]	[Continue]	
1904	13			[Continue]	[Continue]	[Continue]	
1905	17			[Continue]	[Continue]	[Continue]	
1906	21			[Continue]	[Continue]	[Continue]	
1907	25			[Continue]	[Continue]	[Continue]	
1908	29			[Continue]	[Continue]	[Continue]	
1909	33			[Continue]	[Continue]	[Continue]	
1910	37			[Continue]	[Continue]	[Continue]	
1911	41			[Continue]	[Continue]	[Continue]	
1912	45			[Continue]	[Continue]	[Continue]	
1913	49			[Continue]	[Continue]	[Continue]	
1914	53			[Continue]	[Continue]	[Continue]	
1915	57			[Continue]	[Continue]	[Continue]	
1916	61			[Continue]	[Continue]	[Continue]	
1917	65			[Continue]	[Continue]	[Continue]	
1918	69			[Continue]	[Continue]	[Continue]	
1919	73			[Continue]	[Continue]	[Continue]	
1920	77			[Continue]	[Continue]	[Continue]	
1921	81			[Continue]	[Continue]	[Continue]	[Continue]
1922	87			[Continue]	[Continue]	[Continue]	
1923	92			[Continue]	[Continue]	[Continue]	
1924	97			[Continue]	[Continue]	[Continue]	
1925	102			[Continue]	[Continue]	[Continue]	
1926	107			[Continue]	[Continue]	[Continue]	
1927	112			[Continue]	[Continue]	[Continue]	
1928	117			[Continue]	[Continue]	[Continue]	
1929	122			[Continue]	[Continue]	[Continue]	
1930	127			[Continue]	[Continue]	[Continue]	
1931	132			[Continue]	[Continue]	[Continue]	
1932	137			[Continue]	[Continue]	[Continue]	
1933	142			[Continue]	[Continue]	[Continue]	
1934	147			[Continue]	[Continue]		
1935	152			[Continue]	[Continue]		
1936	155			[Continue]	[Continue]		
1937	158			[Continue]	[Continue]		
1938	161			[Continue]	[Continue]	[Continue]	[Continue]
1939	168			[Continue]	[Continue]	[Continue]	[Continue]
2001	1			[Continue]	[Continue]	[Continue]	
2002	5			[Continue]	[Continue]	[Continue]	
2003	9			[Continue]	[Continue]	[Continue]	
2004	13			[Continue]	[Continue]	[Continue]	
2005	17			[Continue]	[Continue]	[Continue]	
2006	21			[Continue]	[Continue]	[Continue]	
2007	25			[Continue]	[Continue]	[Continue]	
2008	29			[Continue]	[Continue]	[Continue]	
2009	33			[Continue]	[Continue]	[Continue]	
2010	37			[Continue]	[Continue]	[Continue]	
2011	41			[Continue]	[Continue]	[Continue]	
2012	45			[Continue]	[Continue]	[Continue]	
2013	49			[Continue]	[Continue]	[Continue]	
2014	53			[Continue]	[Continue]	[Continue]	
2015	57			[Continue]	[Continue]	[Continue]	
2016	61			[Continue]	[Continue]	[Continue]	
2017	65			[Continue]	[Continue]	[Continue]	
2018	69			[Continue]	[Continue]	[Continue]	
2019	73			[Continue]	[Continue]	[Continue]	
2020	77			[Continue]	[Continue]	[Continue]	
2021	81			[Continue]	[Continue]	[Continue]	[Continue]
2022	87			[Continue]	[Continue]	[Continue]	
2023	92			[Continue]	[Continue]	[Continue]	
2024	97			[Continue]	[Continue]	[Continue]	
2025	102			[Continue]	[Continue]	[Continue]	
2026	107			[Continue]	[Continue]	[Continue]	
2027	112			[Continue]	[Continue]	[Continue]	
2028	117			[Continue]	[Continue]	[Continue]	
2029	122			[Continue]	[Continue]	[Continue]	
2030	127			[Continue]	[Continue]	[Continue]	
2031	132			[Continue]	[Continue]	[Continue]	
2032	137			[Continue]	[Continue]	[Continue]	
2033	142			[Continue]	[Continue]	[Continue]	
2034	147			[Continue]	[Continue]		
2035	152			[Continue]	[Continue]		
2036	155			[Continue]	[Continue]		
2037	158			[Continue]	[Continue]		
2038	161			[Continue]	[Continue]	[Continue]	[Continue]
2039	168			[Continue]	[Continue]	[Continue]	[Continue]
