Id	Name	Description	Icon	BuffType	Priority
7004	Signal Amplifier	Gives 3 random Signal Orbs of the same color to the character in battle every 10s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon7.png	1	1
7005	Awaken	Gives an extra random Signal Orb when entering battle for the first time.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32071.png	1	1
7006	Maintenance	Gives 20 bonus Energy each time when the character is deployed.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon3.png	1	1
7007	Resistance Reduction I	Reduces the target's Elemental Resistance by 10% upon dealing DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32061.png	1	1
7008	Resistance Reduction II	Reduces the target's Elemental Resistance by 20% upon dealing DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32062.png	1	2
7009	Resistance Reduction III	Reduces the target's Elemental Resistance by 30% upon dealing DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32063.png	1	3
7010	Endless Vigor	Healing effect increases by 15%. Increases the Extra Damage Bonus of targets healed by 20% for 5s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	1	1
7011	Critical Blow	Characters in combat gain 8% CRIT Rate every second. After landing a critical hit, gain "Guaranteed Critical" effect for 2s. 15s cooldown.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32141.png	1	1
7012	Quick Charge	Gains 3 Energy every second.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21083.png	1	1
773261	Power Booster	HP and ATK increase by 5%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon4.png	1	1
800001	Strong Arm	Physical DMG increases 30%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21042.png	1	1
800002	Kelvin	Ice DMG increases by 30%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10045.png	1	1
800003	joule	Fire DMG increases by 30%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10042.png	1	1
800004	Ampere	Lightning DMG increases by 30%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10043.png	1	1
800005	Sievert	Dark DMG increases by 30%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10044.png	1	1
800006	Gold Plating	Extra DMG Bonus increases by 8%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22011.png	1	1
800007	Reactive Armor	Deployed Constructs' Extra DMG Reduction increases by 30%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21023.png	1	1
800008	Tactical team	Deployed Constructs' ATK increases by 10%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	1	1
4001	Lucky Dog	Gains 5% more Support Points from battles	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeBuff06.png	1	1
4002	Lucky Dog	Gains 10% more Support Points from battles	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeBuff07.png	1	1
4003	Lucky Dog	Gains 15% more Support Points from battles	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeBuff08.png	1	1
4004	Lucky Dog	Gains 20% more Support Points from battles	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeBuff09.png	1	1
4005	Lucky Dog	Gains 25% more Support Points from battles	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeBuff10.png	1	1
5001	Authority Up I	Get a 5% discount in the Tactical Supply Shop	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeBuff01.png	1	1
5002	Authority Up II	Get a 10% discount in the Tactical Supply Shop	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeBuff02.png	1	1
5003	Authority Up	Get a 15% discount in the Tactical Supply Shop	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeBuff03.png	1	1
5004	Authority Up	Get a 20% discount in the Tactical Supply Shop	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeBuff04.png	1	1
5005	Authority Up	Get a 25% discount in the Tactical Supply Shop	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeBuff05.png	1	1
5006	Authority Up	Get a 30% discount in the Tactical Supply Shop	Assets/Product/Texture/Image/UiRogueLike/UiRogueLikeBuff02.png	1	1
6001	Shared Leadership	Extra DMG Bonus of all team members increases by 15%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon6.png	1	1
6002	Field Maintenance	Heals the team for 10% HP lost every 6s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22002.png	1	1
6003	False Target	Construct's Extra DMG Reduction increases by 15%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10032.png	1	1
6004	Omnipotent	Extra DMG Bonus of all team members increases by 24%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	1	1
773140	Mechanical Learning	Dodge increases Movement Speed by 10% for 5s. Can be stacked up to 5 times.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33111.png	1	1
773108	Signal Tracker	Basic Attacks generate 1 more Energy.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon2.png	1	1
773102	Energy Recycling	1-Ping/2-Ping/3-Ping generates 1/2/3 additional Energy.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33121.png	1	1
773208	Maintenance Theory	Healing effect increases by 10%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	1	1
900001	Icy Blade I	Basic Attacks deal additional Ice DMG equal to 50% of self ATK.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10045.png	1	1
900002	Icy Blade II	Basic Attacks deal additional Ice DMG equal to 70% of self ATK.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10045.png	1	2
900003	Icy Blade III	Basic Attacks deal additional Ice DMG equal to 100% of self ATK.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10045.png	1	3
900004	Dark Blade I	Basic Attacks deal additional Dark DMG equal to 50% of self ATK.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10044.png	1	1
900005	Dark Blade II	Basic Attacks deal additional Dark DMG equal to 70% of self ATK.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10044.png	1	2
900006	Dark Blade III	Basic Attacks deal additional Dark DMG equal to 100% of self ATK.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10044.png	1	3
900007	Arctic I	Ice DMG increases by 10%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10045.png	1	1
900008	Arctic II	Ice DMG increases by 20%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10045.png	1	2
900009	Arctic III	Ice DMG increases by 30%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10045.png	1	3
900010	Shadow I	Dark DMG increases by 10%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10044.png	1	1
900011	Shadow II	Dark DMG increases by 20%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10044.png	1	2
900012	Shadow III	Dark DMG increases by 30%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10044.png	1	3
900013	Ice Shield I	Dealing Ice DMG has a 20% chance to grant self an ice shield equal to 50% of max HP. Immune to any attacks when the shield exists. 15s cooldown.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12251.png	1	1
900014	Ice Shield II	Dealing Ice DMG has a 20% chance to grant self an ice shield equal to 75% of max HP. Immune to any attacks when the shield exists. 15s cooldown.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12251.png	1	2
900015	Ice Shield III	Dealing Ice DMG has a 20% chance to grant self an ice shield equal to 100% of max HP. Immune to any attacks when the shield exists. 15s cooldown.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12251.png	1	3
900016	Freeze I	Ice DMG has a 10% chance to freeze the enemy for 3s. It can only be triggered once per 13s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon14.png	1	1
900017	Freeze II	Ice DMG has a 20% chance to freeze the enemy for 3s. It can only be triggered once per 13s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon14.png	1	2
900018	Freeze III	Ice DMG has a 30% chance to freeze the enemy for 3s. It can only be triggered once per 13s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon14.png	1	3
900019	Dark Field I	All enemies within 4.5m from the Construct deployed receive Dark DMG equal to 5% of the Construct's ATK once per 3s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon16.png	1	1
900020	Dark Field II	All enemies within 4.5m from the Construct deployed receive Dark DMG equal to 10% of the Construct's ATK once per 3s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon16.png	1	2
900021	Dark Field III	All enemies within 4.5m from the Construct deployed receive Dark DMG equal to 15% of the Construct's ATK once per 3s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon16.png	1	3
900022	Strong Arm	Deployed members' HP increases by 40%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11003.png	1	3
900023	Shield I	Gain a shield equal to 10% HP at the start of battle.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11021.png	1	1
900024	Shield II	Gain a shield equal to 15% HP at the start of battle.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11022.png	1	2
900025	Shield III	Gain a shield equal to 20% HP at the start of battle.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11023.png	1	3
900026	Fight Back I	Has a 40% chance to gain a shield equal to 5% HP for 5s when taking DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32021.png	1	1
900027	Fight Back II	Has a 50% chance to gain a shield equal to 10% HP for 5s when taking DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32022.png	1	2
900028	Fight Back III	Has a 60% chance to gain a shield equal to 15% HP for 5s when taking DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32023.png	1	3
600000	Assist	Michael will help you in battle. You can purchase bonuses from Tactical Supply to enhance Michael's strength.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11045.png	1	1
600001	Ultra: Thunder Wrath I	Pining a Blue Orb within 3s after a 3-Ping can increase the DMG of next 6 Basic Attacks by <color=#FF3300FF>300%</color>/600%/900%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon14.png	1	1
600002	Ultra: Thunder Wrath II	Pining a Blue Orb within 3s after a 3-Ping can increase the DMG of next 6 Basic Attacks by 300%/<color=#FF3300FF>600%</color>/900%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon14.png	1	2
600003	Ultra: Thunder Wrath III	Pining a Blue Orb within 3s after a 3-Ping can increase the DMG of next 6 Basic Attacks by 300%/600%/<color=#FF3300FF>900%</color>.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon14.png	1	3
600004	Ultra: Infernal Tempest I	After a Signature Move, Basic Attack DMG increases by <color=#FF3300FF>300%</color>/600%/900% for 10s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon15.png	1	1
600005	Ultra: Infernal Tempest II	After a Signature Move, Basic Attack DMG increases by 300%/<color=#FF3300FF>600%</color>/900% for 10s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon15.png	1	2
600006	Ultra: Infernal Tempest III	After a Signature Move, Basic Attack DMG increases by 300%/600%/<color=#FF3300FF>900%</color> for 10s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon15.png	1	3
600007	Ultra: Abyssal Gaze I	For every 1 Orb pinged, CRIT Rate increases by <color=#FF3300FF>5%</color>/15%/25% for 6s, up to 4 stacks.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon16.png	1	1
600008	Ultra: Abyssal Gaze II	For every 1 Orb pinged, CRIT Rate increases by 5%/<color=#FF3300FF>15%</color>/25% for 6s, up to 4 stacks.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon16.png	1	2
600009	Ultra: Abyssal Gaze III	For every 1 Orb pinged, CRIT Rate increases by 5%/15%/<color=#FF3300FF>25%</color> for 6s, up to 4 stacks.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon16.png	1	3
600010	Ultra: Nightcrow Down I	Making 3-Ping twice within 5s can increase the damage of the next Signature Move by <color=#FF3300FF>300%</color>/600%/900%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon17.png	1	1
600011	Ultra: Nightcrow Down II	Making 3-Ping twice within 5s can increase the DMG of the next Signature Move by 300%/<color=#FF3300FF>600%</color>/900%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon17.png	1	2
600012	Ultra: Nightcrow Down III	Making 3-Ping twice within 5s can increase the DMG of the next Signature Move by 300%/600%/<color=#FF3300FF>900%</color>.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon17.png	1	3
600013	Ultra: Tenebrion Core I	After a Signature Move, DMG from pinging Orbs increases by <color=#FF3300FF>300%</color>/600%/900% for 10s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon18.png	1	1
600014	Ultra: Tenebrion Core II	After a Signature Move, DMG from pinging Orbs increases by 300%/<color=#FF3300FF>600%</color>/900% for 10s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon18.png	1	2
600015	Ultra: Tenebrion Core III	After a Signature Move, DMG from pinging Orbs increases by 300%/600%/<color=#FF3300FF>900%</color> for 10s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon18.png	1	3
600016	Signal Orb I	<color=#FF3300FF>1</color>/2/3 random Signal Orb(s) drop after the enemy is defeated.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon7.png	1	1
600017	Signal Orb II	1/<color=#FF3300FF>2</color>/3 random Signal Orb(s) drop after the enemy is defeated.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon7.png	1	2
600018	Signal Orb III	1/2/<color=#FF3300FF>3</color> random Signal Orb(s) drop after the enemy is defeated.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon7.png	1	3
600019	Signal Amplifier I	Characters receive <color=#FF3300FF>1</color>/2/3 random Signal Orb(s) of the same color for every 10s they stay in battle.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon016.png	1	1
600020	Signal Amplifier II	Characters receive 1/<color=#FF3300FF>2</color>/3 random Signal Orb(s) of the same color for every 10s they stay in battle.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon016.png	1	2
600021	Signal Amplifier III	Characters receive 1/2/<color=#FF3300FF>3</color> random Signal Orb(s) of the same color for every 10s they stay in battle.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon016.png	1	3
600022	Signal Optimization I	Give <color=#FF3300FF>1</color>/2/3 random Signal Orb(s) each time when the character is deployed.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon008.png	1	1
600023	Signal Optimization II	Give 1/<color=#FF3300FF>2</color>/3 random Signal Orb(s) each time when the character is deployed.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon008.png	1	2
600024	Signal Optimization III	Give 1/2/<color=#FF3300FF>3</color> random Signal Orb(s) each time when the character is deployed.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon008.png	1	3
600025	Signal Adaptation I	Give <color=#FF3300FF>1</color>/2/3 random Signal Orb(s) when entering Matrix.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon015.png	1	1
600026	Signal Adaptation II	Give 1/<color=#FF3300FF>2</color>/3 random Signal Orb(s) when entering Matrix.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon015.png	1	2
600027	Signal Adaptation III	Give 1/2/<color=#FF3300FF>3</color> random Signal Orb(s) when entering Matrix.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon015.png	1	3
600028	Energy Recycling I	3-Pings give <color=#FF3300FF>5</color>/10/15 extra Energy.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33021.png	1	1
600029	Energy Recycling II	3-Pings give 5/<color=#FF3300FF>10</color>/15 extra Energy.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33021.png	1	2
600030	Energy Recycling III	3-Pings give 5/10/<color=#FF3300FF>15</color> extra Energy.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33021.png	1	3
600031	Energy Detection I	Basic Attacks have a 20% chance to gain <color=#FF3300FF>2</color>/4/6 bonus Energy.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon2.png	1	1
600032	Energy Detection II	Basic Attacks have a 20% chance to gain 2/<color=#FF3300FF>4</color>/6 bonus Energy.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon2.png	1	2
600033	Energy Detection III	Basic Attacks have a 20% chance to gain 2/4/<color=#FF3300FF>6</color> bonus Energy.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon2.png	1	3
600034	Instant Charging I	Characters receive <color=#FF3300FF>10</color>/20/30 Energy for every 10s they stay in battle.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon3.png	1	1
600035	Instant Charging II	Characters receive 10/<color=#FF3300FF>20</color>/30 Energy for every 10s they stay in battle.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon3.png	1	2
600036	Instant Charging III	Characters receive 10/20/<color=#FF3300FF>30</color> Energy for every 10s they stay in battle.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon3.png	1	3
600037	Energy Field I	Give <color=#FF3300FF>5</color>/10/15 bonus Energy each time when the character is deployed.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon1.png	1	1
600038	Energy Field II	Give 5/<color=#FF3300FF>10</color>/15 bonus Energy each time when the character is deployed.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon1.png	1	2
600039	Energy Field III	Give 5/10/<color=#FF3300FF>15</color> bonus Energy each time when the character is deployed.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon1.png	1	3
600040	Michael: Strike I	Increases the Pet's power level by <color=#FF3300FF>50</color>/100/150.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon8.png	1	1
600041	Michael: Strike II	Increases the Pet's power level by 50/<color=#FF3300FF>100</color>/150.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon8.png	1	2
600042	Michael: Strike III	Increases the Pet's power level by 50/100/<color=#FF3300FF>150</color>.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon8.png	1	3
600043	Michael: Quick Attack I	Reduces the Pet's skill cooldown to <color=#FF3300FF>12</color>/8/4s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon13.png	1	1
600044	Michael: Quick Attack II	Reduces the Pet's skill cooldown to 12/<color=#FF3300FF>8</color>/4s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon13.png	1	2
600045	Michael: Quick Attack III	Reduces the Pet's skill cooldown to 12/8/<color=#FF3300FF>4</color>s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon13.png	1	3
600046	Michael: In-depth Study I	Teach the Pet the Whirlwind skill.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon10.png	1	1
600047	Michael: In-depth Study II	Increases the number of Blade Wave from 1 to 3, and casting Whirlwind will automatically launch <color=#FF3300FF>20</color>/40 Blade Waves.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon10.png	1	2
600048	Michael: In-depth Study III	Increases the number of Blade Wave from 3 to 6, and casting Whirlwind will automatically launch 20/<color=#FF3300FF>40</color> Blade Waves.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon10.png	1	3
600049	Michael: Radiation I	Grants the Pet the Radiation skill that continuously damages nearby enemy units for <color=#FF3300FF>6%</color>/8%/10% of own ATK.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon12.png	1	1
600050	Michael: Radiation II	Grants the Pet the Radiation skill that continuously damages nearby enemy units for 6%/<color=#FF3300FF>8%</color>/10% of own ATK.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon12.png	1	2
