Id	RobotId	Star	ConsumeCounts[1]	ConsumeCounts[2]	FightEventIds[1]	FightEventIds[2]
21319	21319	19	390	3900		
21320	21320	20	400	4000		
21321	21321	21	420	4200		
21322	21322	22	440	4400		
21323	21323	23	470	4700		
21324	21324	24	500	5000		
21325	21325	25	530	5300		
21326	21326	26	560	5600		
21327	21327	27	590	5900		
21401	21401	1	50	500		
21402	21402	2	80	800		
21403	21403	3	100	1000		
21404	21404	4	110	1100		
21405	21405	5	120	1200		
21406	21406	6	130	1300		
21407	21407	7	150	1500		
21408	21408	8	170	1700		
21409	21409	9	180	1800		
21410	21410	10	190	1900		
21411	21411	11	200	2000		
21412	21412	12	220	2200		
21413	21413	13	240	2400		
21414	21414	14	260	2600		
21415	21415	15	280	2800		
21416	21416	16	300	3000		
21417	21417	17	320	3200		
21418	21418	18	350	3500		
21419	21419	19	390	3900		
21420	21420	20	400	4000		
21421	21421	21	420	4200		
21422	21422	22	440	4400		
21423	21423	23	470	4700		
21424	21424	24	500	5000		
21425	21425	25	530	5300		
21426	21426	26	560	5600		
21427	21427	27	590	5900		
21501	21501	1	50	500		
21502	21502	2	80	800		
21503	21503	3	100	1000		
21504	21504	4	110	1100		
21505	21505	5	120	1200		
21506	21506	6	130	1300		
21507	21507	7	150	1500		
21508	21508	8	170	1700		
21509	21509	9	180	1800		
21510	21510	10	190	1900		
21511	21511	11	200	2000		
21512	21512	12	220	2200		
21513	21513	13	240	2400		
21514	21514	14	260	2600		
21515	21515	15	280	2800		
21516	21516	16	300	3000		
21517	21517	17	320	3200		
21518	21518	18	350	3500		
21519	21519	19	390	3900		
21520	21520	20	400	4000		
21521	21521	21	420	4200		
21522	21522	22	440	4400		
21523	21523	23	470	4700		
21524	21524	24	500	5000		
21525	21525	25	530	5300		
21526	21526	26	560	5600		
21527	21527	27	590	5900		
21601	21601	1	50	500		
21602	21602	2	80	800		
21603	21603	3	100	1000		
21604	21604	4	110	1100		
21605	21605	5	120	1200		
21606	21606	6	130	1300		
21607	21607	7	150	1500		
21608	21608	8	170	1700		
21609	21609	9	180	1800		
21610	21610	10	190	1900		
21611	21611	11	200	2000		
21612	21612	12	220	2200		
21613	21613	13	240	2400		
21614	21614	14	260	2600		
21615	21615	15	280	2800		
21616	21616	16	300	3000		
21617	21617	17	320	3200		
21618	21618	18	350	3500		
21619	21619	19	390	3900		
21620	21620	20	400	4000		
21621	21621	21	420	4200		
21622	21622	22	440	4400		
21623	21623	23	470	4700		
21624	21624	24	500	5000		
21625	21625	25	530	5300		
21626	21626	26	560	5600		
21627	21627	27	590	5900		
21701	21701	1	50	500		
21702	21702	2	80	800		
21703	21703	3	100	1000		
21704	21704	4	110	1100		
21705	21705	5	120	1200		
21706	21706	6	130	1300		
21707	21707	7	150	1500		
21708	21708	8	170	1700		
21709	21709	9	180	1800		
21710	21710	10	190	1900		
21711	21711	11	200	2000		
21712	21712	12	220	2200		
21713	21713	13	240	2400		
21714	21714	14	260	2600		
21715	21715	15	280	2800		
21716	21716	16	300	3000		
21717	21717	17	320	3200		
21718	21718	18	350	3500		
21719	21719	19	390	3900		
21720	21720	20	400	4000		
21721	21721	21	420	4200		
21722	21722	22	440	4400		
21723	21723	23	470	4700		
21724	21724	24	500	5000		
21725	21725	25	530	5300		
21726	21726	26	560	5600		
21727	21727	27	590	5900		
21801	21801	1	50	500		
21802	21802	2	80	800		
21803	21803	3	100	1000		
21804	21804	4	110	1100		
21805	21805	5	120	1200		
21806	21806	6	130	1300		
21807	21807	7	150	1500		
21808	21808	8	170	1700		
21809	21809	9	180	1800		
21810	21810	10	190	1900		
21811	21811	11	200	2000		
21812	21812	12	220	2200		
21813	21813	13	240	2400		
21814	21814	14	260	2600		
21815	21815	15	280	2800		
21816	21816	16	300	3000		
21817	21817	17	320	3200		
21818	21818	18	350	3500		
21819	21819	19	390	3900		
21820	21820	20	400	4000		
21821	21821	21	420	4200		
21822	21822	22	440	4400		
21823	21823	23	470	4700		
21824	21824	24	500	5000		
21825	21825	25	530	5300		
21826	21826	26	560	5600		
21827	21827	27	590	5900		
21901	21901	1	50	500		
21902	21902	2	80	800		
21903	21903	3	100	1000		
21904	21904	4	110	1100		
21905	21905	5	120	1200		
21906	21906	6	130	1300		
21907	21907	7	150	1500		
21908	21908	8	170	1700		
21909	21909	9	180	1800		
21910	21910	10	190	1900		
21911	21911	11	200	2000		
21912	21912	12	220	2200		
21913	21913	13	240	2400		
21914	21914	14	260	2600		
21915	21915	15	280	2800		
21916	21916	16	300	3000		
21917	21917	17	320	3200		
21918	21918	18	350	3500		
21919	21919	19	390	3900		
21920	21920	20	400	4000		
21921	21921	21	420	4200		
21922	21922	22	440	4400		
21923	21923	23	470	4700		
21924	21924	24	500	5000		
21925	21925	25	530	5300		
21926	21926	26	560	5600		
21927	21927	27	590	5900		
22001	22001	1	50	500		
22002	22002	2	80	800		
22003	22003	3	100	1000		
22004	22004	4	110	1100		
22005	22005	5	120	1200		
22006	22006	6	130	1300		
22007	22007	7	150	1500		
22008	22008	8	170	1700		
22009	22009	9	180	1800		
22010	22010	10	190	1900		
22011	22011	11	200	2000		
22012	22012	12	220	2200		
22013	22013	13	240	2400		
22014	22014	14	260	2600		
22015	22015	15	280	2800		
22016	22016	16	300	3000		
22017	22017	17	320	3200		
22018	22018	18	350	3500		
22019	22019	19	390	3900		
22020	22020	20	400	4000		
22021	22021	21	420	4200		
22022	22022	22	440	4400		
22023	22023	23	470	4700		
22024	22024	24	500	5000		
22025	22025	25	530	5300		
22026	22026	26	560	5600		
22027	22027	27	590	5900		
22101	22101	1	50	500		
22102	22102	2	80	800		
22103	22103	3	100	1000		
22104	22104	4	110	1100		
22105	22105	5	120	1200		
22106	22106	6	130	1300		
22107	22107	7	150	1500		
22108	22108	8	170	1700		
22109	22109	9	180	1800		
22110	22110	10	190	1900		
22111	22111	11	200	2000		
22112	22112	12	220	2200		
22113	22113	13	240	2400		
22114	22114	14	260	2600		
22115	22115	15	280	2800		
22116	22116	16	300	3000		
22117	22117	17	320	3200		
22118	22118	18	350	3500		
22119	22119	19	390	3900		
22120	22120	20	400	4000		
22121	22121	21	420	4200		
22122	22122	22	440	4400		
22123	22123	23	470	4700		
22124	22124	24	500	5000		
22125	22125	25	530	5300		
22126	22126	26	560	5600		
22127	22127	27	590	5900		
22201	22201	1	50	500		
22202	22202	2	80	800		
22203	22203	3	100	1000		
22204	22204	4	110	1100		
22205	22205	5	120	1200		
22206	22206	6	130	1300		
22207	22207	7	150	1500		
22208	22208	8	170	1700		
22209	22209	9	180	1800		
22210	22210	10	190	1900		
22211	22211	11	200	2000		
22212	22212	12	220	2200		
22213	22213	13	240	2400		
22214	22214	14	260	2600		
22215	22215	15	280	2800		
22216	22216	16	300	3000		
22217	22217	17	320	3200		
22218	22218	18	350	3500		
22219	22219	19	390	3900		
22220	22220	20	400	4000		
22221	22221	21	420	4200		
22222	22222	22	440	4400		
22223	22223	23	470	4700		
22224	22224	24	500	5000		
22225	22225	25	530	5300		
22226	22226	26	560	5600		
22227	22227	27	590	5900		
22301	22301	1	50	500		
22302	22302	2	80	800		
22303	22303	3	100	1000		
22304	22304	4	110	1100		
22305	22305	5	120	1200		
22306	22306	6	130	1300		
22307	22307	7	150	1500		
22308	22308	8	170	1700		
22309	22309	9	180	1800		
22310	22310	10	190	1900		
22311	22311	11	200	2000		
22312	22312	12	220	2200		
22313	22313	13	240	2400		
22314	22314	14	260	2600		
22315	22315	15	280	2800		
22316	22316	16	300	3000		
22317	22317	17	320	3200		
22318	22318	18	350	3500		
22319	22319	19	390	3900		
22320	22320	20	400	4000		
22321	22321	21	420	4200		
22322	22322	22	440	4400		
22323	22323	23	470	4700		
22324	22324	24	500	5000		
22325	22325	25	530	5300		
22326	22326	26	560	5600		
22327	22327	27	590	5900		
22401	22401	1	50	500		
22402	22402	2	80	800		
22403	22403	3	100	1000		
22404	22404	4	110	1100		
22405	22405	5	120	1200		
22406	22406	6	130	1300		
22407	22407	7	150	1500		
22408	22408	8	170	1700		
22409	22409	9	180	1800		
22410	22410	10	190	1900		
22411	22411	11	200	2000		
22412	22412	12	220	2200		
22413	22413	13	240	2400		
22414	22414	14	260	2600		
22415	22415	15	280	2800		
22416	22416	16	300	3000		
22417	22417	17	320	3200		
22418	22418	18	350	3500		
22419	22419	19	390	3900		
22420	22420	20	400	4000		
22421	22421	21	420	4200		
22422	22422	22	440	4400		
22423	22423	23	470	4700		
22424	22424	24	500	5000		
22425	22425	25	530	5300		
22426	22426	26	560	5600		
22427	22427	27	590	5900		
22501	22501	1	50	500		
22502	22502	2	80	800		
22503	22503	3	100	1000		
22504	22504	4	110	1100		
22505	22505	5	120	1200		
22506	22506	6	130	1300		
22507	22507	7	150	1500		
22508	22508	8	170	1700		
22509	22509	9	180	1800		
22510	22510	10	190	1900		
22511	22511	11	200	2000		
22512	22512	12	220	2200		
22513	22513	13	240	2400		
22514	22514	14	260	2600		
22515	22515	15	280	2800		
22516	22516	16	300	3000		
22517	22517	17	320	3200		
22518	22518	18	350	3500		
22519	22519	19	390	3900		
22520	22520	20	400	4000		
22521	22521	21	420	4200		
22522	22522	22	440	4400		
22523	22523	23	470	4700		
22524	22524	24	500	5000		
22525	22525	25	530	5300		
22526	22526	26	560	5600		
22527	22527	27	590	5900		
22601	22601	1	50	500		
22602	22602	2	80	800		
22603	22603	3	100	1000		
22604	22604	4	110	1100		
22605	22605	5	120	1200		
22606	22606	6	130	1300		
22607	22607	7	150	1500		
22608	22608	8	170	1700		
22609	22609	9	180	1800		
22610	22610	10	190	1900		
22611	22611	11	200	2000		
22612	22612	12	220	2200		
22613	22613	13	240	2400		
22614	22614	14	260	2600		
22615	22615	15	280	2800		
22616	22616	16	300	3000		
22617	22617	17	320	3200		
22618	22618	18	350	3500		
22619	22619	19	390	3900		
22620	22620	20	400	4000		
22621	22621	21	420	4200		
22622	22622	22	440	4400		
22623	22623	23	470	4700		
22624	22624	24	500	5000		
22625	22625	25	530	5300		
22626	22626	26	560	5600		
22627	22627	27	590	5900		
22701	22701	1	50	500		
22702	22702	2	80	800		
22703	22703	3	100	1000		
22704	22704	4	110	1100		
22705	22705	5	120	1200		
22706	22706	6	130	1300		
22707	22707	7	150	1500		
22708	22708	8	170	1700		
22709	22709	9	180	1800		
22710	22710	10	190	1900		
22711	22711	11	200	2000		
22712	22712	12	220	2200		
22713	22713	13	240	2400		
22714	22714	14	260	2600		
22715	22715	15	280	2800		
22716	22716	16	300	3000		
22717	22717	17	320	3200		
22718	22718	18	350	3500		
22719	22719	19	390	3900		
22720	22720	20	400	4000		
22721	22721	21	420	4200		
22722	22722	22	440	4400		
22723	22723	23	470	4700		
22724	22724	24	500	5000		
22725	22725	25	530	5300		
22726	22726	26	560	5600		
22727	22727	27	590	5900		
