Id	FightEventId	Name	Icon	Description	Star	ConsumeCounts[1]	ConsumeCounts[2]
11210	90902	Damage Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	All DMG of team members increases by 15%	1	120	1200
11301	93309	HP Boost III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 7500	3	140	1400
11302	120216	Dodge Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Team members recover Dodge Gauge 50% faster	2	140	1400
11303	90903	QTE Riot V	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Triggering a QTE by a 3-Ping will trigger the other two Constructs' QTE	5	200	2000
11304	120107	QTE Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	QTE cooldown of team members decreases by 3s	3	160	1600
11305	93370	Ice DMG Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	Ice DMG of team members increases by 40%	2	140	1400
11306	93380	Dark DMG Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22022.png	Dark DMG of team members increases by 40%	2	140	1400
11307	93360	Physical DMG Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21252.png	Physical DMG of team members increases by 40%	2	140	1400
11308	96104	DMG Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Team members gain 20% DMG Reduction	3	140	1400
11309	75014	Combo Riot IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22070.png	Immediately gain 3 random Signal Orbs of the same color after landing a 30-hit combo	4	180	1800
20001	93307	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 5000	2	20	200
20002	93368	Ice DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	Ice DMG of team members increases by 20%	1	20	200
20003	81051	Evasion Bonus II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Dodge Gauge limit of team members increases by 1000	2	20	200
20004	93346	Signal Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 2 random Signal Orbs in every 15s	1	20	200
20005	120302	Matrix Reduction IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png	Matrix cooldown of team members decreases by 2s	4	30	300
20006	90705	Signature Reduction IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13031.png	Team members gain 10 bonus energy every 5s	4	30	300
20101	93307	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 5000	2	20	200
20102	90404	Shield Riot IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21023.png	Team members gain a shield that mitigates one damage after entering battle. The shield restores 1 charge every 10s	4	30	300
20103	81051	Evasion Bonus II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Dodge Gauge limit of team members increases by 1000	2	20	200
20104	93346	Signal Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 2 random Signal Orbs in every 15s	1	20	200
20105	90903	QTE Riot V	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Triggering a QTE by a 3-Ping will trigger the other two Constructs' QTE	5	30	300
20106	96103	Signature Move Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21071.png	Team members' Signature Move can stun the enemy for 2s	1	20	200
20107	93368	Ice DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	Ice DMG of team members increases by 20%	1	20	200
20201	93307	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 5000	2	40	400
20202	93348	Signal Boost III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 3 random Signal Orbs in every 10s	3	50	500
20203	93378	Dark DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22022.png	Dark DMG of team members increases by 20%	1	40	400
20204	120216	Dodge Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Team members recover Dodge Gauge 50% faster	2	40	400
20205	120107	QTE Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	QTE cooldown of team members decreases by 3s	3	50	500
20206	96103	Signature Move Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21071.png	Team members' Signature Move can stun the enemy for 2s	1	40	400
20207	93314	Enhanced Attack III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32101.png	Team members deal 300 bonus Physical DMG on every attack	3	50	500
20208	93202	Shield Support IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32021.png	Gain a shield that absorbs damage equal to 10% of HP every 15s while in battle. This shield cannot stack	4	50	500
20301	93368	Ice DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	Ice DMG of team members increases by 20%	1	40	400
20302	93363	Fire DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21212.png	Fire DMG of team members increases by 20%	1	40	400
20303	93373	Lightning DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21222.png	Lightning DMG of team members increases by 20%	1	40	400
20304	93307	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 5000	2	40	400
20305	93348	Signal Boost III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 3 random Signal Orbs in every 10s	3	50	500
20306	81051	Evasion Bonus II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Dodge Gauge limit of team members increases by 1000	2	40	400
20307	90404	Shield Riot IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21023.png	Team members gain a shield that mitigates one damage after entering battle. The shield restores 1 charge every 10s	4	60	600
20308	120302	Matrix Reduction IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png	Matrix cooldown of team members decreases by 2s	4	60	600
20309	90902	Damage Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	All DMG of team members increases by 15%	1	40	400
20401	93368	Ice DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	Ice DMG of team members increases by 20%	1	50	500
20402	93378	Dark DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22022.png	Dark DMG of team members increases by 20%	1	50	500
20403	93363	Fire DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21212.png	Fire DMG of team members increases by 20%	1	50	500
20404	93307	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 5000	2	50	500
20405	90404	Shield Riot IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21023.png	Team members gain a shield that mitigates one damage after entering battle. The shield restores 1 charge every 10s	4	80	800
20406	81051	Evasion Bonus II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Dodge Gauge limit of team members increases by 1000	2	50	500
20407	90903	QTE Riot V	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Triggering a QTE by a 3-Ping will trigger the other two Constructs' QTE	5	80	800
20408	90705	Signature Reduction IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13031.png	Team members gain 10 bonus energy every 5s	4	70	700
20409	120107	QTE Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	QTE cooldown of team members decreases by 3s	3	60	600
20501	93368	Ice DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	Ice DMG of team members increases by 20%	1	50	500
20502	93363	Fire DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21212.png	Fire DMG of team members increases by 20%	1	50	500
20503	93358	Physical DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21252.png	Physical DMG of team members increases by 20%	1	50	500
20504	93307	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 5000	2	50	500
20505	81051	Evasion Bonus II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Dodge Gauge limit of team members increases by 1000	2	50	500
20506	96102	Recovery Boost V	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	Team members recover 1.5% of total HP every sec	5	80	800
20507	96101	Laser Riot V	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32141.png	Summon a satellite beam every 10s that strikes the target area for 2000 True DMG.	5	80	800
20508	90902	Damage Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	All DMG of team members increases by 15%	1	50	500
20509	90404	Shield Riot IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21023.png	Team members gain a shield that mitigates one damage after entering battle. The shield restores 1 charge every 10s	4	80	800
20601	93344	Unrivalled X	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	All 1-Ping and 2-Ping of team members are regarded as 3-Ping	10	220	2200
20602	93309	HP Boost III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 7500	3	80	800
20603	81051	Evasion Bonus II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Dodge Gauge limit of team members increases by 1000	2	70	700
20604	90903	QTE Riot V	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Triggering a QTE by a 3-Ping will trigger the other two Constructs' QTE	5	120	1200
20605	93368	Ice DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	Ice DMG of team members increases by 20%	1	70	700
20606	93358	Physical DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21252.png	Physical DMG of team members increases by 20%	1	70	700
20607	120214	Dodge Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33001.png	Team members recover Dodge Gauge 20% faster	1	70	700
20608	120302	Matrix Reduction IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png	Matrix cooldown of team members decreases by 2s	4	100	1000
20609	96106	Signature Frenzy III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21012.png	Team members gain 10s Super Armor and 20% Extra DMG Bonus after casting a Signature Move	3	80	800
20701	90903	QTE Riot V	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Triggering a QTE by a 3-Ping will trigger the other two Constructs' QTE	5	120	1200
20702	75016	Combo Riot V	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22070.png	Immediately gain 3 random Signal Orbs of the same color after landing a 20-hit combo	5	120	1200
20703	93309	HP Boost III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 7500	3	70	700
20704	81051	Evasion Bonus II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	Dodge Gauge limit of team members increases by 1000	2	70	700
20705	90902	Damage Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	All DMG of team members increases by 15%	1	70	700
20706	90404	Shield Riot IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21023.png	Team members gain a shield that mitigates one damage after entering battle. The shield restores 1 charge every 10s	4	100	1000
20707	93348	Signal Boost III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 3 random Signal Orbs in every 10s	3	80	800
20708	93390	Healing Riot IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22080.png	Excess healing is converted into 200% damage	5	120	1200
20709	120302	Matrix Reduction IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png	Matrix cooldown of team members decreases by 2s	4	100	1000
20710	96101	Laser Riot V	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32141.png	Summon a satellite beam every 10s that strikes the target area for 2000 True DMG.	5	120	1200
20801	75016	Combo Riot V	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22070.png	Immediately gain 3 random Signal Orbs of the same color after landing a 20-hit combo	5	120	1200
20802	93390	Healing Riot IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22080.png	Excess healing is converted into 200% damage	5	120	1200
20803	90404	Shield Riot IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21023.png	Team members gain a shield that mitigates one damage after entering battle. The shield restores 1 charge every 10s	4	100	1000
20804	93382	Skill Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13011.png	All team members deal 25% more damage from pinging Orbs	1	70	700
20805	120107	QTE Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	QTE cooldown of team members decreases by 3s	3	80	800
20806	90902	Damage Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	All DMG of team members increases by 15%	1	70	700
20807	93309	HP Boost III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 7500	3	80	800
20808	93378	Dark DMG Boost I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22022.png	Dark DMG of team members increases by 20%	1	70	700
20809	93314	Enhanced Attack III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32101.png	Team members deal 300 bonus Physical DMG on every attack	3	80	800
20810	96104	DMG Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Team members gain 20% DMG Reduction	3	80	800
20901	93309	HP Boost III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	Max HP of team members increases by 7500	3	80	800
20902	93315	Enhanced Attack IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32101.png	Team members deal 600 bonus Physical DMG on every attack	4	100	1000
20903	120302	Matrix Reduction IV	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png	Matrix cooldown of team members decreases by 2s	4	100	1000
20904	93329	Laser Riot X	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32141.png	Summon a satellite beam that strikes the target area for 6000 True DMG every 10s.	10	220	2200
