Id	Type	ItemId	Round	NeedValue	ResetCostId	ResetCostCount	Desc
22042055	2		1	6	61302	1	Perception Breakthrough
32042055	3		1	20	61302	1	Arithmetic Breakthrough
12042056	3		1	15	61302	1	INT verification
12042057	3		1	15	61302	1	INT verification
12042058	3		1	15	61302	1	INT verification
12042059	3		1	15	61302	1	INT verification
12042851	3		1	15	61302	1	INT verification
12042852	3		1	15	61302	1	INT verification
12042853	3		1	15	61302	1	INT verification
12042854	3		1	15	61302	1	INT verification
12042855	1		1	15	61302	1	Combat Breakthrough
22042855	2		1	6	61302	1	Perception Breakthrough
32042855	3		1	20	61302	1	Arithmetic Breakthrough
12042856	4	61537		1			Item Calculation
12042857	4	61538		1			Item Calculation
12042858	4	61539		1			Item Calculation
12043051	1		1	12	61302	1	Elimination Battle
22043051	2		1	6	61302	1	Perception Breakthrough
32043051	3		1	20	61302	1	Arithmetic Breakthrough
12043052	1		1	15	61302	1	Combat Breakthrough
22043052	2		1	6	61302	1	Perception Breakthrough
32043052	3		1	18	61302	1	Decipher Password
13021051	4	61501		1			Item Calculation
13022051	1		1	12	61302	1	Obtain Memory Shell
23022051	2		1	23	61302	1	Attempt Rescue
13023041	1		1	24	61302	1	Break by Force
23023041	3		1	14	61302	1	Decipher Command
13023052	4	61551		1			Inspect [Ruolin's Data]
13024051	1		2	40	61302	1	Battle Breakthrough
13024052	2		2	38	61302	1	Eliminate Interference
13024053	3		2	44	61302	1	Resolve Error
13031051	1		1	24	61302	1	Break Interference Device
23031051	3		1	14	61302	1	Investigate Possible Reasons
13031052	1		1	25	61302	1	Combat Evasion
13032051	4	61552		1			Inspect [Short-range Jet]
13032052	1		1	25	61302	1	Combat Evasion
13032053	2		1	25	61302	1	Perception Evasion
13033051	4	61554		1			Inspect [Ruolin's Video]
13034051	1		2	41	61302	1	Battle Breakthrough
13034052	2		2	39	61302	1	Eliminate Interference
13034053	3		2	45	61302	1	Resolve Error
13034054	1		2	42	61302	1	Battle Breakthrough
13041041	1		1	12	61302	1	Stop the door from being closed
23041041	2		1	23	61302	1	Shortest Route
13041051	4	61553		1			Inspect ["Lucia's Will"]
13041052	1		1	25	61302	1	Combat Evasion
13041053	3		1	25	61302	1	Arithmetic Evasion
13042051	2		1	25	61302	1	Perception Evasion
13042052	3		2	45	61302	1	Resolve Error
13043051	1		2	43	61302	1	Battle Breakthrough
13043052	2		2	40	61302	1	Eliminate Interference
13043053	3		2	44	61302	1	Resolve Error
13043054	1		3	80	61302	1	Battle Breakthrough
13051051	1		1	15	61302	1	Sharp Will
13052051	1		1	15	61302	1	Sharp Will
13052053	1		1	16	61302	1	Seek Warmth
13052054	1		1	16	61302	1	Crimson Resolve
13052055	1		1	16	61302	1	Crimson Resolve
14021051	1		1	14	61302	1	Combat Breakthrough
24021051	2		1	30	61302	1	Perception Breakthrough
34021051	3		1	35	61302	1	Arithmetic Breakthrough
14021052	1		1	14	61302	1	Combat Breakthrough
24021052	2		1	30	61302	1	Perception Breakthrough
34021052	3		1	35	61302	1	Arithmetic Breakthrough
14021053	1		1	14	61302	1	Combat Breakthrough
24021053	2		1	30	61302	1	Perception Breakthrough
34021053	3		1	35	61302	1	Arithmetic Breakthrough
14021054	4	61501		1			Item Calculation
14021055	3		1	15	61302	1	INT verification
14021056	3		1	15	61302	1	INT verification
14021057	3		1	15	61302	1	INT verification
14021058	3		1	15	61302	1	INT verification
14021059	3		1	15	61302	1	INT verification
14021851	3		1	15	61302	1	INT verification
14022051	1		1	10	61302	1	Combat Breakthrough
24022051	2		1	5	61302	1	Perception Breakthrough
34022051	3		1	30	61302	1	Arithmetic Breakthrough
14022052	4	61576		1			Item Calculation
14022053	4	61577		1			Item Calculation
14022054	4	61501		1			Item Calculation
14022055	4	61501		1			Item Calculation
14022056	3		1	14	61302	1	Arithmetic Breakthrough
14023051	1		1	35	61302	1	Combat Breakthrough
24023051	2		1	5	61302	1	Perception Breakthrough
34023051	3		1	14	61302	1	Arithmetic Breakthrough
14023052	1		1	12	61302	1	Combat Breakthrough
24023052	2		1	35	61302	1	Perception Breakthrough
34023052	3		1	30	61302	1	Arithmetic Breakthrough
14023053	1		1	12	61302	1	Combat Breakthrough
24023053	2		1	35	61302	1	Perception Breakthrough
34023053	3		1	30	61302	1	Arithmetic Breakthrough
14023054	4	61578		1			Item Calculation
14023055	4	61501		1			Item Calculation
14023056	3		1	15	61302	1	INT verification
14023057	3		1	15	61302	1	INT verification
14023058	3		1	15	61302	1	INT verification
14024051	1		1	30	61302	1	Combat Breakthrough
24024051	2		1	12	61302	1	Perception Breakthrough
34024051	3		1	35	61302	1	Arithmetic Breakthrough
14024052	1		1	14	61302	1	Combat Breakthrough
24024052	2		1	30	61302	1	Perception Breakthrough
34024052	3		1	35	61302	1	Arithmetic Breakthrough
14024053	4	61579		1			Item Calculation
14024054	4	61579		1			Item Calculation
14024055	4	61579		1			Item Calculation
14024056	4	61579		1			Item Calculation
14024057	4	61579		1			Item Calculation
14024058	4	61585		1			Item Calculation
14024059	3		1	15	61302	1	INT verification
14024851	3		1	15	61302	1	INT verification
14024852	3		1	15	61302	1	INT verification
14024853	3		1	15	61302	1	INT verification
14024854	4	61585		1			Item Calculation
14024855	4	61585		1			Item Calculation
14031051	1		1	35	61302	1	Combat Breakthrough
24031051	2		1	30	61302	1	Perception Breakthrough
34031051	3		1	14	61302	1	Arithmetic Breakthrough
14031052	1		1	35	61302	1	Combat Breakthrough
24031052	2		1	35	61302	1	Perception Breakthrough
34031052	3		1	14	61302	1	Arithmetic Breakthrough
14031053	4	61580		1			Item Calculation
14031054	4	61581		1			Item Calculation
14031055	4	61586		1			Item Calculation
14031056	3		1	15	61302	1	INT verification
14031057	3		1	15	61302	1	INT verification
14031058	3		1	15	61302	1	INT verification
14031059	3		1	15	61302	1	INT verification
14031851	3		1	15	61302	1	INT verification
14031852	3		1	15	61302	1	INT verification
14041051	1		1	14	61302	1	Combat Breakthrough
24041051	2		1	30	61302	1	Perception Breakthrough
34041051	3		1	35	61302	1	Arithmetic Breakthrough
14041052	1		1	30	61302	1	Combat Breakthrough
24041052	2		1	12	61302	1	Perception Breakthrough
34041052	3		1	35	61302	1	Arithmetic Breakthrough
14041053	1		1	10	61302	1	Combat Breakthrough
24041053	2		1	5	61302	1	Perception Breakthrough
34041053	3		1	15	61302	1	Arithmetic Breakthrough
14041054	1		1	10	61302	1	Combat Breakthrough
24041054	2		1	5	61302	1	Perception Breakthrough
34041054	3		1	15	61302	1	Arithmetic Breakthrough
14041055	1		1	10	61302	1	Combat Breakthrough
24041055	2		1	5	61302	1	Perception Breakthrough
34041055	3		1	15	61302	1	Arithmetic Breakthrough
14041056	4	61582		1			Item Calculation
14041057	4	61582		1			Item Calculation
14041058	4	61582		1			Item Calculation
14041059	4	61582		1			Item Calculation
14041851	4	61582		1			Item Calculation
14041852	4	61582		1			Item Calculation
14041853	4	61583		1			Item Calculation
14041854	4	61583		1			Item Calculation
14041855	4	61583		1			Item Calculation
14041856	4	61501		1			Item Calculation
14041857	4	61501		1			Item Calculation
14041858	4	61501		1			Item Calculation
14041859	4	61501		1			Item Calculation
14041751	4	61587		1			Item Calculation
14041752	4	61501		1			Item Calculation
14041753	4	61501		1			Item Calculation
14041754	3		1	15	61302	1	INT verification
14041755	3		1	15	61302	1	INT verification
14041756	3		1	15	61302	1	INT verification
14041757	3		1	15	61302	1	INT verification
14041758	3		1	15	61302	1	INT verification
14041759	3		1	15	61302	1	INT verification
14042051	1		1	27	61302	1	Clean up Shard
24042051	2		1	26	61302	1	Perception Breakthrough
34042051	3		1	29	61302	1	Arithmetic Breakthrough
14042052	1		1	27	61302	1	Combat Breakthrough
24042052	2		1	26	61302	1	Find Reaction
34042052	3		1	29	61302	1	Arithmetic Breakthrough
14042053	1		1	27	61302	1	Combat Breakthrough
24042053	2		1	26	61302	1	Perception Breakthrough
34042053	3		1	29	61302	1	Matrix Calculation
14042054	4	61592		1			Item Calculation
14042055	4	61592		1			Item Calculation
14042056	4	61592		1			Item Calculation
14042057	4	61592		1			Item Calculation
14042058	4	61592		1			Item Calculation
14042059	4	61588		1			Item Calculation
14043051	1		1	27	61302	1	Clean up Shard
24043051	2		1	26	61302	1	Perception Breakthrough
34043051	3		1	29	61302	1	Arithmetic Breakthrough
