Id	RoleId	AttributeValue	Result[1]	Weight[1]	Result[2]	Weight[2]	Result[3]	Weight[3]
127	4	3	1	10	2	10	3	10
128	4	4	2	10	3	10	4	10
129	4	5	3	10	4	10	5	10
130	4	6	4	10	5	10	6	10
131	4	7	5	10	6	10	7	10
132	4	8	6	10	7	10	8	10
133	4	9	7	10	8	10	9	10
134	4	10	8	10	9	10	10	10
135	4	11	9	10	10	10	11	10
136	4	12	10	10	11	10	12	10
137	4	13	11	10	12	10	13	10
138	4	14	12	10	13	10	14	10
139	4	15	13	10	14	10	15	10
140	4	16	14	10	15	10	16	10
141	4	17	15	10	16	10	17	10
142	4	18	16	10	17	10	18	10
143	4	19	17	10	18	10	19	10
144	4	20	18	10	19	10	20	10
145	4	21	19	10	20	10	21	10
146	4	22	20	10	21	10	22	10
147	4	23	21	10	22	10	23	10
148	4	24	22	10	23	10	24	10
149	4	25	23	10	24	10	25	10
150	4	26	24	10	25	10	26	10
151	4	27	25	10	26	10	27	10
152	4	28	26	10	27	10	28	10
153	4	29	27	10	28	10	29	10
154	4	30	28	10	29	10	30	10
155	4	31	29	10	30	10	31	10
156	4	32	30	10	31	10	32	10
157	4	33	31	10	32	10	33	10
158	4	34	32	10	33	10	34	10
159	4	35	33	10	34	10	35	10
160	4	36	34	10	35	10	36	10
161	4	37	35	10	36	10	37	10
162	4	38	36	10	37	10	38	10
163	4	39	37	10	38	10	39	10
164	4	40	38	10	39	10	40	10
