Id	Endurance	ActionId[1]	ActionId[2]	ActionId[3]	ActionId[4]	PunishId[1]	PunishWeight[1]	PunishId[2]	PunishWeight[2]	PunishId[3]	PunishWeight[3]	PunishId[4]	PunishWeight[4]	PunishId[5]	PunishWeight[5]	Title	Description	SucDesc	FailDesc	StartMovieId
1032054	1	11032054				0	100									Compromised Code	The filthy pile of remains can contain some clue, but calculation is the only way that can lead you to the possible answer. (Calculation required)	The impatient traces join together and point to somewhere far away. Seems that the deceptor did not have time to properly hide the traces after building this pile of remains.	The data inside looks as messy as the pile of remains. A single calculation does not seem to get you meaningful results.	JD01605BA
1032055	1	11032055				0	100									Compromised Code	The traces of disorder and bridging connection are straight forward and obvious. Remove it now for the clearest information that provides the best direction. (Calculation required)	The disordered module is successfully removed. You retrieve all the information.	Due to hesitation and mistakes, the disordered module gradually merges with the program. You have to hack into it further to find more information.	JD01606BA
1032056	0	11032056				1032021	50									Sudden Fault	Your recklessness has led you into a trap. Maybe you can utilize your capabilities to avoid it.	Apparently it isn't even a challenge for you, but you better be careful next time.	Even the most outstanding individual may make mistakes. You are lucky to avoid the potential negative event.	
1032057	0	11032057				1032022	50									Sudden Fault	Your recklessness has led you into a trap. Maybe you can utilize your capabilities to avoid it.	Apparently it isn't even a challenge for you, but you better be careful next time.	Even the most outstanding individual may make mistakes. You are lucky to avoid the potential negative event.	
1033051	1	11033051				0	100	1033041	100	1033021	50	1033022	50	1033023	40	Data Maze	You face multiple split roads and can not tell which is the right one with naked eyes.	Your outstanding Perception leads the team onto the right road. As you advance, you also see the obstacles and danger on other routes.	Unfortunately, Perception isn't on your side. You have to face the reality and look for a way out again.	
1033052	1	11033052				0	100	1033041	100	1033021	50	1033022	50	1033023	40	Disruptive Block	The entire area is filled with disordered, broken visual signals. The sensors on terminals and Constructs are significantly impacted. If the interference can not be removed...	The interference is eventually suppressed. The visual signals in the area are restored.	Suppression alone cannot overwhelm the machine algorithm. The situation is not getting any better, and you have to seek alternative solutions.	
1041051	1	11041051	21041051			0	100	1041041	100							Hijacking Waypoint	The disordered programs block the road. You must clear away a lot of them to cross. (Calculation required)	As the programs are reduced, you create an opening amongst them.	The number of programs keep dropping, but the road is still blocked.	JD01607BA
1041052	1	11041052				0	100	1041041	100							Bridging Marks	You must break through the chaotic battlefield in order to advance. (Calculation required)	You crush the frontal siege like a hammer.	You are pushed back by the programs' attack.	JD01610BA
1041053	1	11041053	21041053			0	100	1041041	100							Hijacking Waypoint	You must remove the blockade to continue moving forward. (Calculation required)	You manage to break through the data barrier and see a new road.	The data barrier remains intact.	JD01608BA
1041055	1	11041055	21041055			0	100	1041041	100							Hijacking Waypoint	You must remove the blockade to continue moving forward. (Calculation required)	You manage to break through the data barrier and see a new road.	The data barrier remains intact.	JD01609BA
1042051	0	11042051														Lost Record	You must find [Lost Mission Record] to continue going forward. It can be obtained by exploring Area 2 of Eden 16-B.	You have successfully used [Lost Mission Record] to go through the blockade. More unknown awaits you in the future exploration.	No Failure Description	
1042052	1	11042052	21042052			0	100	1042041	100							Line Error	The data barrier stands right ahead, leaving you no choice. You must remove the blockade to continue moving forward. (Calculation required)	You manage to break through the data barrier and see a new road.	The data barrier remains intact.	JD01611BA
1042053	1	11042053				0	100	1042041	100							Unknown Port	There is a Babylonia-style security lock on the entrance of the channel. (Calculation required)	Security Lock: Access confirmed. Unlocking...	Security Lock: Authorizing... Authorization failed. Please try again.	JD01612BA
1042055	1	11042055				0	100	1042041	100							Unknown Port	There is a Babylonia-style security lock on the entrance of the channel. You see signals blinking in disorder. (Calculation required)	The security lock's functions are completely destroyed. It quietly opens.	Security Lock: *YUB&TG (—HIBP(*&TYBUPIGP	JD01613BA
1042057	1	11042057	21042057			0	100	1042041	100							Unknown Port	There is a Babylonia-style security lock on the entrance of the channel. You see signals and modules blinking in disorder. (Calculation required)	Security Lock: Access confirmed. Unlocking...	Security Lock: *YUB&TG (—HIBP(*&TYBUPIGP	JD01614BA
1043051	1	11043051				0	100	1043041	100	1043021	50	1043022	50	1043023	40	Abnormal Hostility	Something has modified the command sequence of the programs and they now see you as enemy. You must fight to keep moving forward.	Your tactics are very effective. You break out of the siege and create a way forward.	The rushed tactic leads to an imperfect result. You make some progress with your overwhelming combat abilities, but eventually decide to give up due to the sheer number of hostile programs.	
1043052	1	11043052				0	100	1043041	100	1043021	50	1043022	50	1043023	40	Data Maze	You face multiple split roads and can not tell which is the right one with naked eyes.	Your outstanding Perception leads the team onto the right road. As you advance, you also see the obstacles and danger on other routes.	Unfortunately, Perception isn't on your side. You have to face the reality and look for a way out again.	
1043053	0	11043053														Hidden Node	You must find [Deserted Waypoint] to continue going forward. It can be obtained by exploring Area 2 of Parliament Square.	You have successfully used [Deserted Waypoint] to go through. More unknown awaits you in the future exploration.		
1043054	0	11043054														Forgotten Record	You must find [Lost Mission Record] to continue going forward. It can be obtained by exploring Area 2 of Eden 16-B.	You have successfully used [Lost Mission Record] to go through. More unknown awaits you in the future exploration.		
1043055	0	11043055														Comms Device	You must find [Comms Record of Scarab Squad] to continue going forward. It can be obtained by exploring Area 2 of the Tactical Bridge.	You have successfully used [Comms Record of Scarab Squad] to go through. More unknown awaits you in the future exploration.		
1044051	1	11044051				0	100	1044041	100	1044021	50	1044022	50	1044023	40	Abnormal Hostility	Something has modified the command sequence of the programs and they now see you as enemy. You must fight to keep moving forward.	Your tactics are very effective. You break out of the siege and create a way forward.	The rushed tactic leads to an imperfect result. You make some progress with your overwhelming combat abilities, but eventually decide to give up due to the sheer number of hostile programs.	
1044052	1	11044052				0	100	1044041	100	1044021	50	1044022	50	1044023	40	Data Maze	You face multiple split roads and can not tell which is the right one with naked eyes.	Your outstanding Perception leads the team onto the right road. As you advance, you also see the obstacles and danger on other routes.	Unfortunately, Perception isn't on your side. You have to face the reality and look for a way out again.	
1044053	1	11044053				0	100	1044041	100	1044021	50	1044022	50	1044023	40	Disruptive Block	The entire area is filled with disordered, broken visual signals. The sensors on terminals and Constructs are significantly impacted. If the interference can not be removed...	The interference is eventually suppressed. The visual signals in the area are restored.	Suppression alone cannot overwhelm the machine algorithm. The situation is not getting any better, and you have to seek alternative solutions.	
1044054	1	11044054				0	100	1044041	100	1044021	50	1044022	50	1044023	40	Abnormal Hostility	Something has modified the command sequence of the programs and they now see you as enemy. You must fight to keep moving forward.	Your tactics are very effective. You break out of the siege and create a way forward.	The rushed tactic leads to an imperfect result. You make some progress with your overwhelming combat abilities, but eventually decide to give up due to the sheer number of hostile programs.	
1044055	0	11044055														Blurred Data	You must find [Bait Processor] to continue going forward. It can be obtained by exploring Area 2 of Dominik Memorial Park.	You have successfully used [Bait Processor] to go through. More unknown awaits you in the future exploration.		
1051051	0	11051051														Break the Lift	You must use [Electronic Circuit] to repair the lift unit. It can be obtained by repairing the [Faulty Circuit] in this area.	You repair the lift's faulty circuit with [Electronic Circuit]. The lift is still very jerky, but at least it can function.	No Failure Description	
1051052	0	11051052				0	100	1042041	100	1042021	50	1042022	50	1042023	40	Sudden Fault	Your recklessness has led you into a trap. Maybe you can utilize your capabilities to avoid it.	Apparently it isn't even a challenge for you, but you better be careful next time.	Even the most outstanding individual may make mistakes. You are lucky to avoid the potential negative event.	
1051053	0	11051053				0	100	1042041	100	1042021	50	1042022	50	1042023	40	Paralyzing Mine	Your recklessness has led you into a trap. Maybe you can utilize your capabilities to avoid it.	Apparently it isn't even a challenge for you, but you better be careful next time.	Even the most outstanding individual may make mistakes. You are lucky to avoid the potential negative event.	
1051054	0	11051054														Machine Blockade	You must find [Passcode] to continue going forward. It can be obtained by exploring Area 2 of Dominik Memorial Park.	You use [Passcode] to get through the blockade, but more mysteries awaites you ahead.	No Failure Description	
1051055	1	11051055	21051055			0	100	1042041	100							Camouflage Node	An interference node is hiding within the normal communication port between the bridge and the deck. It has significantly impacted your spatial perception. You have no time for in-depth analysis, the node must be stopped immediately. (Calculation required)	The node is destroyed. It can no longer maintain its function, or the interference.	The node is damaged, but still keeps its interfering function.	JD01615BA
1051056	1	11051056	21051056			0	100	1042041	100							Hetero Node	An interference node was hiding witin the CIC terminal jumpers and impacting your visual cognitive ability. You must find it and destroy it. (Calculation required)	The node is destroyed. It can no longer maintain its function, or the interference.	The node is damaged, but still keeps its interfering function.	JD01616BA
1051057	1	11051057				0	100	1042041	100							Denial Node	An interference node is impacting your electronic combat ability on the amplifier of the holographic sand table. It carries greater power than your device, so your only option is to physically destroy it. (Calculation required)	The node is destroyed. It can no longer maintain its function, or the interference.	The node is damaged, but still keeps its interfering function.	
1051058	1	11051058				0	100	1042041	100							Complicated Node	An interference node has hijacked the original security permission inside the firewall's internal ports. The stability of your tactical commands is under threat. The best way to neutralize the node is to decipher its bottom layer code. (Calculation required)	The node is destroyed. It can no longer maintain its function, or the interference.	The node is damaged, but still keeps its interfering function.	
1051059	1	11051059				0	100	1042041	100							Closed Node	A node is interfering with all the security locks at the end of the channel. To pass, you must find out the interference pattern to stop the node. (Calculation required)	The node is destroyed. It can no longer maintain its function, or the interference.	The node is damaged, but still keeps its interfering function.	
1052051	1	11052051				0	100	1052041	100	1052021	50	1052022	50	1052023	40	Abnormal Hostility	Something has modified the command sequence of the programs and they now see you as enemy. You must fight to keep moving forward.	Your tactics are very effective. You break out of the siege and create a way forward.	The rushed tactic leads to an imperfect result. You make some progress with your overwhelming combat abilities, but eventually decide to give up due to the sheer number of hostile programs.	
1052052	1	11052052				0	100	1052041	100	1052021	50	1052022	50	1052023	40	Data Maze	You face multiple split roads and can not tell which is the right one with naked eyes.	Your outstanding Perception leads the team onto the right road. As you advance, you also see the obstacles and danger on other routes.	Unfortunately, Perception isn't on your side. You have to face the reality and look for a way out again.	
1052053	1	11052053				0	100	1052041	100	1052021	50	1052022	50	1052023	40	Disruptive Block	The entire area is filled with disordered, broken visual signals. The sensors on terminals and Constructs are significantly impacted. If the interference can not be removed...	The interference is eventually suppressed. The visual signals in the area are restored.	Suppression alone cannot overwhelm the machine algorithm. The situation is not getting any better, and you have to seek alternative solutions.	
1052054	0	11052054														Defense Facility	You must find [Lost Defense Data] to continue going forward. It can be obtained by exploring Area 3 of Dominik Memorial Park.	You have successfully used [Lost Defense Data] to go through. More unknown awaits you in the future exploration.		
1052055	0	11052055														Surveillance	You must find [Gestalt Surveillance Record] to continue going forward. It can be obtained by exploring Area 2 of Parliament Square.	You have successfully used [Gestalt Surveillance Record] to go through. More unknown awaits you in the future exploration.		
1053051	1	11053051				0	100	1053041	100	1053021	50	1053022	50	1053023	40	Abnormal Hostility	Something has modified the command sequence of the programs and they now see you as enemy. You must fight to keep moving forward.	Your tactics are very effective. You break out of the siege and create a way forward.	The rushed tactic leads to an imperfect result. You make some progress with your overwhelming combat abilities, but eventually decide to give up due to the sheer number of hostile programs.	
2021051	1	22021051	32021051													Origin of Tide	Liv has observed many clues along the way. Perhaps she can find some link among them.	Liv realizes the remains here were quite fresh. Maybe the Corrupted just got here not long ago, or maybe their remains were recycled by someone.	Following Liv's sight, you see vital fluid leaking from a Corrupted body in the direction of its finger that is pointing forward, just like how its owner was unwilling to stop. There is no other finding.	JD01621BA
2021052	0	12021052														Undefeated	You may be able to find an easier way through if you can have access to the memories of someone who once passed this place. (You need to find [Damaged Memory Shell] on this level)	From the memory shell, you see the memories of someone who was fighting here. Thanks to the record, you find a safe and easy way.		
2021053	0	12021053														Alternate Route	Perhaps a safer route is recorded somewhere else. (You need to find [Mini Storage Terminal] on this level)	There is a map in the storage suggesting a hidden route. Maybe it can help you pass.		
2021054	0	12021054														Picking up Data	In order to search for clues within this area faster, you must submit the data collected to Spear of F.O.S., so it can help speed up your search. (You need to find [Data Collection Terminal] on this level)	The Spear of F.O.S. has successfully read the data... Generating projections...		
2021055	0	12021055														Collapsed Ruins	The residential area was deserted long ago. The door is closely sealed. (You need to find [Key Data] on this level)	Based on the key data, Lee makes a key from the available materials. The door is opened.		
2021056	0	12021056				2021041	50	2021021	20	2021022	20	2021023	20			Local Dead Zone	The leaking Punishing contamination has turned the ground into a Dead Zone. You manage to escape as soon as possible, but the team is still affected.	Thanks to your swift reaction, all the team members managed to get out of the local Dead Zone completely. You are all safe—for now.	The Punishing Virus is spreading way faster than you expected. Many team members are infected.	
2021057	0	12021057				2021041	50	2021021	20	2021022	20	2021023	20			Local Dead Zone	The leaking Punishing contamination has turned the ground into a Dead Zone. You manage to escape as soon as possible, but the team is still affected.	Thanks to your swift reaction, all the team members managed to get out of the local Dead Zone completely. You are all safe—for now.	The Punishing Virus is spreading way faster than you expected. Many team members are infected.	
2021058	0	12021058				2021041	50	2021021	20	2021022	20	2021023	20			Local Dead Zone	The leaking Punishing contamination has turned the ground into a Dead Zone. You manage to escape as soon as possible, but the team is still affected.	Thanks to your swift reaction, all the team members managed to get out of the local Dead Zone completely. You are all safe—for now.	The Punishing Virus is spreading way faster than you expected. Many team members are infected.	
2022051	1	22022051	32022051													Footprints	There are many footprints. It is quite difficult to find out the odd movement pattern.	After some careful observation, you notice a footprint trail toward the collapsed building not far away. You follow the trail to find a hidden room.	You struggle to find any useful clues from the messy footprints, and decide to turn a bottle instead. The bottle points to an abandoned toilet. You cannot find anything inside.	JD01622BA
2022052	1	22022052	32022052													Collapsed Hidden Door	The door is covered under lots of collapsed debris. You only have time to clear two spots. Where will the correct answer be?	Using the faded wall as a clue, you pick the right answer based on the pattern on the key. There is a floating auxiliary machine in the room, and you take a data chip from it.	You step onto a loose piece of floor. It could be disastrous if Lucia has not grabbed you in time.	JD01623BA
2022053	0	12022053														Pass the Hidden Door	This door is sealed. You need a [Key Card] to keep going forward.	You successfully open the hidden door. It seems that someone has visited here in a rush and hidden something here.	No Failure Description	
2022054	0	12022054														Pass the Hidden Door	This door is sealed. You need a [Key Card] to keep going forward.	You successfully open the hidden door. It seems that someone has visited here in a rush and hidden something here.	No Failure Description	
2022055	0	12022055														Pass the Hidden Door	This door is sealed. You need a [Key Card] to keep going forward.	You successfully open the hidden door. It seems that someone has visited here in a rush and hidden something here.	No Failure Description	
2022056	0	12022056														Pass the Hidden Door	This door is sealed. You need a [Key Card] to keep going forward.	You successfully open the hidden door. It seems that someone has visited here in a rush and hidden something here.	No Failure Description	
2022057	0	12022057														Data Chip	The Spear of F.O.S. only accepts data chips that are safely decrypted. (You need to find [Data Chip] on this level)	The Spear of F.O.S. has successfully read the data... Generating projections...	No Failure Description	
2022058	0	12022058														Data Chip	The Spear of F.O.S. only accepts data chips that are safely decrypted. (You need to find [Data Chip] on this level)	The Spear of F.O.S. has successfully read the data... Generating projections...	No Failure Description	
2022059	0	12022059														Data Chip	The Spear of F.O.S. only accepts data chips that are safely decrypted. (You need to find [Data Chip] on this level)	The Spear of F.O.S. has successfully read the data... Generating projections...	No Failure Description	
2022851	0	12022851														Data Chip	The Spear of F.O.S. only accepts data chips that are safely decrypted. (You need to find [Data Chip] on this level)	The Spear of F.O.S. has successfully read the data... Generating projections...	No Failure Description	
2022852	0	12022852														Data Chip	The Spear of F.O.S. only accepts data chips that are safely decrypted. (You need to find [Data Chip] on this level)	The Spear of F.O.S. has successfully read the data... Generating projections...	No Failure Description	
2022853	0	12022853				2022041	50	2022021	20	2022022	20	2022023	20			Local Dead Zone	The leaking Punishing contamination has turned the ground into a Dead Zone. You manage to escape as soon as possible, but the team is still affected.	Stepped onto the collapsed ground	Stepped onto the collapsed ground	
2022854	0	12022854				2022041	50	2022021	20	2022022	20	2022023	20			Local Dead Zone	The leaking Punishing contamination has turned the ground into a Dead Zone. You manage to escape as soon as possible, but the team is still affected.	Stepped onto the collapsed ground	Stepped onto the collapsed ground	
2022855	0	12022855				2022041	50	2022021	20	2022022	20	2022023	20			Local Dead Zone	The leaking Punishing contamination has turned the ground into a Dead Zone. You manage to escape as soon as possible, but the team is still affected.	Stepped onto the collapsed ground	Stepped onto the collapsed ground	
2031051	1	22031051	12031051													A Long Journey	Where do these two roads lead?	It is quite obvious that the road on the left has fewer Corrupted. Most of them are crowding up on the right.	You find an abandoned paper called "Impact of Punishing on Food". The document discusses dozens of methods to cook Punishing-contaminated food, and the conclusion is that Punishing Virus itself would not impact the taste of ingredients, but the symptoms related to Punishing infection would. There is no other finding.	JD01624BA
2031052	1	22031052	12031052													Farewell Letter	Filtering the keywords from the vast amount of data can be a tedious work. You must pay full attention.	You carefully examine all clues. Nothing is omitted.	A news article catches your eye. The title is "Unbelievable! Man Celebrating Birthday with His Family One Year after Infection." You tap it open, only to find a photo celebrating the 100th birthday of someone in a portrait. There is no other finding.	JD01625BA
2031053	1	22031053	12031053													Voice of the Fanatic	Filtering the keywords from the vast amount of data can be a tedious work. You must pay full attention.	You carefully examine all clues. Nothing is omitted.	You searched for Huaxu, but are distracted by a game ad amongst the search results. The title of the ad is "Games — The Last Huaxu Paradise in Apocalypse", but the actual game picture is replaced by a gray image filled with question marks. There is no other finding.	JD01626BA
2031054	0	12031054														Message Record	Get [Message Record] from [Zone C Abandoned Factory] Entrance	[Message Record] successfully used. You may continue moving forward now.	No Failure Description	
2031055	0	12031055														Scrapped	Scrapped	Calculation successful — lots of description 32	Calculation failed — lots of description 32	
2031056	0	12031056														Scrapped	Scrapped	Calculation successful — lots of description 33	Calculation failed — lots of description 33	
2031057	0	12031057														Scrapped	Scrapped	Calculation successful — lots of description 34	Calculation failed — lots of description 34	
2031058	0	12031058														Scrapped	Scrapped	Calculation successful — lots of description 35	Calculation failed — lots of description 35	
2031059	0	12031059														Scrapped	Scrapped	Calculation successful — lots of description 36	Calculation failed — lots of description 36	
2031851	0	12031851														Final Clue	You have searched almost every corner of the 1st street. Is this the last area? (You need to find [Shopping Street Map] on this level)	After going through many clues, you finally find out what happened after the farewell letter. Two delighted young men came to where the treasure was, only to find out that the "anti-Punishing weapon" was nothing but a warehouse full of already crystalized salt, with a "research report" full of newspaper cutouts that consisted of rumors about how salt could kill the Punishing Virus.	No Failure Description	
2031852	0	12031852														Final Clue	You have searched almost every corner of the 1st street. Is this the last area? (You need to find [Remaining Clue 1] on this level)	After going through many clues, you finally find out what happened after the farewell letter. Two delighted young men came to where the treasure was, only to find out that the "anti-Punishing weapon" was nothing but a warehouse full of already crystalized salt, with a "research report" full of newspaper cutouts that consisted of rumors about how salt could kill the Punishing Virus.	No Failure Description	
2031853	0	12031853														Final Clue	You have searched almost every corner of the 1st street. Is this the last area? (You need to find [Remaining Clue 2] on this level)	After going through many clues, you finally find out what happened after the farewell letter. Two delighted young men came to where the treasure was, only to find out that the "anti-Punishing weapon" was nothing but a warehouse full of already crystalized salt, with a "research report" full of newspaper cutouts that consisted of rumors about how salt could kill the Punishing Virus.	No Failure Description	
2031854	0	12031854														Final Clue	You have searched almost every corner of the 1st street. Is this the last area? (You need to find [Shopping Street Map] on this level)	After going through many clues, you finally find out what happened after the farewell letter. Two delighted young men came to where the treasure was, only to find out that the "anti-Punishing weapon" was nothing but a warehouse full of already crystalized salt, with a "research report" full of newspaper cutouts that consisted of rumors about how salt could kill the Punishing Virus.	No Failure Description	
2031855	0	12031855														Final Clue	You have searched almost every corner of the 1st street. Is this the last area? (You need to find [Remaining Clue 1] on this level)	After going through many clues, you finally find out what happened after the farewell letter. Two delighted young men came to where the treasure was, only to find out that the "anti-Punishing weapon" was nothing but a warehouse full of already crystalized salt, with a "research report" full of newspaper cutouts that consisted of rumors about how salt could kill the Punishing Virus.	No Failure Description	
2031856	0	12031856														Final Clue	You have searched almost every corner of the 1st street. Is this the last area? (You need to find [Remaining Clue 2] on this level)	After going through many clues, you finally find out what happened after the farewell letter. Two delighted young men came to where the treasure was, only to find out that the "anti-Punishing weapon" was nothing but a warehouse full of already crystalized salt, with a "research report" full of newspaper cutouts that consisted of rumors about how salt could kill the Punishing Virus.	No Failure Description	
2032051	1	22032051	32032051													Young Boy's Location	Where has the young boy gone?	Amongst the many Corrupted, you see the young boy and Roland moving to the left!	Amongst many Corrupted, you see the two young men who found the farewell letter. They are dragging two heavy luggage cases with a heavy heart. Can it be that they had already found the things mentioned in the farewell letter? You have no other findings.	JD01627BA
2032052	1	22032052	32032052													Old Photo	The photo is blurry and dated. There is a small, skinny figure on it. Who can that be?	Tears fall on the photo as her fingers gently stroke the vague silhouette. You suddenly realize it is that young boy Construct on the photo.	You have no idea about the identity of the boy on the photo, but you see the two young men who took the farewell letter taking out crystalized salt from their luggage, throwing at the Corrupted... When you look again, you realize their luggage was full of salt crystals.	JD01628BA
2032053	0	12032053														Remaining Data	If you still care about that boy, you may look around for him. (You need to find [Remaining Data] on this level)	You see a familiar silhouette from the projections of Corrupted...	No Failure Description	
2032054	0	12032054														Around the Corner	The person you saw back then can be linked to who the young boy was looking for. (You need to find [Scavenger Woman's Data] on this level)	You see a familiar silhouette from the projections of the scavengers...	No Failure Description	
2032055	0	12032055				2032041	50	2032021	20	2032022	20	2032023	20			Local Dead Zone	The leaking Punishing contamination has turned the ground into a Dead Zone. You manage to escape as soon as possible, but the team is still affected.	Thanks to your swift reaction, all the team members managed to get out of the local Dead Zone completely. You are all safe—for now.	The Punishing Virus is spreading way faster than you expected. Your team is substantially affected by the virus.	
2032056	0	12032056				2032041	50	2032021	20	2032022	20	2032023	20			Local Dead Zone	The leaking Punishing contamination has turned the ground into a Dead Zone. You manage to escape as soon as possible, but the team is still affected.	Thanks to your swift reaction, all the team members managed to get out of the local Dead Zone completely. You are all safe—for now.	The Punishing Virus is spreading way faster than you expected. Your team is substantially affected by the virus.	
2032057	0	12032057				2032041	50	2032021	20	2032022	20	2032023	20			Local Dead Zone	The leaking Punishing contamination has turned the ground into a Dead Zone. You manage to escape as soon as possible, but the team is still affected.	Thanks to your swift reaction, all the team members managed to get out of the local Dead Zone completely. You are all safe—for now.	The Punishing Virus is spreading way faster than you expected. Your team is substantially affected by the virus.	
2032058	0	12032058				2032041	50	2032021	20	2032022	20	2032023	20			Local Dead Zone	The leaking Punishing contamination has turned the ground into a Dead Zone. You manage to escape as soon as possible, but the team is still affected.	Thanks to your swift reaction, all the team members managed to get out of the local Dead Zone completely. You are all safe—for now.	The Punishing Virus is spreading way faster than you expected. Your team is substantially affected by the virus.	
2032059	0	12032059				2032041	50	2032021	20	2032022	20	2032023	20			Local Dead Zone	The leaking Punishing contamination has turned the ground into a Dead Zone. You manage to escape as soon as possible, but the team is still affected.	Thanks to your swift reaction, all the team members managed to get out of the local Dead Zone completely. You are all safe—for now.	The Punishing Virus is spreading way faster than you expected. Your team is substantially affected by the virus.	
2032851	0	12032851				2032041	50	2032021	20	2032022	20	2032023	20			Local Dead Zone	The leaking Punishing contamination has turned the ground into a Dead Zone. You manage to escape as soon as possible, but the team is still affected.	Thanks to your swift reaction, all the team members managed to get out of the local Dead Zone completely. You are all safe—for now.	The Punishing Virus is spreading way faster than you expected. Your team is substantially affected by the virus.	
2032852	0	12032852				2032041	50	2032021	20	2032022	20	2032023	20			Local Dead Zone	The leaking Punishing contamination has turned the ground into a Dead Zone. You manage to escape as soon as possible, but the team is still affected.	Thanks to your swift reaction, all the team members managed to get out of the local Dead Zone completely. You are all safe—for now.	The Punishing Virus is spreading way faster than you expected. Your team is substantially affected by the virus.	
