Id	Type	Params[1]	Params[2]	Desc
1051021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
1051022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
1051023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
1051031	3	61001	20	20 Battle Support Points lost.
1052041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
1052021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
1052022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
1052023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
1052031	3	61001	20	20 Battle Support Points lost.
1053041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
1053021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
1053022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
1053023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
1053031	3	61001	20	20 Battle Support Points lost.
2021021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
2021022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
2021023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
2021031	3	61001	20	20 Battle Support Points lost.
2021041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
2022021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
2022022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
2022023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
2022031	3	61001	20	20 Battle Support Points lost.
2022041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
2031021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
2031022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
2031023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
2031031	3	61001	20	20 Battle Support Points lost.
2031041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
2032021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
2032022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
2032023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
2032031	3	61001	20	20 Battle Support Points lost.
2032041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
2033021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
2033022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
2033023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
2033031	3	61001	20	20 Battle Support Points lost.
2033041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
2041021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
2041022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
2041023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
2041031	3	61001	20	20 Battle Support Points lost.
2041041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
2042021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
2042022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
2042023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
2042031	3	61001	20	20 Battle Support Points lost.
2042041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
2043021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
2043022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
2043023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
2043031	3	61001	20	20 Battle Support Points lost.
2043041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
3021021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
3021022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
3021023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
3021031	3	61001	20	20 Battle Support Points lost.
3021041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
3022021	2	3001		Ending the life of an ally might be just too difficult for you. While you are hesitating, the Construct ceases to function permanently in a crawling position. The Connector is impacted by sympathy and lost 2 Combat ability for 1 day.
3022022	2	3003		Ending the life of an ally might be just too difficult for you. While you are hesitating, the Construct ceases to function permanently in a crawling position. The Connector is impacted by sympathy and lost 2 Perception ability for 1 day.
3022023	2	3005		Ending the life of an ally might be just too difficult for you. While you are hesitating, the Construct ceases to function permanently in a crawling position. The Connector is impacted by sympathy and lost 2 Arithmetic ability for 1 day.
3022031	3	61001	20	20 Battle Support Points lost.
3022041	4			Ending the life of an ally might be just too difficult for you. While you were hesitating, the Construct ceased to function permanently in a crawling position. You had to return to the starting point to calm yourself down.
3023021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
3023022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
3023023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
3023031	3	61001	20	20 Battle Support Points lost.
3023041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
3024021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
3024022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
3024023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
3024031	3	61001	20	20 Battle Support Points lost.
3024041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
3031021	2	3001		You lose some precious time and attract more enemies. The Connector tries to leave in a rush and suffers a loss, losing 2 Combat ability for 1 day.
3031022	2	3003		You lose some precious time and attract more enemies. The Connector tries to leave in a rush and suffers a loss, losing 2 Perception ability for 1 day.
3031023	2	3005		You lose some precious time and attract more enemies. The Connector tries to leave in a rush and suffers a loss, losing 2 Arithmetic ability for 1 day.
3031031	3	61001	20	20 Battle Support Points lost.
3031041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
3032021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
3032022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
3032023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
3032031	3	61001	20	20 Battle Support Points lost.
3032041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
3033021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
3033022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
3033023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
3033031	3	61001	20	20 Battle Support Points lost.
3033041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
3034021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
3034022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
3034023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
3034031	3	61001	20	20 Battle Support Points lost.
3034041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
3041021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
3041022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
3041023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
3041031	3	61001	20	20 Battle Support Points lost.
3041041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
3042021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
3042022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
3042023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
3042031	3	61001	20	20 Battle Support Points lost.
3042041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
3043021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
3043022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
3043023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
3043031	3	61001	20	20 Battle Support Points lost.
3043041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
3051021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
3051022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
3051023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
3051031	3	61001	20	20 Battle Support Points lost.
3051041	4			The Memory was damaged, and Lucia needed to return to the starting point to recover. No matter how many times she failed, she must unveil the secret behind the lost memories.
3052021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
3052022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
3052023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
3052031	3	61001	20	20 Battle Support Points lost.
3052041	4			The Memory was damaged, and Lucia needed to return to the starting point to recover. No matter how many times she failed, she must return to them.
4021021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
4021022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
4021023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
4021031	3	61001	20	20 Battle Support Points lost.
4021041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
4022021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
4022022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
4022023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
4022031	3	61001	20	20 Battle Support Points lost.
4022041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
4023021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
4023022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
4023023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
4023031	3	61001	20	20 Battle Support Points lost.
4023041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
4024021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
4024022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
4024023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
4024031	3	61001	20	20 Battle Support Points lost.
4024041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
4031021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
4031022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
4031023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
4031031	3	61001	20	20 Battle Support Points lost.
4031041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
4041021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
4041022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
4041023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
4041031	3	61001	20	20 Battle Support Points lost.
4041041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
4042021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
4042022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
4042023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
4042031	3	61001	20	20 Battle Support Points lost.
4042041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
4043021	2	3001		The Connector suffers a penalty for their reckless attempt. Combat ability reduced by 2 points for 1 day.
4043022	2	3003		The Connector suffers a penalty for their reckless attempt. Perception ability reduced by 2 points for 1 day.
4043023	2	3005		The Connector suffers a penalty for their reckless attempt. Arithmetic ability reduced by 2 points for 1 day.
4043031	3	61001	20	20 Battle Support Points lost.
4043041	4			The data space is in chaos. When it finally calms down, you realize you have already returned to the starting point.
