Id	Title	StoryText
18	Encounter: Nightblade	Taking a stroll on the beach, you cannot resist digging up some of the clams and mussels, and you run into Watanabe, who is also squatting on the beach.
19	Encounter: Astral	Coming upon a flea market, you witness Watanabe's exceptional bargaining skills as he purchases two large cases of gifts for the Forsaken children.
20	Encounter: Arclight	While visiting the aquarium, Chrome explains to you the differences between the fishes in different biospheres with more in-depth knowledge than a tour guide.
21	Encounter: Silverfang	Playing hide-and-seek in the Venus Splash Park, you only find Sophia at the very end. She has been hiding near where you started the whole time.
22	Encounter: Rozen	Having put up with Vera's drunken behaviors for an hour, you eventually realize that Vera has been drinking non-alcoholic electrolyte drinks.
23	Encounter: Crocotta	You run into Camu as he is escorted out by a teary-eyed restaurant owner after Camu ate all the food there in a food challenge and won a free meal.
24	Encounter: Rigor	Watching the old animated movie "Shark-speare's Adventure" at the holo-cinema in the park, you find Rosetta sitting beside you, moved by Shark-speare's resolve.
25	Encounter: Pavo	You have to comb Qu's hair for nearly an hour after riding the roller-coaster with her. Due to her long hair, you barely saw anything during the ride sitting behind her.
26	Encounter: Qilin	You run into Changyu, who is holding a handful of game coins at the Game Center. He proceeds to drag you to the gift counter and clear it out.
27	Encounter: Laurel	You and Luna watch moon jellies together after you run into her at the aquarium. She is mesmerized by how the frail creatures simply drift along the waves.
28	Encounter: Brilliance	You watch as seagulls knock over Ayla's paint while she is painting on the beach, and her work eventually becomes...
29	Encounter: Tempest	You find Selena playing her violin impromptu at the center of the square. Somehow, her violin case is filled with Venus Coupons.
30	Encounter: Hypnos	You find Wanshi napping on a beach chair. Looking closely, you find the book he used to shield his face from the sun is Chrome's "The Merchant of Venice".
31	Invite: Lotus	Lucia seems to believe the mascot in the Froggie costume to be the actual Froggie. Should you tell her the truth?
32	Invite: Dawn	You pass by the cookie-making event at the park, and the two-hour event is coming to an end. You find Lucia there carefully packaging her finished work, seemingly hoping to bring them back to the Gray Raven base.
33	Invite: Plume	You find Lucia at dusk as she queues before the Ferris wheel. Together, you board it and reach the highest point of the park, and you watch the fading sunlight gilding Lucia's dark hair with gold.
34	Invite: Alpha	Alpha pulls you onto her jet ski before you can rent one. The waves almost knock you over, but she catches you in time.
35	Invite: Palefire	You find Lee lost in thought during the light show at Venus Splash Park. He claims that he would have done a better and more efficient job if he were the one in charge of the electronics.
36	Invite: Entropy	While competing with you at the shooting gallery in the park, Lee manages to shoot down over two bags full of plushies, which the two of you carry back to the rendezvous point.
37	Invite: Eclipse	While strolling in the park, you find Liv spacing out as she stares at the flowerbeds. She seems to be planning a similar gardening project at the Gray Raven base.
38	Invite: Lux	Having met Liv as you both bought crepes from the food truck, you swap your different-favored crepes with each other halfway through. Liv looks happy to you.
39	Invite: Luminance	Startled by you, a group of doves flies away when you sit on a bench in the square, and you see Liv amidst their wings, who is looking at you too as she feeds the doves.
40	Invite: Bastion	Having witnessed Kamui's failed attempts to surf with Big Kamui several times, you finally stop him and takes him to rent a surfboard.
41	Invite: Tenebrion	Kamui tries to act cool while playing the dance machine at the Game Center, and you witness the moment he falls flat on his face.
42	Invite: Zero	You have afternoon tea with Bianca after running into her shopping and helping carry her things. She gives you a whole bunch of vouchers.
43	Invite: Veritas	Having climbed the highest tower of the castle in the park, you find Bianca standing there in the rising sun, her hair flying in the wind and the dawn enveloping her in a sacred halo.
44	Invite: Blast	You are assigned to Venus Splash Park's logistics department with Karenina, and you are forced to increase the amount of explosives used in the firework tonight.
45	Invite: Ember	Having been dragged into Karnina's water fight while you stroll on the beach, you lose miserably to her super soaker, which is actually her Bazooka.
46	Invite: Storm	Having gotten lost in the float parade, you run into Nanami, who is pretending to be an NPC. You two hide in the parade, not discovered until the very end.
47	Invite: Pulse	After getting a higher score than Nanami out of sheer luck at the Game Center, she drags you to play 20 games of Zevious BX with her nonstop.
48	Invite: Nightblade	Taking a stroll on the beach, you cannot resist digging up some of the clams and mussels, and you run into Watanabe, who is also squatting on the beach.
49	Invite: Astral	Coming upon a flea market, you witness Watanabe's exceptional bargaining skills as he purchases two large cases of gifts for the Forsaken children.
50	Invite: Arclight	While visiting the aquarium, Chrome explains to you the differences between the fishes in different biospheres with more in-depth knowledge than a tour guide.
51	Invite: Silverfang	Playing hide-and-seek in the Venus Splash Park, you only find Sophia at the very end. She has been hiding near where you started the whole time.
52	Invite: Rozen	Having put up with Vera's drunken behaviors for an hour, you eventually realize that Vera has been drinking non-alcoholic electrolyte drinks.
53	Invite: Crocotta	You run into Camu as he is escorted out by a teary-eyed restaurant owner after Camu ate all the food there in a food challenge and won a free meal.
54	Invite: Rigor	Watching the old animated movie "Shark-speare's Adventure" at the holo-cinema in the park, you find Rosetta sitting beside you, moved by Shark-speare's resolve.
55	Invite: Pavo	You have to comb Qu's hair for nearly an hour after riding the roller-coaster with her. Due to her long hair, you barely saw anything during the ride sitting behind her.
56	Invite: Qilin	You run into Changyu, who is holding a handful of game coins at the Game Center. He proceeds to drag you to the gift counter and clear it out.
57	Invite: Laurel	You and Luna watch moon jellies together after you run into her at the aquarium. She is mesmerized by how the frail creatures simply drift along the waves.
58	Invite: Brilliance	You watch as seagulls knock over Ayla's paint while she is painting on the beach, and her work eventually becomes...
59	Invite: Tempest	You find Selena playing her violin impromptu at the center of the square. Somehow, her violin case is filled with Venus Coupons.
60	Invite: Hypnos	You find Wanshi napping on a beach chair. Looking closely, you find the book he used to shield his face from the sun is Chrome's "The Merchant of Venice".
61	Encounter: Glory	Fully engrossed in the book in his hand, Chrome seems out of place when you are hanging out among the sunbathers down at the beach.
62	Invite: Glory	Fully engrossed in the book in his hand, Chrome seems out of place when you are hanging out among the sunbathers down at the beach.
63	Encounter: XXI	No. 21 has been standing at the beach for quite some time now. Letting the water wet her knees and sleeves, she seems to be feeling and remembering some unknown smell.
64	Invite: XXI	No. 21 has been standing at the beach for quite some time now. Letting the water wet her knees and sleeves, she seems to be feeling and remembering some unknown smell.
65	Encounter: Garnet	Vera stands tall at the beach with a spear in hand. "Smoothie On Sale" is what it says in squiggling letters on the flag when the sea breeze ruffles it. There is the draw, but who's going to run the shop?
66	Invite: Garnet	Vera stands tall at the beach with a spear in hand. "Smoothie On Sale" is what it says in squiggling letters on the flag when the sea breeze ruffles it. There is the draw, but who's going to run the shop?
67	Encounter: Flambeau	So the haunted house is back in business again, with a clown robot by the entrance wearing a creepy smile on its face. Did Roland make this?
68	Invite: Flambeau	So the haunted house is back in business again, with a clown robot by the entrance wearing a creepy smile on its face. Did Roland make this?
69	Encounter: Empyrea	Looking up at the sky, you see Liv floating in the air, almost one with the clouds. You can't quite tell if she is just playing or dancing up there.
70	Invite: Empyrea	Looking up at the sky, you see Liv floating in the air, almost one with the clouds. You can't quite tell if she is just playing or dancing up there.
71	Encounter: Capriccio	The flowers that Selena has been taking care of in the open space by the amusement park are blooming for the first time. "Who's going to come to visit these flowers?" says Construct quietly.
72	Invite: Capriccio	The flowers that Selena has been taking care of in the open space by the amusement park are blooming for the first time. "Who's going to come to visit these flowers?" says Construct quietly.
